,idx,source,sentence,construction,pattern,DT,ADJ,NUMERAL,NOUN
20,21,mahowald,The family spent a five incredible days in London.,a five incredible days,DT JJ CD NNS,an,incredible,five,days
21,22,mahowald,The family spent a five incredible weeks in London.,a five incredible weeks,DT JJ CD NNS,an,incredible,five,weeks
22,23,mahowald,The family spent a five incredible months in London.,a five incredible months,DT JJ CD NNS,an,incredible,five,months
23,24,mahowald,The family spent a five incredible years in London.,a five incredible years,DT JJ CD NNS,an,incredible,five,years
24,25,mahowald,The family spent a five incredible hours in London.,a five incredible hours,DT JJ CD NNS,an,incredible,five,hours
25,26,mahowald,The family spent a twenty incredible days in London.,a twenty incredible days,DT JJ CD NNS,an,incredible,twenty,days
26,27,mahowald,The family spent a twenty incredible weeks in London.,a twenty incredible weeks,DT JJ CD NNS,an,incredible,twenty,weeks
27,28,mahowald,The family spent a twenty incredible months in London.,a twenty incredible months,DT JJ CD NNS,an,incredible,twenty,months
28,29,mahowald,The family spent a twenty incredible years in London.,a twenty incredible years,DT JJ CD NNS,an,incredible,twenty,years
29,30,mahowald,The family spent a twenty incredible hours in London.,a twenty incredible hours,DT JJ CD NNS,an,incredible,twenty,hours
30,31,mahowald,The family spent a three impressive days in London.,a three impressive days,DT JJ CD NNS,an,impressive,three,days
31,32,mahowald,The family spent a three impressive weeks in London.,a three impressive weeks,DT JJ CD NNS,an,impressive,three,weeks
32,33,mahowald,The family spent a three impressive months in London.,a three impressive months,DT JJ CD NNS,an,impressive,three,months
33,34,mahowald,The family spent a three impressive years in London.,a three impressive years,DT JJ CD NNS,an,impressive,three,years
34,35,mahowald,The family spent a three impressive hours in London.,a three impressive hours,DT JJ CD NNS,an,impressive,three,hours
35,36,mahowald,The family spent a five impressive days in London.,a five impressive days,DT JJ CD NNS,an,impressive,five,days
36,37,mahowald,The family spent a five impressive weeks in London.,a five impressive weeks,DT JJ CD NNS,an,impressive,five,weeks
37,38,mahowald,The family spent a five impressive months in London.,a five impressive months,DT JJ CD NNS,an,impressive,five,months
38,39,mahowald,The family spent a five impressive years in London.,a five impressive years,DT JJ CD NNS,an,impressive,five,years
39,40,mahowald,The family spent a five impressive hours in London.,a five impressive hours,DT JJ CD NNS,an,impressive,five,hours
40,41,mahowald,The family spent a twenty impressive days in London.,a twenty impressive days,DT JJ CD NNS,an,impressive,twenty,days
41,42,mahowald,The family spent a twenty impressive weeks in London.,a twenty impressive weeks,DT JJ CD NNS,an,impressive,twenty,weeks
42,43,mahowald,The family spent a twenty impressive months in London.,a twenty impressive months,DT JJ CD NNS,an,impressive,twenty,months
43,44,mahowald,The family spent a twenty impressive years in London.,a twenty impressive years,DT JJ CD NNS,an,impressive,twenty,years
44,45,mahowald,The family spent a twenty impressive hours in London.,a twenty impressive hours,DT JJ CD NNS,an,impressive,twenty,hours
45,46,mahowald,The family spent a three disappointing days in London.,a three disappointing days,DT JJ CD NNS,a,disappointing,three,days
46,47,mahowald,The family spent a three disappointing weeks in London.,a three disappointing weeks,DT JJ CD NNS,a,disappointing,three,weeks
47,48,mahowald,The family spent a three disappointing months in London.,a three disappointing months,DT JJ CD NNS,a,disappointing,three,months
48,49,mahowald,The family spent a three disappointing years in London.,a three disappointing years,DT JJ CD NNS,a,disappointing,three,years
49,50,mahowald,The family spent a three disappointing hours in London.,a three disappointing hours,DT JJ CD NNS,a,disappointing,three,hours
50,51,mahowald,The family spent a five disappointing days in London.,a five disappointing days,DT JJ CD NNS,a,disappointing,five,days
51,52,mahowald,The family spent a five disappointing weeks in London.,a five disappointing weeks,DT JJ CD NNS,a,disappointing,five,weeks
52,53,mahowald,The family spent a five disappointing months in London.,a five disappointing months,DT JJ CD NNS,a,disappointing,five,months
53,54,mahowald,The family spent a five disappointing years in London.,a five disappointing years,DT JJ CD NNS,a,disappointing,five,years
54,55,mahowald,The family spent a five disappointing hours in London.,a five disappointing hours,DT JJ CD NNS,a,disappointing,five,hours
55,56,mahowald,The family spent a twenty disappointing days in London.,a twenty disappointing days,DT JJ CD NNS,a,disappointing,twenty,days
56,57,mahowald,The family spent a twenty disappointing weeks in London.,a twenty disappointing weeks,DT JJ CD NNS,a,disappointing,twenty,weeks
57,58,mahowald,The family spent a twenty disappointing months in London.,a twenty disappointing months,DT JJ CD NNS,a,disappointing,twenty,months
58,59,mahowald,The family spent a twenty disappointing years in London.,a twenty disappointing years,DT JJ CD NNS,a,disappointing,twenty,years
59,60,mahowald,The family spent a twenty disappointing hours in London.,a twenty disappointing hours,DT JJ CD NNS,a,disappointing,twenty,hours
60,61,mahowald,The family spent a three surprising days in London.,a three surprising days,DT JJ CD NNS,a,surprising,three,days
61,62,mahowald,The family spent a three surprising weeks in London.,a three surprising weeks,DT JJ CD NNS,a,surprising,three,weeks
62,63,mahowald,The family spent a three surprising months in London.,a three surprising months,DT JJ CD NNS,a,surprising,three,months
63,64,mahowald,The family spent a three surprising years in London.,a three surprising years,DT JJ CD NNS,a,surprising,three,years
64,65,mahowald,The family spent a three surprising hours in London.,a three surprising hours,DT JJ CD NNS,a,surprising,three,hours
65,66,mahowald,The family spent a five surprising days in London.,a five surprising days,DT JJ CD NNS,a,surprising,five,days
66,67,mahowald,The family spent a five surprising weeks in London.,a five surprising weeks,DT JJ CD NNS,a,surprising,five,weeks
67,68,mahowald,The family spent a five surprising months in London.,a five surprising months,DT JJ CD NNS,a,surprising,five,months
68,69,mahowald,The family spent a five surprising years in London.,a five surprising years,DT JJ CD NNS,a,surprising,five,years
69,70,mahowald,The family spent a five surprising hours in London.,a five surprising hours,DT JJ CD NNS,a,surprising,five,hours
70,71,mahowald,The family spent a twenty surprising days in London.,a twenty surprising days,DT JJ CD NNS,a,surprising,twenty,days
71,72,mahowald,The family spent a twenty surprising weeks in London.,a twenty surprising weeks,DT JJ CD NNS,a,surprising,twenty,weeks
72,73,mahowald,The family spent a twenty surprising months in London.,a twenty surprising months,DT JJ CD NNS,a,surprising,twenty,months
73,74,mahowald,The family spent a twenty surprising years in London.,a twenty surprising years,DT JJ CD NNS,a,surprising,twenty,years
74,75,mahowald,The family spent a twenty surprising hours in London.,a twenty surprising hours,DT JJ CD NNS,a,surprising,twenty,hours
75,76,mahowald,The family spent a three devastating days in London.,a three devastating days,DT JJ CD NNS,a,devastating,three,days
76,77,mahowald,The family spent a three devastating weeks in London.,a three devastating weeks,DT JJ CD NNS,a,devastating,three,weeks
77,78,mahowald,The family spent a three devastating months in London.,a three devastating months,DT JJ CD NNS,a,devastating,three,months
78,79,mahowald,The family spent a three devastating years in London.,a three devastating years,DT JJ CD NNS,a,devastating,three,years
79,80,mahowald,The family spent a three devastating hours in London.,a three devastating hours,DT JJ CD NNS,a,devastating,three,hours
80,81,mahowald,The family spent a five devastating days in London.,a five devastating days,DT JJ CD NNS,a,devastating,five,days
81,82,mahowald,The family spent a five devastating weeks in London.,a five devastating weeks,DT JJ CD NNS,a,devastating,five,weeks
82,83,mahowald,The family spent a five devastating months in London.,a five devastating months,DT JJ CD NNS,a,devastating,five,months
83,84,mahowald,The family spent a five devastating years in London.,a five devastating years,DT JJ CD NNS,a,devastating,five,years
84,85,mahowald,The family spent a five devastating hours in London.,a five devastating hours,DT JJ CD NNS,a,devastating,five,hours
85,86,mahowald,The family spent a twenty devastating days in London.,a twenty devastating days,DT JJ CD NNS,a,devastating,twenty,days
86,87,mahowald,The family spent a twenty devastating weeks in London.,a twenty devastating weeks,DT JJ CD NNS,a,devastating,twenty,weeks
87,88,mahowald,The family spent a twenty devastating months in London.,a twenty devastating months,DT JJ CD NNS,a,devastating,twenty,months
88,89,mahowald,The family spent a twenty devastating years in London.,a twenty devastating years,DT JJ CD NNS,a,devastating,twenty,years
89,90,mahowald,The family spent a twenty devastating hours in London.,a twenty devastating hours,DT JJ CD NNS,a,devastating,twenty,hours
90,91,mahowald,The family spent a three pathetic days in London.,a three pathetic days,DT JJ CD NNS,a,pathetic,three,days
91,92,mahowald,The family spent a three pathetic weeks in London.,a three pathetic weeks,DT JJ CD NNS,a,pathetic,three,weeks
92,93,mahowald,The family spent a three pathetic months in London.,a three pathetic months,DT JJ CD NNS,a,pathetic,three,months
93,94,mahowald,The family spent a three pathetic years in London.,a three pathetic years,DT JJ CD NNS,a,pathetic,three,years
94,95,mahowald,The family spent a three pathetic hours in London.,a three pathetic hours,DT JJ CD NNS,a,pathetic,three,hours
95,96,mahowald,The family spent a five pathetic days in London.,a five pathetic days,DT JJ CD NNS,a,pathetic,five,days
96,97,mahowald,The family spent a five pathetic weeks in London.,a five pathetic weeks,DT JJ CD NNS,a,pathetic,five,weeks
97,98,mahowald,The family spent a five pathetic months in London.,a five pathetic months,DT JJ CD NNS,a,pathetic,five,months
98,99,mahowald,The family spent a five pathetic years in London.,a five pathetic years,DT JJ CD NNS,a,pathetic,five,years
99,100,mahowald,The family spent a five pathetic hours in London.,a five pathetic hours,DT JJ CD NNS,a,pathetic,five,hours
100,101,mahowald,The family spent a twenty pathetic days in London.,a twenty pathetic days,DT JJ CD NNS,a,pathetic,twenty,days
101,102,mahowald,The family spent a twenty pathetic weeks in London.,a twenty pathetic weeks,DT JJ CD NNS,a,pathetic,twenty,weeks
102,103,mahowald,The family spent a twenty pathetic months in London.,a twenty pathetic months,DT JJ CD NNS,a,pathetic,twenty,months
103,104,mahowald,The family spent a twenty pathetic years in London.,a twenty pathetic years,DT JJ CD NNS,a,pathetic,twenty,years
104,105,mahowald,The family spent a twenty pathetic hours in London.,a twenty pathetic hours,DT JJ CD NNS,a,pathetic,twenty,hours
105,106,mahowald,The family spent a three remarkable days in London.,a three remarkable days,DT JJ CD NNS,a,remarkable,three,days
106,107,mahowald,The family spent a three remarkable weeks in London.,a three remarkable weeks,DT JJ CD NNS,a,remarkable,three,weeks
107,108,mahowald,The family spent a three remarkable months in London.,a three remarkable months,DT JJ CD NNS,a,remarkable,three,months
108,109,mahowald,The family spent a three remarkable years in London.,a three remarkable years,DT JJ CD NNS,a,remarkable,three,years
109,110,mahowald,The family spent a three remarkable hours in London.,a three remarkable hours,DT JJ CD NNS,a,remarkable,three,hours
110,111,mahowald,The family spent a five remarkable days in London.,a five remarkable days,DT JJ CD NNS,a,remarkable,five,days
111,112,mahowald,The family spent a five remarkable weeks in London.,a five remarkable weeks,DT JJ CD NNS,a,remarkable,five,weeks
112,113,mahowald,The family spent a five remarkable months in London.,a five remarkable months,DT JJ CD NNS,a,remarkable,five,months
113,114,mahowald,The family spent a five remarkable years in London.,a five remarkable years,DT JJ CD NNS,a,remarkable,five,years
114,115,mahowald,The family spent a five remarkable hours in London.,a five remarkable hours,DT JJ CD NNS,a,remarkable,five,hours
115,116,mahowald,The family spent a twenty remarkable days in London.,a twenty remarkable days,DT JJ CD NNS,a,remarkable,twenty,days
116,117,mahowald,The family spent a twenty remarkable weeks in London.,a twenty remarkable weeks,DT JJ CD NNS,a,remarkable,twenty,weeks
117,118,mahowald,The family spent a twenty remarkable months in London.,a twenty remarkable months,DT JJ CD NNS,a,remarkable,twenty,months
118,119,mahowald,The family spent a twenty remarkable years in London.,a twenty remarkable years,DT JJ CD NNS,a,remarkable,twenty,years
119,120,mahowald,The family spent a twenty remarkable hours in London.,a twenty remarkable hours,DT JJ CD NNS,a,remarkable,twenty,hours
120,121,mahowald,The family spent a three mediocre days in London.,a three mediocre days,DT JJ CD NNS,a,mediocre,three,days
121,122,mahowald,The family spent a three mediocre weeks in London.,a three mediocre weeks,DT JJ CD NNS,a,mediocre,three,weeks
122,123,mahowald,The family spent a three mediocre months in London.,a three mediocre months,DT JJ CD NNS,a,mediocre,three,months
123,124,mahowald,The family spent a three mediocre years in London.,a three mediocre years,DT JJ CD NNS,a,mediocre,three,years
124,125,mahowald,The family spent a three mediocre hours in London.,a three mediocre hours,DT JJ CD NNS,a,mediocre,three,hours
125,126,mahowald,The family spent a five mediocre days in London.,a five mediocre days,DT JJ CD NNS,a,mediocre,five,days
126,127,mahowald,The family spent a five mediocre weeks in London.,a five mediocre weeks,DT JJ CD NNS,a,mediocre,five,weeks
127,128,mahowald,The family spent a five mediocre months in London.,a five mediocre months,DT JJ CD NNS,a,mediocre,five,months
128,129,mahowald,The family spent a five mediocre years in London.,a five mediocre years,DT JJ CD NNS,a,mediocre,five,years
129,130,mahowald,The family spent a five mediocre hours in London.,a five mediocre hours,DT JJ CD NNS,a,mediocre,five,hours
130,131,mahowald,The family spent a twenty mediocre days in London.,a twenty mediocre days,DT JJ CD NNS,a,mediocre,twenty,days
131,132,mahowald,The family spent a twenty mediocre weeks in London.,a twenty mediocre weeks,DT JJ CD NNS,a,mediocre,twenty,weeks
132,133,mahowald,The family spent a twenty mediocre months in London.,a twenty mediocre months,DT JJ CD NNS,a,mediocre,twenty,months
133,134,mahowald,The family spent a twenty mediocre years in London.,a twenty mediocre years,DT JJ CD NNS,a,mediocre,twenty,years
134,135,mahowald,The family spent a twenty mediocre hours in London.,a twenty mediocre hours,DT JJ CD NNS,a,mediocre,twenty,hours
135,136,mahowald,The family spent a three unsatisfying days in London.,a three unsatisfying days,DT JJ CD NNS,an,unsatisfying,three,days
136,137,mahowald,The family spent a three unsatisfying weeks in London.,a three unsatisfying weeks,DT JJ CD NNS,an,unsatisfying,three,weeks
137,138,mahowald,The family spent a three unsatisfying months in London.,a three unsatisfying months,DT JJ CD NNS,an,unsatisfying,three,months
138,139,mahowald,The family spent a three unsatisfying years in London.,a three unsatisfying years,DT JJ CD NNS,an,unsatisfying,three,years
139,140,mahowald,The family spent a three unsatisfying hours in London.,a three unsatisfying hours,DT JJ CD NNS,an,unsatisfying,three,hours
140,141,mahowald,The family spent a five unsatisfying days in London.,a five unsatisfying days,DT JJ CD NNS,an,unsatisfying,five,days
141,142,mahowald,The family spent a five unsatisfying weeks in London.,a five unsatisfying weeks,DT JJ CD NNS,an,unsatisfying,five,weeks
142,143,mahowald,The family spent a five unsatisfying months in London.,a five unsatisfying months,DT JJ CD NNS,an,unsatisfying,five,months
143,144,mahowald,The family spent a five unsatisfying years in London.,a five unsatisfying years,DT JJ CD NNS,an,unsatisfying,five,years
144,145,mahowald,The family spent a five unsatisfying hours in London.,a five unsatisfying hours,DT JJ CD NNS,an,unsatisfying,five,hours
145,146,mahowald,The family spent a twenty unsatisfying days in London.,a twenty unsatisfying days,DT JJ CD NNS,an,unsatisfying,twenty,days
146,147,mahowald,The family spent a twenty unsatisfying weeks in London.,a twenty unsatisfying weeks,DT JJ CD NNS,an,unsatisfying,twenty,weeks
147,148,mahowald,The family spent a twenty unsatisfying months in London.,a twenty unsatisfying months,DT JJ CD NNS,an,unsatisfying,twenty,months
148,149,mahowald,The family spent a twenty unsatisfying years in London.,a twenty unsatisfying years,DT JJ CD NNS,an,unsatisfying,twenty,years
149,150,mahowald,The family spent a twenty unsatisfying hours in London.,a twenty unsatisfying hours,DT JJ CD NNS,an,unsatisfying,twenty,hours
150,151,mahowald,The family spent a three lovely days in London.,a three lovely days,DT JJ CD NNS,a,lovely,three,days
151,152,mahowald,The family spent a three lovely weeks in London.,a three lovely weeks,DT JJ CD NNS,a,lovely,three,weeks
152,153,mahowald,The family spent a three lovely months in London.,a three lovely months,DT JJ CD NNS,a,lovely,three,months
153,154,mahowald,The family spent a three lovely years in London.,a three lovely years,DT JJ CD NNS,a,lovely,three,years
154,155,mahowald,The family spent a three lovely hours in London.,a three lovely hours,DT JJ CD NNS,a,lovely,three,hours
155,156,mahowald,The family spent a five lovely days in London.,a five lovely days,DT JJ CD NNS,a,lovely,five,days
156,157,mahowald,The family spent a five lovely weeks in London.,a five lovely weeks,DT JJ CD NNS,a,lovely,five,weeks
157,158,mahowald,The family spent a five lovely months in London.,a five lovely months,DT JJ CD NNS,a,lovely,five,months
158,159,mahowald,The family spent a five lovely years in London.,a five lovely years,DT JJ CD NNS,a,lovely,five,years
159,160,mahowald,The family spent a five lovely hours in London.,a five lovely hours,DT JJ CD NNS,a,lovely,five,hours
160,161,mahowald,The family spent a twenty lovely days in London.,a twenty lovely days,DT JJ CD NNS,a,lovely,twenty,days
161,162,mahowald,The family spent a twenty lovely weeks in London.,a twenty lovely weeks,DT JJ CD NNS,a,lovely,twenty,weeks
162,163,mahowald,The family spent a twenty lovely months in London.,a twenty lovely months,DT JJ CD NNS,a,lovely,twenty,months
163,164,mahowald,The family spent a twenty lovely years in London.,a twenty lovely years,DT JJ CD NNS,a,lovely,twenty,years
164,165,mahowald,The family spent a twenty lovely hours in London.,a twenty lovely hours,DT JJ CD NNS,a,lovely,twenty,hours
165,166,mahowald,The family spent a three beautiful days in London.,a three beautiful days,DT JJ CD NNS,a,beautiful,three,days
166,167,mahowald,The family spent a three beautiful weeks in London.,a three beautiful weeks,DT JJ CD NNS,a,beautiful,three,weeks
167,168,mahowald,The family spent a three beautiful months in London.,a three beautiful months,DT JJ CD NNS,a,beautiful,three,months
168,169,mahowald,The family spent a three beautiful years in London.,a three beautiful years,DT JJ CD NNS,a,beautiful,three,years
169,170,mahowald,The family spent a three beautiful hours in London.,a three beautiful hours,DT JJ CD NNS,a,beautiful,three,hours
170,171,mahowald,The family spent a five beautiful days in London.,a five beautiful days,DT JJ CD NNS,a,beautiful,five,days
171,172,mahowald,The family spent a five beautiful weeks in London.,a five beautiful weeks,DT JJ CD NNS,a,beautiful,five,weeks
172,173,mahowald,The family spent a five beautiful months in London.,a five beautiful months,DT JJ CD NNS,a,beautiful,five,months
173,174,mahowald,The family spent a five beautiful years in London.,a five beautiful years,DT JJ CD NNS,a,beautiful,five,years
174,175,mahowald,The family spent a five beautiful hours in London.,a five beautiful hours,DT JJ CD NNS,a,beautiful,five,hours
175,176,mahowald,The family spent a twenty beautiful days in London.,a twenty beautiful days,DT JJ CD NNS,a,beautiful,twenty,days
176,177,mahowald,The family spent a twenty beautiful weeks in London.,a twenty beautiful weeks,DT JJ CD NNS,a,beautiful,twenty,weeks
177,178,mahowald,The family spent a twenty beautiful months in London.,a twenty beautiful months,DT JJ CD NNS,a,beautiful,twenty,months
178,179,mahowald,The family spent a twenty beautiful years in London.,a twenty beautiful years,DT JJ CD NNS,a,beautiful,twenty,years
179,180,mahowald,The family spent a twenty beautiful hours in London.,a twenty beautiful hours,DT JJ CD NNS,a,beautiful,twenty,hours
180,181,mahowald,The family spent a three enchanting days in London.,a three enchanting days,DT JJ CD NNS,an,enchanting,three,days
181,182,mahowald,The family spent a three enchanting weeks in London.,a three enchanting weeks,DT JJ CD NNS,an,enchanting,three,weeks
182,183,mahowald,The family spent a three enchanting months in London.,a three enchanting months,DT JJ CD NNS,an,enchanting,three,months
183,184,mahowald,The family spent a three enchanting years in London.,a three enchanting years,DT JJ CD NNS,an,enchanting,three,years
184,185,mahowald,The family spent a three enchanting hours in London.,a three enchanting hours,DT JJ CD NNS,an,enchanting,three,hours
185,186,mahowald,The family spent a five enchanting days in London.,a five enchanting days,DT JJ CD NNS,an,enchanting,five,days
186,187,mahowald,The family spent a five enchanting weeks in London.,a five enchanting weeks,DT JJ CD NNS,an,enchanting,five,weeks
187,188,mahowald,The family spent a five enchanting months in London.,a five enchanting months,DT JJ CD NNS,an,enchanting,five,months
188,189,mahowald,The family spent a five enchanting years in London.,a five enchanting years,DT JJ CD NNS,an,enchanting,five,years
189,190,mahowald,The family spent a five enchanting hours in London.,a five enchanting hours,DT JJ CD NNS,an,enchanting,five,hours
190,191,mahowald,The family spent a twenty enchanting days in London.,a twenty enchanting days,DT JJ CD NNS,an,enchanting,twenty,days
191,192,mahowald,The family spent a twenty enchanting weeks in London.,a twenty enchanting weeks,DT JJ CD NNS,an,enchanting,twenty,weeks
192,193,mahowald,The family spent a twenty enchanting months in London.,a twenty enchanting months,DT JJ CD NNS,an,enchanting,twenty,months
193,194,mahowald,The family spent a twenty enchanting years in London.,a twenty enchanting years,DT JJ CD NNS,an,enchanting,twenty,years
194,195,mahowald,The family spent a twenty enchanting hours in London.,a twenty enchanting hours,DT JJ CD NNS,an,enchanting,twenty,hours
195,196,mahowald,The family spent a three soothing days in London.,a three soothing days,DT JJ CD NNS,a,soothing,three,days
196,197,mahowald,The family spent a three soothing weeks in London.,a three soothing weeks,DT JJ CD NNS,a,soothing,three,weeks
197,198,mahowald,The family spent a three soothing months in London.,a three soothing months,DT JJ CD NNS,a,soothing,three,months
198,199,mahowald,The family spent a three soothing years in London.,a three soothing years,DT JJ CD NNS,a,soothing,three,years
199,200,mahowald,The family spent a three soothing hours in London.,a three soothing hours,DT JJ CD NNS,a,soothing,three,hours
200,201,mahowald,The family spent a five soothing days in London.,a five soothing days,DT JJ CD NNS,a,soothing,five,days
201,202,mahowald,The family spent a five soothing weeks in London.,a five soothing weeks,DT JJ CD NNS,a,soothing,five,weeks
202,203,mahowald,The family spent a five soothing months in London.,a five soothing months,DT JJ CD NNS,a,soothing,five,months
203,204,mahowald,The family spent a five soothing years in London.,a five soothing years,DT JJ CD NNS,a,soothing,five,years
204,205,mahowald,The family spent a five soothing hours in London.,a five soothing hours,DT JJ CD NNS,a,soothing,five,hours
205,206,mahowald,The family spent a twenty soothing days in London.,a twenty soothing days,DT JJ CD NNS,a,soothing,twenty,days
206,207,mahowald,The family spent a twenty soothing weeks in London.,a twenty soothing weeks,DT JJ CD NNS,a,soothing,twenty,weeks
207,208,mahowald,The family spent a twenty soothing months in London.,a twenty soothing months,DT JJ CD NNS,a,soothing,twenty,months
208,209,mahowald,The family spent a twenty soothing years in London.,a twenty soothing years,DT JJ CD NNS,a,soothing,twenty,years
209,210,mahowald,The family spent a twenty soothing hours in London.,a twenty soothing hours,DT JJ CD NNS,a,soothing,twenty,hours
210,211,mahowald,The family spent a three charming days in London.,a three charming days,DT JJ CD NNS,a,charming,three,days
211,212,mahowald,The family spent a three charming weeks in London.,a three charming weeks,DT JJ CD NNS,a,charming,three,weeks
212,213,mahowald,The family spent a three charming months in London.,a three charming months,DT JJ CD NNS,a,charming,three,months
213,214,mahowald,The family spent a three charming years in London.,a three charming years,DT JJ CD NNS,a,charming,three,years
214,215,mahowald,The family spent a three charming hours in London.,a three charming hours,DT JJ CD NNS,a,charming,three,hours
215,216,mahowald,The family spent a five charming days in London.,a five charming days,DT JJ CD NNS,a,charming,five,days
216,217,mahowald,The family spent a five charming weeks in London.,a five charming weeks,DT JJ CD NNS,a,charming,five,weeks
217,218,mahowald,The family spent a five charming months in London.,a five charming months,DT JJ CD NNS,a,charming,five,months
218,219,mahowald,The family spent a five charming years in London.,a five charming years,DT JJ CD NNS,a,charming,five,years
219,220,mahowald,The family spent a five charming hours in London.,a five charming hours,DT JJ CD NNS,a,charming,five,hours
220,221,mahowald,The family spent a twenty charming days in London.,a twenty charming days,DT JJ CD NNS,a,charming,twenty,days
221,222,mahowald,The family spent a twenty charming weeks in London.,a twenty charming weeks,DT JJ CD NNS,a,charming,twenty,weeks
222,223,mahowald,The family spent a twenty charming months in London.,a twenty charming months,DT JJ CD NNS,a,charming,twenty,months
223,224,mahowald,The family spent a twenty charming years in London.,a twenty charming years,DT JJ CD NNS,a,charming,twenty,years
224,225,mahowald,The family spent a twenty charming hours in London.,a twenty charming hours,DT JJ CD NNS,a,charming,twenty,hours
225,226,mahowald,The family spent a three disgusting days in London.,a three disgusting days,DT JJ CD NNS,a,disgusting,three,days
226,227,mahowald,The family spent a three disgusting weeks in London.,a three disgusting weeks,DT JJ CD NNS,a,disgusting,three,weeks
227,228,mahowald,The family spent a three disgusting months in London.,a three disgusting months,DT JJ CD NNS,a,disgusting,three,months
228,229,mahowald,The family spent a three disgusting years in London.,a three disgusting years,DT JJ CD NNS,a,disgusting,three,years
229,230,mahowald,The family spent a three disgusting hours in London.,a three disgusting hours,DT JJ CD NNS,a,disgusting,three,hours
230,231,mahowald,The family spent a five disgusting days in London.,a five disgusting days,DT JJ CD NNS,a,disgusting,five,days
231,232,mahowald,The family spent a five disgusting weeks in London.,a five disgusting weeks,DT JJ CD NNS,a,disgusting,five,weeks
232,233,mahowald,The family spent a five disgusting months in London.,a five disgusting months,DT JJ CD NNS,a,disgusting,five,months
233,234,mahowald,The family spent a five disgusting years in London.,a five disgusting years,DT JJ CD NNS,a,disgusting,five,years
234,235,mahowald,The family spent a five disgusting hours in London.,a five disgusting hours,DT JJ CD NNS,a,disgusting,five,hours
235,236,mahowald,The family spent a twenty disgusting days in London.,a twenty disgusting days,DT JJ CD NNS,a,disgusting,twenty,days
236,237,mahowald,The family spent a twenty disgusting weeks in London.,a twenty disgusting weeks,DT JJ CD NNS,a,disgusting,twenty,weeks
237,238,mahowald,The family spent a twenty disgusting months in London.,a twenty disgusting months,DT JJ CD NNS,a,disgusting,twenty,months
238,239,mahowald,The family spent a twenty disgusting years in London.,a twenty disgusting years,DT JJ CD NNS,a,disgusting,twenty,years
239,240,mahowald,The family spent a twenty disgusting hours in London.,a twenty disgusting hours,DT JJ CD NNS,a,disgusting,twenty,hours
240,241,mahowald,The family spent a three uninviting days in London.,a three uninviting days,DT JJ CD NNS,an,uninviting,three,days
241,242,mahowald,The family spent a three uninviting weeks in London.,a three uninviting weeks,DT JJ CD NNS,an,uninviting,three,weeks
242,243,mahowald,The family spent a three uninviting months in London.,a three uninviting months,DT JJ CD NNS,an,uninviting,three,months
243,244,mahowald,The family spent a three uninviting years in London.,a three uninviting years,DT JJ CD NNS,an,uninviting,three,years
244,245,mahowald,The family spent a three uninviting hours in London.,a three uninviting hours,DT JJ CD NNS,an,uninviting,three,hours
