idx,sentence,pos,DT,ADJ,NUMERAL,NOUN
56953,an estimated 400 people,ARTICLE VBN CD NNS,an,estimated,400,people
57401,a great many days,ARTICLE JJ FEW NNS,a,great,many,days
57750,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
58229,a special 100 naira,ARTICLE JJ CD NNS,a,special,100,naira
58320,An estimated 20 % of children,ARTICLE VBN CD NN IN NNS,An,estimated,20,% of children
58949,an old woman and three maidens,ARTICLE JJ NN CC CD NNS,an,old woman and,three,maidens
60004,a good many difficult things,ARTICLE JJ FEW JJ NNS,a,good,many,difficult things
63518,a great many others,ARTICLE JJ FEW NNS,a,great,many,others
64435,a great many journeys,ARTICLE JJ FEW NNS,a,great,many,journeys
66356,a mere 0.02 seconds,ARTICLE JJ CD NNS,a,mere,0.02,seconds
66370,a manual 14.8 seconds,ARTICLE JJ CD NNS,a,manual,14.8,seconds
67870,a heavy heart and many sighs,ARTICLE JJ NN CC FEW NNS,a,heavy heart and,many,sighs
68769,an additional seven to eight feet,ARTICLE JJ CD TO CD NNS,an,additional,seven to eight,feet
70282,a great many young children,ARTICLE JJ FEW JJ NNS,a,great,many,young children
70295,a great many persons,ARTICLE JJ FEW NNS,a,great,many,persons
71366,A great many officers,ARTICLE JJ FEW NNS,A,great,many,officers
71914,a good many other folks,ARTICLE JJ FEW JJ NNS,a,good,many,other folks
72747,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors
74097,a great many days,ARTICLE JJ FEW NNS,a,great,many,days
75040,a great many children,ARTICLE JJ FEW NNS,a,great,many,children
80323,a good many people,ARTICLE JJ FEW NNS,a,good,many,people
83662,a career - high 30 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,30,points
86713,a quick two minutes,ARTICLE JJ CD NNS,a,quick,two,minutes
87096,a hulking 261 pounds,ARTICLE JJ CD NNS,a,hulking,261,pounds
88015,a further six weeks,ARTICLE JJ CD NNS,a,further,six,weeks
90331,a good few years,ARTICLE JJ FEW NNS,a,good,few,years
91528,a new site 65 meters,ARTICLE JJ NN CD NNS,a,new site,65,meters
97078,a great many cunning tricks,ARTICLE JJ FEW JJ NNS,a,great,many,cunning tricks
97924,a record 32 teams,ARTICLE RECORD CD NNS,a,record,32,teams
98452,a great many days,ARTICLE JJ FEW NNS,a,great,many,days
100994,a little girl three years,ARTICLE JJ NN CD NNS,a,little girl,three,years
102023,a heavy heart and many sighs,ARTICLE JJ NN CC FEW NNS,a,heavy heart and,many,sighs
102160,a great many days,ARTICLE JJ FEW NNS,a,great,many,days
102464,an old woman and three maidens,ARTICLE JJ NN CC CD NNS,an,old woman and,three,maidens
105793,"a further 75,000 immigrants",ARTICLE JJR CD NNS,a,further,"75,000",immigrants
110319,"a further 250,000 copies",ARTICLE JJ CD NNS,a,further,"250,000",copies
110402,"a mere 25,000 copies",ARTICLE JJ CD NNS,a,mere,"25,000",copies
111512,a career - high 20 goals,ARTICLE NN HYPH JJ CD NNS,a,career - high,20,goals
114635,a great many others,ARTICLE JJ FEW NNS,a,great,many,others
115579,a reported four children,ARTICLE VBN CD NNS,a,reported,four,children
117952,a further three charges,ARTICLE JJ CD NNS,a,further,three,charges
118242,a great many journeys,ARTICLE JJ FEW NNS,a,great,many,journeys
121316,a certain fatal three days,ARTICLE JJ JJ CD NNS,a,certain fatal,three,days
121793,an extra two and a half hours,ARTICLE JJ CD CC ARTICLE NN NNS,a,,two and,a half hours
126657,"an additional 3,000 supporters",ARTICLE JJ CD NNS,an,additional,"3,000",supporters
129123,a heavy heart and many sighs,ARTICLE JJ NN CC FEW NNS,a,heavy heart and,many,sighs
129427,a great many little earth,ARTICLE JJ FEW JJ NNS,a,great,many,little earth
131301,a large head and two thick ears,ARTICLE JJ NN CC CD JJ NNS,a,large head and,two,thick ears
132365,a great deal more stamping of feet,ARTICLE JJ NN FEW NN IN NNS,a,great deal,more,stamping of feet
132656,Another fucking few minutes,ARTICLE JJ FEW NNS,Another,fucking,few,minutes
136087,a great many sparrows,ARTICLE JJ FEW NNS,a,great,many,sparrows
136989,a full four stars,ARTICLE JJ CD NNS,a,full,four,stars
140385,a great many young children,ARTICLE JJ FEW JJ NNS,a,great,many,young children
140934,a great festival three days,ARTICLE JJ NN CD NNS,a,great festival,three,days
143563,A great many officers,ARTICLE JJ FEW NNS,A,great,many,officers
144287,a great many other weapons,ARTICLE JJ FEW JJ NNS,a,great,many,other weapons
144425,a great many salaams,ARTICLE JJ FEW NNS,a,great,many,salaams
144993,A great many Rajas,ARTICLE JJ FEW NNPS,A,great,many,Rajas
146886,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors
148046,a great many rupees,ARTICLE JJ FEW NNS,a,great,many,rupees
148355,a great many years,ARTICLE JJ FEW NNS,a,great,many,years
148447,an additional ten states,ARTICLE JJ CD NNS,an,additional,ten,states
149538,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
155767,a great many rupees,ARTICLE JJ FEW NNS,a,great,many,rupees
155933,a great many salaams,ARTICLE JJ FEW NNS,a,great,many,salaams
156403,A great many Kings,ARTICLE JJ FEW NNPS,A,great,many,Kings
156623,a great many birds,ARTICLE JJ FEW NNS,a,great,many,birds
156938,a great many sepoys,ARTICLE JJ FEW NNS,a,great,many,sepoys
156939,a great many miles,ARTICLE JJ FEW NNS,a,great,many,miles
157113,a great many salaams,ARTICLE JJ FEW NNS,a,great,many,salaams
159152,a cumulated 300 ECTS credits,ARTICLE VBN CD NN NNS,a,cumulated,300,ECTS credits
162483,a whole forty five minutes,ARTICLE JJ CD CD NNS,a,whole,forty five,minutes
164678,a record 26 times,ARTICLE RECORD CD NNS,a,record,26,times
165613,a great many pieces,ARTICLE JJ FEW NNS,a,great,many,pieces
167186,"An estimated 1,700 people",ARTICLE VBN CD NNS,An,estimated,"1,700",people
167399,"an estimated 100,000 people",ARTICLE VBN CD NNS,an,estimated,"100,000",people
169156,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
169271,a great many slippers,ARTICLE JJ FEW NNS,a,great,many,slippers
169902,an average sixty - six immigrants,ARTICLE JJ CD HYPH CD NNS,an,average,sixty - six,immigrants
170562,a great many children,ARTICLE JJ FEW NNS,a,great,many,children
173662,an additional six months,ARTICLE JJ CD NNS,an,additional,six,months
175893,a very impressive 32 goals,ARTICLE RB JJ CD NNS,a,very impressive,32,goals
179606,a good two years,ARTICLE JJ CD NNS,a,good,two,years
182028,a further ten frames,ARTICLE JJ CD NNS,a,further,ten,frames
183594,a cumulated 300 ECTS credits,ARTICLE VBN CD NN NNS,a,cumulated,300,ECTS credits
183850,a future Four Lands,ARTICLE JJ CD NNPS,a,future,Four,Lands
186938,a mere nineteen lines,ARTICLE JJ CD NNS,a,mere,nineteen,lines
189145,"a new 10,000 m",ARTICLE JJ CD NNS,a,new,"10,000",m
189241,a standard three or four sheets,ARTICLE JJ CD CC CD NNS,a,standard,three or four,sheets
193686,a separate one thousand five hundred pounds,ARTICLE JJ CD CD CD CD NNS,a,separate,one thousand five hundred,pounds
204737,a miniature sleigh and eight tiny reindeer,ARTICLE JJ NN CC CD JJ NNS,a,miniature sleigh and,eight,tiny reindeer
205972,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
207905,a nationally known icon and many businesses,ARTICLE RB VBN NN CC FEW NNS,a,nationally known icon and,many,businesses
209357,a mere 360 metres,ARTICLE JJ CD NNS,a,mere,360,metres
209550,a mere 360 metres,ARTICLE JJ CD NNS,a,mere,360,metres
212846,A great many birds,ARTICLE JJ FEW NNS,A,great,many,birds
214928,a great many more Mice,ARTICLE JJ FEW FEW NNPS,a,great,many more,Mice
215963,a good forty minutes,ARTICLE JJ CD NNS,a,good,forty,minutes
217172,a round dozen blocks,ARTICLE JJ FEW NNS,a,round,dozen,blocks
218494,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends
219701,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
220064,a petty officer and four seamen,ARTICLE JJ NN CC CD NNS,a,petty officer and,four,seamen
220990,an estimated five million bricks,ARTICLE VBN CD CD NNS,an,estimated,five million,bricks
222931,a combined 5 minutes,ARTICLE VBN CD NNS,a,combined,5,minutes
223653,a good many cross,ARTICLE JJ FEW NNS,a,good,many,cross
229447,a full 15 games,ARTICLE JJ CD NNS,a,full,15,games
229503,a distant 30 games,ARTICLE JJ CD NNS,a,distant,30,games
232264,"an estimated 600,000 daily passengers",ARTICLE VBN CD JJ NNS,an,estimated,"600,000",daily passengers
232367,"an estimated 500,000 riders",ARTICLE VBN CD NNS,an,estimated,"500,000",riders
233354,a great many windings,ARTICLE JJ FEW NNS,a,great,many,windings
234129,a great many hits,ARTICLE JJ FEW NNS,a,great,many,hits
259194,a young soldier and two women,ARTICLE JJ NN CC CD NNS,a,young soldier and,two,women
261780,a great many brains,ARTICLE JJ FEW NNS,a,great,many,brains
265006,a great many years,ARTICLE JJ FEW NNS,a,great,many,years
265405,a great many pins,ARTICLE JJ FEW NNS,a,great,many,pins
265511,a huge surf eighty miles,ARTICLE JJ NN CD NNS,a,huge surf,eighty,miles
269338,"an estimated 110,000 tons",ARTICLE VBN CD NNS,an,estimated,"110,000",tons
269339,"an estimated 8,300 premature deaths",ARTICLE VBN CD JJ NNS,an,estimated,"8,300",premature deaths
269340,"an estimated 360,000 asthma attacks",ARTICLE VBN CD NN NNS,an,estimated,"360,000",asthma attacks
269489,an annualized 15 billion gallons,ARTICLE VBN CD CD NNS,an,annualized,15 billion,gallons
271759,"an estimated 250,000 shearwater burrows",ARTICLE VBN CD NN NNS,an,estimated,"250,000",shearwater burrows
272286,a great pillar four days,ARTICLE JJ NN CD NNS,a,great pillar,four,days
275060,a constant sometimes eight colors,ARTICLE JJ RB CD NNS,a,constant sometimes,eight,colors
276710,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
278022,a swift 12 feet,ARTICLE JJ CD NNS,a,swift,12,feet
279427,"a sudden , three themes","ARTICLE JJ , CD NNS",a,"sudden ,",three,themes
283322,a good many things,ARTICLE JJ FEW NNS,a,good,many,things
286540,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
286591,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
288176,an orange dwarf star 37 light years,ARTICLE JJ NN NN CD NN NNS,an,orange dwarf star,37,light years
289262,A wizened little man and two ladies,ARTICLE JJ JJ NN CC CD NNS,A,wizened little man and,two,ladies
289334,a great many wolves,ARTICLE JJ FEW NNS,a,great,many,wolves
296380,a good eight minutes,ARTICLE JJ CD NNS,a,good,eight,minutes
303658,a heavy man and two big rocks,ARTICLE JJ NN CC CD JJ NNS,a,heavy man and,two,big rocks
308631,a further nine years,ARTICLE JJ CD NNS,a,further,nine,years
312575,a good wow f forty five minutes,ARTICLE JJ UH NN CD CD NNS,a,good wow f,forty five,minutes
313443,a little rowan tree and four alder bushes,ARTICLE JJ NN NN CC CD NN NNS,a,little rowan tree and,four,alder bushes
318938,a great many kangaroos,ARTICLE JJ FEW NNS,a,great,many,kangaroos
323410,a rich cultural heritage and many locations,ARTICLE JJ JJ NN CC FEW NNS,a,rich cultural heritage and,many,locations
324283,a twinkling twenty miles,ARTICLE JJ CD NNS,a,twinkling,twenty,miles
326636,"an estimated 90,000 African slaves",ARTICLE VBN CD JJ NNS,an,estimated,"90,000",African slaves
327652,a full ten inches,ARTICLE JJ CD NNS,a,full,ten,inches
327972,an additional 124 officers,ARTICLE JJ CD NNS,an,additional,124,officers
328094,a further 124 officers,ARTICLE JJ CD NNS,a,further,124,officers
328308,a further 878 army officers,ARTICLE JJR CD NN NNS,a,further,878,army officers
329442,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people
330751,a good many people,ARTICLE JJ FEW NNS,a,good,many,people
331869,a great many roses,ARTICLE JJ FEW NNS,a,great,many,roses
332341,an estimated 523 Japanese soldiers,ARTICLE VBN CD JJ NNS,an,estimated,523,Japanese soldiers
334740,a cumulated 300 ECTS credits,ARTICLE VBN CD NN NNS,a,cumulated,300,ECTS credits
335274,an estimated 100–240 black people,ARTICLE VBN CD JJ NNS,an,estimated,100–240,black people
343998,a good many things,ARTICLE JJ FEW NNS,a,good,many,things
345060,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
347369,A further 15000 ha,ARTICLE JJ CD NNS,A,further,15000,ha
347616,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
349194,a full ten years,ARTICLE JJ CD NNS,a,full,ten,years
351781,A good thirty yards,ARTICLE JJ CD NNS,A,good,thirty,yards
352538,an additional 16 months,ARTICLE JJ CD NNS,an,additional,16,months
353288,a great many singular things,ARTICLE JJ FEW JJ NNS,a,great,many,singular things
353833,a great many times,ARTICLE JJ FEW NNS,a,great,many,times
354309,An estimated 81 million total viewers,ARTICLE VBN CD CD JJ NNS,An,estimated,81 million,total viewers
354384,a great many questions,ARTICLE JJ FEW NNS,a,great,many,questions
354995,an elongated oval form 12.5 km,ARTICLE JJ JJ NN CD NNS,an,elongated oval form,12.5,km
360393,a chilly 248 degrees,ARTICLE JJ CD NNS,a,chilly,248,degrees
360764,a colossal 5 stories,ARTICLE JJ CD NNS,a,colossal,5,stories
360882,a record seven times,ARTICLE RECORD CD NNS,a,record,seven,times
360886,a record 7 hours,ARTICLE RECORD CD NNS,a,record,7,hours
362374,an additional three years,ARTICLE JJ CD NNS,an,additional,three,years
363222,"an estimated 4,694 times",ARTICLE JJ CD NNS,an,estimated,"4,694",times
364347,a good fifteen feet,ARTICLE JJ CD NNS,a,good,fifteen,feet
365566,a great many weavers,ARTICLE JJ FEW NNS,a,great,many,weavers
366993,a scant three yards,ARTICLE JJ CD NNS,a,scant,three,yards
367449,a full six yards,ARTICLE JJ CD NNS,a,full,six,yards
368422,an estimated 1600 students,ARTICLE VBN CD NNS,an,estimated,1600,students
368554,an iron - bound club three or four feet,ARTICLE NN HYPH VBN NN CD CC CD NNS,an,iron - bound club,three or four,feet
374969,a great many clouds,ARTICLE JJ FEW NNS,a,great,many,clouds
375150,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
379409,an initial 13 issues,ARTICLE JJ CD NNS,an,initial,13,issues
379511,an additional 22 issues,ARTICLE JJ CD NNS,an,additional,22,issues
380199,a great many years,ARTICLE JJ FEW NNS,a,great,many,years
381428,a very young 20 years,ARTICLE RB JJ CD NNS,a,very young,20,years
387630,a real estate developer and several others,ARTICLE JJ NN NN CC FEW NNS,a,real estate developer and,several,others
388051,a great log twenty or thirty steps,ARTICLE JJ NN CD CC CD NNS,a,great log,twenty or thirty,steps
388434,a dead spider five times,ARTICLE JJ NN CD NNS,a,dead spider,five,times
388668,a great many skiffs,ARTICLE JJ FEW NNS,a,great,many,skiffs
388982,a long twelve or fifteen minutes,ARTICLE JJ CD CC CD NNS,a,long,twelve or fifteen,minutes
390650,a career - high 20 starts,ARTICLE NN HYPH JJ CD NNS,a,career - high,20,starts
394798,a married man 40 years,ARTICLE JJ NN CD NNS,a,married man,40,years
401200,a whole candle and three or four pieces,ARTICLE JJ NN CC CD CC CD NNS,a,whole candle and,three or four,pieces
402649,"a little , three or four days","ARTICLE JJ , CD CC CD NNS",a,"little ,",three or four,days
402955,a steep clay hill twenty or thirty feet,ARTICLE JJ NN NN CD CC CD NNS,a,steep clay hill,twenty or thirty,feet
404724,an optional 48 bits,ARTICLE JJ CD NNS,an,optional,48,bits
405109,a great many desirable things,ARTICLE JJ FEW JJ NNS,a,great,many,desirable things
405355,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
405357,a great many more things,ARTICLE JJ FEW FEW NNS,a,great,many more,things
406685,a public service 2 nights,ARTICLE JJ NN CD NNS,a,public service,2,nights
412972,a half dozen buildings,ARTICLE JJ FEW NNS,a,half,dozen,buildings
413441,a great many disagreeable things,ARTICLE JJ FEW JJ NNS,a,great,many,disagreeable things
414367,"an estimated 50,000 spectators",ARTICLE VBN CD NNS,an,estimated,"50,000",spectators
414709,a record five times,ARTICLE RECORD CD NNS,a,record,five,times
415235,an atomic bomb test 10 years,ARTICLE JJ NN NN CD NNS,an,atomic bomb test,10,years
422094,an unheard - of 39 times,ARTICLE JJ HYPH JJ CD NNS,an,unheard - of,39,times
424372,an even 300 wins,ARTICLE JJ CD NNS,an,even,300,wins
424843,a record 11 straight postseason wins,ARTICLE RECORD CD JJ NN NNS,a,record,11,straight postseason wins
424861,a low APR score several seasons,ARTICLE JJ NN NN FEW NNS,a,low APR score,several,seasons
425642,"an estimated 4,000 people",ARTICLE VBN CD NNS,an,estimated,"4,000",people
430484,a good many tears,ARTICLE JJ FEW NNS,a,good,many,tears
431147,a great many hungry days,ARTICLE JJ FEW JJ NNS,a,great,many,hungry days
433980,an annual world convention and four symposia,ARTICLE JJ NN NN CC CD NNS,an,annual world convention and,four,symposia
434159,a full - time official eleven years,ARTICLE JJ HYPH NN NN CD NNS,a,full - time official,eleven,years
434527,a weekly basis two years,ARTICLE JJ NN CD NNS,a,weekly basis,two,years
434755,a further three fifties,ARTICLE JJ CD NNS,a,further,three,fifties
434954,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
435586,a great many shapes,ARTICLE JJ FEW NNS,a,great,many,shapes
436941,a record eight Players,ARTICLE RECORD CD NNPS,a,record,eight,Players
436950,a good many comforts,ARTICLE JJ FEW NNS,a,good,many,comforts
437232,an unprecedented five consecutive Grand,ARTICLE JJ CD JJ NNPS,an,unprecedented,five,consecutive Grand
440735,a good many little gifts,ARTICLE JJ FEW JJ NNS,a,good,many,little gifts
441862,a good many bitter tears,ARTICLE JJ FEW JJ NNS,a,good,many,bitter tears
444509,a great kingdom and three sons,ARTICLE JJ NN CC CD NNS,a,great kingdom and,three,sons
445951,a little body and two little hands,ARTICLE JJ NN CC CD JJ NNS,a,little body and,two,little hands
452023,"an additional 100,000 men",ARTICLE JJ CD NNS,an,additional,"100,000",men
457058,a good many hard times,ARTICLE JJ FEW JJ NNS,a,good,many,hard times
457169,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends
457254,a total 21 films,ARTICLE JJ CD NNS,a,total,21,films
462122,"a fine picture or two , a stand of flowers","ARTICLE JJ NN CC CD , ARTICLE NN IN NNS",a,,"two ,",a stand of flowers
464743,a giant triangle and three squares,ARTICLE JJ NN CC CD NNS,a,giant triangle and,three,squares
467322,a record 264 grade games,ARTICLE RECORD CD NN NNS,a,record,264,grade games
467939,a good many hard knocks,ARTICLE JJ FEW JJ NNS,a,good,many,hard knocks
471819,a record 58 goals,ARTICLE RECORD CD NNS,a,record,58,goals
476521,a grim papa and three grimmer maiden aunts,ARTICLE JJ NN CC CD JJR NN NNS,a,grim papa and,three,grimmer maiden aunts
480233,a good many miracles,ARTICLE JJ FEW NNS,a,good,many,miracles
481055,a mere 2 days,ARTICLE JJ CD NNS,a,mere,2,days
486266,a great many holidays,ARTICLE JJ FEW NNS,a,great,many,holidays
495188,a further 700 years,ARTICLE JJ CD NNS,a,further,700,years
506053,a protracted three or four years,ARTICLE JJ CD CC CD NNS,a,protracted,three or four,years
511111,a fine beast fourteen hands,ARTICLE JJ NN CD NNS,a,fine beast,fourteen,hands
511331,a record 14 years,ARTICLE RECORD CD NNS,a,record,14,years
517682,a fair and beloved wife and several lovely children,ARTICLE JJ CC JJ NN CC FEW JJ NNS,a,fair and beloved wife and,several,lovely children
518355,a paling six feet,ARTICLE JJ CD NNS,a,paling,six,feet
519587,a great many various stores,ARTICLE JJ FEW JJ NNS,a,great,many,various stores
519711,a record twelve national titles,ARTICLE RECORD CD JJ NNS,a,record,twelve,national titles
524206,a good many trials,ARTICLE JJ FEW NNS,a,good,many,trials
524450,an additional two years,ARTICLE JJ CD NNS,an,additional,two,years
541074,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
545161,an unheard - of 50 men,ARTICLE JJ HYPH JJ CD NNS,an,unheard - of,50,men
549224,a record seven times,ARTICLE RECORD CD NNS,a,record,seven,times
551416,a little town fifteen miles,ARTICLE JJ NN CD NNS,a,little town,fifteen,miles
554282,a new control system and more levels,ARTICLE JJ NN NN CC FEW NNS,a,new control system and,more,levels
554300,a poor lame wife and thirteen children,ARTICLE JJ JJ NN CC CD NNS,a,poor lame wife and,thirteen,children
555150,a great many petroglyphs,ARTICLE JJ FEW NNS,a,great,many,petroglyphs
555805,a great many masters,ARTICLE JJ FEW NNS,a,great,many,masters
556885,a great many dead bodies,ARTICLE JJ FEW JJ NNS,a,great,many,dead bodies
558281,a half dozen men,ARTICLE JJ FEW NNS,a,half,dozen,men
563535,a little provincial town three months,ARTICLE JJ JJ NN CD NNS,a,little provincial town,three,months
569678,an additional 2 miles,ARTICLE JJ CD NNS,an,additional,2,miles
571603,a measly thousand pounds,ARTICLE JJ CD NNS,a,measly,thousand,pounds
573585,"a reported 6,000 apartments",ARTICLE VBN CD NNS,a,reported,"6,000",apartments
575112,An estimated 15 % of citizens,ARTICLE VBN CD NN IN NNS,An,estimated,15,% of citizens
577024,a record four times,ARTICLE RECORD CD NNS,a,record,four,times
579655,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
579861,a career - high 8.7 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,8.7,points
580230,"a further 23,000 men",ARTICLE JJR CD NNS,a,further,"23,000",men
581081,"an extra 2,600 men",ARTICLE JJ CD NNS,an,extra,"2,600",men
581321,"a further 46,750 tons",ARTICLE JJ CD NNS,a,further,"46,750",tons
584500,"an additional 1,000 sorties",ARTICLE JJ CD NNS,an,additional,"1,000",sorties
591689,a cheap hall bedroom and two art lessons,ARTICLE JJ NN NN CC CD NN NNS,a,cheap hall bedroom and,two,art lessons
592091,a great many facts,ARTICLE JJ FEW NNS,a,great,many,facts
592465,a record 25 playoff games,ARTICLE RECORD CD NN NNS,a,record,25,playoff games
599547,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
601584,A great many local names,ARTICLE JJ FEW JJ NNS,A,great,many,local names
601658,a small plateau 1798 m,ARTICLE JJ NN CD NNS,a,small plateau,1798,m
606747,A half - dozen roughs,ARTICLE JJ HYPH FEW NNS,A,half -,dozen,roughs
606899,a career - best 220 wickets,ARTICLE NN HYPH JJ CD NNS,a,career - best,220,wickets
607049,a combined 18 weeks,ARTICLE VBN CD NNS,a,combined,18,weeks
608321,a fine eighteen months,ARTICLE JJ CD NNS,a,fine,eighteen,months
609189,A half - dozen postal cards,ARTICLE JJ HYPH FEW JJ NNS,A,half -,dozen,postal cards
616060,A half - dozen sailors,ARTICLE JJ HYPH FEW NNS,A,half -,dozen,sailors
619017,"a collective 8,000 spots",ARTICLE JJ CD NNS,a,collective,"8,000",spots
622773,a difficult question sentence answer sentence question sentence length three marks,ARTICLE JJ NN NN NN NN NN NN NN CD NNS,a,difficult question sentence answer sentence question sentence length,three,marks
626784,a half dozen ragged porters,ARTICLE JJ FEW JJ NNS,a,half,dozen,ragged porters
629698,a further 11 goals,ARTICLE JJ CD NNS,a,further,11,goals
629791,a half dozen years,ARTICLE JJ FEW NNS,a,half,dozen,years
630595,an estimated 250 million phonograph records,ARTICLE VBN CD CD NN NNS,an,estimated,250 million,phonograph records
632815,a half - dozen armlets,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,armlets
634169,a record 50 points,ARTICLE RECORD CD NNS,a,record,50,points
634562,a combined 319 yards,ARTICLE JJ CD NNS,a,combined,319,yards
637382,a second one eighteen months,ARTICLE JJ NN CD NNS,a,second one,eighteen,months
638444,a prominent hill 1.5 miles,ARTICLE JJ NN CD NNS,a,prominent hill,1.5,miles
639201,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
639812,a good many people,ARTICLE JJ FEW NNS,a,good,many,people
643629,an international 60 metres,ARTICLE JJ CD NNS,an,international,60,metres
647892,a further four years,ARTICLE JJ CD NNS,a,further,four,years
649647,a vast many smart beaux,ARTICLE JJ FEW JJ NNS,a,vast,many,smart beaux
649710,a combined 20 league games,ARTICLE VBN CD NN NNS,a,combined,20,league games
655855,An estimated 500 settlers,ARTICLE VBN CD NNS,An,estimated,500,settlers
659440,a great many conquests,ARTICLE JJ FEW NNS,a,great,many,conquests
659461,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
661854,a further eight motor coaches,ARTICLE JJ CD NN NNS,a,further,eight,motor coaches
674688,a record 67 doubles,ARTICLE RECORD CD NNS,a,record,67,doubles
676196,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
676623,a high school and several other institutions,ARTICLE JJ NN CC FEW JJ NNS,a,high school and,several,other institutions
679288,an estimated 660 000 deaths,ARTICLE VBN CD CD NNS,an,estimated,660 000,deaths
680569,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
683041,a good many people,ARTICLE JJ FEW NNS,a,good,many,people
683397,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
684417,a good many gallons,ARTICLE JJ FEW NNS,a,good,many,gallons
684595,a great many ways,ARTICLE JJ FEW NNS,a,great,many,ways
685098,a good many snobs,ARTICLE JJ FEW NNS,a,good,many,snobs
686286,A good many people,ARTICLE JJ FEW NNS,A,good,many,people
689299,an additional 700 miles,ARTICLE JJ CD NNS,an,additional,700,miles
690564,a great many years,ARTICLE JJ FEW NNS,a,great,many,years
690769,a recumbent half - moon and two stars,ARTICLE JJ JJ HYPH NN CC CD NNS,a,recumbent half - moon and,two,stars
691359,"an estimated one hundred and sixty three , six forty pounds","ARTICLE VBN CD CD CC CD CD , CD CD NNS",an,estimated,"one hundred and sixty three , six forty",pounds
692650,a great many times,ARTICLE JJ FEW NNS,a,great,many,times
693440,a great many other things,ARTICLE JJ FEW JJ NNS,a,great,many,other things
699298,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
700170,an extra eleven million pounds,ARTICLE JJ CD CD NNS,an,extra,eleven million,pounds
