sentence_idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
7478539,a little bit more freedom for women,ARTICLE JJ NN FEW NN IN NNS,a,little bit,more,freedom for women,34,0.5098039215686274
7619325,a little bit more remote areas,ARTICLE JJ NN FEW JJ NNS,a,little bit,more,remote areas,34,0.5098039215686274
8392908,a whole lot more people,ARTICLE JJ NN FEW NNS,a,whole lot,more,people,34,0.5098039215686274
9081747,a full er and more patients,ARTICLE JJ NN CC FEW NNS,a,full er and,more,patients,34,0.5098039215686274
9853105,a whole lot more customers,ARTICLE JJ NN FEW NNS,a,whole lot,more,customers,34,0.5098039215686274
10142808,a little more places,ARTICLE JJ FEW NNS,a,little,more,places,34,0.5098039215686274
10906344,a little more hands,ARTICLE JJ FEW NNS,a,little,more,hands,34,0.5098039215686274
58320,an estimated 20 % of children,ARTICLE VBN CD NN IN NNS,An,estimated,20,% of children,32,0.5228758169934641
111512,a career - high 20 goals,ARTICLE NN HYPH JJ CD NNS,a,career - high,20,goals,32,0.5228758169934641
360882,a record seven times,ARTICLE RECORD CD NNS,a,record,seven,times,32,0.5359477124183006
381428,a very young 20 years,ARTICLE RB JJ CD NNS,a,very young,20,years,32,0.5228758169934641
390650,a career - high 20 starts,ARTICLE NN HYPH JJ CD NNS,a,career - high,20,starts,32,0.5228758169934641
549224,a record seven times,ARTICLE RECORD CD NNS,a,record,seven,times,32,0.5359477124183006
649710,a combined 20 league games,ARTICLE VBN CD NN NNS,a,combined,20,league games,32,0.5228758169934641
755444,a tournament - best seven goals,ARTICLE NN HYPH JJS CD NNS,a,tournament - best,seven,goals,32,0.5359477124183006
800215,an additional seven awards,ARTICLE JJ CD NNS,An,additional,seven,awards,32,0.5359477124183006
968836,a career - high seven tackles,ARTICLE NN HYPH JJ CD NNS,a,career - high,seven,tackles,32,0.5359477124183006
1083946,a further seven taxa,ARTICLE JJ CD NNS,A,further,seven,taxa,32,0.5359477124183006
1085629,a season - high seven combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,seven,combined tackles,32,0.5359477124183006
1085641,a season - high seven combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,seven,combined tackles,32,0.5359477124183006
1104143,a career - best 20 games,ARTICLE NN HYPH JJ CD NNS,a,career - best,20,games,32,0.5228758169934641
1125271,an estimated 20 acres,ARTICLE VBN CD NNS,an,estimated,20,acres,32,0.5228758169934641
1257167,a good 20 minutes,ARTICLE JJ CD NNS,a,good,20,minutes,32,0.5228758169934641
1292132,an intensive 20 hours,ARTICLE JJ CD NNS,an,intensive,20,hours,32,0.5228758169934641
1362853,a full seven minutes,ARTICLE JJ CD NNS,a,full,seven,minutes,32,0.5359477124183006
1486939,a good seven minutes,ARTICLE JJ CD NNS,a,good,seven,minutes,32,0.5359477124183006
1495512,an additional 20 years,ARTICLE JJ CD NNS,an,additional,20,years,32,0.5228758169934641
1495557,an additional 20 years,ARTICLE JJ CD NNS,an,additional,20,years,32,0.5228758169934641
1810121,a mere 20 years,ARTICLE JJ CD NNS,a,mere,20,years,32,0.5228758169934641
1857828,a further seven years,ARTICLE JJ CD NNS,a,further,seven,years,32,0.5359477124183006
1929068,a good seven hours,ARTICLE JJ CD NNS,a,good,seven,hours,32,0.5359477124183006
2035319,a further seven years,ARTICLE JJ CD NNS,a,further,seven,years,32,0.5359477124183006
2307348,a further seven boats,ARTICLE JJ CD NNS,A,further,seven,boats,32,0.5359477124183006
2539798,a mere seven episodes,ARTICLE JJ CD NNS,a,mere,seven,episodes,32,0.5359477124183006
2630042,a record seven times,ARTICLE RECORD CD NNS,a,record,seven,times,32,0.5359477124183006
2675129,a record seven editions,ARTICLE RECORD CD NNS,a,record,seven,editions,32,0.5359477124183006
2697858,a further 20 francs,ARTICLE JJ CD NNS,a,further,20,francs,32,0.5228758169934641
2814123,a further 20 engines,ARTICLE JJ CD NNS,a,further,20,engines,32,0.5228758169934641
2814369,a full 20 engines,ARTICLE JJ CD NNS,A,full,20,engines,32,0.5228758169934641
2950863,a further seven islands,ARTICLE JJ CD NNS,a,further,seven,islands,32,0.5359477124183006
3041113,a similar drought seven years,ARTICLE JJ NN CD NNS,a,similar drought,seven,years,32,0.5359477124183006
3213927,a mere 20 years,ARTICLE JJ CD NNS,a,mere,20,years,32,0.5228758169934641
3893758,a good seven inches,ARTICLE JJ CD NNS,a,good,seven,inches,32,0.5359477124183006
3920890,a full seven days,ARTICLE JJ CD NNS,a,full,seven,days,32,0.5359477124183006
3983863,a record 20 rounds,ARTICLE RECORD CD NNS,a,record,20,rounds,32,0.5228758169934641
4063574,an official holiday seven states,ARTICLE JJ NN CD NNS,an,official holiday,seven,states,32,0.5359477124183006
4190764,a regular edition and 20 songs,ARTICLE JJ NN CC CD NNS,a,regular edition and,20,songs,32,0.5228758169934641
4415263,an additional seven trains,ARTICLE JJ CD NNS,An,additional,seven,trains,32,0.5359477124183006
4546718,another rude shock seven minutes,ARTICLE JJ NN CD NNS,another,rude shock,seven,minutes,32,0.5359477124183006
4698804,a good seven miles,ARTICLE JJ CD NNS,a,good,seven,miles,32,0.5359477124183006
4835063,a wealthy tobacco planter 20 years,ARTICLE JJ NN NN CD NNS,a,wealthy tobacco planter,20,years,32,0.5228758169934641
5162977,a mere seven years,ARTICLE JJ CD NNS,a,mere,seven,years,32,0.5359477124183006
5245216,a further seven children,ARTICLE JJ CD NNS,a,further,seven,children,32,0.5359477124183006
5313857,an additional 20 warships,ARTICLE JJ CD NNS,an,additional,20,warships,32,0.5228758169934641
5354520,a mere 20 cm,ARTICLE JJ CD NNS,a,mere,20,cm,32,0.5228758169934641
6516314,a gentle 20 miles,ARTICLE JJ CD NNS,a,gentle,20,miles,32,0.5228758169934641
6525014,a gentle 20 miles,ARTICLE JJ CD NNS,a,gentle,20,miles,32,0.5228758169934641
7278978,a record 20 titles,ARTICLE RECORD CD NNS,a,record,20,titles,32,0.5228758169934641
7285256,an independent company seven years,ARTICLE JJ NN CD NNS,an,independent company,seven,years,32,0.5359477124183006
7690635,-a mere seven days,ARTICLE JJ CD NNS,-A,mere,seven,days,32,0.5359477124183006
8432538,a mere seven days,ARTICLE JJ CD NNS,a,mere,seven,days,32,0.5359477124183006
8690779,an interesting first 20 minutes,ARTICLE JJ JJ CD NNS,an,interesting first,20,minutes,32,0.5228758169934641
8692704,an interesting first 20 minutes,ARTICLE JJ JJ CD NNS,an,interesting first,20,minutes,32,0.5228758169934641
8896317,a good 20 minutes,ARTICLE JJ CD NNS,a,good,20,minutes,32,0.5228758169934641
9395829,a good 20 minutes,ARTICLE JJ CD NNS,a,good,20,minutes,32,0.5228758169934641
9944171,an extra 20 bucks,ARTICLE JJ CD NNS,an,extra,20,bucks,32,0.5228758169934641
10435750,a mere seven years,ARTICLE JJ CD NNS,a,mere,seven,years,32,0.5359477124183006
11055721,a vast strip 20 miles,ARTICLE JJ NN CD NNS,a,vast strip,20,miles,32,0.5228758169934641
11056005,a lousy seven seconds,ARTICLE JJ CD NNS,a,lousy,seven,seconds,32,0.5359477124183006
11263340,a mere 20 taels,ARTICLE JJ CD NNS,a,mere,20,taels,32,0.5228758169934641
11265091,a mere 20 taels,ARTICLE JJ CD NNS,a,mere,20,taels,32,0.5228758169934641
204737,a miniature sleigh and eight tiny reindeer,ARTICLE JJ NN CC CD JJ NNS,a,miniature sleigh and,eight,tiny reindeer,30,0.548202614379085
275060,a constant sometimes eight colors,ARTICLE JJ RB CD NNS,a,constant sometimes,eight,colors,30,0.548202614379085
296380,a good eight minutes,ARTICLE JJ CD NNS,a,good,eight,minutes,30,0.548202614379085
436941,a record eight players,ARTICLE RECORD CD NNPS,a,record,eight,players,30,0.548202614379085
661854,a further eight motor coaches,ARTICLE JJ CD NN NNS,a,further,eight,motor coaches,30,0.548202614379085
778896,a record eight consecutive stages,ARTICLE RECORD CD JJ NNS,a,record,eight,consecutive stages,30,0.548202614379085
868864,a large waggon and eight horses,ARTICLE JJ NN CC CD NNS,a,large waggon and,eight,horses,30,0.548202614379085
965975,an additional eight strings,ARTICLE JJ CD NNS,an,additional,eight,strings,30,0.548202614379085
1487488,a local nursing home eight days,ARTICLE JJ NN NN CD NNS,a,local nursing home,eight,days,30,0.548202614379085
1651742,an additional eight seasons,ARTICLE JJ CD NNS,an,additional,eight,seasons,30,0.548202614379085
1792370,a final eight games,ARTICLE JJ CD NNS,a,final,eight,games,30,0.548202614379085
2161061,a mere eight months,ARTICLE JJ CD NNS,a,mere,eight,months,30,0.548202614379085
2183668,an additional eight weeks,ARTICLE JJ CD NNS,an,additional,eight,weeks,30,0.548202614379085
2194512,a local celebrity eight years,ARTICLE JJ NN CD NNS,a,local celebrity,eight,years,30,0.548202614379085
2436308,a long eight years,ARTICLE JJ CD NNS,a,long,eight,years,30,0.548202614379085
2535449,a record eight times,ARTICLE RECORD CD NNS,a,record,eight,times,30,0.548202614379085
2732333,a record eight times,ARTICLE RECORD CD NNS,a,record,eight,times,30,0.548202614379085
4243253,a further eight years,ARTICLE JJ CD NNS,a,further,eight,years,30,0.548202614379085
4517652,an old - world hamlet eight miles,ARTICLE JJ HYPH NN NN CD NNS,an,old - world hamlet,eight,miles,30,0.548202614379085
5245221,a mere eight months,ARTICLE JJ CD NNS,a,mere,eight,months,30,0.548202614379085
5463478,an orange circle eight times,ARTICLE JJ NN CD NNS,an,orange circle,eight,times,30,0.548202614379085
5538374,a record eight seasons,ARTICLE RECORD CD NNS,a,record,eight,seasons,30,0.548202614379085
5780863,a full eight feet,ARTICLE JJ CD NNS,a,full,eight,feet,30,0.548202614379085
6095964,a fair coin eight times,ARTICLE JJ NN CD NNS,a,fair coin,eight,times,30,0.548202614379085
6096031,a fair coin eight times,ARTICLE JJ NN CD NNS,a,fair coin,eight,times,30,0.548202614379085
7175737,a very thrillingly impressive eight points,ARTICLE RB RB JJ CD NNS,a,very thrillingly impressive,eight,points,30,0.548202614379085
9113247,a good eight months,ARTICLE JJ CD NNS,a,good,eight,months,30,0.548202614379085
9658277,an additional eight months,ARTICLE JJ CD NNS,an,additional,eight,months,30,0.548202614379085
9659217,an additional eight months,ARTICLE JJ CD NNS,an,additional,eight,months,30,0.548202614379085
9660190,an additional eight months,ARTICLE JJ CD NNS,an,additional,eight,months,30,0.548202614379085
83662,a career - high 30 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,30,points,26,0.5588235294117647
229503,a distant 30 games,ARTICLE JJ CD NNS,a,distant,30,games,26,0.5588235294117647
791649,an audacious shot 30 yards,ARTICLE JJ NN CD NNS,an,audacious shot,30,yards,26,0.5588235294117647
882136,a personal best 30 rebounds,ARTICLE JJ JJS CD NNS,a,personal best,30,rebounds,26,0.5588235294117647
918182,an impressive 30 appearances,ARTICLE JJ CD NNS,an,impressive,30,appearances,26,0.5588235294117647
1122769,a career - high 30 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,30,points,26,0.5588235294117647
1571540,an optimum 30 degrees,ARTICLE JJ CD NNS,an,optimum,30,degrees,26,0.5588235294117647
1613896,an additional 30 years,ARTICLE JJ CD NNS,an,additional,30,years,26,0.5588235294117647
3546185,an estimated 30 movies,ARTICLE VBN CD NNS,an,estimated,30,movies,26,0.5588235294117647
3560950,an extra 30 minutes,ARTICLE JJ CD NNS,an,extra,30,minutes,26,0.5588235294117647
3815115,an extra 30 seconds,ARTICLE JJ CD NNS,An,extra,30,seconds,26,0.5588235294117647
3815119,an extra 30 seconds,ARTICLE JJ CD NNS,An,extra,30,seconds,26,0.5588235294117647
5641710,a further 30 orders,ARTICLE JJ CD NNS,a,further,30,orders,26,0.5588235294117647
5653722,a loud speaker 30 minutes,ARTICLE JJ NN CD NNS,a,loud speaker,30,minutes,26,0.5588235294117647
6109186,an extra 30 minutes,ARTICLE JJ CD NNS,an,extra,30,minutes,26,0.5588235294117647
7318981,"a little , maybe 30 days","ARTICLE JJ , RB CD NNS",A,"little , maybe",30,days,26,0.5588235294117647
8267897,a lovely suit 30 pounds,ARTICLE JJ NN CD NNS,a,lovely suit,30,pounds,26,0.5588235294117647
8880671,an extra 30 minutes,ARTICLE JJ CD NNS,an,extra,30,minutes,26,0.5588235294117647
9028739,an extra 30 seconds,ARTICLE JJ CD NNS,an,extra,30,seconds,26,0.5588235294117647
9245453,a full 30 seconds,ARTICLE JJ CD NNS,a,full,30,seconds,26,0.5588235294117647
9454971,a good 30 minutes,ARTICLE JJ CD NNS,a,good,30,minutes,26,0.5588235294117647
9645517,a good 30 days,ARTICLE JJ CD NNS,a,good,30,days,26,0.5588235294117647
10534588,a fuckin ' 30 days,ARTICLE JJ JJ CD NNS,a,fuckin ',30,days,26,0.5588235294117647
11290080,a good 30 seconds,ARTICLE JJ CD NNS,a,good,30,seconds,26,0.5588235294117647
11404197,a whopping 30 metres,ARTICLE JJ CD NNS,a,whopping,30,metres,26,0.5588235294117647
11524682,a massive 30 metres,ARTICLE JJ CD NNS,a,massive,30,metres,26,0.5588235294117647
415235,an atomic bomb test 10 years,ARTICLE JJ NN NN CD NNS,an,atomic bomb test,10,years,24,0.5686274509803921
1639950,a further 10 years,ARTICLE JJR CD NNS,a,further,10,years,24,0.5686274509803921
2115824,an estimated 10 casualties,ARTICLE VBN CD NNS,an,estimated,10,casualties,24,0.5686274509803921
2395104,an initial 10 years,ARTICLE JJ CD NNS,an,initial,10,years,24,0.5686274509803921
2584980,a record 10 catches,ARTICLE RECORD CD NNS,a,record,10,catches,24,0.5686274509803921
2721584,a quick 10 days,ARTICLE JJ CD NNS,a,quick,10,days,24,0.5686274509803921
2862795,an estimated 10 times,ARTICLE VBN CD NNS,an,estimated,10,times,24,0.5686274509803921
4299759,a good 10 years,ARTICLE JJ CD NNS,a,good,10,years,24,0.5686274509803921
4304057,a good 10 years,ARTICLE JJ CD NNS,a,good,10,years,24,0.5686274509803921
5133802,a good 10 years,ARTICLE JJ CD NNS,a,good,10,years,24,0.5686274509803921
5403656,an additional 10 tons,ARTICLE JJ CD NNS,an,additional,10,tons,24,0.5686274509803921
5413096,a further 10 yards,ARTICLE JJ CD NNS,a,further,10,yards,24,0.5686274509803921
6671034,a full 10 seconds,ARTICLE JJ CD NNS,a,full,10,seconds,24,0.5686274509803921
7395196,a good 10 years,ARTICLE JJ CD NNS,a,good,10,years,24,0.5686274509803921
7730675,a mere 10 days,ARTICLE JJ CD NNS,A,mere,10,days,24,0.5686274509803921
7856497,a great 10 months,ARTICLE JJ CD NNS,a,great,10,months,24,0.5686274509803921
8228359,a staggering 10 years,ARTICLE JJ CD NNS,a,staggering,10,years,24,0.5686274509803921
8319371,a deceased donor kidney transplant 10 years,ARTICLE JJ NN NN NN CD NNS,a,deceased donor kidney transplant,10,years,24,0.5686274509803921
9579261,a good 10 minutes,ARTICLE JJ CD NNS,a,good,10,minutes,24,0.5686274509803921
9580072,a good 10 minutes,ARTICLE JJ CD NNS,a,good,10,minutes,24,0.5686274509803921
9638346,a senior citizen 10 feet,ARTICLE JJ NN CD NNS,a,senior citizen,10,feet,24,0.5686274509803921
9832702,an extra 10 pounds,ARTICLE JJ CD NNS,an,extra,10,pounds,24,0.5686274509803921
10784925,a crashed ship 10 years,ARTICLE VBN NN CD NNS,a,crashed ship,10,years,24,0.5686274509803921
10872829,a lousy 10 bucks,ARTICLE JJ CD NNS,a,lousy,10,bucks,24,0.5686274509803921
40066,a career - high 15 strikeouts,ARTICLE NN HYPH JJ CD NNS,a,career - high,15,strikeouts,22,0.5776143790849673
229447,a full 15 games,ARTICLE JJ CD NNS,a,full,15,games,22,0.5776143790849673
575112,an estimated 15 % of citizens,ARTICLE VBN CD NN IN NNS,An,estimated,15,% of citizens,22,0.5776143790849673
1104938,a further 15 games,ARTICLE JJ CD NNS,a,further,15,games,22,0.5776143790849673
1266128,a record 15 cautions,ARTICLE RECORD CD NNS,a,record,15,cautions,22,0.5776143790849673
1295945,a small township 15 minutes,ARTICLE JJ NN CD NNS,a,small township,15,minutes,22,0.5776143790849673
1384107,a combined 15 points,ARTICLE JJ CD NNS,a,combined,15,points,22,0.5776143790849673
1601049,a little village 15 kilometres,ARTICLE JJ NN CD NNS,a,little village,15,kilometres,22,0.5776143790849673
2064184,a double - double 15 points,ARTICLE JJ HYPH NN CD NNS,a,double - double,15,points,22,0.5776143790849673
2212824,a located circa 15 kilometers,ARTICLE VBN RB CD NNS,a,located circa,15,kilometers,22,0.5776143790849673
3711916,an unexpected 15 points,ARTICLE JJ CD NNS,an,unexpected,15,points,22,0.5776143790849673
5465828,an estimated 15 tons,ARTICLE VBN CD NNS,an,estimated,15,tons,22,0.5776143790849673
6810085,a full 15 members,ARTICLE JJ CD NNS,a,full,15,members,22,0.5776143790849673
6857738,a full 15 feet,ARTICLE JJ CD NNS,a,full,15,feet,22,0.5776143790849673
6999738,a good 15 minutes,ARTICLE JJ CD NNS,a,good,15,minutes,22,0.5776143790849673
7009269,an extra 15 pounds,ARTICLE JJ CD NNS,an,extra,15,pounds,22,0.5776143790849673
7025678,a certain prefix and 15 digits,ARTICLE JJ NN CC CD NNS,a,certain prefix and,15,digits,22,0.5776143790849673
7862152,an extra 15 minutes,ARTICLE JJ CD NNS,an,extra,15,minutes,22,0.5776143790849673
8454321,a measly 15 minutes,ARTICLE JJ CD NNS,a,measly,15,minutes,22,0.5776143790849673
9176384,an emotional farewell 15 years,ARTICLE JJ NN CD NNS,an,emotional farewell,15,years,22,0.5776143790849673
9305109,an extra 15 minutes,ARTICLE JJ CD NNS,an,extra,15,minutes,22,0.5776143790849673
10673299,a full 15 seconds,ARTICLE JJ CD NNS,a,full,15,seconds,22,0.5776143790849673
3507533,a hard couple days,ARTICLE JJ FEW NNS,a,hard,couple,days,17,0.5845588235294118
3507536,a hard couple years,ARTICLE JJ FEW NNS,a,hard,couple,years,17,0.5845588235294118
3511019,a hard couple days,ARTICLE JJ FEW NNS,a,hard,couple,days,17,0.5845588235294118
3511022,a hard couple years,ARTICLE JJ FEW NNS,a,hard,couple,years,17,0.5845588235294118
3514623,a hard couple days,ARTICLE JJ FEW NNS,a,hard,couple,days,17,0.5845588235294118
3514626,a hard couple years,ARTICLE JJ FEW NNS,a,hard,couple,years,17,0.5845588235294118
4084634,a rough couple days,ARTICLE JJ FEW NNS,a,rough,couple,days,17,0.5845588235294118
6075168,a great last couple years,ARTICLE JJ JJ FEW NNS,a,great last,couple,years,17,0.5845588235294118
7681627,a rough couple days,ARTICLE JJ FEW NNS,a,rough,couple,days,17,0.5845588235294118
8299778,a really hard last couple days,ARTICLE RB JJ JJ FEW NNS,a,really hard last,couple,days,17,0.5845588235294118
8393158,a good couple years,ARTICLE JJ FEW NNS,a,good,couple,years,17,0.5845588235294118
8408989,a crazy couple days,ARTICLE JJ FEW NNS,a,crazy,couple,days,17,0.5845588235294118
8444125,a tumultuous couple years,ARTICLE JJ FEW NNS,a,tumultuous,couple,years,17,0.5845588235294118
9063803,a rough couple weeks,ARTICLE JJ FEW NNS,a,rough,couple,weeks,17,0.5845588235294118
9495273,a wild couple a days,ARTICLE JJ FEW ARTICLE NNS,a,NA,couple,a days,17,0.5845588235294118
9582887,a rough couple days,ARTICLE JJ FEW NNS,a,rough,couple,days,17,0.5845588235294118
9583510,a rough couple days,ARTICLE JJ FEW NNS,a,rough,couple,days,17,0.5845588235294118
324283,a twinkling twenty miles,ARTICLE JJ CD NNS,a,twinkling,twenty,miles,16,0.5910947712418301
805856,a confirmed drunkard twenty years,ARTICLE VBN NN CD NNS,a,confirmed drunkard,twenty,years,16,0.5910947712418301
897449,a round twenty years,ARTICLE JJ CD NNS,a,round,twenty,years,16,0.5910947712418301
1398519,a brand new baby twenty years,ARTICLE RB JJ NN CD NNS,a,brand new baby,twenty,years,16,0.5910947712418301
2120410,a mere twenty years,ARTICLE JJ CD NNS,a,mere,twenty,years,16,0.5910947712418301
2163799,a very very long twenty odd minutes,ARTICLE RB RB JJ CD JJ NNS,a,very very long,twenty,odd minutes,16,0.5910947712418301
2249565,an additional twenty venues,ARTICLE JJ CD NNS,an,additional,twenty,venues,16,0.5910947712418301
3020125,a further twenty feet,ARTICLE JJ CD NNS,a,further,twenty,feet,16,0.5910947712418301
3354595,an extra twenty minutes,ARTICLE JJ CD NNS,an,extra,twenty,minutes,16,0.5910947712418301
4126635,a mere twenty pe pence,ARTICLE JJ CD NN NNS,a,mere,twenty,pe pence,16,0.5910947712418301
4400929,a sudden illness twenty years,ARTICLE JJ NN CD NNS,a,sudden illness,twenty,years,16,0.5910947712418301
5167567,a full twenty years,ARTICLE JJ CD NNS,a,full,twenty,years,16,0.5910947712418301
5972885,a little launch tack twenty miles,ARTICLE JJ NN NN CD NNS,a,little launch tack,twenty,miles,16,0.5910947712418301
6736969,an extra twenty quid,ARTICLE JJ CD NNS,an,extra,twenty,quid,16,0.5910947712418301
7633510,a total twenty fractions,ARTICLE JJ CD NNS,a,total,twenty,fractions,16,0.5910947712418301
11547428,a major fight twenty years,ARTICLE JJ NN CD NNS,a,major fight,twenty,years,16,0.5910947712418301
308631,a further nine years,ARTICLE JJ CD NNS,a,further,nine,years,14,0.6025326797385621
545161,an unheard - of 50 men,ARTICLE JJ HYPH JJ CD NNS,an,unheard - of,50,men,14,0.5968137254901961
634169,a record 50 points,ARTICLE RECORD CD NNS,a,record,50,points,14,0.5968137254901961
996623,a vague idea 50 years,ARTICLE JJ NN CD NNS,a,vague idea,50,years,14,0.5968137254901961
1038906,a combined nine points,ARTICLE VBN CD NNS,a,combined,nine,points,14,0.6025326797385621
1061024,an additional nine seconds,ARTICLE JJ CD NNS,an,additional,nine,seconds,14,0.6025326797385621
1085676,a career - high nine combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,career - high,nine,combined tackles,14,0.6025326797385621
2104608,a further nine retrograde steps,ARTICLE JJ CD JJ NNS,a,further,nine,retrograde steps,14,0.6025326797385621
2549130,a record nine times,ARTICLE RECORD CD NNS,a,record,nine,times,14,0.6025326797385621
2607046,an estimated nine years,ARTICLE VBN CD NNS,an,estimated,nine,years,14,0.6025326797385621
3047539,a new 50 inches,ARTICLE JJ CD NNS,a,new,50,inches,14,0.5968137254901961
3622792,a whole 50 cents,ARTICLE JJ CD NNS,a,whole,50,cents,14,0.5968137254901961
3980265,a small town nine kilometres,ARTICLE JJ NN CD NNS,a,small town,nine,kilometres,14,0.6025326797385621
4617142,an earlier time slot and nine new episodes,ARTICLE JJR NN NN CC CD JJ NNS,an,earlier time slot and,nine,new episodes,14,0.6025326797385621
4666168,an agonising first nine years,ARTICLE JJ JJ CD NNS,An,agonising first,nine,years,14,0.6025326797385621
5352618,a team - high nine tackles,ARTICLE NN HYPH JJ CD NNS,a,team - high,nine,tackles,14,0.6025326797385621
5424659,a bloated body nine months,ARTICLE JJ NN CD NNS,a,bloated body,nine,months,14,0.6025326797385621
5566682,an additional 50 liters,ARTICLE JJ CD NNS,an,additional,50,liters,14,0.5968137254901961
7055886,a negative 50 degrees,ARTICLE JJ CD NNS,a,negative,50,degrees,14,0.5968137254901961
7273534,an extra nine storeys,ARTICLE JJ CD NNS,an,extra,nine,storeys,14,0.6025326797385621
7274813,a great sin 50 pounds,ARTICLE JJ NN CD NNS,a,great sin,50,pounds,14,0.5968137254901961
7274848,an american organization 50 ethiopians,ARTICLE JJ NN CD NNPS,an,american organization,50,ethiopians,14,0.5968137254901961
9096012,a disappointing 50 ounces,ARTICLE JJ CD NNS,a,disappointing,50,ounces,14,0.5968137254901961
10476124,an extra 50 quid,ARTICLE JJ CD NNS,an,extra,50,quid,14,0.5968137254901961
10567796,a big nine inch nails,ARTICLE JJ CD NN NNS,a,big,nine,inch nails,14,0.6025326797385621
11055407,a constant minus 50 degrees,ARTICLE JJ JJ CD NNS,a,constant minus,50,degrees,14,0.5968137254901961
11195967,a beggarly 50 pounds,ARTICLE JJ CD NNS,a,beggarly,50,pounds,14,0.5968137254901961
11451260,a good 50 years,ARTICLE JJ CD NNS,a,good,50,years,14,0.5968137254901961
406685,a public service 2 nights,ARTICLE JJ NN CD NNS,a,public service,2,nights,13,0.6078431372549019
481055,a mere 2 days,ARTICLE JJ CD NNS,a,mere,2,days,13,0.6078431372549019
569678,an additional 2 miles,ARTICLE JJ CD NNS,an,additional,2,miles,13,0.6078431372549019
971038,a different color-- 2 times,ARTICLE JJ NN CD NNS,a,different color--,2,times,13,0.6078431372549019
2888078,an anti - tetanus injection 2 weeks,ARTICLE JJ JJ JJ NN CD NNS,an,anti - tetanus injection,2,weeks,13,0.6078431372549019
2918043,a quick 2 minutes,ARTICLE JJ CD NNS,a,quick,2,minutes,13,0.6078431372549019
