idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
117952,a further three charges,ARTICLE JJ CD NNS,a,further,three,charges,1,0.5494281045751634
121793,an extra two and a half hours,ARTICLE JJ CD CC ARTICLE NN NNS,a,NA,two and,a half hours,1,0.9991830065359477
129427,a great many little earth,ARTICLE JJ FEW JJ NNS,a,great,many,little earth,1,0.6446078431372549
131301,a large head and two thick ears,ARTICLE JJ NN CC CD JJ NNS,a,large head and,two,thick ears,1,0.7201797385620915
132365,a great deal more stamping of feet,ARTICLE JJ NN FEW NN IN NNS,a,great deal,more,stamping of feet,1,0.6736111111111112
136087,a great many sparrows,ARTICLE JJ FEW NNS,a,great,many,sparrows,1,0.6605392156862745
136989,a full four stars,ARTICLE JJ CD NNS,a,full,four,stars,1,0.5040849673202614
140934,a great festival three days,ARTICLE JJ NN CD NNS,a,great festival,three,days,1,0.6740196078431373
144287,a great many other weapons,ARTICLE JJ FEW JJ NNS,a,great,many,other weapons,1,0.6527777777777778
144993,a great many rajas,ARTICLE JJ FEW NNPS,A,great,many,rajas,1,0.6568627450980392
156403,a great many kings,ARTICLE JJ FEW NNPS,A,great,many,kings,1,0.6425653594771242
156938,a great many sepoys,ARTICLE JJ FEW NNS,a,great,many,sepoys,1,0.6580882352941176
162483,a whole forty five minutes,ARTICLE JJ CD CD NNS,a,whole,forty five,minutes,1,0.9844771241830066
164678,a record 26 times,ARTICLE RECORD CD NNS,a,record,26,times,1,0.8578431372549019
165613,a great many pieces,ARTICLE JJ FEW NNS,a,great,many,pieces,1,0.6548202614379085
169271,a great many slippers,ARTICLE JJ FEW NNS,a,great,many,slippers,1,0.6601307189542484
175893,a very impressive 32 goals,ARTICLE RB JJ CD NNS,a,very impressive,32,goals,1,0.9726307189542484
182028,a further ten frames,ARTICLE JJ CD NNS,a,further,ten,frames,1,0.5469771241830066
183850,a future four lands,ARTICLE JJ CD NNPS,a,future,four,lands,1,0.5616830065359477
186938,a mere nineteen lines,ARTICLE JJ CD NNS,a,mere,nineteen,lines,1,0.7839052287581699
189145,"a new 10,000 m",ARTICLE JJ CD NNS,a,new,"10,000",m,1,0.8002450980392157
189241,a standard three or four sheets,ARTICLE JJ CD CC CD NNS,a,standard,three or four,sheets,1,0.9313725490196079
193686,a separate one thousand five hundred pounds,ARTICLE JJ CD CD CD CD NNS,a,separate,one thousand five hundred,pounds,1,0.9031862745098039
204737,a miniature sleigh and eight tiny reindeer,ARTICLE JJ NN CC CD JJ NNS,a,miniature sleigh and,eight,tiny reindeer,1,0.7904411764705882
207905,a nationally known icon and many businesses,ARTICLE RB VBN NN CC FEW NNS,a,nationally known icon and,many,businesses,1,0.798202614379085
214928,a great many more mice,ARTICLE JJ FEW FEW NNPS,a,great,many more,mice,1,0.6695261437908496
215963,a good forty minutes,ARTICLE JJ CD NNS,a,good,forty,minutes,1,0.5808823529411765
217172,a round dozen blocks,ARTICLE JJ FEW NNS,a,round,dozen,blocks,1,0.880718954248366
220064,a petty officer and four seamen,ARTICLE JJ NN CC CD NNS,a,petty officer and,four,seamen,1,0.8251633986928104
223653,a good many cross,ARTICLE JJ FEW NNS,a,good,many,cross,1,0.5857843137254902
234129,a great many hits,ARTICLE JJ FEW NNS,a,great,many,hits,1,0.6397058823529411
259194,a young soldier and two women,ARTICLE JJ NN CC CD NNS,a,young soldier and,two,women,1,0.9967320261437909
261780,a great many brains,ARTICLE JJ FEW NNS,a,great,many,brains,1,0.6258169934640523
265405,a great many pins,ARTICLE JJ FEW NNS,a,great,many,pins,1,0.6552287581699346
265511,a huge surf eighty miles,ARTICLE JJ NN CD NNS,a,huge surf,eighty,miles,1,0.7038398692810458
272286,a great pillar four days,ARTICLE JJ NN CD NNS,a,great pillar,four,days,1,0.6768790849673203
278022,a swift 12 feet,ARTICLE JJ CD NNS,a,swift,12,feet,1,0.940359477124183
279427,"a sudden , three themes","ARTICLE JJ , CD NNS",a,"sudden ,",three,themes,1,0.9366830065359477
288176,an orange dwarf star 37 light years,ARTICLE JJ NN NN CD NN NNS,an,orange dwarf star,37,light years,1,0.8161764705882353
289262,a wizened little man and two ladies,ARTICLE JJ JJ NN CC CD NNS,A,wizened little man and,two,ladies,1,0.9930555555555556
289334,a great many wolves,ARTICLE JJ FEW NNS,a,great,many,wolves,1,0.6658496732026143
296380,a good eight minutes,ARTICLE JJ CD NNS,a,good,eight,minutes,1,0.5723039215686274
303658,a heavy man and two big rocks,ARTICLE JJ NN CC CD JJ NNS,a,heavy man and,two,big rocks,1,0.7005718954248366
308631,a further nine years,ARTICLE JJ CD NNS,a,further,nine,years,1,0.5400326797385621
312575,a good wow f forty five minutes,ARTICLE JJ UH NN CD CD NNS,a,good wow f,forty five,minutes,1,0.619281045751634
313443,a little rowan tree and four alder bushes,ARTICLE JJ NN NN CC CD NN NNS,a,little rowan tree and,four,alder bushes,1,0.7434640522875817
318938,a great many kangaroos,ARTICLE JJ FEW NNS,a,great,many,kangaroos,1,0.641748366013072
323410,a rich cultural heritage and many locations,ARTICLE JJ JJ NN CC FEW NNS,a,rich cultural heritage and,many,locations,1,0.8782679738562091
324283,a twinkling twenty miles,ARTICLE JJ CD NNS,a,twinkling,twenty,miles,1,0.9579248366013072
327652,a full ten inches,ARTICLE JJ CD NNS,a,full,ten,inches,1,0.5065359477124183
328094,a further 124 officers,ARTICLE JJ CD NNS,a,further,124,officers,1,0.5179738562091504
328308,a further 878 army officers,ARTICLE JJR CD NN NNS,a,further,878,army officers,1,0.5351307189542484
331869,a great many roses,ARTICLE JJ FEW NNS,a,great,many,roses,1,0.6576797385620915
347369,a further 15000 ha,ARTICLE JJ CD NNS,A,further,15000,ha,1,0.5196078431372549
349194,a full ten years,ARTICLE JJ CD NNS,a,full,ten,years,1,0.5077614379084967
351781,a good thirty yards,ARTICLE JJ CD NNS,A,good,thirty,yards,1,0.610702614379085
353288,a great many singular things,ARTICLE JJ FEW JJ NNS,a,great,many,singular things,1,0.6593137254901961
360886,a record 7 hours,ARTICLE RECORD CD NNS,a,record,7,hours,1,0.8615196078431373
364347,a good fifteen feet,ARTICLE JJ CD NNS,a,good,fifteen,feet,1,0.5784313725490197
365566,a great many weavers,ARTICLE JJ FEW NNS,a,great,many,weavers,1,0.6654411764705882
366993,a scant three yards,ARTICLE JJ CD NNS,a,scant,three,yards,1,0.8876633986928104
367449,a full six yards,ARTICLE JJ CD NNS,a,full,six,yards,1,0.5061274509803921
368554,an iron - bound club three or four feet,ARTICLE NN HYPH VBN NN CD CC CD NNS,an,iron - bound club,three or four,feet,1,0.7160947712418301
374969,a great many clouds,ARTICLE JJ FEW NNS,a,great,many,clouds,1,0.6274509803921569
379409,an initial 13 issues,ARTICLE JJ CD NNS,an,initial,13,issues,1,0.7116013071895425
381428,a very young 20 years,ARTICLE RB JJ CD NNS,a,very young,20,years,1,0.9779411764705882
387630,a real estate developer and several others,ARTICLE JJ NN NN CC FEW NNS,a,real estate developer and,several,others,1,0.8472222222222222
388051,a great log twenty or thirty steps,ARTICLE JJ NN CD CC CD NNS,a,great log,twenty or thirty,steps,1,0.6752450980392157
388668,a great many skiffs,ARTICLE JJ FEW NNS,a,great,many,skiffs,1,0.6597222222222222
388982,a long twelve or fifteen minutes,ARTICLE JJ CD CC CD NNS,a,long,twelve or fifteen,minutes,1,0.7508169934640523
394798,a married man 40 years,ARTICLE JJ NN CD NNS,a,married man,40,years,1,0.7651143790849673
401200,a whole candle and three or four pieces,ARTICLE JJ NN CC CD CC CD NNS,a,whole candle and,three or four,pieces,1,0.9869281045751634
402649,"a little , three or four days","ARTICLE JJ , CD CC CD NNS",a,"little ,",three or four,days,1,0.7320261437908496
402955,a steep clay hill twenty or thirty feet,ARTICLE JJ NN NN CD CC CD NNS,a,steep clay hill,twenty or thirty,feet,1,0.9325980392156863
404724,an optional 48 bits,ARTICLE JJ CD NNS,an,optional,48,bits,1,0.815359477124183
405109,a great many desirable things,ARTICLE JJ FEW JJ NNS,a,great,many,desirable things,1,0.6319444444444444
405357,a great many more things,ARTICLE JJ FEW FEW NNS,a,great,many more,things,1,0.6703431372549019
406685,a public service 2 nights,ARTICLE JJ NN CD NNS,a,public service,2,nights,1,0.8435457516339869
412972,a half dozen buildings,ARTICLE JJ FEW NNS,a,half,dozen,buildings,1,0.6797385620915033
413441,a great many disagreeable things,ARTICLE JJ FEW JJ NNS,a,great,many,disagreeable things,1,0.633578431372549
422094,an unheard - of 39 times,ARTICLE JJ HYPH JJ CD NNS,an,unheard - of,39,times,1,0.9620098039215687
424843,a record 11 straight postseason wins,ARTICLE RECORD CD JJ NN NNS,a,record,11,straight postseason wins,1,0.8517156862745098
424861,a low apr score several seasons,ARTICLE JJ NN NN FEW NNS,a,low apr score,several,seasons,1,0.7606209150326797
430484,a good many tears,ARTICLE JJ FEW NNS,a,good,many,tears,1,0.5992647058823529
431147,a great many hungry days,ARTICLE JJ FEW JJ NNS,a,great,many,hungry days,1,0.6409313725490197
434159,a full - time official eleven years,ARTICLE JJ HYPH NN NN CD NNS,a,full - time official,eleven,years,1,0.5110294117647058
434527,a weekly basis two years,ARTICLE JJ NN CD NNS,a,weekly basis,two,years,1,0.9799836601307189
434755,a further three fifties,ARTICLE JJ CD NNS,a,further,three,fifties,1,0.5502450980392157
435586,a great many shapes,ARTICLE JJ FEW NNS,a,great,many,shapes,1,0.6584967320261438
436941,a record eight players,ARTICLE RECORD CD NNPS,a,record,eight,players,1,0.863562091503268
437232,an unprecedented five consecutive grand,ARTICLE JJ CD JJ NNPS,an,unprecedented,five,consecutive grand,1,0.9656862745098039
444509,a great kingdom and three sons,ARTICLE JJ NN CC CD NNS,a,great kingdom and,three,sons,1,0.6744281045751634
445951,a little body and two little hands,ARTICLE JJ NN CC CD JJ NNS,a,little body and,two,little hands,1,0.7373366013071896
457254,a total 21 films,ARTICLE JJ CD NNS,a,total,21,films,1,0.9513888888888888
464743,a giant triangle and three squares,ARTICLE JJ NN CC CD NNS,a,giant triangle and,three,squares,1,0.5637254901960784
467322,a record 264 grade games,ARTICLE RECORD CD NN NNS,a,record,264,grade games,1,0.858251633986928
471819,a record 58 goals,ARTICLE RECORD CD NNS,a,record,58,goals,1,0.8594771241830066
481055,a mere 2 days,ARTICLE JJ CD NNS,a,mere,2,days,1,0.7753267973856209
486266,a great many holidays,ARTICLE JJ FEW NNS,a,great,many,holidays,1,0.6401143790849673
495188,a further 700 years,ARTICLE JJ CD NNS,a,further,700,years,1,0.5339052287581699
506053,a protracted three or four years,ARTICLE JJ CD CC CD NNS,a,protracted,three or four,years,1,0.8423202614379085
511331,a record 14 years,ARTICLE RECORD CD NNS,a,record,14,years,1,0.8529411764705882
518355,a paling six feet,ARTICLE JJ CD NNS,a,paling,six,feet,1,0.8198529411764706
519587,a great many various stores,ARTICLE JJ FEW JJ NNS,a,great,many,various stores,1,0.6642156862745098
519711,a record twelve national titles,ARTICLE RECORD CD JJ NNS,a,record,twelve,national titles,1,0.8680555555555556
524206,a good many trials,ARTICLE JJ FEW NNS,a,good,many,trials,1,0.6004901960784313
545161,an unheard - of 50 men,ARTICLE JJ HYPH JJ CD NNS,an,unheard - of,50,men,1,0.9624183006535948
551416,a little town fifteen miles,ARTICLE JJ NN CD NNS,a,little town,fifteen,miles,1,0.7446895424836601
554282,a new control system and more levels,ARTICLE JJ NN NN CC FEW NNS,a,new control system and,more,levels,1,0.8035130718954249
554300,a poor lame wife and thirteen children,ARTICLE JJ JJ NN CC CD NNS,a,poor lame wife and,thirteen,children,1,0.8296568627450981
555150,a great many petroglyphs,ARTICLE JJ FEW NNS,a,great,many,petroglyphs,1,0.6540032679738562
555805,a great many masters,ARTICLE JJ FEW NNS,a,great,many,masters,1,0.6462418300653595
556885,a great many dead bodies,ARTICLE JJ FEW JJ NNS,a,great,many,dead bodies,1,0.6311274509803921
558281,a half dozen men,ARTICLE JJ FEW NNS,a,half,dozen,men,1,0.681781045751634
563535,a little provincial town three months,ARTICLE JJ JJ NN CD NNS,a,little provincial town,three,months,1,0.7430555555555556
571603,a measly thousand pounds,ARTICLE JJ CD NNS,a,measly,thousand,pounds,1,0.7704248366013072
573585,"a reported 6,000 apartments",ARTICLE VBN CD NNS,a,reported,"6,000",apartments,1,0.8770424836601307
580230,"a further 23,000 men",ARTICLE JJR CD NNS,a,further,"23,000",men,1,0.5224673202614379
581321,"a further 46,750 tons",ARTICLE JJ CD NNS,a,further,"46,750",tons,1,0.5294117647058824
592091,a great many facts,ARTICLE JJ FEW NNS,a,great,many,facts,1,0.6352124183006536
592465,a record 25 playoff games,ARTICLE RECORD CD NN NNS,a,record,25,playoff games,1,0.8574346405228758
601584,a great many local names,ARTICLE JJ FEW JJ NNS,A,great,many,local names,1,0.6458333333333334
601658,a small plateau 1798 m,ARTICLE JJ NN CD NNS,a,small plateau,1798,m,1,0.9178921568627451
606747,a half - dozen roughs,ARTICLE JJ HYPH FEW NNS,A,half -,dozen,roughs,1,0.6936274509803921
609189,a half - dozen postal cards,ARTICLE JJ HYPH FEW JJ NNS,A,half -,dozen,postal cards,1,0.693218954248366
616060,a half - dozen sailors,ARTICLE JJ HYPH FEW NNS,A,half -,dozen,sailors,1,0.6940359477124183
626784,a half dozen ragged porters,ARTICLE JJ FEW JJ NNS,a,half,dozen,ragged porters,1,0.684640522875817
629698,a further 11 goals,ARTICLE JJ CD NNS,a,further,11,goals,1,0.516748366013072
629791,a half dozen years,ARTICLE JJ FEW NNS,a,half,dozen,years,1,0.6870915032679739
632815,a half - dozen armlets,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,armlets,1,0.6891339869281046
634169,a record 50 points,ARTICLE RECORD CD NNS,a,record,50,points,1,0.8590686274509803
637382,a second one eighteen months,ARTICLE JJ NN CD NNS,a,second one,eighteen,months,1,0.8991013071895425
638444,a prominent hill 1.5 miles,ARTICLE JJ NN CD NNS,a,prominent hill,1.5,miles,1,0.8419117647058824
643629,an international 60 metres,ARTICLE JJ CD NNS,an,international,60,metres,1,0.7148692810457516
647892,a further four years,ARTICLE JJ CD NNS,a,further,four,years,1,0.5392156862745098
649647,a vast many smart beaux,ARTICLE JJ FEW JJ NNS,a,vast,many,smart beaux,1,0.9681372549019608
659440,a great many conquests,ARTICLE JJ FEW NNS,a,great,many,conquests,1,0.627859477124183
661854,a further eight motor coaches,ARTICLE JJ CD NN NNS,a,further,eight,motor coaches,1,0.5363562091503268
674688,a record 67 doubles,ARTICLE RECORD CD NNS,a,record,67,doubles,1,0.8611111111111112
676623,a high school and several other institutions,ARTICLE JJ NN CC FEW JJ NNS,a,high school and,several,other institutions,1,0.7013888888888888
684417,a good many gallons,ARTICLE JJ FEW NNS,a,good,many,gallons,1,0.5894607843137255
685098,a good many snobs,ARTICLE JJ FEW NNS,a,good,many,snobs,1,0.5976307189542484
690769,a recumbent half - moon and two stars,ARTICLE JJ JJ HYPH NN CC CD NNS,a,recumbent half - moon and,two,stars,1,0.869281045751634
701738,a possible two points,ARTICLE JJ CD NNS,a,possible,two,points,1,0.8370098039215687
707979,a further 168 men,ARTICLE JJ CD NNS,a,further,168,men,1,0.5204248366013072
711502,a good thousand feet,ARTICLE JJ CD NNS,a,good,thousand,feet,1,0.6115196078431373
713538,a possible ten marks,ARTICLE JJ CD NNS,a,possible,ten,marks,1,0.8361928104575164
713796,a great many arguments,ARTICLE JJ FEW NNS,a,great,many,arguments,1,0.6229575163398693
717335,a huge old brown trout ten times,ARTICLE JJ JJ NN NN CD NNS,a,huge old brown trout,ten,times,1,0.7034313725490197
718048,a great many other folks,ARTICLE JJ FEW JJ NNS,a,great,many,other folks,1,0.6511437908496732
719099,a good many fine gentlemen,ARTICLE JJ FEW JJ NNS,a,good,many,fine gentlemen,1,0.5878267973856209
720549,a full hundred yards,ARTICLE JJ CD NNS,A,full,hundred,yards,1,0.5049019607843137
723243,a good many other people,ARTICLE JJ FEW JJ NNS,a,good,many,other people,1,0.5947712418300654
723808,a narrow crack ten yards,ARTICLE JJ NN CD NNS,a,narrow crack,ten,yards,1,0.7965686274509803
725296,a mammoth four tons,ARTICLE JJ CD NNS,a,mammoth,four,tons,1,0.7630718954248366
727922,a great many fox -,ARTICLE JJ FEW NN NNS,a,great,many,fox -,1,0.636437908496732
731502,a small town twelve miles,ARTICLE JJ NN CD NNS,a,small town,twelve,miles,1,0.9195261437908496
732571,a great many members,ARTICLE JJ FEW NNS,A,great,many,members,1,0.6470588235294118
733253,a large parent comet several centuries,ARTICLE JJ NN NN FEW NNS,a,large parent comet,several,centuries,1,0.7222222222222222
733988,a full three years,ARTICLE JJ CD NNS,a,full,three,years,1,0.5089869281045751
734988,a good few drinks,ARTICLE JJ FEW NNS,a,good,few,drinks,1,0.5735294117647058
735836,a good many foxes,ARTICLE JJ FEW NNPS,a,good,many,foxes,1,0.5890522875816994
736969,a negative 8x times,ARTICLE JJ CD NNS,a,negative,8x,times,1,0.7998366013071896
743641,a good fifteen miles,ARTICLE JJ CD NNS,a,good,fifteen,miles,1,0.5788398692810458
753679,a very good forcep two or three punches,ARTICLE RB JJ NN CD CC CD NNS,a,very good forcep,two or three,punches,1,0.9722222222222222
755444,a tournament - best seven goals,ARTICLE NN HYPH JJS CD NNS,a,tournament - best,seven,goals,1,0.9550653594771242
760028,a great many armed men,ARTICLE JJ FEW JJ NNS,a,great,many,armed men,1,0.6233660130718954
760639,a good many jokes,ARTICLE JJ FEW NNS,a,good,many,jokes,1,0.5910947712418301
771428,a whole lot more things,ARTICLE JJ NN FEW NNS,a,whole lot,more,things,1,0.988562091503268
773602,"a good three , four weeks","ARTICLE JJ CD , CD NNS",a,good,"three , four",weeks,1,0.6127450980392157
773978,a total 98 episodes,ARTICLE JJ CD NNS,a,total,98,episodes,1,0.9534313725490197
778592,a great many responsibilities,ARTICLE JJ FEW NNS,a,great,many,responsibilities,1,0.6572712418300654
778896,a record eight consecutive stages,ARTICLE RECORD CD JJ NNS,a,record,eight,consecutive stages,1,0.8631535947712419
780468,a great many more deaths,ARTICLE JJ FEW FEW NNS,a,great,many more,deaths,1,0.6683006535947712
780470,a great many nobles,ARTICLE JJ FEW NNS,a,great,many,nobles,1,0.6486928104575164
788282,a small village and parish situated 8 miles,ARTICLE JJ NN CC NN VBN CD NNS,a,small village and parish situated,8,miles,1,0.920751633986928
790887,a good many women,ARTICLE JJ FEW NNS,A,good,many,women,1,0.6033496732026143
794624,a great many adventurers,ARTICLE JJ FEW NNS,A,great,many,adventurers,1,0.622140522875817
797089,a further 360 people,ARTICLE JJ CD NNS,a,further,360,people,1,0.5281862745098039
803227,a great many good friends,ARTICLE JJ FEW JJ NNS,a,great,many,good friends,1,0.6384803921568627
805611,a great many personal sacrifices,ARTICLE JJ FEW JJ NNS,a,great,many,personal sacrifices,1,0.6535947712418301
808707,a great many fair ones,ARTICLE JJ FEW JJ NNS,A,great,many,fair ones,1,0.6356209150326797
811179,a very pretty lake several miles,ARTICLE RB JJ NN FEW NNS,a,very pretty lake,several,miles,1,0.9754901960784313
812215,a long gun and several swivel guns,ARTICLE JJ NN CC FEW JJ NNS,a,long gun and,several,swivel guns,1,0.7536764705882353
815055,a possible 45 games,ARTICLE JJ CD NNS,a,possible,45,games,1,0.8341503267973857
815402,a good many bears,ARTICLE JJ FEW NNS,a,good,many,bears,1,0.5829248366013072
815596,another little boy many years,ARTICLE JJ NN FEW NNS,another,little boy,many,years,1,0.7377450980392157
824964,a great many creatures,ARTICLE JJ FEW NNS,a,great,many,creatures,1,0.6290849673202614
825394,a good many other efforts,ARTICLE JJ FEW JJ NNS,a,good,many,other efforts,1,0.5939542483660131
831688,a great many pets,ARTICLE JJ FEW NNS,a,great,many,pets,1,0.6544117647058824
834155,a good thirty dollars,ARTICLE JJ CD NNS,a,good,thirty,dollars,1,0.6098856209150327
837469,a marvelous like two nights,ARTICLE JJ UH CD NNS,a,marvelous like,two,nights,1,0.7655228758169934
848917,a mere eighteen days,ARTICLE JJ CD NNS,a,mere,eighteen,days,1,0.7806372549019608
851342,a great many turkeys,ARTICLE JJ FEW NNPS,a,great,many,turkeys,1,0.6638071895424836
853395,a season - high 12 combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,12,combined tackles,1,0.8933823529411765
854752,an inner bridge and two outer bridges,ARTICLE JJ NN CC CD JJ NNS,an,inner bridge and,two,outer bridges,1,0.7128267973856209
855167,a great many workmen,ARTICLE JJ FEW NNS,a,great,many,workmen,1,0.6662581699346405
856239,a great many sick men,ARTICLE JJ FEW JJ NNS,a,great,many,sick men,1,0.6589052287581699
860617,a round dozen reviews,ARTICLE JJ FEW NNS,a,round,dozen,reviews,1,0.8811274509803921
866896,a possible 45 votes,ARTICLE JJ CD NNS,a,possible,45,votes,1,0.8345588235294118
868864,a large waggon and eight horses,ARTICLE JJ NN CC CD NNS,a,large waggon and,eight,horses,1,0.7234477124183006
879399,a very good few seasons,ARTICLE RB JJ FEW NNS,a,very good,few,seasons,1,0.9718137254901961
882136,a personal best 30 rebounds,ARTICLE JJ JJS CD NNS,a,personal best,30,rebounds,1,0.8243464052287581
883710,a safe anchorage fifteen miles,ARTICLE JJ NN CD NNS,a,safe anchorage,fifteen,miles,1,0.8839869281045751
884736,"a little further out , two bear cubs","ARTICLE JJ RB RB , CD NN NNS",A,"little further out ,",two,bear cubs,1,0.7393790849673203
886534,a scandalous divorce six years,ARTICLE JJ NN CD NNS,a,scandalous divorce,six,years,1,0.8848039215686274
888596,an unexpected twelve months,ARTICLE JJ CD NNS,an,unexpected,twelve,months,1,0.9607843137254902
894084,a season - high ten combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,ten,combined tackles,1,0.8974673202614379
897449,a round twenty years,ARTICLE JJ CD NNS,a,round,twenty,years,1,0.8815359477124183
905657,a great many curious ones,ARTICLE JJ FEW JJ NNS,a,great,many,curious ones,1,0.6294934640522876
906022,a total 16 finals,ARTICLE JJ CD NNS,a,total,16,finals,1,0.9509803921568627
906344,a little less sixteen candles,ARTICLE JJ JJR CD NNS,A,little less,sixteen,candles,1,0.7418300653594772
906527,a whole lot more questions,ARTICLE JJ NN FEW NNS,a,whole lot,more,questions,1,0.9881535947712419
912569,a popular top 40 outlet for years,ARTICLE JJ NN CD NN IN NNS,a,popular top,40,outlet for years,1,0.8308823529411765
918182,an impressive 30 appearances,ARTICLE JJ CD NNS,an,impressive,30,appearances,1,0.7075163398692811
918241,a superb 94 league appearances,ARTICLE JJ CD NN NNS,a,superb,94,league appearances,1,0.9383169934640523
920576,a great many nymphs,ARTICLE JJ FEW NNPS,a,great,many,nymphs,1,0.6491013071895425
931194,a great many playful leaps,ARTICLE JJ FEW JJ NNS,a,great,many,playful leaps,1,0.6564542483660131
936697,a particular few types,ARTICLE JJ FEW NNS,a,particular,few,types,1,0.8227124183006536
937870,a total 51 episodes,ARTICLE JJ CD NNS,a,total,51,episodes,1,0.9526143790849673
940501,a great many beautiful shells,ARTICLE JJ FEW JJ NNS,a,great,many,beautiful shells,1,0.625
943976,an initial 150 specialty stores,ARTICLE JJ CD NN NNS,an,initial,150,specialty stores,1,0.7120098039215687
957846,a great many baskets,ARTICLE JJ FEW NNS,a,great,many,baskets,1,0.6245915032679739
962360,a good many words,ARTICLE JJ FEW NNS,a,good,many,words,1,0.6037581699346405
962826,a great many empty bottles,ARTICLE JJ FEW JJ NNS,A,great,many,empty bottles,1,0.6343954248366013
964063,a good many trifling pieces,ARTICLE JJ FEW NN NNS,a,good,many,trifling pieces,1,0.6008986928104575
971044,a further three seats,ARTICLE JJ CD NNS,a,further,three,seats,1,0.5518790849673203
973136,a half dozen finishing cuts,ARTICLE JJ FEW JJ NNS,a,half,dozen,finishing cuts,1,0.6809640522875817
974647,a good many children,ARTICLE JJ FEW NNS,a,good,many,children,1,0.5837418300653595
987955,an impressive 24 goals,ARTICLE JJ CD NNS,an,impressive,24,goals,1,0.7071078431372549
996623,a vague idea 50 years,ARTICLE JJ NN CD NNS,a,vague idea,50,years,1,0.9677287581699346
997177,a great many little ones,ARTICLE JJ FEW JJ NNS,a,great,many,little ones,1,0.6454248366013072
1003403,"a potential 40,000 secondary jobs",ARTICLE JJ CD JJ NNS,a,potential,"40,000",secondary jobs,1,0.8374183006535948
1003762,a superior geographical environment and many railways,ARTICLE JJ JJ NN CC FEW NNS,a,superior geographical environment and,many,railways,1,0.9387254901960784
1008623,a great many feelings,ARTICLE JJ FEW NNS,a,great,many,feelings,1,0.6360294117647058
1012452,a scant six years,ARTICLE JJ CD NNS,A,scant,six,years,1,0.8868464052287581
1014465,a vast cake and several pumpkin pies,ARTICLE JJ NN CC FEW NN NNS,a,vast cake and,several,pumpkin pies,1,0.9689542483660131
1015402,a good forty feet,ARTICLE JJ CD NNS,a,good,forty,feet,1,0.5804738562091504
1018828,a half - dozen boys,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,boys,1,0.6895424836601307
1021799,a great many places,ARTICLE JJ FEW NNS,a,great,many,places,1,0.6556372549019608
1025773,an old father and two fryars,ARTICLE JJ NN CC CD NNS,an,old father and,two,fryars,1,0.8120915032679739
1028306,a half - dozen pink thimble cakes,ARTICLE JJ HYPH FEW JJ NN NNS,a,half -,dozen,pink thimble cakes,1,0.6928104575163399
