source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV,n,percent
babylm_sents,"The girl had to ride for a great many days, and for a long and wearisome time, before she got there; but at last she did arrive, and then she asked the East Wind if he could tell her the way to the Prince who dwelt east of the sun and west of the moon.",47983,a great many days,DT JJ CD NNS,a,great,many,days,NA,8,0.2803129074315515
babylm_sents,can you give us just a few more minutes ?,48033,a few more minutes,DT JJ CD NNS,a,few,more,minutes,NA,98,0.042590178183398525
babylm_sents,"Once upon a time there lived a queen who had been the mother of a great many children, and of them all only one daughter was left.",48239,a great many children,DT JJ CD NNS,a,great,many,children,NA,4,0.3468057366362451
babylm_sents,"A good many years had passed -- seventeen , in fact -- since Queen Rosalind was married , but you would not think it to look at her .",52634,a good many years,DT JJ CD NNS,A,good,many,years,NA,21,0.18252933507170796
babylm_sents,"Only a few hundred people remained in the once vibrant city due to a major decline in silver prices, ongoing unrest in the country with a revolution in progress, and the exodus of business owners and people of wealth.",52968,a few hundred people,DT JJ CD NNS,a,few,hundred,people,NA,8,0.26988265971316816
babylm_sents,"Now the Queen had been shut up in a great tower by the King’s orders, and when a great many days went by and still she heard nothing from the Fairy she made her escape from the window by means of a rope ladder, taking her little baby with her.",57401,a great many days,DT JJ CD NNS,a,great,many,days,NA,8,0.2803129074315515
babylm_sents,"The Fairy Paribanou , I am sure , taught you nothing beyond the ordinary magical accomplishments suited to your rank ; but there are a great many things in the Cornelius which I think you should not study till you are older and wiser . ''",57750,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,"It was not that the fagot-maker was not, perhaps, more vexed than his wife, but that she teased him, and that he was of the humor of a great many others, who love wives to speak well, but think those very importunate who are continually doing so.",63518,a great many others,DT JJ CD NNS,a,great,many,others,NA,4,0.3502824858757062
babylm_sents,"In the course of a great many journeys to the forest he carried away many rich stuffs and much fine linen, and set up a shop opposite that of Ali Baba’s son.",64435,a great many journeys,DT JJ CD NNS,a,great,many,journeys,NA,2,0.4706649282920469
babylm_sents,"While the crier informed Prince Ahmed of the virtues of the artificial apple, a great many persons came about them and confirmed what he said; and one among the rest said he had a friend dangerously ill, whose life was despaired of; and that was a favorable opportunity to show Prince Ahmed the experiment.",70295,a great many persons,DT JJ CD NNS,a,great,many,persons,NA,2,0.47674923946110387
babylm_sents,"A great many officers came to attend the Prince while he dismounted his horse, and afterward conducted him into the Sultan’s apartment, who was at that time surrounded with his favorites.",71366,a great many officers,DT JJ CD NNS,A,great,many,officers,NA,3,0.3854845719252499
babylm_sents,"He next asked the old woman to show him where the King’s daughters lay; and the old woman took him upstairs and opened a great many doors, and out of every door came a beautiful lady who had been imprisoned there by the Etin; and ane o’ the ladies was the King’s daughter.",72747,a great many doors,DT JJ CD NNS,a,great,many,doors,NA,4,0.3485441112559757
babylm_sents,"The girl had to ride for a great many days , and for a long and wearisome time , before she got there ; but at last she did arrive , and then she asked the East Wind if he could tell her the way to the Prince who dwelt east of the sun and west of the moon .",74097,a great many days,DT JJ CD NNS,a,great,many,days,NA,8,0.2803129074315515
babylm_sents,"THE YELLOW DWARF Once upon a time there lived a queen who had been the mother of a great many children , and of them all only one daughter was left .",75040,a great many children,DT JJ CD NNS,a,great,many,children,NA,4,0.3468057366362451
babylm_sents,"At this second lie, his nose grew a few more inches.",79716,a few more inches,DT JJ CD NNS,a,few,more,inches,NA,2,0.4245980008691873
babylm_sents,"""I am afraid that a good many people know about them, most undesirable",80323,a good many people,DT JJ CD NNS,a,good,many,people,NA,12,0.2494567579313342
babylm_sents,It is only a few more steps away.”,80362,a few more steps,DT JJ CD NNS,a,few,more,steps,NA,10,0.2585832246849196
babylm_sents,"It has since been performed a few more times, notably at Cambridge University in 2003, Highgate in 2004, Guildford (Surrey) in 2007 (where it was voted best event of the year by the students of the University of Surrey), Adelaide Australia 2009, and several more productions have been proposed.",83979,a few more times,DT JJ CD NNS,a,few,more,times,NA,14,0.21555845284658845
babylm_sents,Ah well it's a good few years for this.,90331,a good few years,DT JJ CD NNS,a,good,few,years,NA,3,0.3802694480660582
babylm_sents,"After a few more steps, they saw, at the end of a long road near a clump of trees, a tiny cottage built of straw.",93062,a few more steps,DT JJ CD NNS,a,few,more,steps,NA,10,0.2585832246849196
babylm_sents,we'll do a few more minutes .,96138,a few more minutes,DT JJ CD NNS,a,few,more,minutes,NA,98,0.042590178183398525
babylm_sents,"Now the Queen had been shut up in a great tower by the King 's orders , and when a great many days went by and still she heard nothing from the Fairy she made her escape from the window by means of a rope ladder , taking her little baby with her .",98452,a great many days,DT JJ CD NNS,a,great,many,days,NA,8,0.2803129074315515
babylm_sents,"They are the most beautiful and valuable things that have ever been made in gold.” She wanted to have everything brought to her there, but he said, “There are so many of them that it would take a great many days to do that, and so many rooms would be required to exhibit them, that your house is not big enough.” Then her curiosity and longing were still more excited, until at last she said, “Conduct me to the ship, I will go there myself, and behold the treasures of thine master.”",102160,a great many days,DT JJ CD NNS,a,great,many,days,NA,8,0.2803129074315515
babylm_sents,He travelled a few more miles that day but got worse that night.,102372,a few more miles,DT JJ CD NNS,a,few,more,miles,NA,5,0.3137766188613646
babylm_sents,"It was not that the fagot-maker was not , perhaps , more vexed than his wife , but that she teased him , and that he was of the humor of a great many others , who love wives to speak well , but think those very importunate who are continually doing so .",114635,a great many others,DT JJ CD NNS,a,great,many,others,NA,4,0.3502824858757062
babylm_sents,give me a few more minutes okay ?,115637,a few more minutes,DT JJ CD NNS,a,few,more,minutes,NA,98,0.042590178183398525
babylm_sents,"In the course of a great many journeys to the forest he carried away many rich stuffs and much fine linen , and set up a shop opposite that of Ali Baba 's son .",118242,a great many journeys,DT JJ CD NNS,a,great,many,journeys,NA,2,0.4706649282920469
babylm_sents,Dutch Schultz continued to operate his rackets for only a few more years.,130971,a few more years,DT JJ CD NNS,a,few,more,years,NA,22,0.16427640156453716
babylm_sents,"Another fucking few minutes, he could be a stool.",132656,another fucking few minutes,DT JJ CD NNS,Another,fucking,few,minutes,NA,2,0.4428509343763581
babylm_sents,"A great many officers came to attend the Prince while he dismounted his horse , and afterward conducted him into the Sultan 's apartment , who was at that time surrounded with his favorites .",143563,a great many officers,DT JJ CD NNS,A,great,many,officers,NA,3,0.3854845719252499
babylm_sents,"Then the tiger called the Raja's son, and when he came the tiger and his wife made him a great many salaams.",144425,a great many salaams,DT JJ CD NNS,a,great,many,salaams,NA,3,0.3880921338548457
babylm_sents,"He next asked the old woman to show him where the King 's daughters lay ; and the old woman took him upstairs and opened a great many doors , and out of every door came a beautiful lady who had been imprisoned there by the Etin ; and ane o ' the ladies was the King 's daughter .",146886,a great many doors,DT JJ CD NNS,a,great,many,doors,NA,4,0.3485441112559757
babylm_sents,"Once there was a king called King Dantal, who had a great many rupees and soldiers and horses.",148046,a great many rupees,DT JJ CD NNS,a,great,many,rupees,NA,2,0.47761842677096916
babylm_sents,"After a great many years he grew more cheerful and happy, and began to go again into his father's beautiful garden with Husain Mahamat.",148355,a great many years,DT JJ CD NNS,a,great,many,years,NA,13,0.2390265102129509
babylm_sents,"It meant a great many things, but in short it meant what it was to be Roman (that is, Roman-ness).",149538,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,"If you obey our orders, we will give you a great many rupees.""",155767,a great many rupees,DT JJ CD NNS,a,great,many,rupees,NA,2,0.47761842677096916
babylm_sents,"The dog made her a great many salaams, and said, ""To-morrow I shall die;"" and the cow then went back to her stable.",155933,a great many salaams,DT JJ CD NNS,a,great,many,salaams,NA,3,0.3880921338548457
babylm_sents,"He rode very far, and shot a great many birds and a quantity of deer.",156623,a great many birds,DT JJ CD NNS,a,great,many,birds,NA,2,0.46631899174272057
babylm_sents,"In this grand state they travelled to the prince's country, which was not a great many miles off.",156939,a great many miles,DT JJ CD NNS,a,great,many,miles,NA,2,0.47327249022164275
babylm_sents,He made her a great many salaams.,157113,a great many salaams,DT JJ CD NNS,a,great,many,salaams,NA,3,0.3880921338548457
babylm_sents,"Gault was kept in jail for a few more days, then was sent home.",168009,a few more days,DT JJ CD NNS,a,few,more,days,NA,70,0.07301173402868318
babylm_sents,"The Turtle and His Bride There was once a turtle who lived among a great many people of different kinds , in a large camp near a big river which was born right up amongst the snows , and flowed straight away south till it reached a sea where the water was always hot .",169156,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,"These small settlements totalled only a few thousand people, but they were many of the first European arrivals in North America",169575,a few thousand people,DT JJ CD NNS,a,few,thousand,people,NA,5,0.31594958713602783
babylm_sents,"How Geirald The Coward Was Punished Once upon a time there lived a poor knight who had a great many children , and found it very hard to get enough for them to eat .",170562,a great many children,DT JJ CD NNS,a,great,many,children,NA,4,0.3468057366362451
babylm_sents,"Plus probably an additional six months through the, the worker's stuff that they have at, at, uh, through the company",173662,an additional six months,DT JJ CD NNS,an,additional,six,months,NA,2,0.39852238157322906
babylm_sents,"he's probably, oh, a good two years old, big, old, fat and sassy tabby.",179606,a good two years,DT JJ CD NNS,a,good,two,years,NA,2,0.46458061712299
babylm_sents,"""I wish _I_ could get a few more days' holiday,"" said Bill ruefully.",182418,a few more days,DT JJ CD NNS,a,few,more,days,NA,70,0.07301173402868318
babylm_sents,We're talking a few thousand dollars!,196476,a few thousand dollars,DT JJ CD NNS,a,few,thousand,dollars,NA,8,0.2768361581920904
babylm_sents,"With the afternoon start, they made three miles (5 km) and camped in a line a few hundred yards from a stand of timber.",204103,a few hundred yards,DT JJ CD NNS,a,few,hundred,yards,NA,35,0.12255541069100391
babylm_sents,Not that he had done a great many things as yet.,205972,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,"The distance between Chinatown and the next station, Clarke Quay, is the shortest distance between two MRT stations in Singapore, a mere 360 metres.",209357,a mere 360 metres,DT JJ CD NNS,a,mere,360,metres,NA,2,0.489787049109083
babylm_sents,"The distance between Clarke Quay and the previous station, Chinatown, is the shortest distance between two MRT stations in Singapore, a mere 360 metres.",209550,a mere 360 metres,DT JJ CD NNS,a,mere,360,metres,NA,2,0.489787049109083
babylm_sents,"To provide company for the maid a few more houses had to be built, and people invited to live in them.",212697,a few more houses,DT JJ CD NNS,a,few,more,houses,NA,2,0.423728813559322
babylm_sents,"A great many birds assembled on the trees around the net, and said, ""What fine corn that is!",212846,a great many birds,DT JJ CD NNS,A,great,many,birds,NA,2,0.46631899174272057
babylm_sents,"He had a great many friends who said he was a real gentleman, and that pleased him very much.",218494,a great many friends,DT JJ CD NNS,a,great,many,friends,NA,8,0.2837896566710126
babylm_sents,"Then he offered nine hundred crowns to anyone who caught the evil-doer , and at the same time ordered that whoever did not keep proper watch over the fields should be killed ; but though there were a great many people , none seemed able to protect the fields .",219701,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,"Jack now resolved to enter the giant's cave in search of his treasure, and, passing along through a great many windings and turnings, he came at length to a large room paved with freestone, at the upper end of which was a boiling caldron, and on the right hand a large table, at which the giant used to dine.",233354,a great many windings,DT JJ CD NNS,a,great,many,windings,NA,2,0.4819643633202955
babylm_sents,The Tamu Massif was formed about 145 million years ago during the late Jurassic to early Cretaceous period over a relatively short period of time (a few million years) and then became extinct.,251766,a few million years,DT JJ CD NNS,a,few,million,years,NA,13,0.2333767926988266
babylm_sents,"The Emerald City was built a great many years ago, for I was a young man when the balloon brought me here, and I am a very old man now.",265006,a great many years,DT JJ CD NNS,a,great,many,years,NA,13,0.2390265102129509
babylm_sents,"And Fanny says to her: ""I suppose a great many things happened before you were born, didn't they, Grandmother?""",276710,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,"He did a good many things, however, which a little astonished his subjects.",283322,a good many things,DT JJ CD NNS,a,good,many,things,NA,14,0.22164276401564537
babylm_sents,"Now the lion had been very ill , and was not strong enough to go hunting for himself , and when the hare came and told him that a very fat donkey was to be found only a few hundred yards off , tears of disappointment and weakness filled his eyes . '",285769,a few hundred yards,DT JJ CD NNS,a,few,hundred,yards,NA,35,0.12255541069100391
babylm_sents,And a great many people were brought to the Lord.,286540,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,"So it was that for an entire year they met with the church and taught a great many people, and it was in Antioch that the disciples were first called ""Christians.""",286591,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,We had a few more things to buy.,316919,a few more things,DT JJ CD NNS,a,few,more,things,NA,26,0.1338548457192525
babylm_sents,"Why had no one ever given it that before , and so absorbed was the little beast , sniffing about after a few more crumbs , that it never heard Peronnik creep up till it felt the halter on its neck and the rope round its feet , and -- in another moment -- some one on its back .",320409,a few more crumbs,DT JJ CD NNS,a,few,more,crumbs,NA,2,0.42025206431986095
babylm_sents,"This is their starburst phase, and might last a few hundred million years.",326782,a few hundred million years,DT JJ CD CD NNS,a,few,hundred & million,years,NA,6,0.30465015210777924
babylm_sents,Bonnie don't you think we should get a few more people to go to .,330042,a few more people,DT JJ CD NNS,a,few,more,people,NA,11,0.2542372881355932
babylm_sents,That seemed a good many people to like—when you were not used to liking.,330751,a good many people,DT JJ CD NNS,a,good,many,people,NA,12,0.2494567579313342
babylm_sents,"Looks like we'll be spending a few more days here, Opalescence.",337627,a few more days,DT JJ CD NNS,a,few,more,days,NA,70,0.07301173402868318
babylm_sents,“He knows a good many things out of books but he doesn’t know anything else.,343998,a good many things,DT JJ CD NNS,a,good,many,things,NA,14,0.22164276401564537
babylm_sents,She had looked forward to telling him a great many things and she had meant to try to make up her mind whether it would be safe to trust him with the great secret.,345060,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,Dr. Craven had never made such a short stay after a “tantrum”; usually he was obliged to remain a very long time and do a great many things.,347616,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,"Of this edition Robert Weinberg has written: ""Only a few hundred copies of the book were printed, and even less than that were sold, even though it was available at the bargain price of $1 per copy.",349994,a few hundred copies,DT JJ CD NNS,a,few,hundred,copies,NA,2,0.4098218166014776
babylm_sents,He said it a great many times—not a thousand times but quite a goodly number.,353833,a great many times,DT JJ CD NNS,a,great,many,times,NA,14,0.2277270751847023
babylm_sents,She asked a great many questions and her blue eyes were full of deep thinking.,354384,a great many questions,DT JJ CD NNS,a,great,many,questions,NA,3,0.3867883528900478
babylm_sents,There are a few more ways to represent the universal quantifier:,358458,a few more ways,DT JJ CD NNS,a,few,more,ways,NA,2,0.43763581051716643
babylm_sents,"Well, maybe he's learned a few more things since then.",360441,a few more things,DT JJ CD NNS,a,few,more,things,NA,26,0.1338548457192525
babylm_sents,"you're not going to, you're not going to run up a few thousand dollars for that,",360685,a few thousand dollars,DT JJ CD NNS,a,few,thousand,dollars,NA,8,0.2768361581920904
babylm_sents,"Rann saw that the monkeys were carrying something, and dropped a few hundred yards to find out whether their load was good to eat.",363066,a few hundred yards,DT JJ CD NNS,a,few,hundred,yards,NA,35,0.12255541069100391
babylm_sents,Do a few more examples of that.,374264,a few more examples,DT JJ CD NNS,a,few,more,examples,NA,6,0.30725771403737506
babylm_sents,"“Of course,” said the troop horse, “everyone is not made in the same way, and I can quite see that your family, on your father’s side, would fail to understand a great many things.”",375150,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,"It was a great many years ago, and I can scarcely remember anything about it, but I think it was in some foreign country.",380199,a great many years,DT JJ CD NNS,a,great,many,years,NA,13,0.2390265102129509
babylm_sents,"Well, maybe he's learned a few more things since then.",383026,a few more things,DT JJ CD NNS,a,few,more,things,NA,26,0.1338548457192525
babylm_sents,"They went out and visited many big shops together, and bought a great many things.",405355,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,"Later, we'd like to ask you a few more questions.",408776,a few more questions,DT JJ CD NNS,a,few,more,questions,NA,17,0.1899174272055628
babylm_sents,"The rat shuffled a little nearer and ate a few more crumbs, then he stopped and sniffed delicately, giving a side glance at the occupant of the footstool; then he darted at the piece of bun with something very like the sudden boldness of the sparrow, and the instant he had possession of it fled back to the wall, slipped down a crack in the skirting board, and was gone.",416673,a few more crumbs,DT JJ CD NNS,a,few,more,crumbs,NA,2,0.42025206431986095
babylm_sents,"And I grew up in an area that, uh, was just a few feet from a rather large lake, and a few more miles from that was a even larger lake",421469,a few more miles,DT JJ CD NNS,a,few,more,miles,NA,5,0.3137766188613646
babylm_sents,several hours ahead may be seen only a few hundred yards distant across,426969,a few hundred yards,DT JJ CD NNS,a,few,hundred,yards,NA,35,0.12255541069100391
babylm_sents,"You see I've been abroad a good many years, and haven't been into company enough yet to know how you do things here.""",434954,a good many years,DT JJ CD NNS,a,good,many,years,NA,21,0.18252933507170796
babylm_sents,"""Once upon a time, there were four girls, who had enough to eat and drink and wear, a good many comforts and pleasures, kind friends and parents who loved them dearly, and yet they were not contented.""",436950,a good many comforts,DT JJ CD NNS,a,good,many,comforts,NA,2,0.4576271186440678
babylm_sents,"Or tell them , tell them there's a few million pounds worth of gold coins in some field!",453296,a few million pounds,DT JJ CD NNS,a,few,million,pounds,NA,2,0.4132985658409387
babylm_sents,"People wouldn't feel so bad about me if I was sick, and I don't deserve to have them, but I'd like to be loved and missed by a great many friends, so I'm going to try and be like Beth all I can.",457169,a great many friends,DT JJ CD NNS,a,great,many,friends,NA,8,0.2837896566710126
babylm_sents,"Santos, although having competed consistently, would need to wait a few more years to gain top status.",471816,a few more years,DT JJ CD NNS,a,few,more,years,NA,22,0.16427640156453716
babylm_sents,"Women work a good many miracles, and I have a persuasion that they may perform even that of raising the standard of manhood by refusing to echo such sayings.",480233,a good many miracles,DT JJ CD NNS,a,good,many,miracles,NA,2,0.4602346805736636
babylm_sents,"Open clusters generally survive for a few hundred million years, with the most massive ones surviving for a few billion years.",485626,a few billion years,DT JJ CD NNS,a,few,billion,years,NA,4,0.327683615819209
babylm_sents,"Major Hunt, Wargrave learned, lived in a bungalow a few hundred yards",506209,a few hundred yards,DT JJ CD NNS,a,few,hundred,yards,NA,35,0.12255541069100391
babylm_sents,"but my husband had been in fact, he's been, probably has made a few more calls than I have because I tend to not make them around dinner time,",516110,a few more calls,DT JJ CD NNS,a,few,more,calls,NA,2,0.4176445023902651
babylm_sents,"for a few more minutes in her society, while Wargrave climbed up to the",520203,a few more minutes,DT JJ CD NNS,a,few,more,minutes,NA,98,0.042590178183398525
babylm_sents,"The group continued to perform for an additional two years, with Chico DeBarge joining the group in 1988.",524450,an additional two years,DT JJ CD NNS,an,additional,two,years,NA,4,0.32420686657974795
babylm_sents,"In 1956, K. A. Nilakanta Sastri described the Kumari Kandam theory as ""all bosh"", stating that geological theories about events happening millions of years ago should not be connected to the human history of a few thousand years back.",536031,a few thousand years,DT JJ CD NNS,a,few,thousand,years,NA,21,0.17340286831812254
babylm_sents,"“Oh, we talked of a great many things.",541074,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,"and so I was going to school for, you know, just a few hundred dollars a semester,",541877,a few hundred dollars,DT JJ CD NNS,a,few,hundred,dollars,NA,12,0.24424163407214255
babylm_sents,"A few more words of explanation followed, words which were spoken without the smallest excitement by his companion, but which evoked the greatest agitation in the prince; and it was discovered that two old ladies to whose care the prince had been left by Pavlicheff, and who lived at Zlatoverhoff, were also relations of Ivan Petrovitch.",577563,a few more words,DT JJ CD NNS,A,few,more,words,NA,15,0.2033898305084746
babylm_sents,"The difficulties he met with -- huge rocks to be climbed , deep rivers to be crossed , and thorny tracts to be avoided -- only served to make his heart beat quicker , for he was really brave all through , and not merely when he could not help himself , like a great many people .",579655,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,"The prince asked a few more questions, and though he learned nothing else, he became more and more agitated.",579876,a few more questions,DT JJ CD NNS,a,few,more,questions,NA,17,0.1899174272055628
babylm_sents,Grecian tailor who was a few thousand years ahead of the styles.,599294,a few thousand years,DT JJ CD NNS,a,few,thousand,years,NA,21,0.17340286831812254
babylm_sents,"Mr. Lorry had just finished his dinner, and was sitting before a cheery little log or two of fire perhaps looking into their blaze for the picture of that younger elderly gentleman from Tellson's, who had looked into the red coals at the Royal George at Dover, now a good many years ago.",599547,a good many years,DT JJ CD NNS,a,good,many,years,NA,21,0.18252933507170796
babylm_sents,The train stopped occasionally and a few hundred people were forced off at rural towns.,601031,a few hundred people,DT JJ CD NNS,a,few,hundred,people,NA,8,0.26988265971316816
babylm_sents,you can stay up with me for a few more minutes .,619822,a few more minutes,DT JJ CD NNS,a,few,more,minutes,NA,98,0.042590178183398525
babylm_sents,"After due payment we proceeded on a few hundred yards, and pitched camp",623515,a few hundred yards,DT JJ CD NNS,a,few,hundred,yards,NA,35,0.12255541069100391
babylm_sents,Right as far as that writing see if  I want you to remind me that's where we're up to next lesson and I shall give you a few more notes on that to explain about how it happens ten thousand times.,634307,a few more notes,DT JJ CD NNS,a,few,more,notes,NA,4,0.33289873967840067
babylm_sents,"The applicant must submit detailed plans for approval before beginning construction of the rocket, employ electronic deployment of the recovery system (normally a drogue parachute at maximum altitude followed by a main parachute a few hundred feet above the ground), and successfully fly the rocket in the presence of the certification team.",635131,a few hundred feet,DT JJ CD NNS,a,few,hundred,feet,NA,14,0.2094741416775315
babylm_sents,"I could not leave without inconveniencing a great many people, so I remained.""",639201,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,"""There's a good many people claimin' things they never git.",639812,a good many people,DT JJ CD NNS,a,good,many,people,NA,12,0.2494567579313342
babylm_sents,"Mother Necessity, who had been staved off for a few thousand years, came back again, and she began below.",674351,a few thousand years,DT JJ CD NNS,a,few,thousand,years,NA,21,0.17340286831812254
babylm_sents,"He killed a great many people, but converted but few.",676196,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,A few hundred metres south of the palace is the Musée des Arts et des Traditions Bamoun.,678821,a few hundred metres,DT JJ CD NNS,A,few,hundred,metres,NA,9,0.26249456757931333
babylm_sents,"He killed a great many people, burned their dwellings, and drove out many more, but at last his tribes made trouble, as there were not spoils enough to go around, and his army was conquered.",680569,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,"Before she could reach it , however , it was opened from without ; being a primitive sort of door , with a latch that any one could lift if he chose -- and a good many people did choose , for all kinds of neighbours liked to have a cheerful word or two with the Carrier , though he was no great talker himself .",683041,a good many people,DT JJ CD NNS,a,good,many,people,NA,12,0.2494567579313342
babylm_sents,"Since there are only a few more days, they should study for a half-hour or even an hour every evening.",683240,a few more days,DT JJ CD NNS,a,few,more,days,NA,70,0.07301173402868318
babylm_sents,"Arnold conducted a campaign into Virginia, and was very brutal about it, killing a great many people who were strangers to him, and who had never harmed him, not knowing him, as the historian says, from ""Adam's off ox.""",683397,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,"in a great many ways,"" said the little lady, her eyes flashing.",684595,a great many ways,DT JJ CD NNS,a,great,many,ways,NA,2,0.4810951760104302
babylm_sents,"A good many people do not know this, but it is true.",686286,a good many people,DT JJ CD NNS,A,good,many,people,NA,12,0.2494567579313342
babylm_sents,I'll go back in to bang out a few more notes.,686981,a few more notes,DT JJ CD NNS,a,few,more,notes,NA,4,0.33289873967840067
babylm_sents,"""That was a great many years ago; but once you are Real you can't become unreal again.",690564,a great many years,DT JJ CD NNS,a,great,many,years,NA,13,0.2390265102129509
babylm_sents,"The venerable old gentleman at the street-doors -LRB- who were all in full action -RRB- showed especial interest in the party , pausing occasionally before leaping , as if they were listening to the conversation , and then plunging wildly over and over , a great many times , without halting for breath -- as in a frantic state of delight with the whole proceedings .",692650,a great many times,DT JJ CD NNS,a,great,many,times,NA,14,0.2277270751847023
babylm_sents,A few more minutes and you'd have been roast chicken!,697145,a few more minutes,DT JJ CD NNS,A,few,more,minutes,NA,98,0.042590178183398525
babylm_sents,"My dear, she lived on her income and that is a thing that a great many people would like to be able to do.",699298,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,I'll go back in to bang out a few more notes.,700081,a few more notes,DT JJ CD NNS,a,few,more,notes,NA,4,0.33289873967840067
babylm_sents,"In short , Harthover was a grand place , and Sir John a grand old man , whom even Mr. Grimes respected ; for not only could he send Mr. Grimes to prison when he deserved it , as he did once or twice a week ; not only did he own all the land about for miles ; not only was he a jolly , honest , sensible squire , as ever kept a pack of hounds , who would do what he thought right by his neighbours , as well as get what he thought right for himself ; but , what was more , he weighed full fifteen stone , was nobody knew how many inches round the chest , and could have thrashed Mr. Grimes himself in fair fight , which very few folk round there could do , and which , my dear little boy , would not have been right for him to do , as a great many things are not which one both can do , and would like very much to do .",707369,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
babylm_sents,A few more minutes and you'd have been roast chicken!,710102,a few more minutes,DT JJ CD NNS,A,few,more,minutes,NA,98,0.042590178183398525
babylm_sents,"There are a great many things in the world which you never heard of ; and a great many more which nobody ever heard of ; and a great many things , too , which nobody will ever hear of , at least until the coming of the Cocqcigrues , when man shall be the measure of all things .",714734,a great many things,DT JJ CD NNS,a,great,many,things,NA,42,0.09126466753585398
