sentence_idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
2425830,a full four minutes,ARTICLE JJ CD NNS,a,full,four,minutes,41,0.5294117647058824
2713089,a full 90 degrees,ARTICLE JJ CD NNS,a,full,90,degrees,41,0.5294117647058824
2814369,a full 20 engines,ARTICLE JJ CD NNS,A,full,20,engines,41,0.5294117647058824
2984298,a full six months,ARTICLE JJ CD NNS,a,full,six,months,41,0.5294117647058824
3802702,a full ten points,ARTICLE JJ CD NNS,a,full,ten,points,41,0.5294117647058824
3900927,a full two minutes,ARTICLE JJ CD NNS,a,full,two,minutes,41,0.5294117647058824
3920890,a full seven days,ARTICLE JJ CD NNS,a,full,seven,days,41,0.5294117647058824
4104376,a full three days,ARTICLE JJ CD NNS,a,full,three,days,41,0.5294117647058824
4130652,a full three weeks,ARTICLE JJ CD NNS,a,full,three,weeks,41,0.5294117647058824
4177532,a full 17 years,ARTICLE JJ CD NNS,a,full,17,years,41,0.5294117647058824
4177534,a full six months,ARTICLE JJ CD NNS,a,full,six,months,41,0.5294117647058824
4961365,a full 40 mm,ARTICLE JJ CD NNS,a,full,40,mm,41,0.5294117647058824
5167567,a full twenty years,ARTICLE JJ CD NNS,a,full,twenty,years,41,0.5294117647058824
5780863,a full eight feet,ARTICLE JJ CD NNS,a,full,eight,feet,41,0.5294117647058824
6671034,a full 10 seconds,ARTICLE JJ CD NNS,a,full,10,seconds,41,0.5294117647058824
6758672,a full 180 degrees,ARTICLE JJ CD NNS,a,full,180,degrees,41,0.5294117647058824
6810085,a full 15 members,ARTICLE JJ CD NNS,a,full,15,members,41,0.5294117647058824
6857738,a full 15 feet,ARTICLE JJ CD NNS,a,full,15,feet,41,0.5294117647058824
6959695,a full two minutes,ARTICLE JJ CD NNS,a,full,two,minutes,41,0.5294117647058824
7581741,a full 200 yards,ARTICLE JJ CD NNS,a,full,200,yards,41,0.5294117647058824
8269457,a full two weeks,ARTICLE JJ CD NNS,a,full,two,weeks,41,0.5294117647058824
9245453,a full 30 seconds,ARTICLE JJ CD NNS,a,full,30,seconds,41,0.5294117647058824
9982201,a full three inches,ARTICLE JJ CD NNS,a,full,three,inches,41,0.5294117647058824
10191401,a full 35 feet,ARTICLE JJ CD NNS,a,full,35,feet,41,0.5294117647058824
10374170,a full two minutes,ARTICLE JJ CD NNS,a,full,two,minutes,41,0.5294117647058824
10673299,a full 15 seconds,ARTICLE JJ CD NNS,a,full,15,seconds,41,0.5294117647058824
10673747,a full 1 5 seconds,ARTICLE JJ CD CD NNS,a,full,1 5,seconds,41,0.5294117647058824
10941880,a full ten minutes,ARTICLE JJ CD NNS,a,full,ten,minutes,41,0.5294117647058824
11280392,a full two hours,ARTICLE JJ CD NNS,a,full,two,hours,41,0.5294117647058824
40066,a career - high 15 strikeouts,ARTICLE NN HYPH JJ CD NNS,a,career - high,15,strikeouts,38,0.5449346405228758
83662,a career - high 30 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,30,points,38,0.5449346405228758
111512,a career - high 20 goals,ARTICLE NN HYPH JJ CD NNS,a,career - high,20,goals,38,0.5449346405228758
390650,a career - high 20 starts,ARTICLE NN HYPH JJ CD NNS,a,career - high,20,starts,38,0.5449346405228758
579861,a career - high 8.7 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,8.7,points,38,0.5449346405228758
968836,a career - high seven tackles,ARTICLE NN HYPH JJ CD NNS,a,career - high,seven,tackles,38,0.5449346405228758
1058041,a career - high 24 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,24,points,38,0.5449346405228758
1058056,a career - high 27 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,27,points,38,0.5449346405228758
1085676,a career - high nine combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,career - high,nine,combined tackles,38,0.5449346405228758
1122769,a career - high 30 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,30,points,38,0.5449346405228758
1122891,a career - high 32 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,32,points,38,0.5449346405228758
1145432,a career - high 39 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,39,points,38,0.5449346405228758
1250299,a career - high 44 tackles,ARTICLE NN HYPH JJ CD NNS,a,career - high,44,tackles,38,0.5449346405228758
1508563,a career - high 46 tackles,ARTICLE NN HYPH JJ CD NNS,a,career - high,46,tackles,38,0.5449346405228758
1539664,a career - high 16.9 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,16.9,points,38,0.5449346405228758
1540683,a career - high 237 strikeouts,ARTICLE NN HYPH JJ CD NNS,a,career - high,237,strikeouts,38,0.5449346405228758
1755223,a career - high 266 yards,ARTICLE NN HYPH JJ CD NNS,a,career - high,266,yards,38,0.5449346405228758
1880352,a career - high 36 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,36,points,38,0.5449346405228758
2010479,a career - high 42 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,42,points,38,0.5449346405228758
2019810,a career - high 3 sacks,ARTICLE NN HYPH JJ CD NNS,a,career - high,3,sacks,38,0.5449346405228758
2114327,a career - high 5 receptions,ARTICLE NN HYPH JJ CD NNS,a,career - high,5,receptions,38,0.5449346405228758
2114329,a career - high 55 receiving yards,ARTICLE NN HYPH JJ CD NN NNS,a,career - high,55,receiving yards,38,0.5449346405228758
2114332,a career - high 26 receptions,ARTICLE NN HYPH JJ CD NNS,a,career - high,26,receptions,38,0.5449346405228758
2148355,a career - high three touchdowns,ARTICLE NN HYPH JJ CD NNS,a,career - high,three,touchdowns,38,0.5449346405228758
2184575,a career - high 51 tackles,ARTICLE NN HYPH JJ CD NNS,a,career - high,51,tackles,38,0.5449346405228758
2195533,a career - high 17 games,ARTICLE NN HYPH JJ CD NNS,a,career - high,17,games,38,0.5449346405228758
2384169,a career - high three points,ARTICLE NN HYPH JJ CD NNS,a,career - high,three,points,38,0.5449346405228758
2430329,a career - high 92 games,ARTICLE NN HYPH JJ CD NNS,a,career - high,92,games,38,0.5449346405228758
2526452,a career - high 240 strikeouts,ARTICLE NN HYPH JJ CD NNS,a,career - high,240,strikeouts,38,0.5449346405228758
2638028,a career - high 707 yards,ARTICLE NN HYPH JJ CD NNS,a,career - high,707,yards,38,0.5449346405228758
2638063,a career - high 156 yards,ARTICLE NN HYPH JJ CD NNS,a,career - high,156,yards,38,0.5449346405228758
2638141,a career - high 115 rushing yards,ARTICLE NN HYPH JJ CD NN NNS,a,career - high,115,rushing yards,38,0.5449346405228758
2638168,a career - high 9 touchdowns,ARTICLE NN HYPH JJ CD NNS,a,career - high,9,touchdowns,38,0.5449346405228758
2638173,a career - high six special teams,ARTICLE NN HYPH JJ CD JJ NNS,a,career - high,six,special teams,38,0.5449346405228758
2744152,a career - high three touchdowns,ARTICLE NN HYPH JJ CD NNS,a,career - high,three,touchdowns,38,0.5449346405228758
2762897,a career - high 25 tackles,ARTICLE NN HYPH JJ CD NNS,a,career - high,25,tackles,38,0.5449346405228758
4257635,a career - high 17 goals,ARTICLE NN HYPH JJ CD NNS,a,career - high,17,goals,38,0.5449346405228758
5335278,a career - high 14.5 sacks,ARTICLE NN HYPH JJ CD NNS,a,career - high,14.5,sacks,38,0.5449346405228758
222931,a combined 5 minutes,ARTICLE VBN CD NNS,a,combined,5,minutes,27,0.5559640522875817
607049,a combined 18 weeks,ARTICLE VBN CD NNS,a,combined,18,weeks,27,0.5559640522875817
634562,a combined 319 yards,ARTICLE JJ CD NNS,a,combined,319,yards,27,0.5559640522875817
649710,a combined 20 league games,ARTICLE VBN CD NN NNS,a,combined,20,league games,27,0.5559640522875817
905191,a combined ten seasons,ARTICLE JJ CD NNS,a,combined,ten,seasons,27,0.5559640522875817
905842,a combined 14 seasons,ARTICLE JJ CD NNS,a,combined,14,seasons,27,0.5559640522875817
962753,a combined 41 official reigns,ARTICLE VBN CD JJ NNS,a,combined,41,official reigns,27,0.5559640522875817
1038906,a combined nine points,ARTICLE VBN CD NNS,a,combined,nine,points,27,0.5559640522875817
1238708,a combined five times,ARTICLE VBN CD NNS,a,combined,five,times,27,0.5559640522875817
1305404,a combined two goals,ARTICLE VBN CD NNS,a,combined,two,goals,27,0.5559640522875817
1384107,a combined 15 points,ARTICLE JJ CD NNS,a,combined,15,points,27,0.5559640522875817
1495013,a combined 52 league appearances,ARTICLE VBN CD NN NNS,a,combined,52,league appearances,27,0.5559640522875817
1517486,a combined six awards,ARTICLE VBN CD NNS,a,combined,six,awards,27,0.5559640522875817
1599455,a combined five points,ARTICLE VBN CD NNS,a,combined,five,points,27,0.5559640522875817
1607728,a combined 200 points,ARTICLE VBN CD NNS,a,combined,200,points,27,0.5559640522875817
2183896,a combined 11 games,ARTICLE VBN CD NNS,a,combined,11,games,27,0.5559640522875817
2413806,a combined 16 national championships,ARTICLE VBN CD JJ NNS,a,combined,16,national championships,27,0.5559640522875817
2514844,a combined 19 runs,ARTICLE VBN CD NNS,a,combined,19,runs,27,0.5559640522875817
2554814,a combined 73 goals,ARTICLE VBN CD NNS,a,combined,73,goals,27,0.5559640522875817
3642270,a combined 12 seasons,ARTICLE VBN CD NNS,a,combined,12,seasons,27,0.5559640522875817
3655086,a combined 11 seasons,ARTICLE JJ CD NNS,a,combined,11,seasons,27,0.5559640522875817
3706835,a combined 16 seasons,ARTICLE JJ CD NNS,a,combined,16,seasons,27,0.5559640522875817
4793336,a combined 12 seasons,ARTICLE VBN CD NNS,a,combined,12,seasons,27,0.5559640522875817
4793406,a combined 9 seasons,ARTICLE JJ CD NNS,a,combined,9,seasons,27,0.5559640522875817
5017480,a combined 14 seasons,ARTICLE JJ CD NNS,a,combined,14,seasons,27,0.5559640522875817
5327290,a combined 13 seasons,ARTICLE JJ CD NNS,a,combined,13,seasons,27,0.5559640522875817
5434202,a combined 8 seasons,ARTICLE JJ CD NNS,a,combined,8,seasons,27,0.5559640522875817
412972,a half dozen buildings,ARTICLE JJ FEW NNS,a,half,dozen,buildings,23,0.565359477124183
558281,a half dozen men,ARTICLE JJ FEW NNS,a,half,dozen,men,23,0.565359477124183
606747,a half - dozen roughs,ARTICLE JJ HYPH FEW NNS,A,half -,dozen,roughs,23,0.5747549019607843
609189,a half - dozen postal cards,ARTICLE JJ HYPH FEW JJ NNS,A,half -,dozen,postal cards,23,0.5747549019607843
616060,a half - dozen sailors,ARTICLE JJ HYPH FEW NNS,A,half -,dozen,sailors,23,0.5747549019607843
626784,a half dozen ragged porters,ARTICLE JJ FEW JJ NNS,a,half,dozen,ragged porters,23,0.565359477124183
629791,a half dozen years,ARTICLE JJ FEW NNS,a,half,dozen,years,23,0.565359477124183
632815,a half - dozen armlets,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,armlets,23,0.5747549019607843
721225,a half - dozen men,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,men,23,0.5747549019607843
730756,a half - dozen times,ARTICLE JJ HYPH FEW NNS,A,half -,dozen,times,23,0.5747549019607843
973136,a half dozen finishing cuts,ARTICLE JJ FEW JJ NNS,a,half,dozen,finishing cuts,23,0.565359477124183
1018828,a half - dozen boys,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,boys,23,0.5747549019607843
1028306,a half - dozen pink thimble cakes,ARTICLE JJ HYPH FEW JJ NN NNS,a,half -,dozen,pink thimble cakes,23,0.5747549019607843
1415853,a half dozen educational conferences,ARTICLE JJ FEW JJ NNS,a,half,dozen,educational conferences,23,0.565359477124183
1421006,a half - billion dollars,ARTICLE JJ HYPH CD NNS,a,half -,billion,dollars,23,0.5747549019607843
1489449,a half hundred enthusiastic youngsters,ARTICLE JJ CD JJ NNS,a,half,hundred,enthusiastic youngsters,23,0.565359477124183
1528352,a half dozen oarsmen,ARTICLE JJ FEW NNS,a,half,dozen,oarsmen,23,0.565359477124183
1869616,a half dozen forces,ARTICLE JJ FEW NNS,a,half,dozen,forces,23,0.565359477124183
1920253,a half - dozen city cousins,ARTICLE JJ HYPH FEW NN NNS,a,half -,dozen,city cousins,23,0.5747549019607843
1956424,a half dozen coaches,ARTICLE JJ FEW NNS,a,half,dozen,coaches,23,0.565359477124183
2558977,a half dozen others,ARTICLE JJ FEW NNS,a,half,dozen,others,23,0.565359477124183
2675929,a half - dozen good ones,ARTICLE JJ HYPH FEW JJ NNS,a,half -,dozen,good ones,23,0.5747549019607843
3527877,a half - dozen tribes,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,tribes,23,0.5747549019607843
3911745,a half million views,ARTICLE JJ CD NNS,a,half,million,views,23,0.565359477124183
4186753,a half dozen natives,ARTICLE JJ FEW NNS,A,half,dozen,natives,23,0.565359477124183
4187347,a half dozen savage natives,ARTICLE JJ FEW JJ NNS,a,half,dozen,savage natives,23,0.565359477124183
4833858,a half dozen sharpened sticks,ARTICLE JJ FEW VBN NNS,a,half,dozen,sharpened sticks,23,0.565359477124183
5099435,a half - dozen pains,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,pains,23,0.5747549019607843
5171835,a half - million leads,ARTICLE JJ HYPH CD NNS,a,half -,million,leads,23,0.5747549019607843
5263746,a half - dozen other places,ARTICLE JJ HYPH FEW JJ NNS,a,half -,dozen,other places,23,0.5747549019607843
5344154,a half dozen people,ARTICLE JJ FEW NNS,A,half,dozen,people,23,0.565359477124183
6044530,a half - dozen or more times,ARTICLE JJ HYPH FEW CC FEW NNS,a,half -,dozen or more,times,23,0.5747549019607843
6060996,a half - dozen men,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,men,23,0.5747549019607843
6214140,a half - dozen times,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,times,23,0.5747549019607843
6441370,a half - dozen witnesses,ARTICLE JJ HYPH FEW NNS,A,half -,dozen,witnesses,23,0.5747549019607843
7369708,a half - dozen methods,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,methods,23,0.5747549019607843
7507175,a half million workers,ARTICLE JJ CD NNS,a,half,million,workers,23,0.565359477124183
7611502,a half dozen places,ARTICLE JJ FEW NNS,a,half,dozen,places,23,0.565359477124183
8239144,a half dozen times,ARTICLE JJ FEW NNS,a,half,dozen,times,23,0.565359477124183
8311299,a half dozen bars,ARTICLE JJ FEW NNS,A,half,dozen,bars,23,0.565359477124183
9067207,a half - dozen mines,ARTICLE JJ HYPH FEW NNS,a,half -,dozen,mines,23,0.5747549019607843
9407786,a half - dozen particle cannons,ARTICLE JJ HYPH FEW NN NNS,a,half -,dozen,particle cannons,23,0.5747549019607843
9672063,a half - million dollars,ARTICLE JJ HYPH CD NNS,a,half -,million,dollars,23,0.5747549019607843
9829425,a half dozen stealth drones,ARTICLE JJ FEW JJ NNS,a,half,dozen,stealth drones,23,0.565359477124183
10158691,a half dozen vulgar alias ',ARTICLE JJ FEW JJ NN NNS,a,half,dozen,vulgar alias ',23,0.565359477124183
11631621,a half dozen other names,ARTICLE JJ FEW JJ NNS,a,half,dozen,other names,23,0.565359477124183
853395,a season - high 12 combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,12,combined tackles,17,0.5816993464052288
894084,a season - high ten combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,ten,combined tackles,17,0.5816993464052288
1058053,a season - high 16 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,16,points,17,0.5816993464052288
1058060,a season - high 19 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,19,points,17,0.5816993464052288
1085629,a season - high seven combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,seven,combined tackles,17,0.5816993464052288
1085640,a season - high six solo tackles,ARTICLE NN HYPH JJ CD JJ NNS,a,season - high,six,solo tackles,17,0.5816993464052288
1085641,a season - high seven combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,seven,combined tackles,17,0.5816993464052288
1085659,a season - high three combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,three,combined tackles,17,0.5816993464052288
1085660,a season - high four combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,four,combined tackles,17,0.5816993464052288
1085675,a season - high two pass deflections,ARTICLE NN HYPH JJ CD NN NNS,a,season - high,two,pass deflections,17,0.5816993464052288
1122715,a season - high 21 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,21,points,17,0.5816993464052288
1122722,a season - high 18 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,18,points,17,0.5816993464052288
1539691,a season - high 26 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,26,points,17,0.5816993464052288
1880360,a season - high 28 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,28,points,17,0.5816993464052288
2184699,a season - high four stops,ARTICLE NN HYPH JJ CD NNS,a,season - high,four,stops,17,0.5816993464052288
2496412,a season - high 19 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,19,points,17,0.5816993464052288
2638167,a season - high 91 yards,ARTICLE NN HYPH JJ CD NNS,a,season - high,91,yards,17,0.5816993464052288
701738,a possible two points,ARTICLE JJ CD NNS,a,possible,two,points,13,0.5870098039215687
713538,a possible ten marks,ARTICLE JJ CD NNS,a,possible,ten,marks,13,0.5870098039215687
815055,a possible 45 games,ARTICLE JJ CD NNS,a,possible,45,games,13,0.5870098039215687
866896,a possible 45 votes,ARTICLE JJ CD NNS,a,possible,45,votes,13,0.5870098039215687
1180786,a possible four stars,ARTICLE JJ CD NNS,a,possible,four,stars,13,0.5870098039215687
1598812,a possible ten years,ARTICLE JJ CD NNS,a,possible,ten,years,13,0.5870098039215687
1725273,a possible 156 points,ARTICLE JJ CD NNS,a,possible,156,points,13,0.5870098039215687
2199339,a possible 78 games,ARTICLE JJ CD NNS,a,possible,78,games,13,0.5870098039215687
2209814,a possible 164 points,ARTICLE JJ CD NNS,a,possible,164,points,13,0.5870098039215687
2526688,a possible 27 innings,ARTICLE JJ CD NNS,a,possible,27,innings,13,0.5870098039215687
3294087,a possible 107 seats,ARTICLE JJ CD NNS,a,possible,107,seats,13,0.5870098039215687
10613886,a possible one hundred points,ARTICLE JJ CD CD NNS,a,possible,one hundred,points,13,0.5870098039215687
10614453,a possible 100 points,ARTICLE JJ CD NNS,a,possible,100,points,13,0.5870098039215687
162483,a whole forty five minutes,ARTICLE JJ CD CD NNS,a,whole,forty five,minutes,12,0.6017156862745098
388982,a long twelve or fifteen minutes,ARTICLE JJ CD CC CD NNS,a,long,twelve or fifteen,minutes,12,0.5919117647058824
1937533,a staggering 22 years,ARTICLE JJ CD NNS,a,staggering,22,years,12,0.5968137254901961
1945219,a staggering 22 years,ARTICLE JJ CD NNS,a,staggering,22,years,12,0.5968137254901961
2384118,a staggering fifty billion pounds,ARTICLE JJ CD CD NNS,a,staggering,fifty billion,pounds,12,0.5968137254901961
2436308,a long eight years,ARTICLE JJ CD NNS,a,long,eight,years,12,0.5919117647058824
2725378,a whole six months,ARTICLE JJ CD NNS,a,whole,six,months,12,0.6017156862745098
2818355,a long hundred yards,ARTICLE JJ CD NNS,a,long,hundred,yards,12,0.5919117647058824
2873628,a long sixty miles,ARTICLE JJ CD NNS,a,long,sixty,miles,12,0.5919117647058824
3022166,a long four miles,ARTICLE JJ CD NNS,a,long,four,miles,12,0.5919117647058824
3388110,a whole twenty - four hours,ARTICLE JJ CD HYPH CD NNS,a,whole,twenty - four,hours,12,0.6017156862745098
3622792,a whole 50 cents,ARTICLE JJ CD NNS,a,whole,50,cents,12,0.6017156862745098
3670853,a long two miles,ARTICLE JJ CD NNS,A,long,two,miles,12,0.5919117647058824
3889136,a staggering 27 volumes,ARTICLE JJ CD NNS,a,staggering,27,volumes,12,0.5968137254901961
3977504,a whole five months,ARTICLE JJ CD NNS,a,whole,five,months,12,0.6017156862745098
4650387,a long ten minutes,ARTICLE JJ CD NNS,a,long,ten,minutes,12,0.5919117647058824
4661764,a staggering twenty million pounds,ARTICLE JJ CD CD NNS,a,staggering,twenty million,pounds,12,0.5968137254901961
5190019,a staggering six trillion letters,ARTICLE JJ CD CD NNS,a,staggering,six trillion,letters,12,0.5968137254901961
5597873,a long four women,ARTICLE JJ CD NNS,a,long,four,women,12,0.5919117647058824
5840838,a whole 3 episodes,ARTICLE JJ CD NNS,A,whole,3,episodes,12,0.6017156862745098
7118070,a whole two months,ARTICLE JJ CD NNS,a,whole,two,months,12,0.6017156862745098
7463085,a long two months,ARTICLE JJ CD NNS,a,long,two,months,12,0.5919117647058824
8069349,a long two weeks,ARTICLE JJ CD NNS,a,long,two,weeks,12,0.5919117647058824
8206547,a whole six hours,ARTICLE JJ CD NNS,a,whole,six,hours,12,0.6017156862745098
8228359,a staggering 10 years,ARTICLE JJ CD NNS,a,staggering,10,years,12,0.5968137254901961
8277401,a whole three days,ARTICLE JJ CD NNS,a,whole,three,days,12,0.6017156862745098
8800769,a whole 24 hours,ARTICLE JJ CD NNS,a,whole,24,hours,12,0.6017156862745098
8809908,a long six years,ARTICLE JJ CD NNS,a,long,six,years,12,0.5919117647058824
9657868,a staggering 100 billion gallons,ARTICLE JJ CD CD NNS,A,staggering,100 billion,gallons,12,0.5968137254901961
9658803,a staggering 100 billion gallons,ARTICLE JJ CD CD NNS,A,staggering,100 billion,gallons,12,0.5968137254901961
9659746,a staggering 375 billion litres,ARTICLE JJ CD CD NNS,A,staggering,375 billion,litres,12,0.5968137254901961
