idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
143563,a great many officers,ARTICLE JJ FEW NNS,A,great,many,officers,355,0.14501633986928106
144287,a great many other weapons,ARTICLE JJ FEW JJ NNS,a,great,many,other weapons,355,0.14501633986928106
144425,a great many salaams,ARTICLE JJ FEW NNS,a,great,many,salaams,355,0.14501633986928106
144993,a great many rajas,ARTICLE JJ FEW NNPS,A,great,many,rajas,355,0.14501633986928106
146886,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors,355,0.14501633986928106
148046,a great many rupees,ARTICLE JJ FEW NNS,a,great,many,rupees,355,0.14501633986928106
148355,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,355,0.14501633986928106
149538,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
155767,a great many rupees,ARTICLE JJ FEW NNS,a,great,many,rupees,355,0.14501633986928106
155933,a great many salaams,ARTICLE JJ FEW NNS,a,great,many,salaams,355,0.14501633986928106
156403,a great many kings,ARTICLE JJ FEW NNPS,A,great,many,kings,355,0.14501633986928106
156623,a great many birds,ARTICLE JJ FEW NNS,a,great,many,birds,355,0.14501633986928106
156938,a great many sepoys,ARTICLE JJ FEW NNS,a,great,many,sepoys,355,0.14501633986928106
156939,a great many miles,ARTICLE JJ FEW NNS,a,great,many,miles,355,0.14501633986928106
157113,a great many salaams,ARTICLE JJ FEW NNS,a,great,many,salaams,355,0.14501633986928106
165613,a great many pieces,ARTICLE JJ FEW NNS,a,great,many,pieces,355,0.14501633986928106
169156,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
169271,a great many slippers,ARTICLE JJ FEW NNS,a,great,many,slippers,355,0.14501633986928106
170562,a great many children,ARTICLE JJ FEW NNS,a,great,many,children,355,0.14501633986928106
205972,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
212846,a great many birds,ARTICLE JJ FEW NNS,A,great,many,birds,355,0.14501633986928106
214928,a great many more mice,ARTICLE JJ FEW FEW NNPS,a,great,many more,mice,355,0.14501633986928106
218494,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends,355,0.14501633986928106
219701,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
233354,a great many windings,ARTICLE JJ FEW NNS,a,great,many,windings,355,0.14501633986928106
234129,a great many hits,ARTICLE JJ FEW NNS,a,great,many,hits,355,0.14501633986928106
261780,a great many brains,ARTICLE JJ FEW NNS,a,great,many,brains,355,0.14501633986928106
265006,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,355,0.14501633986928106
265405,a great many pins,ARTICLE JJ FEW NNS,a,great,many,pins,355,0.14501633986928106
276710,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
286540,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
286591,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
289334,a great many wolves,ARTICLE JJ FEW NNS,a,great,many,wolves,355,0.14501633986928106
318938,a great many kangaroos,ARTICLE JJ FEW NNS,a,great,many,kangaroos,355,0.14501633986928106
329442,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people,355,0.14501633986928106
331869,a great many roses,ARTICLE JJ FEW NNS,a,great,many,roses,355,0.14501633986928106
345060,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
347616,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
353288,a great many singular things,ARTICLE JJ FEW JJ NNS,a,great,many,singular things,355,0.14501633986928106
353833,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
354384,a great many questions,ARTICLE JJ FEW NNS,a,great,many,questions,355,0.14501633986928106
365566,a great many weavers,ARTICLE JJ FEW NNS,a,great,many,weavers,355,0.14501633986928106
374969,a great many clouds,ARTICLE JJ FEW NNS,a,great,many,clouds,355,0.14501633986928106
375150,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
380199,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,355,0.14501633986928106
388668,a great many skiffs,ARTICLE JJ FEW NNS,a,great,many,skiffs,355,0.14501633986928106
405109,a great many desirable things,ARTICLE JJ FEW JJ NNS,a,great,many,desirable things,355,0.14501633986928106
405355,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
405357,a great many more things,ARTICLE JJ FEW FEW NNS,a,great,many more,things,355,0.14501633986928106
413441,a great many disagreeable things,ARTICLE JJ FEW JJ NNS,a,great,many,disagreeable things,355,0.14501633986928106
431147,a great many hungry days,ARTICLE JJ FEW JJ NNS,a,great,many,hungry days,355,0.14501633986928106
435586,a great many shapes,ARTICLE JJ FEW NNS,a,great,many,shapes,355,0.14501633986928106
457169,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends,355,0.14501633986928106
486266,a great many holidays,ARTICLE JJ FEW NNS,a,great,many,holidays,355,0.14501633986928106
519587,a great many various stores,ARTICLE JJ FEW JJ NNS,a,great,many,various stores,355,0.14501633986928106
541074,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
555150,a great many petroglyphs,ARTICLE JJ FEW NNS,a,great,many,petroglyphs,355,0.14501633986928106
555805,a great many masters,ARTICLE JJ FEW NNS,a,great,many,masters,355,0.14501633986928106
556885,a great many dead bodies,ARTICLE JJ FEW JJ NNS,a,great,many,dead bodies,355,0.14501633986928106
579655,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
592091,a great many facts,ARTICLE JJ FEW NNS,a,great,many,facts,355,0.14501633986928106
601584,a great many local names,ARTICLE JJ FEW JJ NNS,A,great,many,local names,355,0.14501633986928106
639201,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
659440,a great many conquests,ARTICLE JJ FEW NNS,a,great,many,conquests,355,0.14501633986928106
659461,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
676196,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
680569,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
683397,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
684595,a great many ways,ARTICLE JJ FEW NNS,a,great,many,ways,355,0.14501633986928106
690564,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,355,0.14501633986928106
692650,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
693440,a great many other things,ARTICLE JJ FEW JJ NNS,a,great,many,other things,355,0.14501633986928106
699298,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
707369,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
713796,a great many arguments,ARTICLE JJ FEW NNS,a,great,many,arguments,355,0.14501633986928106
714734,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
718048,a great many other folks,ARTICLE JJ FEW JJ NNS,a,great,many,other folks,355,0.14501633986928106
719411,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people,355,0.14501633986928106
721557,a great many years,ARTICLE JJ FEW NNS,A,great,many,years,355,0.14501633986928106
727922,a great many fox -,ARTICLE JJ FEW NN NNS,a,great,many,fox -,355,0.14501633986928106
729549,a great many hundred years,ARTICLE JJ FEW CD NNS,a,great,many hundred,years,355,0.14501633986928106
730597,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
732571,a great many members,ARTICLE JJ FEW NNS,A,great,many,members,355,0.14501633986928106
743145,a great many strange things,ARTICLE JJ FEW JJ NNS,a,great,many,strange things,355,0.14501633986928106
760028,a great many armed men,ARTICLE JJ FEW JJ NNS,a,great,many,armed men,355,0.14501633986928106
760100,a great many people,ARTICLE JJ FEW NNS,A,great,many,people,355,0.14501633986928106
762439,a great many mistakes,ARTICLE JJ FEW NNS,a,great,many,mistakes,355,0.14501633986928106
770255,a great many mistakes,ARTICLE JJ FEW NNS,a,great,many,mistakes,355,0.14501633986928106
778592,a great many responsibilities,ARTICLE JJ FEW NNS,a,great,many,responsibilities,355,0.14501633986928106
779707,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
780300,a great many huge flies,ARTICLE JJ FEW JJ NNS,a,great,many,huge flies,355,0.14501633986928106
780327,a great many species,ARTICLE JJ FEW NNS,a,great,many,species,355,0.14501633986928106
780468,a great many more deaths,ARTICLE JJ FEW FEW NNS,a,great,many more,deaths,355,0.14501633986928106
780470,a great many nobles,ARTICLE JJ FEW NNS,a,great,many,nobles,355,0.14501633986928106
781996,a great many huge flies,ARTICLE JJ FEW JJ NNS,a,great,many,huge flies,355,0.14501633986928106
782018,a great many species,ARTICLE JJ FEW NNS,a,great,many,species,355,0.14501633986928106
794624,a great many adventurers,ARTICLE JJ FEW NNS,A,great,many,adventurers,355,0.14501633986928106
801302,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,355,0.14501633986928106
801306,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people,355,0.14501633986928106
803227,a great many good friends,ARTICLE JJ FEW JJ NNS,a,great,many,good friends,355,0.14501633986928106
805611,a great many personal sacrifices,ARTICLE JJ FEW JJ NNS,a,great,many,personal sacrifices,355,0.14501633986928106
808707,a great many fair ones,ARTICLE JJ FEW JJ NNS,A,great,many,fair ones,355,0.14501633986928106
824964,a great many creatures,ARTICLE JJ FEW NNS,a,great,many,creatures,355,0.14501633986928106
828872,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,355,0.14501633986928106
831688,a great many pets,ARTICLE JJ FEW NNS,a,great,many,pets,355,0.14501633986928106
836618,a great many children,ARTICLE JJ FEW NNS,A,great,many,children,355,0.14501633986928106
844769,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
851342,a great many turkeys,ARTICLE JJ FEW NNPS,a,great,many,turkeys,355,0.14501633986928106
852985,a great many other things,ARTICLE JJ FEW JJ NNS,a,great,many,other things,355,0.14501633986928106
853601,a great many women,ARTICLE JJ FEW NNS,a,great,many,women,355,0.14501633986928106
855167,a great many workmen,ARTICLE JJ FEW NNS,a,great,many,workmen,355,0.14501633986928106
856239,a great many sick men,ARTICLE JJ FEW JJ NNS,a,great,many,sick men,355,0.14501633986928106
864780,a great many windings,ARTICLE JJ FEW NNS,a,great,many,windings,355,0.14501633986928106
866580,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors,355,0.14501633986928106
900754,a great many other things,ARTICLE JJ FEW JJ NNS,a,great,many,other things,355,0.14501633986928106
904249,a great many voices,ARTICLE JJ FEW NNS,a,great,many,voices,355,0.14501633986928106
905657,a great many curious ones,ARTICLE JJ FEW JJ NNS,a,great,many,curious ones,355,0.14501633986928106
918115,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
919708,a great many brave deeds,ARTICLE JJ FEW JJ NNS,a,great,many,brave deeds,355,0.14501633986928106
920178,a great many strange things,ARTICLE JJ FEW JJ NNS,a,great,many,strange things,355,0.14501633986928106
920576,a great many nymphs,ARTICLE JJ FEW NNPS,a,great,many,nymphs,355,0.14501633986928106
922300,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
922301,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
924449,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
924922,a great many huge flies,ARTICLE JJ FEW JJ NNS,a,great,many,huge flies,355,0.14501633986928106
924936,a great many species,ARTICLE JJ FEW NNS,a,great,many,species,355,0.14501633986928106
926144,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
926892,a great many strange adventures,ARTICLE JJ FEW JJ NNS,a,great,many,strange adventures,355,0.14501633986928106
927899,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends,355,0.14501633986928106
930519,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,355,0.14501633986928106
930670,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
930930,a great many hundred years,ARTICLE JJ FEW CD NNS,a,great,many hundred,years,355,0.14501633986928106
931194,a great many playful leaps,ARTICLE JJ FEW JJ NNS,a,great,many,playful leaps,355,0.14501633986928106
933162,a great many tender feelings,ARTICLE JJ FEW JJ NNS,a,great,many,tender feelings,355,0.14501633986928106
935360,a great many giants,ARTICLE JJ FEW NNPS,a,great,many,giants,355,0.14501633986928106
935809,a great many thousand pygmies,ARTICLE JJ FEW CD NNPS,a,great,many thousand,pygmies,355,0.14501633986928106
935959,a great many centuries,ARTICLE JJ FEW NNS,a,great,many,centuries,355,0.14501633986928106
937950,a great many trumpeters,ARTICLE JJ FEW NNS,a,great,many,trumpeters,355,0.14501633986928106
938271,a great many hurricanes,ARTICLE JJ FEW NNS,a,great,many,hurricanes,355,0.14501633986928106
939937,a great many yards,ARTICLE JJ FEW NNS,a,great,many,yards,355,0.14501633986928106
940501,a great many beautiful shells,ARTICLE JJ FEW JJ NNS,a,great,many,beautiful shells,355,0.14501633986928106
940606,a great many flowers,ARTICLE JJ FEW NNS,a,great,many,flowers,355,0.14501633986928106
941811,a great many other accomplishments,ARTICLE JJ FEW JJ NNS,a,great,many,other accomplishments,355,0.14501633986928106
941945,a great many little children,ARTICLE JJ FEW JJ NNS,a,great,many,little children,355,0.14501633986928106
942569,a great many misfortunes,ARTICLE JJ FEW NNS,a,great,many,misfortunes,355,0.14501633986928106
942739,a great many tears,ARTICLE JJ FEW NNS,a,great,many,tears,355,0.14501633986928106
944877,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,355,0.14501633986928106
957031,a great many ladies,ARTICLE JJ FEW NNS,a,great,many,ladies,355,0.14501633986928106
957682,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
957846,a great many baskets,ARTICLE JJ FEW NNS,a,great,many,baskets,355,0.14501633986928106
962826,a great many empty bottles,ARTICLE JJ FEW JJ NNS,A,great,many,empty bottles,355,0.14501633986928106
965500,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
971240,a great many good points,ARTICLE JJ FEW JJ NNS,a,great,many,good points,355,0.14501633986928106
980028,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
997177,a great many little ones,ARTICLE JJ FEW JJ NNS,a,great,many,little ones,355,0.14501633986928106
1008623,a great many feelings,ARTICLE JJ FEW NNS,a,great,many,feelings,355,0.14501633986928106
1016600,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
1021740,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,355,0.14501633986928106
1021799,a great many places,ARTICLE JJ FEW NNS,a,great,many,places,355,0.14501633986928106
1030929,a great many garments,ARTICLE JJ FEW NNS,a,great,many,garments,355,0.14501633986928106
1219318,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,355,0.14501633986928106
1297362,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends,355,0.14501633986928106
1377451,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
1424174,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
1502688,a great many flowers,ARTICLE JJ FEW NNS,a,great,many,flowers,355,0.14501633986928106
1538209,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
1628672,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
1725851,a great many greenhouses,ARTICLE JJ FEW NNS,a,great,many,greenhouses,355,0.14501633986928106
1728757,a great many parts,ARTICLE JJ FEW NNS,a,great,many,parts,355,0.14501633986928106
1731919,a great many ladies,ARTICLE JJ FEW NNS,a,great,many,ladies,355,0.14501633986928106
1735919,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors,355,0.14501633986928106
1814720,a great many mysterious hints,ARTICLE JJ FEW JJ NNS,a,great,many,mysterious hints,355,0.14501633986928106
1822181,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
1824353,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
1837798,a great many letters,ARTICLE JJ FEW NNS,a,great,many,letters,355,0.14501633986928106
1865530,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
1879911,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
1883002,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
1886034,a great many new discoveries,ARTICLE JJ FEW JJ NNS,a,great,many,new discoveries,355,0.14501633986928106
2010755,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
2271920,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
2278372,a great many toys,ARTICLE JJ FEW NNS,A,great,many,toys,355,0.14501633986928106
2327567,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
2403866,a great many nice things,ARTICLE JJ FEW JJ NNS,a,great,many,nice things,355,0.14501633986928106
2440103,a great many hides,ARTICLE JJ FEW NNS,a,great,many,hides,355,0.14501633986928106
2451476,a great many tender feelings,ARTICLE JJ FEW JJ NNS,a,great,many,tender feelings,355,0.14501633986928106
2455980,a great many giants,ARTICLE JJ FEW NNPS,a,great,many,giants,355,0.14501633986928106
2457414,a great many thousand pygmies,ARTICLE JJ FEW CD NNPS,a,great,many thousand,pygmies,355,0.14501633986928106
2457911,a great many centuries,ARTICLE JJ FEW NNS,a,great,many,centuries,355,0.14501633986928106
2463454,a great many trumpeters,ARTICLE JJ FEW NNS,a,great,many,trumpeters,355,0.14501633986928106
2464408,a great many hurricanes,ARTICLE JJ FEW NNS,a,great,many,hurricanes,355,0.14501633986928106
2468540,a great many yards,ARTICLE JJ FEW NNS,a,great,many,yards,355,0.14501633986928106
2470027,a great many flowers,ARTICLE JJ FEW NNS,a,great,many,flowers,355,0.14501633986928106
2473160,a great many other accomplishments,ARTICLE JJ FEW JJ NNS,a,great,many,other accomplishments,355,0.14501633986928106
2473592,a great many little children,ARTICLE JJ FEW JJ NNS,a,great,many,little children,355,0.14501633986928106
2475207,a great many misfortunes,ARTICLE JJ FEW NNS,a,great,many,misfortunes,355,0.14501633986928106
2475675,a great many tears,ARTICLE JJ FEW NNS,a,great,many,tears,355,0.14501633986928106
2481012,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,355,0.14501633986928106
2484206,a great many brave deeds,ARTICLE JJ FEW JJ NNS,a,great,many,brave deeds,355,0.14501633986928106
2485352,a great many strange things,ARTICLE JJ FEW JJ NNS,a,great,many,strange things,355,0.14501633986928106
2490261,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends,355,0.14501633986928106
2496407,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
2498008,a great many huge flies,ARTICLE JJ FEW JJ NNS,a,great,many,huge flies,355,0.14501633986928106
2498100,a great many species,ARTICLE JJ FEW NNS,a,great,many,species,355,0.14501633986928106
2504437,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
2506596,a great many strange adventures,ARTICLE JJ FEW JJ NNS,a,great,many,strange adventures,355,0.14501633986928106
2511271,a great many more factors,ARTICLE JJ FEW FEW NNS,A,great,many more,factors,355,0.14501633986928106
2530668,a great many kinds,ARTICLE JJ FEW NNS,a,great,many,kinds,355,0.14501633986928106
2594236,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends,355,0.14501633986928106
2594938,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
2597054,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
2640912,a great many strange places,ARTICLE JJ FEW JJ NNS,a,great,many,strange places,355,0.14501633986928106
2645640,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people,355,0.14501633986928106
2712641,a great many young men,ARTICLE JJ FEW JJ NNS,a,great,many,young men,355,0.14501633986928106
2764042,a great two years,ARTICLE JJ CD NNS,a,great,two,years,355,0.14501633986928106
2817693,a great many deliverances,ARTICLE JJ FEW NNS,a,great,many,deliverances,355,0.14501633986928106
2854058,a great many other questions,ARTICLE JJ FEW JJ NNS,a,great,many,other questions,355,0.14501633986928106
2877987,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
2883916,a great many howlings,ARTICLE JJ FEW NNS,a,great,many,howlings,355,0.14501633986928106
2900203,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
2905063,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
2948170,a great many little birds,ARTICLE JJ FEW JJ NNS,a,great,many,little birds,355,0.14501633986928106
2950899,a great many other things,ARTICLE JJ FEW JJ NNS,a,great,many,other things,355,0.14501633986928106
2950915,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
2954133,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
2961059,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
2981168,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
2982195,a great many voices,ARTICLE JJ FEW NNS,a,great,many,voices,355,0.14501633986928106
2984556,a great many questions,ARTICLE JJ FEW NNS,a,great,many,questions,355,0.14501633986928106
3010741,a great many other busybodies,ARTICLE JJ FEW JJ NNS,a,great,many,other busybodies,355,0.14501633986928106
3015957,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
3016689,a great many little lives,ARTICLE JJ FEW JJ NNS,A,great,many,little lives,355,0.14501633986928106
3042776,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
3047940,a great many young people,ARTICLE JJ FEW JJ NNS,a,great,many,young people,355,0.14501633986928106
3056142,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people,355,0.14501633986928106
3060350,a great many other boys,ARTICLE JJ FEW JJ NNS,a,great,many,other boys,355,0.14501633986928106
3063524,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
3067838,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
3069414,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people,355,0.14501633986928106
3073969,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
3076813,a great many other matters,ARTICLE JJ FEW JJ NNS,a,great,many,other matters,355,0.14501633986928106
3091117,a great many travelers,ARTICLE JJ FEW NNS,a,great,many,travelers,355,0.14501633986928106
3098980,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
3110159,a great many other ducks,ARTICLE JJ FEW JJ NNPS,a,great,many,other ducks,355,0.14501633986928106
3117296,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
3120668,a great many other people,ARTICLE JJ FEW JJ NNS,a,great,many,other people,355,0.14501633986928106
3165923,a great many inventions,ARTICLE JJ FEW NNS,a,great,many,inventions,355,0.14501633986928106
3471028,a great many costs,ARTICLE JJ FEW NNS,a,great,many,costs,355,0.14501633986928106
3483247,a great many more variables,ARTICLE JJ FEW FEW NNS,a,great,many more,variables,355,0.14501633986928106
3556434,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
3561804,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
3600721,a great many theories,ARTICLE JJ FEW NNS,A,great,many,theories,355,0.14501633986928106
3609503,a great many writers,ARTICLE JJ FEW NNS,a,great,many,writers,355,0.14501633986928106
3643350,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
3933093,a great many miles,ARTICLE JJ FEW NNS,a,great,many,miles,355,0.14501633986928106
3936086,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
3949314,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
3996275,a great many australian plants,ARTICLE JJ FEW JJ NNS,A,great,many,australian plants,355,0.14501633986928106
4004541,a great many different names,ARTICLE JJ FEW JJ NNS,a,great,many,different names,355,0.14501633986928106
4064186,a great many american publishers,ARTICLE JJ FEW JJ NNS,A,great,many,american publishers,355,0.14501633986928106
4180329,a great many branches,ARTICLE JJ FEW NNS,a,great,many,branches,355,0.14501633986928106
4197666,a great many chances,ARTICLE JJ FEW NNS,a,great,many,chances,355,0.14501633986928106
4202178,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
4203351,a great many dangers,ARTICLE JJ FEW NNS,a,great,many,dangers,355,0.14501633986928106
4213343,a great many difficulties,ARTICLE JJ FEW NNS,a,great,many,difficulties,355,0.14501633986928106
4293895,a great many geographers,ARTICLE JJ FEW NNS,a,great,many,geographers,355,0.14501633986928106
4397021,a great many gods,ARTICLE JJ FEW NNS,a,great,many,gods,355,0.14501633986928106
4418804,a great many gestures,ARTICLE JJ FEW NNS,a,great,many,gestures,355,0.14501633986928106
4424207,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
4551606,a great many mathematical objects,ARTICLE JJ FEW JJ NNS,a,great,many,mathematical objects,355,0.14501633986928106
