source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV
babylm_sents,"In 1983, in Cassino, he clocked a manual 14.8 seconds in 150 metres, a world best time that he held until it was bettered by Usain Bolt in Manchester in 2009.",66370,a manual 14.8 seconds,DT JJ CD NNS,a,manual,14.8,seconds,NA
babylm_sents,The floor ultimately was raised an additional seven to eight feet (2.0 to 2.5 m) and up to 30 feet (9.0 m) near the upper entrance.,68769,an additional seven to eight feet,DT JJ CD TO CD NNS,an,additional,seven & eight,feet,NA
babylm_sents,alright i'm gonna take a quick two minutes be right back .,86713,a quick two minutes,DT JJ CD NNS,a,quick,two,minutes,NA
babylm_sents,"He weighed – during filming, but in the film he was billed at ; one publisher said of Drago, ""He's a hulking 261 pounds of merciless fighting machine, the best that Soviet science & medicine can create"".",87096,a hulking 261 pounds,DT JJ CD NNS,a,hulking,261,pounds,NA
babylm_sents,"This was followed by a further six weeks of filming in the ""Reno-Tahoe area"".",88015,a further six weeks,DT JJ CD NNS,a,further,six,weeks,NA
babylm_sents,He swam a few more strokes.,92699,a few more strokes,DT JJ CD NNS,a,few,more,strokes,NA
babylm_sents,Well I'm only trying to find just a few more recordings for her because they're coming towards the end of the er,98456,a few more recordings,DT JJ CD NNS,a,few,more,recordings,NA
babylm_sents,"Under the 1939 White Paper, Jews could only send a further 75,000 immigrants over 5 years and the goal of giving over Israel to Palestine.",105793,"a further 75,000 immigrants",DT JJR CD NNS,a,further,"75,000",immigrants,NA
babylm_sents,"The album went on to sell over 850,000 copies in the UK (double platinum), and a further 250,000 copies in the United States.",110319,"a further 250,000 copies",DT JJ CD NNS,a,further,"250,000",copies,NA
babylm_sents,"The album itself followed in March 1999 to mixed reviews, and only sold a mere 25,000 copies in its first week as it crawled in at Number 9 on the album chart, spending only 10 weeks in the UK Top 75.",110402,"a mere 25,000 copies",DT JJ CD NNS,a,mere,"25,000",copies,NA
babylm_sents,"The band made a few more festival appearances, including an appearance at V99, as a last-minute replacement for Placebo, before playing their last ever gig in the Netherlands at the end of August.",110424,a few more festival appearances,DT JJ CD NN NNS,a,few,more,festival & appearances,NA
babylm_sents,"On 28 June 2005 Capill entered guilty pleas on a further three charges of indecent assault, one of rape, and one of unlawful sexual connection, all committed against girls under the age of 12.",117952,a further three charges,DT JJ CD NNS,a,further,three,charges,NA
babylm_sents,And during a certain fatal three days when the,121316,a certain fatal three days,DT JJ JJ CD NNS,a,certain & fatal,three,days,NA
babylm_sents,"Before the rally, Sanders spoke to an additional 3,000 supporters outside who could not get into the arena.",126657,"an additional 3,000 supporters",DT JJ CD NNS,an,additional,"3,000",supporters,NA
babylm_sents,"In the autumn a great many sparrows assembled together in a wheatfield, and there the old bird met his four children again, and full of joy took them home with him.",136087,a great many sparrows,DT JJ CD NNS,a,great,many,sparrows,NA
babylm_sents,"Roger Ebert of the ""Chicago Sun-Times"" lauded the film, awarding it a full four stars and describing it as ""unflinchingly honest, and so well acted that for most of the film I abandoned any detachment and just watched it as if I were observing the lives of real people.""",136989,a full four stars,DT JJ CD NNS,a,full,four,stars,NA
babylm_sents,"A great many Rajas and Rajas' sons have come here to marry her, and her father has had them all killed.",144993,a great many rajas,DT JJ CD NNPS,A,great,many,rajas,NA
babylm_sents,"Currently, ratification by an additional ten states would be necessary for this amendment to become law.",148447,an additional ten states,DT JJ CD NNS,an,additional,ten,states,NA
babylm_sents,"A great many Kings, Rajas, and their sons accepted this invitation and came.",156403,a great many kings,DT JJ CD NNPS,A,great,many,kings,NA
babylm_sents,"The King gave his daughter and the young prince a great many horses, and elephants, and all sorts of presents, and also a great many sepoys to guard them.",156938,a great many sepoys,DT JJ CD NNS,a,great,many,sepoys,NA
babylm_sents,try to do a whole forty five minutes here .,162483,a whole forty five minutes,DT JJ CD CD NNS,a,whole,forty & five,minutes,NA
babylm_sents,"Adler joined NPR in 1979 as a general assignment reporter, after spending a year as an NPR freelance reporter covering New York City, and subsequently worked on a great many pieces dealing with subjects as diverse as the death penalty, the right to die movement, the response to the war in Kosovo, computer gaming, the drug ecstasy, geek culture, children and technology and Pokémon.",165613,a great many pieces,DT JJ CD NNS,a,great,many,pieces,NA
babylm_sents,"` You will have to wait till the spring , though , ' she said ; ' I must make a great many slippers and dresses for myself , as I shall not have much time afterwards . '",169271,a great many slippers,DT JJ CD NNS,a,great,many,slippers,NA
babylm_sents,He ended the 2008–09 season with a very impressive 32 goals in 33 matches.,175893,a very impressive 32 goals,DT RB JJ CD NNS,a,impressive,32,goals,very
babylm_sents,Would you catch a couple thousand fireflies,177223,a couple thousand fireflies,DT JJ CD NNS,a,couple,thousand,fireflies,NA
babylm_sents,"The actual telesoftware programme was contained from frame 70067d onwards, in this case for a further ten frames.",182028,a further ten frames,DT JJ CD NNS,a,further,ten,frames,NA
babylm_sents,"It is set in a future Four Lands in which the Federation of the Southland has driven off the Elves, enslaved the Dwarves, and outlawed magic.",183850,a future four lands,DT JJ CD NNPS,a,future,four,lands,NA
babylm_sents,Even though the poem is a mere nineteen lines there are many differing interpretations.,186938,a mere nineteen lines,DT JJ CD NNS,a,mere,nineteen,lines,NA
babylm_sents,"In the next season, Salminen ran a new 10,000 m world record of 30:05.6.",189145,"a new 10,000 m",DT JJ CD NNS,a,new,"10,000",m,NA
babylm_sents,cross rail tender type of document would be to have a standard three or four sheets that were relative to the whole group.,189241,a standard three or four sheets,DT JJ CD CC CD NNS,a,standard,three & four,sheets,NA
babylm_sents,"Next night a great many more Mice came, and on Sunday two Rats even appeared; but these thought the story was not pretty, and the little Mice were sorry for that, for now they also did not like it so much as before.",214928,a great many more mice,DT JJ JJ CD NNPS,a,great & many,more,mice,NA
babylm_sents,and we're gonna try and get you a good forty minutes half an hour .,215963,a good forty minutes,DT JJ CD NNS,a,good,forty,minutes,NA
babylm_sents,"and darted sharply south for a round dozen blocks, then went due east",217172,a round dozen blocks,DT JJ CD NNS,a,round,dozen,blocks,NA
babylm_sents,"Besides these , he has a strong bodyguard and a good many cross-bowmen .",223653,a good many cross - bowmen,DT JJ CD NNS NNS NNS,a,good,many,cross & - & bowmen,NA
babylm_sents,"In 1875, the final year of the NA, the Red Stockings were an amazing 71-8, finishing a full 15 games ahead of the Athletics.",229447,a full 15 games,DT JJ CD NNS,a,full,15,games,NA
babylm_sents,"In 1885, the team finished above .500 for the first time, going 56-54 and finishing in third place, a distant 30 games behind the White Stockings and 28 games behind second-place New York Giants.",229503,a distant 30 games,DT JJ CD NNS,a,distant,30,games,NA
babylm_sents,"He had scored a great many hits on the heavy cruiser ""Chokai"", also sunk that day.",234129,a great many hits,DT JJ CD NNS,a,great,many,hits,NA
babylm_sents,"He took his bow , and aiming an arrow at the largest wolf , shot him through the heart , and a few more arrows soon put the rest to flight .",237768,a few more arrows,DT JJ CD NNS,a,few,more,arrows,NA
babylm_sents,Aside from said obsession he is a slight coward to Judy who he had developed a crush on as shown in a few dozen episodes alongside her husband Hugh.,238762,a few dozen episodes,DT JJ CD NNS,a,few,dozen,episodes,NA
babylm_sents,"But the raft was nearly done, and after the Tin Woodman had cut a few more logs and fastened them together with wooden pins, they were ready to start.",259024,a few more logs,DT JJ CD NNS,a,few,more,logs,NA
babylm_sents,"If you will kill for me the Wicked Witch of the West, I will bestow upon you a great many brains, and such good brains that you will be the wisest man in all the Land of Oz.""",261780,a great many brains,DT JJ CD NNS,a,great,many,brains,NA
babylm_sents,"Then he entered the back room and took up a measure of bran, which he mixed with a great many pins and needles.",265405,a great many pins,DT JJ CD NNS,a,great,many,pins,NA
babylm_sents,"The flow moved at a swift 12 feet per minute, destroying entire towns and villages in its path.",278022,a swift 12 feet,DT JJ CD NNS,a,swift,12,feet,NA
babylm_sents,"Once in the spring , a little before Midsummer , Walter heard that there were a great many wolves in the wood , and that pleased him .",289334,a great many wolves,DT JJ CD NNS,a,great,many,wolves,NA
babylm_sents,"I think we talked for a good eight minutes about the subject,",296380,a good eight minutes,DT JJ CD NNS,a,good,eight,minutes,NA
babylm_sents,He stayed with Sivananda for a further nine years but received little formal instruction from him.,308631,a further nine years,DT JJ CD NNS,a,further,nine,years,NA
babylm_sents,"Golfers play at the Anglesea Golf Club on Noble Street, home to a great many kangaroos.",318938,a great many kangaroos,DT JJ CD NNS,a,great,many,kangaroos,NA
babylm_sents,"` Put thy finger in the mare 's ear and throw behind thee whatever thou findest in it , ' and the king 's son found a splinter of grey stone , and threw it behind him , and in a twinkling twenty miles of solid rock lay between them and the giant .",324283,a twinkling twenty miles,DT JJ CD NNS,a,twinkling,twenty,miles,NA
babylm_sents,"position revealed a full ten inches of the startling hose; and, since",327652,a full ten inches,DT JJ CD NNS,a,full,ten,inches,NA
babylm_sents,"However, aside from seizing some minor fortifications, the attack failed after six days of hand-to-hand combat, leaving Nogi with the deaths of an additional 124 officers and 3611 soldiers to report to his Emperor instead of a victory.",327972,an additional 124 officers,DT JJ CD NNS,an,additional,124,officers,NA
babylm_sents,"He then resumed his attempts to break through the fortifications at Port Arthur in other locations, cumulating in a six-day general assault at the end of October, which cost the Japanese a further 124 officers and 3611 men.",328094,a further 124 officers,DT JJ CD NNS,a,further,124,officers,NA
babylm_sents,"At the end of the siege, the Japanese captured a further 878 army officers and 23,491 other ranks; 15,000 of those captured were wounded.",328308,a further 878 army officers,DT JJR CD NN NNS,a,further,878,army & officers,NA
babylm_sents,Mary Lennox knew they were roses because she had seen a great many roses in India.,331869,a great many roses,DT JJ CD NNS,a,great,many,roses,NA
babylm_sents,"She thanked the little men gratefully , and after a few more instructions , jumped on the back of her great bird , and was borne away to the isle of Lok .",333237,a few more instructions,DT JJ CD NNS,a,few,more,instructions,NA
babylm_sents,In the catchment area are a few more dams:,340324,a few more dams,DT JJ CD NNS,a,few,more,dams,NA
babylm_sents,A further 15000 ha of HVP managed native forest has been protected as part of the agreement.,347369,a further 15000 ha,DT JJ CD NNS,A,further,15000,ha,NA
babylm_sents,"Bartali won the Tour de Suisse twice, another Milan–San Remo, and the 1948 Tour de France – a full ten years after his last victory.",349194,a full ten years,DT JJ CD NNS,a,full,ten,years,NA
babylm_sents,"A good thirty yards separated the two, and the",351781,a good thirty yards,DT JJ CD NNS,A,good,thirty,yards,NA
babylm_sents,He was charged and sentenced to an additional 16 months for writing the letters in 1990.,352538,an additional 16 months,DT JJ CD NNS,an,additional,16,months,NA
babylm_sents,"Now, this actor is trained to convince you, you need his services, so your room mates will hire him for a few more appearances during the next couple of months.",355210,a few more appearances,DT JJ CD NNS,a,few,more,appearances,NA
babylm_sents,"So that most of the atoms we find on the Earth's crust today are only a few hundred millions years old, and By, geologic standards that's quite young.",358608,a few hundred millions years,DT JJ CD CD NNS,a,few,hundred & millions,years,NA
babylm_sents,This further lowers the expected temperature and given the reflected light you'd expect the earth surface temperate to average out to a chilly 248 degrees kelvin.,360393,a chilly 248 degrees,DT JJ CD NNS,a,chilly,248,degrees,NA
babylm_sents,"The instruction manual also stated the suit to be a colossal 5 stories tall and 5 tons (which is seriously underweight for a machine that tall), contrary to promo material stating it to be 4 stories tall.",360764,a colossal 5 stories,DT JJ CD NNS,a,colossal,5,stories,NA
babylm_sents,On 13 December 2007 he was sentenced to an additional three years jail for offences against a third boy.,362374,an additional three years,DT JJ CD NNS,an,additional,three,years,NA
babylm_sents,"""Five Nights at Freddy’s"" is installed an estimated 4,694 times per day, earning a daily revenue of $12,879.",363222,"an estimated 4,694 times",DT JJ CD NNS,an,estimated,"4,694",times,NA
babylm_sents,"A man-trained boy would have been badly bruised, for the fall was a good fifteen feet, but Mowgli fell as Baloo had taught him to fall, and landed on his feet.",364347,a good fifteen feet,DT JJ CD NNS,a,good,fifteen,feet,NA
babylm_sents,"All that day and all the next night he walked , and at length he came to a village where a great many weavers lived together .",365566,a great many weavers,DT JJ CD NNS,a,great,many,weavers,NA
babylm_sents,twisted ahead for a scant three yards and Brimfield cheered.,366993,a scant three yards,DT JJ CD NNS,a,scant,three,yards,NA
babylm_sents,full-back broke through past Innes and Blaisdell for a full six yards,367449,a full six yards,DT JJ CD NNS,a,full,six,yards,NA
babylm_sents,"There were always a few hundred mothers hunting for their children through the playgrounds, and the babies were kept lively.",368231,a few hundred mothers,DT JJ CD NNS,a,few,hundred,mothers,NA
babylm_sents,"“There are plenty of men and plenty of other camels close by, and a great many clouds of smoke.",374969,a great many clouds,DT JJ CD NNS,a,great,many,clouds,NA
babylm_sents,"Martinez spruce was only discovered in 1981, and is critically endangered with just two small populations, comprising a few hundred trees and a dozen trees respectively.",376848,a few hundred trees,DT JJ CD NNS,a,few,hundred,trees,NA
babylm_sents,"Marvel Comics' superhero-satire comic book ""Not Brand Echh"" ran an initial 13 issues (cover-dated Aug. 1967 - May 1969), with a 14th issue published in 2017.",379409,an initial 13 issues,DT JJ CD NNS,an,initial,13,issues,NA
babylm_sents,"1988), followed by an additional 22 issues continuing the numbering (July 1989 – Sept. 1993).",379511,an additional 22 issues,DT JJ CD NNS,an,additional,22,issues,NA
babylm_sents,Kaif earned himself a Test cap against South Africa when he was at a very young 20 years age.,381428,a very young 20 years,DT RB JJ CD NNS,a,young,20,years,very
babylm_sents,"There were a great many skiffs rowing about or floating with the stream in the neighborhood of the ferryboat, but the boys could not determine what the men in them were doing.",388668,a great many skiffs,DT JJ CD NNS,a,great,many,skiffs,NA
babylm_sents,"At the end of a long twelve or fifteen minutes the wheels stopped, and Tom slipped overboard and swam ashore in the dusk, landing fifty yards downstream, out of danger of possible stragglers.",388982,a long twelve or fifteen minutes,DT JJ CD CC CD NNS,a,long,twelve & fifteen,minutes,NA
babylm_sents,"In 2002 the ATA-6 specification introduced an optional 48 bits Logical Block Addressing and declared CHS addressing as obsolete, but still allowed to implement the ATA-5 translations.",404724,an optional 48 bits,DT JJ CD NNS,an,optional,48,bits,NA
babylm_sents,"They bought, indeed, a great many more things than Sara needed; but Captain Crewe was a rash, innocent young man and wanted his little girl to have everything she admired and everything he admired himself, so between them they collected a wardrobe much too grand for a child of seven.",405357,a great many more things,DT JJ JJ CD NNS,a,great & many,more,things,NA
babylm_sents,"And each oligodendrocyte will extend a few processes, maybe up to a few dozen processes each, towards the axons of neurons.",407686,a few dozen processes,DT JJ CD NNS,a,few,dozen,processes,NA
babylm_sents,By 1965 fewer than a half dozen buildings had been rebuilt in the creek valley adjacent north of the city.,412972,a half dozen buildings,DT JJ CD NNS,a,half,dozen,buildings,NA
babylm_sents,"Delaware lost its final game of the season on the road against Villanova and, that winter, Raymond announced his retirement, ending his career at an even 300 wins.",424372,an even 300 wins,DT JJ CD NNS,an,even,300,wins,NA
babylm_sents,"She shed a good many tears, and mopped her eyes a good deal.",430484,a good many tears,DT JJ CD NNS,a,good,many,tears,NA
babylm_sents,He added a further three fifties in the Sheffield Shield as Victoria ended New South Wales' nine-year winning streak.,434755,a further three fifties,DT JJ CD NNS,a,further,three,fifties,NA
babylm_sents,"He fitted them into a great many shapes , but he wanted to make them spell the word ` Love . '",435586,a great many shapes,DT JJ CD NNS,a,great,many,shapes,NA
babylm_sents,"It is estimated that the First Army's last battle allowed the evacuation of an additional 100,000 men from Dunkirk.",452023,"an additional 100,000 men",DT JJ CD NNS,an,additional,"100,000",men,NA
babylm_sents,"To date, Hou has directed a total of 18 feature films, and three short film segments of omnibus films, which leads to a total 21 films he directed.",457254,a total 21 films,DT JJ CD NNS,a,total,21,films,NA
babylm_sents,The rest of the institute consisted of a few hundred university students with an average age of 21.,471945,a few hundred university students,DT JJ CD NN NNS,a,few,hundred,university & students,NA
babylm_sents,The video in the tweet was then taken down by the creator of the video a mere 2 days later.,481055,a mere 2 days,DT JJ CD NNS,a,mere,2,days,NA
babylm_sents,_nullah_ again; and a few more runs added another couple of boars to the,482576,a few more runs,DT JJ CD NNS,a,few,more,runs,NA
babylm_sents,"An open star cluster, also known as galactic cluster, is a group of a few hundred or thousand stars.",485606,a few hundred or thousand stars,DT JJ CD CC CD NNS,a,few,hundred & thousand,stars,NA
babylm_sents,"There were a great many holidays at Plumfield, and one of the most delightful was the yearly apple-picking.",486266,a great many holidays,DT JJ CD NNS,a,great,many,holidays,NA
babylm_sents,"Middle Egyptian was spoken from about 2000 BC for a further 700 years when Late Egyptian made its appearance; Middle Egyptian survived until the first few centuries AD as a written language, similar to the use of Latin during the Middle Ages and that of Classical Arabic today.",495188,a further 700 years,DT JJ CD NNS,a,further,700,years,NA
babylm_sents,"Nor does it unfrequently occur, that Nantucket captains will send a son of such tender age away from them, for a protracted three or four years’ voyage in some other ship than their own; so that their first knowledge of a whaleman’s career shall be unenervated by any chance display of a father’s natural but untimely partiality, or undue apprehensiveness and concern.",506053,a protracted three or four years,DT JJ CD CC CD NNS,a,protracted,three & four,years,NA
babylm_sents,"All round this they had cleared a wide space, and then the thing was completed by a paling six feet high, without door or opening, too strong to pull down without time and labour and too open to shelter the besiegers.",518355,a paling six feet,DT JJ CD NNS,a,paling,six,feet,NA
babylm_sents,"The coxswain told me how to lay the ship to; after a good many trials I succeeded, and we both sat in silence over another meal.",524206,a good many trials,DT JJ CD NNS,a,good,many,trials,NA
babylm_sents,"""Only a few hundred million times more,"" I answered sullenly.",546844,a few hundred million times,DT JJ CD CD NNS,a,few,hundred & million,times,NA
babylm_sents,Sloan Canyon contains a great many petroglyphs and has been called the Sistine Chapel of Native American rock art due to their size and significance.,555150,a great many petroglyphs,DT JJ CD NNS,a,great,many,petroglyphs,NA
babylm_sents,"Well , they went to a great many masters , but all said that they could make the lad as good as they were themselves , but better than that they could not make him .",555805,a great many masters,DT JJ CD NNS,a,great,many,masters,NA
babylm_sents,surrounded by a half dozen men in armor one of whom attempted to seize,558281,a half dozen men,DT JJ CD NNS,a,half,dozen,men,NA
babylm_sents,"After a few more outings in Porsche 962C's in Britain and Japan, she had one last shot at Le Mans in 1991 in a Spice SE90C.",563850,a few more outings,DT JJ CD NNS,a,few,more,outings,NA
babylm_sents,"After a few more expostulations, the conversation drifted into other channels, but the prince, who had been an attentive listener, thought all this excitement about so small a matter very curious.",565468,a few more expostulations,DT JJ CD NNS,a,few,more,expostulations,NA
babylm_sents,Here we see a mainstream hybrid car that over a six-year period achieved an additional 2 miles per gallon.,569678,an additional 2 miles,DT JJ CD NNS,an,additional,2,miles,NA
babylm_sents,"Mister, you wouldn't want to own a dog that couldn't pull a measly thousand pounds.",571603,a measly thousand pounds,DT JJ CD NNS,a,measly,thousand,pounds,NA
babylm_sents,“With a few more inheritances of that kind I should soon be ruined!”,577422,a few more inheritances,DT JJ CD NNS,a,few,more,inheritances,NA
babylm_sents,"Oktyabrsky used his fleet to bring in a further 23,000 men from the Caucasus.",580230,"a further 23,000 men",DT JJR CD NNS,a,further,"23,000",men,NA
babylm_sents,"The Germans, with the support of five assault guns and a few 37 mm weapons, silenced the fort, bunker by bunker.",580929,a few 37 mm weapons,DT JJ CD NN NNS,a,few,37,mm & weapons,NA
babylm_sents,"Petrov rushed up the 138th Naval Brigade with an extra 2,600 men, which was landed on the 12–13 June.",581081,"an extra 2,600 men",DT JJ CD NNS,an,extra,"2,600",men,NA
babylm_sents,"German artillery had fired a further 46,750 tons of munitions, with total Axis munitions consumption coming to 67,278 tons over the course of one month.",581321,"a further 46,750 tons",DT JJ CD NNS,a,further,"46,750",tons,NA
babylm_sents,"B-52s provided an additional 1,000 sorties during the same period.",584500,"an additional 1,000 sorties",DT JJ CD NNS,an,additional,"1,000",sorties,NA
babylm_sents,"We need a great many facts in his biography; and we should like to know whether, and when, and after or at the same time as what personal experience, he read Montaigne, II.",592091,a great many facts,DT JJ CD NNS,a,great,many,facts,NA
babylm_sents,"I see .. all in all, a fine eighteen months.",608321,a fine eighteen months,DT JJ CD NNS,a,fine,eighteen,months,NA
babylm_sents,"When the beach opened it contained a pavilion with two bathhouses, a cafeteria, a small-boat lagoon, a 5,400-person locker and dressing facility, and two parking lots with a collective 8,000 spots.",619017,"a collective 8,000 spots",DT JJ CD NNS,a,collective,"8,000",spots,NA
babylm_sents,He scored a further 11 goals in 42 league and cup appearances in 2002–03 but was unable to prevent West Ham from being relegated.,629698,a further 11 goals,DT JJ CD NNS,a,further,11,goals,NA
babylm_sents,a half dozen years back to a thoroughfare of great charm.,629791,a half dozen years,DT JJ CD NNS,a,half,dozen,years,NA
babylm_sents,"In his next two games, Johnson rushed for a combined 319 yards on 52 attempts with an average of 6.1 yards per carry.",634562,a combined 319 yards,DT JJ CD NNS,a,combined,319,yards,NA
babylm_sents,Multiple swimming competitions were held including an international 60 metres freestyle and an international relay race.,643629,an international 60 metres,DT JJ CD NNS,an,international,60,metres,NA
babylm_sents,passer-by who had a few more nuggets in his possession than his,646262,a few more nuggets,DT JJ CD NNS,a,few,more,nuggets,NA
babylm_sents,"He made a total of 198 appearances for Villa before moving to fellow Premier League club Bolton Wanderers in 2007, where he spent a further four years including a brief spell on loan at Cardiff City in the Championship.",647892,a further four years,DT JJ CD NNS,a,further,four,years,NA
babylm_sents,"The impertinence of these kind of scrutinies, moreover, was generally concluded with a compliment, which though meant as its douceur, was considered by Marianne as the greatest impertinence of all; for after undergoing an examination into the value and make of her gown, the colour of her shoes, and the arrangement of her hair, she was almost sure of being told that upon ""her word she looked vastly smart, and she dared to say she would make a great many conquests.""",659440,a great many conquests,DT JJ CD NNS,a,great,many,conquests,NA
babylm_sents,"In 1905–6 a further eight motor coaches, six first class trailers and six third class trailers were built to slightly different design, followed by six more long motor coaches in 1910.",661854,a further eight motor coaches,DT JJ CD NN NNS,a,further,eight,motor & coaches,NA
babylm_sents,"Old man Lundy, whose lane was used for the purpose, said that it was one of the bloodiest fights, by a good many gallons, that he ever attended.",684417,a good many gallons,DT JJ CD NNS,a,good,many,gallons,NA
babylm_sents,"Speculation also had made a good many snobs who had sent their gold and silver abroad for foreign luxuries, also some paupers who could not do so.",685098,a good many snobs,DT JJ CD NNS,a,good,many,snobs,NA
babylm_sents,"In November 2006, Martino called plans by the Bush administration to construct an additional 700 miles of fencing along the U.S.-Mexico border ""an inhumane program"".",689299,an additional 700 miles,DT JJ CD NNS,an,additional,700,miles,NA
babylm_sents,"Well, if he lived in the north- east, er part of this county, that great ar area where there is very little in terms of infrastructure perhaps er er it's a pity we can't have a few more hysterics and we would perhaps get further down the road.",696535,a few more hysterics,DT JJ CD NNS,a,few,more,hysterics,NA
babylm_sents,"Well, it's erm, fairly local incident, that this paper has been er borne, er to give the er permission for borrowing, when the labour, liberal er controlling group find themselves in this embarrassing position, er, of having to find an extra eleven million pounds to maintain their services.",700170,an extra eleven million pounds,DT JJ CD CD NNS,an,extra,eleven & million,pounds,NA
babylm_sents,"If you need a little bit of nudging by the people working with you, er, then there's a possible two points for the team.",701738,a possible two points,DT JJ CD NNS,a,possible,two,points,NA
babylm_sents,"During the course of the war, the 31st/51st Battalion lost 61 men killed in action or died on active service, while a further 168 men were wounded.",707979,a further 168 men,DT JJ CD NNS,a,further,168,men,NA
babylm_sents,"Tom was quite right about the hue-and-cry not having got thither ; for he had come without knowing it , the best part of ten miles from Harthover ; but he was wrong about getting down in five minutes , for the cottage was more than a mile off , and a good thousand feet below .",711502,a good thousand feet,DT JJ CD NNS,a,good,thousand,feet,NA
babylm_sents,"On 5 May 2012, it was announced that Rice would be stepping down after an accumulative 44 years with club, since joining as an apprentice, with the home game against Norwich being his final home game as Arsenal No.2.",711598,an accumulative 44 years,DT JJ CD NNS,an,accumulative,44,years,NA
babylm_sents,"In August 2004, the show was renewed for an additional 18 episodes.",713081,an additional 18 episodes,DT JJ CD NNS,an,additional,18,episodes,NA
babylm_sents,Then you've got a possible ten marks.,713538,a possible ten marks,DT JJ CD NNS,a,possible,ten,marks,NA
babylm_sents,"Then please not to see the logic of a great many arguments exactly like it , which you will hear before your beard is gray .",713796,a great many arguments,DT JJ CD NNS,a,great,many,arguments,NA
babylm_sents,"An astonishing 98 people won the August 28, 2012 Fantasy 5, reminiscent of a scene in the movie, Bruce Almighty.",716317,an astonishing 98 people,DT JJ CD NNS,An,astonishing,98,people,NA
babylm_sents,"A full hundred yards broad it was , sliding on from broad pool to broad shallow , and broad shallow to broad pool , over great fields of shingle , under oak and ash coverts , past low cliffs of sandstone , past green meadows , and fair parks , and a great house of gray stone , and brown moors above , and here and there against the sky the smoking chimney of a colliery .",720549,a full hundred yards,DT JJ CD NNS,A,full,hundred,yards,NA
babylm_sents,Opening the main doors which weigh in at a mammoth four tons is quite a task.,725296,a mammoth four tons,DT JJ CD NNS,a,mammoth,four,tons,NA
babylm_sents,"Like a great many fox-hunters , he was very sharp as long as he was in his own country ; but as soon as they get out of it they lose their heads ; and so the lobster , so to speak , lost his tail .",727922,a great many fox - hunters,DT JJ CD NN NNS NNS,a,great,many,fox & - & hunters,NA
babylm_sents,A great many members of the aristocracy were present.,732571,a great many members,DT JJ CD NNS,A,great,many,members,NA
babylm_sents,"The hospital should also be in compliance with applicable standards during the entire period of accreditation, which means that surveyors will look for a full three years of implementation for several standards-related issues.",733988,a full three years,DT JJ CD NNS,a,full,three,years,NA
babylm_sents,"I'd read about, I read erm read in erm some paper or other not so very long ago, about erm a funeral  and the  that was going along the road of course,and they came to a to a erm hotel and they were och, they were going for miles and miles and miles and they went into this hotel and the they party the funeral party went into the hotel and had a good few drinks and they were well away when they came out and they they they went away without the coffin, for two miles, two miles before they discovered that they didn't have the coffin.",734988,a good few drinks,DT JJ CD NNS,a,good,few,drinks,NA
babylm_sents,"He assembled a good many Foxes and publicly advised them to cut off their tails, saying that they would not only look much better without them, but that they would get rid of the weight of the brush, which was a very great inconvenience.",735836,a good many foxes,DT JJ CD NNPS,a,good,many,foxes,NA
babylm_sents,So you have a negative 8x times this business right over here gives you negative 8x times x is negative 8x squared.,736969,a negative 8x times,DT JJ CD NNS,a,negative,8x,times,NA
babylm_sents,pounded off at a good fifteen miles an hour along the Cassel road.,743641,a good fifteen miles,DT JJ CD NNS,a,good,fifteen,miles,NA
