idx,construction,corrupted_construction,corrupted_sentence
40,an additional thirty minutes,thirty additional minutes,""" We 'll wait for thirty additional minutes , "" Dad chipped in . """
41,a full two hours,two full hours,It takes me two full hours to reach the closest border in Ealing Zone .
42,a further five groups,five further groups,"The head Guardian , a stocky man with a colossal moustache and a scratchy voice , splits us into five further groups — one for east , west , south , north , and the centre of the zone ."
43,a searing ninety degrees,ninety searing degrees,"Mrs. Poston 's apartment was neat and clean , not a speck of dust anywhere , and it felt like the thermostat was set to ninety searing degrees . """
44,a few hundred dollars,hundred few dollars,Aja had gotten hundred few dollars from some scholarships she 'd applied for .
45,a hard two years,two hard years,It 's been two hard years .
46,an additional three months,three additional months,"It took three additional months , but day by day she began to regain her strength ."
47,an additional 20 minutes,20 additional minutes,I spent 20 additional minutes emailing attachments to everyone so they 'd have them first thing in the morning .
48,a good 100 meters,100 good meters,It was 100 good meters to the gate and they both silently prayed that the guard towers were indeed empty .
49,a few hundred beats,hundred few beats,"Finally , when his heart had hammered hundred few beats , he risked opening his eyes ."
50,a few hundred yards,hundred few yards,"The river turned south again , allowing Dodge a chance to gain hundred few yards by cutting the corner above the Dahlgren US Naval Proving Grounds ."
51,a good eight feet,eight good feet,The ground was eight good feet below the dangling soles of her shoes .
52,a couple thousand miles,thousand couple miles,"The fellows we , ah , questioned told us that they only went as far as a base camp on a bleak little lump of rock called Flat Island , thousand couple miles to the south in the middle of the Indian Ocean ."
53,a solid four to five inches,four to five solid inches,"Indeed , not as instinctively spoken to the driver on his ' left ' side placing myself neatly in the middle of his back with the two fired shots fired from his pistol held under his right elbow missing me by four to five solid inches ."
54,a good four inches,four good inches,"You got them turned up four good inches at the bottom . """
55,a few thousand years,thousand few years,Maybe it was different thousand few years ago .
56,a few hundred years,hundred few years,"If a country can learn to make adjustments on an on - going basis , it 's got a good chance of survival for at least hundred few years ."
57,a mere ten minutes,ten mere minutes,Carter Champion was born ten mere minutes before her but always – through words and deeds – assumed the older brother role .
58,a few thousand feet,thousand few feet,"As I stared , I realized I was looking at a city as though thousand few feet above it ."
59,a few hundred feet,hundred few feet,"Now , with each drop of the cage , it catapulted hundred few feet closer ."
60,a few hundred feet,hundred few feet,Tee 's tires slipped and popped on loose rock as we advanced hundred few feet uphill on Shastina .
61,a good fifteen minutes,fifteen good minutes,We were silent for fifteen good minutes before he actually spoke .
62,a whopping thirteen bowls,thirteen whopping bowls,"They 'd only been at Ichiraku Ramen for twenty minutes , and Naruto had somehow managed to put away thirteen whopping bowls of noodles !"
63,a short four paragraphs,four short paragraphs,The same boy that everyone called ' dead - last ' and ' idiot ' had practically defined her in four short paragraphs .
64,a good five minutes,five good minutes,"For five good minutes , neither of them moved ."
65,a long three days,three long days,It was going to be three long days .
66,a brief two seconds,two brief seconds,"Their eyes met for two brief seconds , long enough for a silent understanding to pass between them ."
67,a long three years,three long years,It was going to be three long years .
68,a few hundred years,hundred few years,How is she outrunning me when I am at least hundred few years younger .
69,a few hundred people,hundred few people,There had to be hundred few people on the list .
70,an electric 15 amps,15 electric amps,"We needed a few extra items ; towing mirrors , a water hose and fittings , a sullage hose , 15 electric amps power lead , and D shackles for the towing chains ."
71,a very busy three hours,three very busy hours,It was three very busy hours !
72,a spare 8 watts,8 spare watts,I bought 8 spare watts neon tube for our camping lantern .
73,a staggering 20 times,20 staggering times,And rise they did — by 20 staggering times their original value during January 1637 .
74,a good fifty pounds,fifty good pounds,"Similar in height , he outweighed Sykes by fifty good pounds , mostly the result of the raspberry Danishes he seemed to vacuum up every morning ."
75,a good five feet,five good feet,"The thing was five good feet on a side , covered in a heavy blanket , like most of the furniture downstairs ."
76,a few hundred yards,hundred few yards,Last weekend she 'd made Onion tote their heavy cooler all the way back to the car twice after she 'd got to the top of the dune and seen other people within hundred few yards of open beach .
77,a few hundred yards,hundred few yards,"But as if fate chose not to let Brooke shrug off her obligations so conveniently , a Navy fighter jet roared out of the south , its rumble audible seconds before is silver skin came visible hundred few yards offshore and not twenty feet above the waves ."
78,an obviously long two seconds,two obviously long seconds,""" Um , well , it 's great to meet you , Lucien , "" Chandler managed to stammer after two obviously long seconds . """
79,a good two hours,two good hours,That part of the trip lasted two good hours .
80,a good four hours,four good hours,"Well , perhaps he could do it in that time , but I had my doubts and rightly so : it would take me four good hours with many stops , David patiently waiting for me along the way ."
81,a few hundred feet,hundred few feet,"And hundred few feet away , straight toward us rushes the spectator fleet , a huge coastguard cutter in the lead , whence comes a disincarnated voice : "" Trimaran ahoy !"
82,a good ten feet,ten good feet,"It seemed the other students passing through the hall knew not to get involved , because even though ten good feet separated them , no one passed through the area between ."
83,a few thousand years,thousand few years,Funny what difference thousand few years made .
84,a good six feet,six good feet,"It was spacious back there , with only a single bench seat , leaving six good feet of open floor ."
85,a balmy forty degrees,forty balmy degrees,"The cold snap had finally broken , the temperature outside forty balmy degrees ."
86,a good five seconds,five good seconds,"She tried it again , this time not sucking in so hard , and she was able to hold the smoke in for five good seconds before coughing again ."
87,an extra fifty bucks,fifty extra bucks,I told the guy there was fifty extra bucks in it for him if he did a lax job .
88,a measly five minutes,five measly minutes,""" You expect me to explain to you how the world is going to end in five measly minutes ? """
89,a half million guys,million half guys,""" It might not be so bad ; there 're million half guys waiting for you to emerge from the mist and anoint him as your chosen one ."
90,a solid hundred acres,hundred solid acres,""" He is my neighbor , even if we are separated by hundred solid acres , and he is Byran 's best friend ."
91,a few hundred feet,hundred few feet,"Derrick waited alongside , both gasping with laughter until the carriage was hundred few feet ahead ."
92,a mere three years,three mere years,"Or were you thinking of sending notes to all of parliament advising them that the marriage is against the rules and , since the wedding will take place before fall session , the popular captain who helped save Europe three mere years ago should be punished for disobedience ? """
93,a good twenty feet,twenty good feet,She scrambles up until she 's twenty good feet above the ground .
94,a full ten minutes,ten full minutes,"She takes a shower , washes her hair and lather 's it in conditioner , leaving it on for ten full minutes before I allow her to rinse it ."
95,a mere 36 miles,36 mere miles,"Unlike all the corporate locations , The Good Ship was 36 mere miles from her parents and family ."
96,a mere two days,two mere days,Her incredible tightness reminded him that two mere days ago Ellen was a virgin .
97,a standard eight dollars,eight standard dollars,"It 's eight standard dollars and hour across the board but it could help with downtime until we reopen , "" Kim said , pointing to a group of servers sweeping up saw dust ."
98,a several thousand dollars,thousand several dollars,There is thousand several dollars in high quality products in here .
99,a good 30 yards,30 good yards,"Emily and Thaddeus trailed their boy by 30 good yards and were headed off by Sharon and Garrison once they reached the field , leaving Andrew to deal with the main source of evil all by himself – seemingly , another part of Hartwell 's plan ."
100,a good five minutes,five good minutes,His eyes were closed for five good minutes while his body underwent extensive repair .
101,an additional thirteen verses,thirteen additional verses,"The genealogy continues exactly like this for thirteen additional verses , hardly the most compelling way to open the greatest story ever told ."
102,a few hundred years,hundred few years,He 's been studying uniques for hundred few years now .
103,an extra five to ten minutes,five to ten extra minutes,"There was n't a second place finisher anywhere in sight , even standing around for five to ten extra minutes as the crowd calmed ."
104,a scary fifteen minutes,fifteen scary minutes,"That was fifteen scary minutes for him , and it 's definitely not something I want to witness again . """
105,a couple hundred degrees,hundred couple degrees,"Picture fire around you and try to raise your temperature to hundred couple degrees , "" he instructed ."
106,a good twenty feet,twenty good feet,"Fraser looked back at me , still standing there twenty good feet behind him ... looked at me with eyes that said , "" Help . """
107,a good fifteen seconds,fifteen good seconds,"I waited fifteen good seconds for him to drop dead and when he did n't I lied . """
108,a few hundred yards,hundred few yards,"Up the road , hundred few yards or so , the highway glowed red ."
109,a few hundred dollars,hundred few dollars,"Before he left , he filled an envelope with hundred few dollars and taped it to the underside of the desk in the cafe ."
110,a few thousand dollars,thousand few dollars,"He sent thousand few dollars up to Candy for her bus ticket and some new clothes , and the rest he left for us to use in the future ."
111,a few hundred hits,hundred few hits,"In the first few days we received hundred few hits , but after that we began receiving more than a thousand hits a day , leaving me full of hope that ' the chosen ones ' would find their way to us ."
112,a few million suckers,million few suckers,""" Pacific Gas & Electric Co. is looking for million few suckers , betting a fortune that we 're too thick - headed to know a rip - off when we see it . """
113,a full eight hours,eight full hours,Not that he would get eight full hours .
114,a good six inches,six good inches,Cory was six good inches shorter than Brad and thinner .
115,a few hundred feet,hundred few feet,"It was entirely possible that some trucker had gone into the woods , blackout drunk , from the bar that was only hundred few feet from here ."
116,a mere ten feet,ten mere feet,"But Brad pushed on , step by step , he drew closer to the creature that was hiding in the bush ten mere feet away ."
117,a few hundred feet,hundred few feet,"The chase went on for hundred few feet , then the creature zipped around a tree and vanished ."
118,a glorious three minutes,three glorious minutes,"This lasted for three glorious minutes before the intruders ducked through a line of shelter trees and Arnold tried to do the same only to find , too late , that the motorbike would not fit between the trees ."
119,a mere twenty years,twenty mere years,"A prose writer 's prime lasts for twenty mere years , customarily from when they 're thirty to fifty ."
120,a few hundred years,hundred few years,"After hundred few years we may be close to the uttermost frontiers of scientific learning , though its propositions are hard to grasp and lie far from day to day use ."
121,a few hundred years,hundred few years,"Ours is the one species that can form an idea of eternity , and then shrink it to hundred few years of fame ."
122,a constant eighteen degrees,eighteen constant degrees,"In the second row , the tunnels were fifty by twenty - five meters , and was used for barley , and had to be cooled to eighteen constant degrees Celsius ."
123,a full five seconds,five full seconds,For five full seconds they were frozen in that position .
124,a few million years,million few years,"It will rip the planet 's protective shield apart , and will turn it into a wasteland devoid of any life , like what happened to its neighbor million few years ago ."
125,a few hundred meters,hundred few meters,This one they passed within hundred few meters .
126,an extra five minutes,five extra minutes,"You can stay for five extra minutes after I 've answered your question . """
127,a long six days,six long days,It had been six long days .
128,a good ten bucks,ten good bucks,"Must 've set her back ten good bucks . """
129,a good four inches,four good inches,I had to look up four good inches before I noticed a prominent vein pulsating on his forehead .
130,a mere eight inches,eight mere inches,"I looked at the steel deck , eight mere inches below my head ."
131,a few hundred feet,hundred few feet,"The small island was hundred few feet higher than we were , riding a strong headwind ."
132,an extra three inches,three extra inches,The Mohawk gave him three extra inches in height .
133,a mere five or six hours,five or six mere hours,"Mr. Voth would have preferred that WEC choose Paknampo as the starting point of WEC work , because that would give a convenient railway link with Bangkok and five or six mere hours of travel time ."
134,a full six feet,six full feet,"Built up on posts six full feet off the ground , the WEC house was just beyond the mud - holes where water buffaloes wallowed ."
135,a full ten hours,ten full hours,Rosemary tells us that that return trip ( against the current ) took them ten full hours .
136,a good six inches,six good inches,"He had to be at least six feet tall , six good inches above me , because I found myself looking up into his thin , long face , which closely resembled the face of a horse ."
137,a good ten feet,ten good feet,She moved until ten good feet were between us .
138,a few thousand years,thousand few years,This compass is only thousand few years old .
139,a mere twenty pounds,twenty mere pounds,"It 's a fine horse , a stallion , and I 'll give him to you for twenty mere pounds . """
140,a full two hours,two full hours,Then after his feed he 'd screamed for two full hours .
141,an extra two rooms,two extra rooms,On the far end of the stable two extra rooms had been built with tiled floors .
142,an extra 30 minutes,30 extra minutes,"It always showed up on time , giving me 30 extra minutes in the mornings to enjoy breakfast with Rodger , or clean up the house ."
143,a long ten minutes,ten long minutes,It was ten long minutes .
144,a whole three minutes,three whole minutes,We kept possession for three whole minutes without going out of bounds .
145,an extra 15 minutes,15 extra minutes,Mount Hope was late to arrive to the field so we were courteous and gave them 15 extra minutes to warm up and get their stuff together .
146,a good two minutes,two good minutes,I 'd say it was two good minutes before anybody moved or said a word .
147,a good five minutes,five good minutes,His conversation lasted five good minutes until the referee had threatened to kick him out if he heard another word .
148,an astounding thirteen messages,thirteen astounding messages,"Danny glanced at his answering machine , which was atypically blinking furiously for attention , and indicating thirteen astounding messages from various escalating members of the Sabatini 's catering hierarchy ."
149,a mere twelve hours,twelve mere hours,"Danny was released the next day , fourteen hours after the nurses stopped finding anything wrong with him , and twelve mere hours after they told him the wheelchair was on the way and stopped bringing him food ."
150,a full five minutes,five full minutes,Thirty - eight year old Allan Swanson gawked at the offerings for five full minutes before shutting down the computer .
151,a good fifteen minutes,fifteen good minutes,"Allan spent fifteen good minutes talking with the piano teacher 's husband while Ruthie finished up her lesson , and the boisterous man never came up for air ."
152,a good three inches,three good inches,Her partner was leaning so far back that the front legs of his chair rose three good inches off the carpeting .
153,a good thirty feet,thirty good feet,"Sit over there , "" she pointed at a folding chair thirty good feet away from the drill press . """
154,a meager three inches,three meager inches,"As she explained it , the tiny , razor - sharp slot cutter , which measured three meager inches in diameter , was , far and away , the most dangerous tool in her arsenal ."
155,an extra hundred bucks,hundred extra bucks,He begrudges his own flesh and blood hundred extra bucks a month .
156,a reasonable forty degrees,forty reasonable degrees,"On Sunday morning an icy chill gripped the air , but the sun quickly rose over the bay nudging the temperature up to forty reasonable degrees ."
157,a mere five minutes,five mere minutes,"If anyone had suggested five mere minutes ago that Angie would find herself skinny - dipping with her mother in the boondocks of Maine , she would have rolled her eyes and deemed them certifiably insane ."
158,a good twenty degrees,twenty good degrees,"There 's a raw wind and , without sun , twenty good degrees colder . """
159,a few thousand dollars,thousand few dollars,"The lugs who would rearrange somebody 's anatomy or tap dance on a spinal column for thousand few dollars , no questions asked ."
160,a piddly ten bucks,ten piddly bucks,"At the Swenson Art Boutique a keepsake jewelry box fashioned from rosewood and bird's - eye maple sold for three hundred dollars , but the owner could n't cough up ten piddly bucks , allowing Marcus to share the benefits of free market capitalism ."
161,a good twenty minutes,twenty good minutes,"After we spend twenty good minutes watching the sky turn from hues of deep oranges and shades of purple to spotting the first star ( which happens to be Venus ) , we go back down to the round dining room ."
162,a good five minutes,five good minutes,"In the distance , five good minutes run by Dreth 's estimate , a similar barricade faced them ."
163,a few hundred years,hundred few years,His long wavy blond hair and thin beard would have reminded anyone hundred few years old of the classic cowboys .
164,a few hundred yards,hundred few yards,"Eric had started running when the gas station was still hundred few yards out and the rain began in small drips , they did n't do damage but they started a waterfall of fear ."
165,a few hundred feet,hundred few feet,The first truck pulled up hundred few feet from The Window but Eric told his driver to get closer .
166,an extra twenty feet,twenty extra feet,"He placed them twenty extra feet back so there was a wide cushion between them and the River , that way he could get back and warn the others before another one of them came through ."
167,a few hundred feet,hundred few feet,A boom rang out that broke the sound barrier followed by a shattering crash as he flew into the building that had become Thanatos ' prison hundred few feet away .
168,a few thousand years,thousand few years,"You 'd think that in thousand few years he 'd have got around a bit more , learnt a bit more ."
169,a few thousand years,thousand few years,You going to break thousand few years of total silence and answer me on that one ?
170,a tough six months,six tough months,This new chapter in their lives would be six tough months at the academy where after they would be deployed to a station for their field training that would last another six months before they would have the privilege of having the rank of Constable .
171,a mere 1.63 metres,1.63 mere metres,"Adrian takes up the tack and saddles Majoor up with the same care , but standing at 1.63 mere metres tall it takes a bit longer for Adrian to saddle Majoor as Majoor measures at 16.3 hands high ( horse terms ) or 1.7 metres in human height ."
172,an easy six months,six easy months,"It will not be six easy months lying ahead as Henry is a strict and highly disciplined station commander , commanding respect and exceptional standards of discipline ."
173,a good 10 kilometres,10 good kilometres,"He was in the habit of taking long runs and it would never be strange for him to run 10 good kilometres every morning , but he is grateful that he was done ."
174,a full three years,three full years,"These two youngsters come from Grabouw and have not even served three full years , but they have displayed extreme bravery on more than one occasion ."
175,a hectic eight months,eight hectic months,It has been eight hectic months for me though .
176,a good thirty yards,thirty good yards,"A twig snapped beneath her feet and Kyra ducked , worried the sound would give her away -- but her drunk older brothers were oblivious , already thirty good yards ahead of her , walking quickly , the noise drowned out by their own laughter ."
177,a mere fifty yards,fifty mere yards,"Though wide and tall , the tunnel was shallow , ending after fifty mere yards despite years of work , and as the troll ran inside , he soon reached the dead end , a wall of rock ."
178,a good fifty feet,fifty good feet,"It swiped again , and smashed out another chunk of rock , taking out fifty good feet in a single swipe -- more than Vesuvius 's slaves had been able to do in an entire year of digging ."
179,a good fifteen years,fifteen good years,Rundell had the best shiner he had seen in fifteen good years .
180,a full two years,two full years,"Rall , that all - time great roof runner and Hall of Fame inductee two full years before he retired , has finally been tempted to suit up again . """
181,a few million viewers,million few viewers,and million few viewers called to friends and spouses who had wandered off after the goal in search of food or to go to the toilet to ' Come here !
182,a good three hours,three good hours,I wasted three good hours until the TV screen suddenly went black .
183,a full seven times,seven full times,"Siofra ca n't help but scream , gripping the wheel as the Jeep does seven full times around , the back tire catching on the one bare spot on the entire road ."
184,a few hundred people,hundred few people,I think they had hundred few people .
185,a good 15 years,15 good years,It 's 15 good years maybe .
186,a few thousand students,thousand few students,"It 's very peculiar because if I think of my generation in India , I think you can go through thousand few students easily and not find a single student interested in paleontology or zoology or anything like that ."
187,a few thousand dollars,thousand few dollars,"Now , I ca n't imagine UCSD , some undergraduates write from Kenya , and UCSD saying , "" Here 's thousand few dollars . """
188,an unprecedented five times,five unprecedented times,"Among his numerous awards , he has been named Trainer of the Year by the Boxing Writers Association of America five unprecedented times , and was recently inducted into the International Boxing Hall of Fame ."
189,a further twelve months,twelve further months,"All the equipment for a grand total of eight hundred and fifty thousand US dollars , with the payment terms being , half after twelve months and the balance after twelve further months , at an effective interest rate of five percent pa , on the outstanding balance ."
190,an additional ten hours,ten additional hours,"He then took a connecting flight directly to the Pudong Airport near Shanghai , and estimated that it probably took him ten additional hours to reach his destination ."
191,an additional two days,two additional days,"Once he understood that he was needed in order to save the life of the Layaz Warrior , he complied , with the caveat that the work on the ships might take two additional days ."
192,an additional 307 ships,307 additional ships,They would have 307 additional ships to bolster their armada .
193,a different two sides,two different sides,"Again , they split into two columns , this time to strike on two different sides of the station ."
194,a fucking million times,million fucking times,"I lied to myself about it , million fucking times ."
195,a mere eight coppers,eight mere coppers,They arrived at the dock in a short time and saw Gill sitting by a booth trying to sign passengers for a trip to Groden for eight mere coppers .
196,a good fifteen years,fifteen good years,"He was a man of middle years , fifteen good years younger than Radan , wearing a crisp white and crimson uniform , adorned with clusters indicating he was a Guard Captain ."
197,a good six or seven days,six or seven good days,"It looks as though we will be six or seven good days walking to Groden . """
198,a couple hundred yards,hundred couple yards,The Daemon was now within hundred couple yards and looked to be getting ready to bring guns to bear .
199,a mere fifty yards,fifty mere yards,The jungle darkened under the canopy fifty mere yards in .
200,a full five minutes,five full minutes,"I lay still five full minutes , a moistened towel across my eyes , before I finally worked up the courage to dial ."
201,a good two hours,two good hours,""" Pat , it 'll take me two good hours to get there , "" Jake said . """
202,a good six to seven hours,six to seven good hours,"I usually get six to seven good hours every night . """
203,"a mere 5,000 years","5,000 mere years","Forget the dogma which revolves around a limited view which entertains 5,000 mere years for human history and a limited premise ."
204,a few hundred men,hundred few men,"Caile was right ; hundred few men at the very least , he 'd guess ."
205,a full 360 degrees,360 full degrees,She spun round 360 full degrees and got an uninterrupted view of the city .
206,a few hundred people,hundred few people,"399 ) * * Obamacare website could not even handle "" just hundred few people "" at the same time * *"
207,an additional 50 or 60 pounds,50 or 60 additional pounds,"Combat Marines also carry a pack that weighs around 90 pounds , with gunners carrying 50 or 60 additional pounds . _"
208,a mere 48 minutes,48 mere minutes,_ Getting through to Kaiser took 48 mere minutes .
209,a tiny 10 parts,10 tiny parts,"_ The "" safe "" level for arsenic in drinking water is 10 tiny parts per billion ."
210,a good 1200 feet,1200 good feet,Inside the Penipode it was 1200 good feet long and was built like a lavish castle with 3 floors and 4 dozen rooms .
211,a good 50 bridges,50 good bridges,And 50 good bridges made from steel and wood over it .
212,an additional 30 flavors,30 additional flavors,"It was similar to Dr. Pepper , but had 30 additional flavors that gave it a perfect sweetness ."
213,a few hundred years,hundred few years,"But that was hundred few years ago . """
214,a mere three meters,three mere meters,The pair was three mere meters away from him .
215,a modest three tables,three modest tables,"It featured three modest tables , shoved up against the outer wall and each flanked by a pair of usually empty chairs ."
216,a few thousand programs,thousand few programs,At the foundation of Shodan 's brain were thousand few programs that made everything else work .
217,a mere three moves,three mere moves,"With only two items , the bot could complete the job in three mere moves - It would move the top crate ( the most fragile one ) to the transfer space , then the next crate to the destination , and then move the top crate from the transfer slot to the destination - thus finishing the job ."
218,a good 35 years,35 good years,"That said , the first of these stories came 35 good years after Christ 's life ended and ( though they contained alleged quotes , ) in a different language than Christ spoke , so that even the early sources require a large scoop of faith to purchase ."
219,a few thousand years,thousand few years,Their novelty is somehow only thousand few years obsolete .
220,a few thousand years,thousand few years,"However , thousand few years back and even beyond , this mind consciousness of early humans were not what it is today of we people ."
221,a good twenty miles,twenty good miles,""" We 're twenty good miles from your palace , "" he said . """
222,a couple hundred miles,hundred couple miles,"Queen 's Town was a small port hundred couple miles south of us , located at a point where the mountains , desert , and ocean all met ."
223,a good ten feet,ten good feet,You could dive under the water and go ten good feet down .
224,a good fifty pounds,fifty good pounds,"They were n't as tall as me , but they were a good deal huskier , outweighing me by fifty good pounds apiece , with most of that weight being muscle ."
225,a few more hundred deaths,hundred few more deaths,"It further involved murdering several hundred Americans in order to trigger a war with San Alonzo , which resulted in hundred few more deaths on either side , and you were n't really in on it , just kind of let it happen ?"
226,a further five months,five further months,"And then it took five further months to realise that they had not , in fact , made any mistakes with said recreation ."
227,a good twenty minutes,twenty good minutes,She spent twenty good minutes just screaming .
228,a few hundred refugees,hundred few refugees,"Secede from the country that does n't even know it exists , declare yourself an independent kingdom , take in hundred few refugees so you have a population and then initiate a tax haven ."
229,an astonishing twelve hours,twelve astonishing hours,The delivery took twelve astonishing hours and the human infant that resulted was immense compared to other young .
230,a tense twenty minutes,twenty tense minutes,"It was twenty tense minutes , but the Human let her go ."
231,a good three quarters,three good quarters,"They brought in Mrs Flesther , who always wore something feathery , and she confirmed three good quarters of my testimony ."
232,a further five hours,five further hours,"In five further hours , and the exchange of two more small children , Yrtuq cracked . """
233,a few thousand acres,thousand few acres,She purchased thousand few acres of land outside of Catesville where she built a house the size of a small hotel with plenty of security .
234,a few hundred meters,hundred few meters,"I peered through the curtains , and could see a dark SUV making a screeching U - turn hundred few meters up the road , and come to a stop near the entrance of the Hospital ."
235,a further eight deaths,eight further deaths,"It is also suspected that he is directly linked to the armed gunmen that were responsible for eight further deaths this evening , in what now appears to be a daring escape from custody gone horribly wrong for several innocent patients and staff here at St Dominic 's ... """
236,a good twenty feet,twenty good feet,It was twenty good feet to the door and I reached it just as his hand was pulling the gate closed again .
237,a good 30 minutes,30 good minutes,"By avoiding the collision , I had saved myself 30 good minutes at least !"
238,"a concise 116,000 words","116,000 concise words","With this new update , the now renamed _ Soldiers of Avarice _ has come down to 116,000 concise words ."
239,a full three feet,three full feet,"They towered over Aiden and the others by three full feet , and must have weighed close to a ton ."
240,a good fifty paces,fifty good paces,"We got to that tunnel up above , that me and you lot were going to break through , but ya could walk fifty good paces further along before ya met the old collapsed section back in those days ... before the accident . """
241,a good two feet,two good feet,"The stone floor they stood upon was two good feet above the waterline , the paving stones showing signs of having been split apart by tremendous force . """
242,a sudden two guys,two sudden guys,I was minding my own business when all of two sudden guys came out of nowhere and snatched my bags !
243,a good five minutes,five good minutes,It was n't until he was gone for five good minutes my breath returned .
244,a whole eight years,eight whole years,I 'm a veteran farm hand around these parts and eight whole years old .
245,a good 200 years,200 good years,So over the space of 200 good years the population
246,a few hundred years,hundred few years,_ after hundred few years --- they become as one with the Earth . _
247,a good hundred years,hundred good years,great continental divide hundred good years after the flood .
248,a steady 70 degrees,70 steady degrees,San Antonio 's temperature stabilized at 70 steady degrees .
