,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
92,93,The family spent a pathetic three months in London.,The family spent,a pathetic three months,three pathetic months,pathetic three a months,three pathetic months,three a months,pathetic a months
93,94,The family spent a pathetic three years in London.,The family spent,a pathetic three years,three pathetic years,pathetic three a years,three pathetic years,three a years,pathetic a years
94,95,The family spent a pathetic three hours in London.,The family spent,a pathetic three hours,three pathetic hours,pathetic three an hours,three pathetic hours,three an hours,pathetic an hours
95,96,The family spent a pathetic five days in London.,The family spent,a pathetic five days,five pathetic days,pathetic five a days,five pathetic days,five a days,pathetic a days
96,97,The family spent a pathetic five weeks in London.,The family spent,a pathetic five weeks,five pathetic weeks,pathetic five a weeks,five pathetic weeks,five a weeks,pathetic a weeks
97,98,The family spent a pathetic five months in London.,The family spent,a pathetic five months,five pathetic months,pathetic five a months,five pathetic months,five a months,pathetic a months
98,99,The family spent a pathetic five years in London.,The family spent,a pathetic five years,five pathetic years,pathetic five a years,five pathetic years,five a years,pathetic a years
99,100,The family spent a pathetic five hours in London.,The family spent,a pathetic five hours,five pathetic hours,pathetic five an hours,five pathetic hours,five an hours,pathetic an hours
100,101,The family spent a pathetic twenty days in London.,The family spent,a pathetic twenty days,twenty pathetic days,pathetic twenty a days,twenty pathetic days,twenty a days,pathetic a days
101,102,The family spent a pathetic twenty weeks in London.,The family spent,a pathetic twenty weeks,twenty pathetic weeks,pathetic twenty a weeks,twenty pathetic weeks,twenty a weeks,pathetic a weeks
102,103,The family spent a pathetic twenty months in London.,The family spent,a pathetic twenty months,twenty pathetic months,pathetic twenty a months,twenty pathetic months,twenty a months,pathetic a months
103,104,The family spent a pathetic twenty years in London.,The family spent,a pathetic twenty years,twenty pathetic years,pathetic twenty a years,twenty pathetic years,twenty a years,pathetic a years
104,105,The family spent a pathetic twenty hours in London.,The family spent,a pathetic twenty hours,twenty pathetic hours,pathetic twenty an hours,twenty pathetic hours,twenty an hours,pathetic an hours
105,106,The family spent a remarkable three days in London.,The family spent,a remarkable three days,three remarkable days,remarkable three a days,three remarkable days,three a days,remarkable a days
106,107,The family spent a remarkable three weeks in London.,The family spent,a remarkable three weeks,three remarkable weeks,remarkable three a weeks,three remarkable weeks,three a weeks,remarkable a weeks
107,108,The family spent a remarkable three months in London.,The family spent,a remarkable three months,three remarkable months,remarkable three a months,three remarkable months,three a months,remarkable a months
108,109,The family spent a remarkable three years in London.,The family spent,a remarkable three years,three remarkable years,remarkable three a years,three remarkable years,three a years,remarkable a years
109,110,The family spent a remarkable three hours in London.,The family spent,a remarkable three hours,three remarkable hours,remarkable three an hours,three remarkable hours,three an hours,remarkable an hours
110,111,The family spent a remarkable five days in London.,The family spent,a remarkable five days,five remarkable days,remarkable five a days,five remarkable days,five a days,remarkable a days
111,112,The family spent a remarkable five weeks in London.,The family spent,a remarkable five weeks,five remarkable weeks,remarkable five a weeks,five remarkable weeks,five a weeks,remarkable a weeks
112,113,The family spent a remarkable five months in London.,The family spent,a remarkable five months,five remarkable months,remarkable five a months,five remarkable months,five a months,remarkable a months
113,114,The family spent a remarkable five years in London.,The family spent,a remarkable five years,five remarkable years,remarkable five a years,five remarkable years,five a years,remarkable a years
114,115,The family spent a remarkable five hours in London.,The family spent,a remarkable five hours,five remarkable hours,remarkable five an hours,five remarkable hours,five an hours,remarkable an hours
115,116,The family spent a remarkable twenty days in London.,The family spent,a remarkable twenty days,twenty remarkable days,remarkable twenty a days,twenty remarkable days,twenty a days,remarkable a days
116,117,The family spent a remarkable twenty weeks in London.,The family spent,a remarkable twenty weeks,twenty remarkable weeks,remarkable twenty a weeks,twenty remarkable weeks,twenty a weeks,remarkable a weeks
117,118,The family spent a remarkable twenty months in London.,The family spent,a remarkable twenty months,twenty remarkable months,remarkable twenty a months,twenty remarkable months,twenty a months,remarkable a months
118,119,The family spent a remarkable twenty years in London.,The family spent,a remarkable twenty years,twenty remarkable years,remarkable twenty a years,twenty remarkable years,twenty a years,remarkable a years
119,120,The family spent a remarkable twenty hours in London.,The family spent,a remarkable twenty hours,twenty remarkable hours,remarkable twenty an hours,twenty remarkable hours,twenty an hours,remarkable an hours
120,121,The family spent a mediocre three days in London.,The family spent,a mediocre three days,three mediocre days,mediocre three a days,three mediocre days,three a days,mediocre a days
121,122,The family spent a mediocre three weeks in London.,The family spent,a mediocre three weeks,three mediocre weeks,mediocre three a weeks,three mediocre weeks,three a weeks,mediocre a weeks
122,123,The family spent a mediocre three months in London.,The family spent,a mediocre three months,three mediocre months,mediocre three a months,three mediocre months,three a months,mediocre a months
123,124,The family spent a mediocre three years in London.,The family spent,a mediocre three years,three mediocre years,mediocre three a years,three mediocre years,three a years,mediocre a years
124,125,The family spent a mediocre three hours in London.,The family spent,a mediocre three hours,three mediocre hours,mediocre three an hours,three mediocre hours,three an hours,mediocre an hours
125,126,The family spent a mediocre five days in London.,The family spent,a mediocre five days,five mediocre days,mediocre five a days,five mediocre days,five a days,mediocre a days
126,127,The family spent a mediocre five weeks in London.,The family spent,a mediocre five weeks,five mediocre weeks,mediocre five a weeks,five mediocre weeks,five a weeks,mediocre a weeks
127,128,The family spent a mediocre five months in London.,The family spent,a mediocre five months,five mediocre months,mediocre five a months,five mediocre months,five a months,mediocre a months
128,129,The family spent a mediocre five years in London.,The family spent,a mediocre five years,five mediocre years,mediocre five a years,five mediocre years,five a years,mediocre a years
129,130,The family spent a mediocre five hours in London.,The family spent,a mediocre five hours,five mediocre hours,mediocre five an hours,five mediocre hours,five an hours,mediocre an hours
130,131,The family spent a mediocre twenty days in London.,The family spent,a mediocre twenty days,twenty mediocre days,mediocre twenty a days,twenty mediocre days,twenty a days,mediocre a days
131,132,The family spent a mediocre twenty weeks in London.,The family spent,a mediocre twenty weeks,twenty mediocre weeks,mediocre twenty a weeks,twenty mediocre weeks,twenty a weeks,mediocre a weeks
132,133,The family spent a mediocre twenty months in London.,The family spent,a mediocre twenty months,twenty mediocre months,mediocre twenty a months,twenty mediocre months,twenty a months,mediocre a months
133,134,The family spent a mediocre twenty years in London.,The family spent,a mediocre twenty years,twenty mediocre years,mediocre twenty a years,twenty mediocre years,twenty a years,mediocre a years
134,135,The family spent a mediocre twenty hours in London.,The family spent,a mediocre twenty hours,twenty mediocre hours,mediocre twenty an hours,twenty mediocre hours,twenty an hours,mediocre an hours
135,136,The family spent an unsatisfying three days in London.,The family spent,an unsatisfying three days,three unsatisfying days,unsatisfying three a days,three unsatisfying days,three a days,unsatisfying a days
136,137,The family spent an unsatisfying three weeks in London.,The family spent,an unsatisfying three weeks,three unsatisfying weeks,unsatisfying three a weeks,three unsatisfying weeks,three a weeks,unsatisfying a weeks
137,138,The family spent an unsatisfying three months in London.,The family spent,an unsatisfying three months,three unsatisfying months,unsatisfying three a months,three unsatisfying months,three a months,unsatisfying a months
138,139,The family spent an unsatisfying three years in London.,The family spent,an unsatisfying three years,three unsatisfying years,unsatisfying three a years,three unsatisfying years,three a years,unsatisfying a years
139,140,The family spent an unsatisfying three hours in London.,The family spent,an unsatisfying three hours,three unsatisfying hours,unsatisfying three an hours,three unsatisfying hours,three an hours,unsatisfying an hours
140,141,The family spent an unsatisfying five days in London.,The family spent,an unsatisfying five days,five unsatisfying days,unsatisfying five a days,five unsatisfying days,five a days,unsatisfying a days
141,142,The family spent an unsatisfying five weeks in London.,The family spent,an unsatisfying five weeks,five unsatisfying weeks,unsatisfying five a weeks,five unsatisfying weeks,five a weeks,unsatisfying a weeks
142,143,The family spent an unsatisfying five months in London.,The family spent,an unsatisfying five months,five unsatisfying months,unsatisfying five a months,five unsatisfying months,five a months,unsatisfying a months
143,144,The family spent an unsatisfying five years in London.,The family spent,an unsatisfying five years,five unsatisfying years,unsatisfying five a years,five unsatisfying years,five a years,unsatisfying a years
144,145,The family spent an unsatisfying five hours in London.,The family spent,an unsatisfying five hours,five unsatisfying hours,unsatisfying five an hours,five unsatisfying hours,five an hours,unsatisfying an hours
145,146,The family spent an unsatisfying twenty days in London.,The family spent,an unsatisfying twenty days,twenty unsatisfying days,unsatisfying twenty a days,twenty unsatisfying days,twenty a days,unsatisfying a days
146,147,The family spent an unsatisfying twenty weeks in London.,The family spent,an unsatisfying twenty weeks,twenty unsatisfying weeks,unsatisfying twenty a weeks,twenty unsatisfying weeks,twenty a weeks,unsatisfying a weeks
147,148,The family spent an unsatisfying twenty months in London.,The family spent,an unsatisfying twenty months,twenty unsatisfying months,unsatisfying twenty a months,twenty unsatisfying months,twenty a months,unsatisfying a months
148,149,The family spent an unsatisfying twenty years in London.,The family spent,an unsatisfying twenty years,twenty unsatisfying years,unsatisfying twenty a years,twenty unsatisfying years,twenty a years,unsatisfying a years
149,150,The family spent an unsatisfying twenty hours in London.,The family spent,an unsatisfying twenty hours,twenty unsatisfying hours,unsatisfying twenty an hours,twenty unsatisfying hours,twenty an hours,unsatisfying an hours
150,151,The family spent a lovely three days in London.,The family spent,a lovely three days,three lovely days,lovely three a days,three lovely days,three a days,lovely a days
151,152,The family spent a lovely three weeks in London.,The family spent,a lovely three weeks,three lovely weeks,lovely three a weeks,three lovely weeks,three a weeks,lovely a weeks
152,153,The family spent a lovely three months in London.,The family spent,a lovely three months,three lovely months,lovely three a months,three lovely months,three a months,lovely a months
153,154,The family spent a lovely three years in London.,The family spent,a lovely three years,three lovely years,lovely three a years,three lovely years,three a years,lovely a years
154,155,The family spent a lovely three hours in London.,The family spent,a lovely three hours,three lovely hours,lovely three an hours,three lovely hours,three an hours,lovely an hours
155,156,The family spent a lovely five days in London.,The family spent,a lovely five days,five lovely days,lovely five a days,five lovely days,five a days,lovely a days
156,157,The family spent a lovely five weeks in London.,The family spent,a lovely five weeks,five lovely weeks,lovely five a weeks,five lovely weeks,five a weeks,lovely a weeks
157,158,The family spent a lovely five months in London.,The family spent,a lovely five months,five lovely months,lovely five a months,five lovely months,five a months,lovely a months
158,159,The family spent a lovely five years in London.,The family spent,a lovely five years,five lovely years,lovely five a years,five lovely years,five a years,lovely a years
159,160,The family spent a lovely five hours in London.,The family spent,a lovely five hours,five lovely hours,lovely five an hours,five lovely hours,five an hours,lovely an hours
160,161,The family spent a lovely twenty days in London.,The family spent,a lovely twenty days,twenty lovely days,lovely twenty a days,twenty lovely days,twenty a days,lovely a days
161,162,The family spent a lovely twenty weeks in London.,The family spent,a lovely twenty weeks,twenty lovely weeks,lovely twenty a weeks,twenty lovely weeks,twenty a weeks,lovely a weeks
162,163,The family spent a lovely twenty months in London.,The family spent,a lovely twenty months,twenty lovely months,lovely twenty a months,twenty lovely months,twenty a months,lovely a months
163,164,The family spent a lovely twenty years in London.,The family spent,a lovely twenty years,twenty lovely years,lovely twenty a years,twenty lovely years,twenty a years,lovely a years
164,165,The family spent a lovely twenty hours in London.,The family spent,a lovely twenty hours,twenty lovely hours,lovely twenty an hours,twenty lovely hours,twenty an hours,lovely an hours
165,166,The family spent a beautiful three days in London.,The family spent,a beautiful three days,three beautiful days,beautiful three a days,three beautiful days,three a days,beautiful a days
166,167,The family spent a beautiful three weeks in London.,The family spent,a beautiful three weeks,three beautiful weeks,beautiful three a weeks,three beautiful weeks,three a weeks,beautiful a weeks
167,168,The family spent a beautiful three months in London.,The family spent,a beautiful three months,three beautiful months,beautiful three a months,three beautiful months,three a months,beautiful a months
168,169,The family spent a beautiful three years in London.,The family spent,a beautiful three years,three beautiful years,beautiful three a years,three beautiful years,three a years,beautiful a years
169,170,The family spent a beautiful three hours in London.,The family spent,a beautiful three hours,three beautiful hours,beautiful three an hours,three beautiful hours,three an hours,beautiful an hours
170,171,The family spent a beautiful five days in London.,The family spent,a beautiful five days,five beautiful days,beautiful five a days,five beautiful days,five a days,beautiful a days
171,172,The family spent a beautiful five weeks in London.,The family spent,a beautiful five weeks,five beautiful weeks,beautiful five a weeks,five beautiful weeks,five a weeks,beautiful a weeks
172,173,The family spent a beautiful five months in London.,The family spent,a beautiful five months,five beautiful months,beautiful five a months,five beautiful months,five a months,beautiful a months
173,174,The family spent a beautiful five years in London.,The family spent,a beautiful five years,five beautiful years,beautiful five a years,five beautiful years,five a years,beautiful a years
174,175,The family spent a beautiful five hours in London.,The family spent,a beautiful five hours,five beautiful hours,beautiful five an hours,five beautiful hours,five an hours,beautiful an hours
175,176,The family spent a beautiful twenty days in London.,The family spent,a beautiful twenty days,twenty beautiful days,beautiful twenty a days,twenty beautiful days,twenty a days,beautiful a days
176,177,The family spent a beautiful twenty weeks in London.,The family spent,a beautiful twenty weeks,twenty beautiful weeks,beautiful twenty a weeks,twenty beautiful weeks,twenty a weeks,beautiful a weeks
177,178,The family spent a beautiful twenty months in London.,The family spent,a beautiful twenty months,twenty beautiful months,beautiful twenty a months,twenty beautiful months,twenty a months,beautiful a months
178,179,The family spent a beautiful twenty years in London.,The family spent,a beautiful twenty years,twenty beautiful years,beautiful twenty a years,twenty beautiful years,twenty a years,beautiful a years
179,180,The family spent a beautiful twenty hours in London.,The family spent,a beautiful twenty hours,twenty beautiful hours,beautiful twenty an hours,twenty beautiful hours,twenty an hours,beautiful an hours
180,181,The family spent an enchanting three days in London.,The family spent,an enchanting three days,three enchanting days,enchanting three a days,three enchanting days,three a days,enchanting a days
181,182,The family spent an enchanting three weeks in London.,The family spent,an enchanting three weeks,three enchanting weeks,enchanting three a weeks,three enchanting weeks,three a weeks,enchanting a weeks
182,183,The family spent an enchanting three months in London.,The family spent,an enchanting three months,three enchanting months,enchanting three a months,three enchanting months,three a months,enchanting a months
183,184,The family spent an enchanting three years in London.,The family spent,an enchanting three years,three enchanting years,enchanting three a years,three enchanting years,three a years,enchanting a years
184,185,The family spent an enchanting three hours in London.,The family spent,an enchanting three hours,three enchanting hours,enchanting three an hours,three enchanting hours,three an hours,enchanting an hours
185,186,The family spent an enchanting five days in London.,The family spent,an enchanting five days,five enchanting days,enchanting five a days,five enchanting days,five a days,enchanting a days
186,187,The family spent an enchanting five weeks in London.,The family spent,an enchanting five weeks,five enchanting weeks,enchanting five a weeks,five enchanting weeks,five a weeks,enchanting a weeks
187,188,The family spent an enchanting five months in London.,The family spent,an enchanting five months,five enchanting months,enchanting five a months,five enchanting months,five a months,enchanting a months
188,189,The family spent an enchanting five years in London.,The family spent,an enchanting five years,five enchanting years,enchanting five a years,five enchanting years,five a years,enchanting a years
189,190,The family spent an enchanting five hours in London.,The family spent,an enchanting five hours,five enchanting hours,enchanting five an hours,five enchanting hours,five an hours,enchanting an hours
190,191,The family spent an enchanting twenty days in London.,The family spent,an enchanting twenty days,twenty enchanting days,enchanting twenty a days,twenty enchanting days,twenty a days,enchanting a days
191,192,The family spent an enchanting twenty weeks in London.,The family spent,an enchanting twenty weeks,twenty enchanting weeks,enchanting twenty a weeks,twenty enchanting weeks,twenty a weeks,enchanting a weeks
192,193,The family spent an enchanting twenty months in London.,The family spent,an enchanting twenty months,twenty enchanting months,enchanting twenty a months,twenty enchanting months,twenty a months,enchanting a months
