idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
26,The family spent an incredible twenty days in London.,The family spent,twenty incredible a days,twenty incredible days,incredible twenty a days,twenty incredible days,twenty a days,incredible a days
27,The family spent an incredible twenty weeks in London.,The family spent,twenty incredible a weeks,twenty incredible weeks,incredible twenty a weeks,twenty incredible weeks,twenty a weeks,incredible a weeks
28,The family spent an incredible twenty months in London.,The family spent,twenty incredible a months,twenty incredible months,incredible twenty a months,twenty incredible months,twenty a months,incredible a months
29,The family spent an incredible twenty years in London.,The family spent,twenty incredible a years,twenty incredible years,incredible twenty a years,twenty incredible years,twenty a years,incredible a years
30,The family spent an incredible twenty hours in London.,The family spent,twenty incredible an hours,twenty incredible hours,incredible twenty an hours,twenty incredible hours,twenty an hours,incredible an hours
31,The family spent an impressive three days in London.,The family spent,three impressive a days,three impressive days,impressive three a days,three impressive days,three a days,impressive a days
32,The family spent an impressive three weeks in London.,The family spent,three impressive a weeks,three impressive weeks,impressive three a weeks,three impressive weeks,three a weeks,impressive a weeks
33,The family spent an impressive three months in London.,The family spent,three impressive a months,three impressive months,impressive three a months,three impressive months,three a months,impressive a months
34,The family spent an impressive three years in London.,The family spent,three impressive a years,three impressive years,impressive three a years,three impressive years,three a years,impressive a years
35,The family spent an impressive three hours in London.,The family spent,three impressive an hours,three impressive hours,impressive three an hours,three impressive hours,three an hours,impressive an hours
36,The family spent an impressive five days in London.,The family spent,five impressive a days,five impressive days,impressive five a days,five impressive days,five a days,impressive a days
37,The family spent an impressive five weeks in London.,The family spent,five impressive a weeks,five impressive weeks,impressive five a weeks,five impressive weeks,five a weeks,impressive a weeks
38,The family spent an impressive five months in London.,The family spent,five impressive a months,five impressive months,impressive five a months,five impressive months,five a months,impressive a months
39,The family spent an impressive five years in London.,The family spent,five impressive a years,five impressive years,impressive five a years,five impressive years,five a years,impressive a years
40,The family spent an impressive five hours in London.,The family spent,five impressive an hours,five impressive hours,impressive five an hours,five impressive hours,five an hours,impressive an hours
41,The family spent an impressive twenty days in London.,The family spent,twenty impressive a days,twenty impressive days,impressive twenty a days,twenty impressive days,twenty a days,impressive a days
42,The family spent an impressive twenty weeks in London.,The family spent,twenty impressive a weeks,twenty impressive weeks,impressive twenty a weeks,twenty impressive weeks,twenty a weeks,impressive a weeks
43,The family spent an impressive twenty months in London.,The family spent,twenty impressive a months,twenty impressive months,impressive twenty a months,twenty impressive months,twenty a months,impressive a months
44,The family spent an impressive twenty years in London.,The family spent,twenty impressive a years,twenty impressive years,impressive twenty a years,twenty impressive years,twenty a years,impressive a years
45,The family spent an impressive twenty hours in London.,The family spent,twenty impressive an hours,twenty impressive hours,impressive twenty an hours,twenty impressive hours,twenty an hours,impressive an hours
46,The family spent a disappointing three days in London.,The family spent,three disappointing a days,three disappointing days,disappointing three a days,three disappointing days,three a days,disappointing a days
47,The family spent a disappointing three weeks in London.,The family spent,three disappointing a weeks,three disappointing weeks,disappointing three a weeks,three disappointing weeks,three a weeks,disappointing a weeks
48,The family spent a disappointing three months in London.,The family spent,three disappointing a months,three disappointing months,disappointing three a months,three disappointing months,three a months,disappointing a months
49,The family spent a disappointing three years in London.,The family spent,three disappointing a years,three disappointing years,disappointing three a years,three disappointing years,three a years,disappointing a years
50,The family spent a disappointing three hours in London.,The family spent,three disappointing an hours,three disappointing hours,disappointing three an hours,three disappointing hours,three an hours,disappointing an hours
51,The family spent a disappointing five days in London.,The family spent,five disappointing a days,five disappointing days,disappointing five a days,five disappointing days,five a days,disappointing a days
52,The family spent a disappointing five weeks in London.,The family spent,five disappointing a weeks,five disappointing weeks,disappointing five a weeks,five disappointing weeks,five a weeks,disappointing a weeks
53,The family spent a disappointing five months in London.,The family spent,five disappointing a months,five disappointing months,disappointing five a months,five disappointing months,five a months,disappointing a months
54,The family spent a disappointing five years in London.,The family spent,five disappointing a years,five disappointing years,disappointing five a years,five disappointing years,five a years,disappointing a years
55,The family spent a disappointing five hours in London.,The family spent,five disappointing an hours,five disappointing hours,disappointing five an hours,five disappointing hours,five an hours,disappointing an hours
56,The family spent a disappointing twenty days in London.,The family spent,twenty disappointing a days,twenty disappointing days,disappointing twenty a days,twenty disappointing days,twenty a days,disappointing a days
57,The family spent a disappointing twenty weeks in London.,The family spent,twenty disappointing a weeks,twenty disappointing weeks,disappointing twenty a weeks,twenty disappointing weeks,twenty a weeks,disappointing a weeks
58,The family spent a disappointing twenty months in London.,The family spent,twenty disappointing a months,twenty disappointing months,disappointing twenty a months,twenty disappointing months,twenty a months,disappointing a months
59,The family spent a disappointing twenty years in London.,The family spent,twenty disappointing a years,twenty disappointing years,disappointing twenty a years,twenty disappointing years,twenty a years,disappointing a years
60,The family spent a disappointing twenty hours in London.,The family spent,twenty disappointing an hours,twenty disappointing hours,disappointing twenty an hours,twenty disappointing hours,twenty an hours,disappointing an hours
61,The family spent a surprising three days in London.,The family spent,three surprising a days,three surprising days,surprising three a days,three surprising days,three a days,surprising a days
62,The family spent a surprising three weeks in London.,The family spent,three surprising a weeks,three surprising weeks,surprising three a weeks,three surprising weeks,three a weeks,surprising a weeks
63,The family spent a surprising three months in London.,The family spent,three surprising a months,three surprising months,surprising three a months,three surprising months,three a months,surprising a months
64,The family spent a surprising three years in London.,The family spent,three surprising a years,three surprising years,surprising three a years,three surprising years,three a years,surprising a years
65,The family spent a surprising three hours in London.,The family spent,three surprising an hours,three surprising hours,surprising three an hours,three surprising hours,three an hours,surprising an hours
66,The family spent a surprising five days in London.,The family spent,five surprising a days,five surprising days,surprising five a days,five surprising days,five a days,surprising a days
67,The family spent a surprising five weeks in London.,The family spent,five surprising a weeks,five surprising weeks,surprising five a weeks,five surprising weeks,five a weeks,surprising a weeks
68,The family spent a surprising five months in London.,The family spent,five surprising a months,five surprising months,surprising five a months,five surprising months,five a months,surprising a months
69,The family spent a surprising five years in London.,The family spent,five surprising a years,five surprising years,surprising five a years,five surprising years,five a years,surprising a years
70,The family spent a surprising five hours in London.,The family spent,five surprising an hours,five surprising hours,surprising five an hours,five surprising hours,five an hours,surprising an hours
71,The family spent a surprising twenty days in London.,The family spent,twenty surprising a days,twenty surprising days,surprising twenty a days,twenty surprising days,twenty a days,surprising a days
72,The family spent a surprising twenty weeks in London.,The family spent,twenty surprising a weeks,twenty surprising weeks,surprising twenty a weeks,twenty surprising weeks,twenty a weeks,surprising a weeks
73,The family spent a surprising twenty months in London.,The family spent,twenty surprising a months,twenty surprising months,surprising twenty a months,twenty surprising months,twenty a months,surprising a months
74,The family spent a surprising twenty years in London.,The family spent,twenty surprising a years,twenty surprising years,surprising twenty a years,twenty surprising years,twenty a years,surprising a years
75,The family spent a surprising twenty hours in London.,The family spent,twenty surprising an hours,twenty surprising hours,surprising twenty an hours,twenty surprising hours,twenty an hours,surprising an hours
76,The family spent a devastating three days in London.,The family spent,three devastating a days,three devastating days,devastating three a days,three devastating days,three a days,devastating a days
77,The family spent a devastating three weeks in London.,The family spent,three devastating a weeks,three devastating weeks,devastating three a weeks,three devastating weeks,three a weeks,devastating a weeks
78,The family spent a devastating three months in London.,The family spent,three devastating a months,three devastating months,devastating three a months,three devastating months,three a months,devastating a months
79,The family spent a devastating three years in London.,The family spent,three devastating a years,three devastating years,devastating three a years,three devastating years,three a years,devastating a years
80,The family spent a devastating three hours in London.,The family spent,three devastating an hours,three devastating hours,devastating three an hours,three devastating hours,three an hours,devastating an hours
81,The family spent a devastating five days in London.,The family spent,five devastating a days,five devastating days,devastating five a days,five devastating days,five a days,devastating a days
82,The family spent a devastating five weeks in London.,The family spent,five devastating a weeks,five devastating weeks,devastating five a weeks,five devastating weeks,five a weeks,devastating a weeks
83,The family spent a devastating five months in London.,The family spent,five devastating a months,five devastating months,devastating five a months,five devastating months,five a months,devastating a months
84,The family spent a devastating five years in London.,The family spent,five devastating a years,five devastating years,devastating five a years,five devastating years,five a years,devastating a years
85,The family spent a devastating five hours in London.,The family spent,five devastating an hours,five devastating hours,devastating five an hours,five devastating hours,five an hours,devastating an hours
86,The family spent a devastating twenty days in London.,The family spent,twenty devastating a days,twenty devastating days,devastating twenty a days,twenty devastating days,twenty a days,devastating a days
87,The family spent a devastating twenty weeks in London.,The family spent,twenty devastating a weeks,twenty devastating weeks,devastating twenty a weeks,twenty devastating weeks,twenty a weeks,devastating a weeks
88,The family spent a devastating twenty months in London.,The family spent,twenty devastating a months,twenty devastating months,devastating twenty a months,twenty devastating months,twenty a months,devastating a months
89,The family spent a devastating twenty years in London.,The family spent,twenty devastating a years,twenty devastating years,devastating twenty a years,twenty devastating years,twenty a years,devastating a years
90,The family spent a devastating twenty hours in London.,The family spent,twenty devastating an hours,twenty devastating hours,devastating twenty an hours,twenty devastating hours,twenty an hours,devastating an hours
91,The family spent a pathetic three days in London.,The family spent,three pathetic a days,three pathetic days,pathetic three a days,three pathetic days,three a days,pathetic a days
92,The family spent a pathetic three weeks in London.,The family spent,three pathetic a weeks,three pathetic weeks,pathetic three a weeks,three pathetic weeks,three a weeks,pathetic a weeks
93,The family spent a pathetic three months in London.,The family spent,three pathetic a months,three pathetic months,pathetic three a months,three pathetic months,three a months,pathetic a months
94,The family spent a pathetic three years in London.,The family spent,three pathetic a years,three pathetic years,pathetic three a years,three pathetic years,three a years,pathetic a years
95,The family spent a pathetic three hours in London.,The family spent,three pathetic an hours,three pathetic hours,pathetic three an hours,three pathetic hours,three an hours,pathetic an hours
96,The family spent a pathetic five days in London.,The family spent,five pathetic a days,five pathetic days,pathetic five a days,five pathetic days,five a days,pathetic a days
97,The family spent a pathetic five weeks in London.,The family spent,five pathetic a weeks,five pathetic weeks,pathetic five a weeks,five pathetic weeks,five a weeks,pathetic a weeks
98,The family spent a pathetic five months in London.,The family spent,five pathetic a months,five pathetic months,pathetic five a months,five pathetic months,five a months,pathetic a months
99,The family spent a pathetic five years in London.,The family spent,five pathetic a years,five pathetic years,pathetic five a years,five pathetic years,five a years,pathetic a years
100,The family spent a pathetic five hours in London.,The family spent,five pathetic an hours,five pathetic hours,pathetic five an hours,five pathetic hours,five an hours,pathetic an hours
101,The family spent a pathetic twenty days in London.,The family spent,twenty pathetic a days,twenty pathetic days,pathetic twenty a days,twenty pathetic days,twenty a days,pathetic a days
102,The family spent a pathetic twenty weeks in London.,The family spent,twenty pathetic a weeks,twenty pathetic weeks,pathetic twenty a weeks,twenty pathetic weeks,twenty a weeks,pathetic a weeks
103,The family spent a pathetic twenty months in London.,The family spent,twenty pathetic a months,twenty pathetic months,pathetic twenty a months,twenty pathetic months,twenty a months,pathetic a months
104,The family spent a pathetic twenty years in London.,The family spent,twenty pathetic a years,twenty pathetic years,pathetic twenty a years,twenty pathetic years,twenty a years,pathetic a years
105,The family spent a pathetic twenty hours in London.,The family spent,twenty pathetic an hours,twenty pathetic hours,pathetic twenty an hours,twenty pathetic hours,twenty an hours,pathetic an hours
106,The family spent a remarkable three days in London.,The family spent,three remarkable a days,three remarkable days,remarkable three a days,three remarkable days,three a days,remarkable a days
107,The family spent a remarkable three weeks in London.,The family spent,three remarkable a weeks,three remarkable weeks,remarkable three a weeks,three remarkable weeks,three a weeks,remarkable a weeks
108,The family spent a remarkable three months in London.,The family spent,three remarkable a months,three remarkable months,remarkable three a months,three remarkable months,three a months,remarkable a months
109,The family spent a remarkable three years in London.,The family spent,three remarkable a years,three remarkable years,remarkable three a years,three remarkable years,three a years,remarkable a years
110,The family spent a remarkable three hours in London.,The family spent,three remarkable an hours,three remarkable hours,remarkable three an hours,three remarkable hours,three an hours,remarkable an hours
111,The family spent a remarkable five days in London.,The family spent,five remarkable a days,five remarkable days,remarkable five a days,five remarkable days,five a days,remarkable a days
112,The family spent a remarkable five weeks in London.,The family spent,five remarkable a weeks,five remarkable weeks,remarkable five a weeks,five remarkable weeks,five a weeks,remarkable a weeks
113,The family spent a remarkable five months in London.,The family spent,five remarkable a months,five remarkable months,remarkable five a months,five remarkable months,five a months,remarkable a months
114,The family spent a remarkable five years in London.,The family spent,five remarkable a years,five remarkable years,remarkable five a years,five remarkable years,five a years,remarkable a years
115,The family spent a remarkable five hours in London.,The family spent,five remarkable an hours,five remarkable hours,remarkable five an hours,five remarkable hours,five an hours,remarkable an hours
116,The family spent a remarkable twenty days in London.,The family spent,twenty remarkable a days,twenty remarkable days,remarkable twenty a days,twenty remarkable days,twenty a days,remarkable a days
117,The family spent a remarkable twenty weeks in London.,The family spent,twenty remarkable a weeks,twenty remarkable weeks,remarkable twenty a weeks,twenty remarkable weeks,twenty a weeks,remarkable a weeks
118,The family spent a remarkable twenty months in London.,The family spent,twenty remarkable a months,twenty remarkable months,remarkable twenty a months,twenty remarkable months,twenty a months,remarkable a months
119,The family spent a remarkable twenty years in London.,The family spent,twenty remarkable a years,twenty remarkable years,remarkable twenty a years,twenty remarkable years,twenty a years,remarkable a years
120,The family spent a remarkable twenty hours in London.,The family spent,twenty remarkable an hours,twenty remarkable hours,remarkable twenty an hours,twenty remarkable hours,twenty an hours,remarkable an hours
121,The family spent a mediocre three days in London.,The family spent,three mediocre a days,three mediocre days,mediocre three a days,three mediocre days,three a days,mediocre a days
122,The family spent a mediocre three weeks in London.,The family spent,three mediocre a weeks,three mediocre weeks,mediocre three a weeks,three mediocre weeks,three a weeks,mediocre a weeks
123,The family spent a mediocre three months in London.,The family spent,three mediocre a months,three mediocre months,mediocre three a months,three mediocre months,three a months,mediocre a months
124,The family spent a mediocre three years in London.,The family spent,three mediocre a years,three mediocre years,mediocre three a years,three mediocre years,three a years,mediocre a years
125,The family spent a mediocre three hours in London.,The family spent,three mediocre an hours,three mediocre hours,mediocre three an hours,three mediocre hours,three an hours,mediocre an hours
126,The family spent a mediocre five days in London.,The family spent,five mediocre a days,five mediocre days,mediocre five a days,five mediocre days,five a days,mediocre a days
127,The family spent a mediocre five weeks in London.,The family spent,five mediocre a weeks,five mediocre weeks,mediocre five a weeks,five mediocre weeks,five a weeks,mediocre a weeks
128,The family spent a mediocre five months in London.,The family spent,five mediocre a months,five mediocre months,mediocre five a months,five mediocre months,five a months,mediocre a months
129,The family spent a mediocre five years in London.,The family spent,five mediocre a years,five mediocre years,mediocre five a years,five mediocre years,five a years,mediocre a years
130,The family spent a mediocre five hours in London.,The family spent,five mediocre an hours,five mediocre hours,mediocre five an hours,five mediocre hours,five an hours,mediocre an hours
131,The family spent a mediocre twenty days in London.,The family spent,twenty mediocre a days,twenty mediocre days,mediocre twenty a days,twenty mediocre days,twenty a days,mediocre a days
132,The family spent a mediocre twenty weeks in London.,The family spent,twenty mediocre a weeks,twenty mediocre weeks,mediocre twenty a weeks,twenty mediocre weeks,twenty a weeks,mediocre a weeks
133,The family spent a mediocre twenty months in London.,The family spent,twenty mediocre a months,twenty mediocre months,mediocre twenty a months,twenty mediocre months,twenty a months,mediocre a months
134,The family spent a mediocre twenty years in London.,The family spent,twenty mediocre a years,twenty mediocre years,mediocre twenty a years,twenty mediocre years,twenty a years,mediocre a years
135,The family spent a mediocre twenty hours in London.,The family spent,twenty mediocre an hours,twenty mediocre hours,mediocre twenty an hours,twenty mediocre hours,twenty an hours,mediocre an hours
136,The family spent an unsatisfying three days in London.,The family spent,three unsatisfying a days,three unsatisfying days,unsatisfying three a days,three unsatisfying days,three a days,unsatisfying a days
137,The family spent an unsatisfying three weeks in London.,The family spent,three unsatisfying a weeks,three unsatisfying weeks,unsatisfying three a weeks,three unsatisfying weeks,three a weeks,unsatisfying a weeks
138,The family spent an unsatisfying three months in London.,The family spent,three unsatisfying a months,three unsatisfying months,unsatisfying three a months,three unsatisfying months,three a months,unsatisfying a months
139,The family spent an unsatisfying three years in London.,The family spent,three unsatisfying a years,three unsatisfying years,unsatisfying three a years,three unsatisfying years,three a years,unsatisfying a years
140,The family spent an unsatisfying three hours in London.,The family spent,three unsatisfying an hours,three unsatisfying hours,unsatisfying three an hours,three unsatisfying hours,three an hours,unsatisfying an hours
141,The family spent an unsatisfying five days in London.,The family spent,five unsatisfying a days,five unsatisfying days,unsatisfying five a days,five unsatisfying days,five a days,unsatisfying a days
142,The family spent an unsatisfying five weeks in London.,The family spent,five unsatisfying a weeks,five unsatisfying weeks,unsatisfying five a weeks,five unsatisfying weeks,five a weeks,unsatisfying a weeks
143,The family spent an unsatisfying five months in London.,The family spent,five unsatisfying a months,five unsatisfying months,unsatisfying five a months,five unsatisfying months,five a months,unsatisfying a months
144,The family spent an unsatisfying five years in London.,The family spent,five unsatisfying a years,five unsatisfying years,unsatisfying five a years,five unsatisfying years,five a years,unsatisfying a years
145,The family spent an unsatisfying five hours in London.,The family spent,five unsatisfying an hours,five unsatisfying hours,unsatisfying five an hours,five unsatisfying hours,five an hours,unsatisfying an hours
146,The family spent an unsatisfying twenty days in London.,The family spent,twenty unsatisfying a days,twenty unsatisfying days,unsatisfying twenty a days,twenty unsatisfying days,twenty a days,unsatisfying a days
147,The family spent an unsatisfying twenty weeks in London.,The family spent,twenty unsatisfying a weeks,twenty unsatisfying weeks,unsatisfying twenty a weeks,twenty unsatisfying weeks,twenty a weeks,unsatisfying a weeks
148,The family spent an unsatisfying twenty months in London.,The family spent,twenty unsatisfying a months,twenty unsatisfying months,unsatisfying twenty a months,twenty unsatisfying months,twenty a months,unsatisfying a months
149,The family spent an unsatisfying twenty years in London.,The family spent,twenty unsatisfying a years,twenty unsatisfying years,unsatisfying twenty a years,twenty unsatisfying years,twenty a years,unsatisfying a years
150,The family spent an unsatisfying twenty hours in London.,The family spent,twenty unsatisfying an hours,twenty unsatisfying hours,unsatisfying twenty an hours,twenty unsatisfying hours,twenty an hours,unsatisfying an hours
151,The family spent a lovely three days in London.,The family spent,three lovely a days,three lovely days,lovely three a days,three lovely days,three a days,lovely a days
152,The family spent a lovely three weeks in London.,The family spent,three lovely a weeks,three lovely weeks,lovely three a weeks,three lovely weeks,three a weeks,lovely a weeks
153,The family spent a lovely three months in London.,The family spent,three lovely a months,three lovely months,lovely three a months,three lovely months,three a months,lovely a months
154,The family spent a lovely three years in London.,The family spent,three lovely a years,three lovely years,lovely three a years,three lovely years,three a years,lovely a years
155,The family spent a lovely three hours in London.,The family spent,three lovely an hours,three lovely hours,lovely three an hours,three lovely hours,three an hours,lovely an hours
156,The family spent a lovely five days in London.,The family spent,five lovely a days,five lovely days,lovely five a days,five lovely days,five a days,lovely a days
157,The family spent a lovely five weeks in London.,The family spent,five lovely a weeks,five lovely weeks,lovely five a weeks,five lovely weeks,five a weeks,lovely a weeks
158,The family spent a lovely five months in London.,The family spent,five lovely a months,five lovely months,lovely five a months,five lovely months,five a months,lovely a months
159,The family spent a lovely five years in London.,The family spent,five lovely a years,five lovely years,lovely five a years,five lovely years,five a years,lovely a years
160,The family spent a lovely five hours in London.,The family spent,five lovely an hours,five lovely hours,lovely five an hours,five lovely hours,five an hours,lovely an hours
161,The family spent a lovely twenty days in London.,The family spent,twenty lovely a days,twenty lovely days,lovely twenty a days,twenty lovely days,twenty a days,lovely a days
162,The family spent a lovely twenty weeks in London.,The family spent,twenty lovely a weeks,twenty lovely weeks,lovely twenty a weeks,twenty lovely weeks,twenty a weeks,lovely a weeks
163,The family spent a lovely twenty months in London.,The family spent,twenty lovely a months,twenty lovely months,lovely twenty a months,twenty lovely months,twenty a months,lovely a months
164,The family spent a lovely twenty years in London.,The family spent,twenty lovely a years,twenty lovely years,lovely twenty a years,twenty lovely years,twenty a years,lovely a years
165,The family spent a lovely twenty hours in London.,The family spent,twenty lovely an hours,twenty lovely hours,lovely twenty an hours,twenty lovely hours,twenty an hours,lovely an hours
166,The family spent a beautiful three days in London.,The family spent,three beautiful a days,three beautiful days,beautiful three a days,three beautiful days,three a days,beautiful a days
167,The family spent a beautiful three weeks in London.,The family spent,three beautiful a weeks,three beautiful weeks,beautiful three a weeks,three beautiful weeks,three a weeks,beautiful a weeks
168,The family spent a beautiful three months in London.,The family spent,three beautiful a months,three beautiful months,beautiful three a months,three beautiful months,three a months,beautiful a months
169,The family spent a beautiful three years in London.,The family spent,three beautiful a years,three beautiful years,beautiful three a years,three beautiful years,three a years,beautiful a years
170,The family spent a beautiful three hours in London.,The family spent,three beautiful an hours,three beautiful hours,beautiful three an hours,three beautiful hours,three an hours,beautiful an hours
171,The family spent a beautiful five days in London.,The family spent,five beautiful a days,five beautiful days,beautiful five a days,five beautiful days,five a days,beautiful a days
172,The family spent a beautiful five weeks in London.,The family spent,five beautiful a weeks,five beautiful weeks,beautiful five a weeks,five beautiful weeks,five a weeks,beautiful a weeks
173,The family spent a beautiful five months in London.,The family spent,five beautiful a months,five beautiful months,beautiful five a months,five beautiful months,five a months,beautiful a months
174,The family spent a beautiful five years in London.,The family spent,five beautiful a years,five beautiful years,beautiful five a years,five beautiful years,five a years,beautiful a years
175,The family spent a beautiful five hours in London.,The family spent,five beautiful an hours,five beautiful hours,beautiful five an hours,five beautiful hours,five an hours,beautiful an hours
176,The family spent a beautiful twenty days in London.,The family spent,twenty beautiful a days,twenty beautiful days,beautiful twenty a days,twenty beautiful days,twenty a days,beautiful a days
177,The family spent a beautiful twenty weeks in London.,The family spent,twenty beautiful a weeks,twenty beautiful weeks,beautiful twenty a weeks,twenty beautiful weeks,twenty a weeks,beautiful a weeks
178,The family spent a beautiful twenty months in London.,The family spent,twenty beautiful a months,twenty beautiful months,beautiful twenty a months,twenty beautiful months,twenty a months,beautiful a months
179,The family spent a beautiful twenty years in London.,The family spent,twenty beautiful a years,twenty beautiful years,beautiful twenty a years,twenty beautiful years,twenty a years,beautiful a years
180,The family spent a beautiful twenty hours in London.,The family spent,twenty beautiful an hours,twenty beautiful hours,beautiful twenty an hours,twenty beautiful hours,twenty an hours,beautiful an hours
181,The family spent an enchanting three days in London.,The family spent,three enchanting a days,three enchanting days,enchanting three a days,three enchanting days,three a days,enchanting a days
182,The family spent an enchanting three weeks in London.,The family spent,three enchanting a weeks,three enchanting weeks,enchanting three a weeks,three enchanting weeks,three a weeks,enchanting a weeks
183,The family spent an enchanting three months in London.,The family spent,three enchanting a months,three enchanting months,enchanting three a months,three enchanting months,three a months,enchanting a months
184,The family spent an enchanting three years in London.,The family spent,three enchanting a years,three enchanting years,enchanting three a years,three enchanting years,three a years,enchanting a years
185,The family spent an enchanting three hours in London.,The family spent,three enchanting an hours,three enchanting hours,enchanting three an hours,three enchanting hours,three an hours,enchanting an hours
186,The family spent an enchanting five days in London.,The family spent,five enchanting a days,five enchanting days,enchanting five a days,five enchanting days,five a days,enchanting a days
187,The family spent an enchanting five weeks in London.,The family spent,five enchanting a weeks,five enchanting weeks,enchanting five a weeks,five enchanting weeks,five a weeks,enchanting a weeks
188,The family spent an enchanting five months in London.,The family spent,five enchanting a months,five enchanting months,enchanting five a months,five enchanting months,five a months,enchanting a months
189,The family spent an enchanting five years in London.,The family spent,five enchanting a years,five enchanting years,enchanting five a years,five enchanting years,five a years,enchanting a years
190,The family spent an enchanting five hours in London.,The family spent,five enchanting an hours,five enchanting hours,enchanting five an hours,five enchanting hours,five an hours,enchanting an hours
191,The family spent an enchanting twenty days in London.,The family spent,twenty enchanting a days,twenty enchanting days,enchanting twenty a days,twenty enchanting days,twenty a days,enchanting a days
192,The family spent an enchanting twenty weeks in London.,The family spent,twenty enchanting a weeks,twenty enchanting weeks,enchanting twenty a weeks,twenty enchanting weeks,twenty a weeks,enchanting a weeks
193,The family spent an enchanting twenty months in London.,The family spent,twenty enchanting a months,twenty enchanting months,enchanting twenty a months,twenty enchanting months,twenty a months,enchanting a months
194,The family spent an enchanting twenty years in London.,The family spent,twenty enchanting a years,twenty enchanting years,enchanting twenty a years,twenty enchanting years,twenty a years,enchanting a years
195,The family spent an enchanting twenty hours in London.,The family spent,twenty enchanting an hours,twenty enchanting hours,enchanting twenty an hours,twenty enchanting hours,twenty an hours,enchanting an hours
196,The family spent a soothing three days in London.,The family spent,three soothing a days,three soothing days,soothing three a days,three soothing days,three a days,soothing a days
197,The family spent a soothing three weeks in London.,The family spent,three soothing a weeks,three soothing weeks,soothing three a weeks,three soothing weeks,three a weeks,soothing a weeks
198,The family spent a soothing three months in London.,The family spent,three soothing a months,three soothing months,soothing three a months,three soothing months,three a months,soothing a months
199,The family spent a soothing three years in London.,The family spent,three soothing a years,three soothing years,soothing three a years,three soothing years,three a years,soothing a years
200,The family spent a soothing three hours in London.,The family spent,three soothing an hours,three soothing hours,soothing three an hours,three soothing hours,three an hours,soothing an hours
