idx,source,sentence,construction,pattern,DT,ADJ,NUMERAL,NOUN
94,mahowald,The family spent three pathetic a years in London.,three pathetic a years,DT JJ CD NNS,three,pathetic,a,years
95,mahowald,The family spent three pathetic an hours in London.,three pathetic an hours,DT JJ CD NNS,three,pathetic,an,hours
96,mahowald,The family spent five pathetic a days in London.,five pathetic a days,DT JJ CD NNS,five,pathetic,a,days
97,mahowald,The family spent five pathetic a weeks in London.,five pathetic a weeks,DT JJ CD NNS,five,pathetic,a,weeks
98,mahowald,The family spent five pathetic a months in London.,five pathetic a months,DT JJ CD NNS,five,pathetic,a,months
99,mahowald,The family spent five pathetic a years in London.,five pathetic a years,DT JJ CD NNS,five,pathetic,a,years
100,mahowald,The family spent five pathetic an hours in London.,five pathetic an hours,DT JJ CD NNS,five,pathetic,an,hours
101,mahowald,The family spent twenty pathetic a days in London.,twenty pathetic a days,DT JJ CD NNS,twenty,pathetic,a,days
102,mahowald,The family spent twenty pathetic a weeks in London.,twenty pathetic a weeks,DT JJ CD NNS,twenty,pathetic,a,weeks
103,mahowald,The family spent twenty pathetic a months in London.,twenty pathetic a months,DT JJ CD NNS,twenty,pathetic,a,months
104,mahowald,The family spent twenty pathetic a years in London.,twenty pathetic a years,DT JJ CD NNS,twenty,pathetic,a,years
105,mahowald,The family spent twenty pathetic an hours in London.,twenty pathetic an hours,DT JJ CD NNS,twenty,pathetic,an,hours
106,mahowald,The family spent three remarkable a days in London.,three remarkable a days,DT JJ CD NNS,three,remarkable,a,days
107,mahowald,The family spent three remarkable a weeks in London.,three remarkable a weeks,DT JJ CD NNS,three,remarkable,a,weeks
108,mahowald,The family spent three remarkable a months in London.,three remarkable a months,DT JJ CD NNS,three,remarkable,a,months
109,mahowald,The family spent three remarkable a years in London.,three remarkable a years,DT JJ CD NNS,three,remarkable,a,years
110,mahowald,The family spent three remarkable an hours in London.,three remarkable an hours,DT JJ CD NNS,three,remarkable,an,hours
111,mahowald,The family spent five remarkable a days in London.,five remarkable a days,DT JJ CD NNS,five,remarkable,a,days
112,mahowald,The family spent five remarkable a weeks in London.,five remarkable a weeks,DT JJ CD NNS,five,remarkable,a,weeks
113,mahowald,The family spent five remarkable a months in London.,five remarkable a months,DT JJ CD NNS,five,remarkable,a,months
114,mahowald,The family spent five remarkable a years in London.,five remarkable a years,DT JJ CD NNS,five,remarkable,a,years
115,mahowald,The family spent five remarkable an hours in London.,five remarkable an hours,DT JJ CD NNS,five,remarkable,an,hours
116,mahowald,The family spent twenty remarkable a days in London.,twenty remarkable a days,DT JJ CD NNS,twenty,remarkable,a,days
117,mahowald,The family spent twenty remarkable a weeks in London.,twenty remarkable a weeks,DT JJ CD NNS,twenty,remarkable,a,weeks
118,mahowald,The family spent twenty remarkable a months in London.,twenty remarkable a months,DT JJ CD NNS,twenty,remarkable,a,months
119,mahowald,The family spent twenty remarkable a years in London.,twenty remarkable a years,DT JJ CD NNS,twenty,remarkable,a,years
120,mahowald,The family spent twenty remarkable an hours in London.,twenty remarkable an hours,DT JJ CD NNS,twenty,remarkable,an,hours
121,mahowald,The family spent three mediocre a days in London.,three mediocre a days,DT JJ CD NNS,three,mediocre,a,days
122,mahowald,The family spent three mediocre a weeks in London.,three mediocre a weeks,DT JJ CD NNS,three,mediocre,a,weeks
123,mahowald,The family spent three mediocre a months in London.,three mediocre a months,DT JJ CD NNS,three,mediocre,a,months
124,mahowald,The family spent three mediocre a years in London.,three mediocre a years,DT JJ CD NNS,three,mediocre,a,years
125,mahowald,The family spent three mediocre an hours in London.,three mediocre an hours,DT JJ CD NNS,three,mediocre,an,hours
126,mahowald,The family spent five mediocre a days in London.,five mediocre a days,DT JJ CD NNS,five,mediocre,a,days
127,mahowald,The family spent five mediocre a weeks in London.,five mediocre a weeks,DT JJ CD NNS,five,mediocre,a,weeks
128,mahowald,The family spent five mediocre a months in London.,five mediocre a months,DT JJ CD NNS,five,mediocre,a,months
129,mahowald,The family spent five mediocre a years in London.,five mediocre a years,DT JJ CD NNS,five,mediocre,a,years
130,mahowald,The family spent five mediocre an hours in London.,five mediocre an hours,DT JJ CD NNS,five,mediocre,an,hours
131,mahowald,The family spent twenty mediocre a days in London.,twenty mediocre a days,DT JJ CD NNS,twenty,mediocre,a,days
132,mahowald,The family spent twenty mediocre a weeks in London.,twenty mediocre a weeks,DT JJ CD NNS,twenty,mediocre,a,weeks
133,mahowald,The family spent twenty mediocre a months in London.,twenty mediocre a months,DT JJ CD NNS,twenty,mediocre,a,months
134,mahowald,The family spent twenty mediocre a years in London.,twenty mediocre a years,DT JJ CD NNS,twenty,mediocre,a,years
135,mahowald,The family spent twenty mediocre an hours in London.,twenty mediocre an hours,DT JJ CD NNS,twenty,mediocre,an,hours
136,mahowald,The family spent three unsatisfying a days in London.,three unsatisfying a days,DT JJ CD NNS,three,unsatisfying,a,days
137,mahowald,The family spent three unsatisfying a weeks in London.,three unsatisfying a weeks,DT JJ CD NNS,three,unsatisfying,a,weeks
138,mahowald,The family spent three unsatisfying a months in London.,three unsatisfying a months,DT JJ CD NNS,three,unsatisfying,a,months
139,mahowald,The family spent three unsatisfying a years in London.,three unsatisfying a years,DT JJ CD NNS,three,unsatisfying,a,years
140,mahowald,The family spent three unsatisfying an hours in London.,three unsatisfying an hours,DT JJ CD NNS,three,unsatisfying,an,hours
141,mahowald,The family spent five unsatisfying a days in London.,five unsatisfying a days,DT JJ CD NNS,five,unsatisfying,a,days
142,mahowald,The family spent five unsatisfying a weeks in London.,five unsatisfying a weeks,DT JJ CD NNS,five,unsatisfying,a,weeks
143,mahowald,The family spent five unsatisfying a months in London.,five unsatisfying a months,DT JJ CD NNS,five,unsatisfying,a,months
144,mahowald,The family spent five unsatisfying a years in London.,five unsatisfying a years,DT JJ CD NNS,five,unsatisfying,a,years
145,mahowald,The family spent five unsatisfying an hours in London.,five unsatisfying an hours,DT JJ CD NNS,five,unsatisfying,an,hours
146,mahowald,The family spent twenty unsatisfying a days in London.,twenty unsatisfying a days,DT JJ CD NNS,twenty,unsatisfying,a,days
147,mahowald,The family spent twenty unsatisfying a weeks in London.,twenty unsatisfying a weeks,DT JJ CD NNS,twenty,unsatisfying,a,weeks
148,mahowald,The family spent twenty unsatisfying a months in London.,twenty unsatisfying a months,DT JJ CD NNS,twenty,unsatisfying,a,months
149,mahowald,The family spent twenty unsatisfying a years in London.,twenty unsatisfying a years,DT JJ CD NNS,twenty,unsatisfying,a,years
150,mahowald,The family spent twenty unsatisfying an hours in London.,twenty unsatisfying an hours,DT JJ CD NNS,twenty,unsatisfying,an,hours
151,mahowald,The family spent three lovely a days in London.,three lovely a days,DT JJ CD NNS,three,lovely,a,days
152,mahowald,The family spent three lovely a weeks in London.,three lovely a weeks,DT JJ CD NNS,three,lovely,a,weeks
153,mahowald,The family spent three lovely a months in London.,three lovely a months,DT JJ CD NNS,three,lovely,a,months
154,mahowald,The family spent three lovely a years in London.,three lovely a years,DT JJ CD NNS,three,lovely,a,years
155,mahowald,The family spent three lovely an hours in London.,three lovely an hours,DT JJ CD NNS,three,lovely,an,hours
156,mahowald,The family spent five lovely a days in London.,five lovely a days,DT JJ CD NNS,five,lovely,a,days
157,mahowald,The family spent five lovely a weeks in London.,five lovely a weeks,DT JJ CD NNS,five,lovely,a,weeks
158,mahowald,The family spent five lovely a months in London.,five lovely a months,DT JJ CD NNS,five,lovely,a,months
159,mahowald,The family spent five lovely a years in London.,five lovely a years,DT JJ CD NNS,five,lovely,a,years
160,mahowald,The family spent five lovely an hours in London.,five lovely an hours,DT JJ CD NNS,five,lovely,an,hours
161,mahowald,The family spent twenty lovely a days in London.,twenty lovely a days,DT JJ CD NNS,twenty,lovely,a,days
162,mahowald,The family spent twenty lovely a weeks in London.,twenty lovely a weeks,DT JJ CD NNS,twenty,lovely,a,weeks
163,mahowald,The family spent twenty lovely a months in London.,twenty lovely a months,DT JJ CD NNS,twenty,lovely,a,months
164,mahowald,The family spent twenty lovely a years in London.,twenty lovely a years,DT JJ CD NNS,twenty,lovely,a,years
165,mahowald,The family spent twenty lovely an hours in London.,twenty lovely an hours,DT JJ CD NNS,twenty,lovely,an,hours
166,mahowald,The family spent three beautiful a days in London.,three beautiful a days,DT JJ CD NNS,three,beautiful,a,days
167,mahowald,The family spent three beautiful a weeks in London.,three beautiful a weeks,DT JJ CD NNS,three,beautiful,a,weeks
168,mahowald,The family spent three beautiful a months in London.,three beautiful a months,DT JJ CD NNS,three,beautiful,a,months
169,mahowald,The family spent three beautiful a years in London.,three beautiful a years,DT JJ CD NNS,three,beautiful,a,years
170,mahowald,The family spent three beautiful an hours in London.,three beautiful an hours,DT JJ CD NNS,three,beautiful,an,hours
171,mahowald,The family spent five beautiful a days in London.,five beautiful a days,DT JJ CD NNS,five,beautiful,a,days
172,mahowald,The family spent five beautiful a weeks in London.,five beautiful a weeks,DT JJ CD NNS,five,beautiful,a,weeks
173,mahowald,The family spent five beautiful a months in London.,five beautiful a months,DT JJ CD NNS,five,beautiful,a,months
174,mahowald,The family spent five beautiful a years in London.,five beautiful a years,DT JJ CD NNS,five,beautiful,a,years
175,mahowald,The family spent five beautiful an hours in London.,five beautiful an hours,DT JJ CD NNS,five,beautiful,an,hours
176,mahowald,The family spent twenty beautiful a days in London.,twenty beautiful a days,DT JJ CD NNS,twenty,beautiful,a,days
177,mahowald,The family spent twenty beautiful a weeks in London.,twenty beautiful a weeks,DT JJ CD NNS,twenty,beautiful,a,weeks
178,mahowald,The family spent twenty beautiful a months in London.,twenty beautiful a months,DT JJ CD NNS,twenty,beautiful,a,months
179,mahowald,The family spent twenty beautiful a years in London.,twenty beautiful a years,DT JJ CD NNS,twenty,beautiful,a,years
180,mahowald,The family spent twenty beautiful an hours in London.,twenty beautiful an hours,DT JJ CD NNS,twenty,beautiful,an,hours
181,mahowald,The family spent three enchanting a days in London.,three enchanting a days,DT JJ CD NNS,three,enchanting,a,days
182,mahowald,The family spent three enchanting a weeks in London.,three enchanting a weeks,DT JJ CD NNS,three,enchanting,a,weeks
183,mahowald,The family spent three enchanting a months in London.,three enchanting a months,DT JJ CD NNS,three,enchanting,a,months
184,mahowald,The family spent three enchanting a years in London.,three enchanting a years,DT JJ CD NNS,three,enchanting,a,years
185,mahowald,The family spent three enchanting an hours in London.,three enchanting an hours,DT JJ CD NNS,three,enchanting,an,hours
186,mahowald,The family spent five enchanting a days in London.,five enchanting a days,DT JJ CD NNS,five,enchanting,a,days
187,mahowald,The family spent five enchanting a weeks in London.,five enchanting a weeks,DT JJ CD NNS,five,enchanting,a,weeks
188,mahowald,The family spent five enchanting a months in London.,five enchanting a months,DT JJ CD NNS,five,enchanting,a,months
189,mahowald,The family spent five enchanting a years in London.,five enchanting a years,DT JJ CD NNS,five,enchanting,a,years
190,mahowald,The family spent five enchanting an hours in London.,five enchanting an hours,DT JJ CD NNS,five,enchanting,an,hours
191,mahowald,The family spent twenty enchanting a days in London.,twenty enchanting a days,DT JJ CD NNS,twenty,enchanting,a,days
192,mahowald,The family spent twenty enchanting a weeks in London.,twenty enchanting a weeks,DT JJ CD NNS,twenty,enchanting,a,weeks
193,mahowald,The family spent twenty enchanting a months in London.,twenty enchanting a months,DT JJ CD NNS,twenty,enchanting,a,months
194,mahowald,The family spent twenty enchanting a years in London.,twenty enchanting a years,DT JJ CD NNS,twenty,enchanting,a,years
195,mahowald,The family spent twenty enchanting an hours in London.,twenty enchanting an hours,DT JJ CD NNS,twenty,enchanting,an,hours
196,mahowald,The family spent three soothing a days in London.,three soothing a days,DT JJ CD NNS,three,soothing,a,days
197,mahowald,The family spent three soothing a weeks in London.,three soothing a weeks,DT JJ CD NNS,three,soothing,a,weeks
198,mahowald,The family spent three soothing a months in London.,three soothing a months,DT JJ CD NNS,three,soothing,a,months
199,mahowald,The family spent three soothing a years in London.,three soothing a years,DT JJ CD NNS,three,soothing,a,years
200,mahowald,The family spent three soothing an hours in London.,three soothing an hours,DT JJ CD NNS,three,soothing,an,hours
201,mahowald,The family spent five soothing a days in London.,five soothing a days,DT JJ CD NNS,five,soothing,a,days
202,mahowald,The family spent five soothing a weeks in London.,five soothing a weeks,DT JJ CD NNS,five,soothing,a,weeks
203,mahowald,The family spent five soothing a months in London.,five soothing a months,DT JJ CD NNS,five,soothing,a,months
204,mahowald,The family spent five soothing a years in London.,five soothing a years,DT JJ CD NNS,five,soothing,a,years
205,mahowald,The family spent five soothing an hours in London.,five soothing an hours,DT JJ CD NNS,five,soothing,an,hours
206,mahowald,The family spent twenty soothing a days in London.,twenty soothing a days,DT JJ CD NNS,twenty,soothing,a,days
207,mahowald,The family spent twenty soothing a weeks in London.,twenty soothing a weeks,DT JJ CD NNS,twenty,soothing,a,weeks
208,mahowald,The family spent twenty soothing a months in London.,twenty soothing a months,DT JJ CD NNS,twenty,soothing,a,months
209,mahowald,The family spent twenty soothing a years in London.,twenty soothing a years,DT JJ CD NNS,twenty,soothing,a,years
210,mahowald,The family spent twenty soothing an hours in London.,twenty soothing an hours,DT JJ CD NNS,twenty,soothing,an,hours
211,mahowald,The family spent three charming a days in London.,three charming a days,DT JJ CD NNS,three,charming,a,days
212,mahowald,The family spent three charming a weeks in London.,three charming a weeks,DT JJ CD NNS,three,charming,a,weeks
213,mahowald,The family spent three charming a months in London.,three charming a months,DT JJ CD NNS,three,charming,a,months
214,mahowald,The family spent three charming a years in London.,three charming a years,DT JJ CD NNS,three,charming,a,years
215,mahowald,The family spent three charming an hours in London.,three charming an hours,DT JJ CD NNS,three,charming,an,hours
216,mahowald,The family spent five charming a days in London.,five charming a days,DT JJ CD NNS,five,charming,a,days
217,mahowald,The family spent five charming a weeks in London.,five charming a weeks,DT JJ CD NNS,five,charming,a,weeks
218,mahowald,The family spent five charming a months in London.,five charming a months,DT JJ CD NNS,five,charming,a,months
219,mahowald,The family spent five charming a years in London.,five charming a years,DT JJ CD NNS,five,charming,a,years
220,mahowald,The family spent five charming an hours in London.,five charming an hours,DT JJ CD NNS,five,charming,an,hours
221,mahowald,The family spent twenty charming a days in London.,twenty charming a days,DT JJ CD NNS,twenty,charming,a,days
222,mahowald,The family spent twenty charming a weeks in London.,twenty charming a weeks,DT JJ CD NNS,twenty,charming,a,weeks
223,mahowald,The family spent twenty charming a months in London.,twenty charming a months,DT JJ CD NNS,twenty,charming,a,months
224,mahowald,The family spent twenty charming a years in London.,twenty charming a years,DT JJ CD NNS,twenty,charming,a,years
225,mahowald,The family spent twenty charming an hours in London.,twenty charming an hours,DT JJ CD NNS,twenty,charming,an,hours
226,mahowald,The family spent three disgusting a days in London.,three disgusting a days,DT JJ CD NNS,three,disgusting,a,days
227,mahowald,The family spent three disgusting a weeks in London.,three disgusting a weeks,DT JJ CD NNS,three,disgusting,a,weeks
228,mahowald,The family spent three disgusting a months in London.,three disgusting a months,DT JJ CD NNS,three,disgusting,a,months
229,mahowald,The family spent three disgusting a years in London.,three disgusting a years,DT JJ CD NNS,three,disgusting,a,years
230,mahowald,The family spent three disgusting an hours in London.,three disgusting an hours,DT JJ CD NNS,three,disgusting,an,hours
231,mahowald,The family spent five disgusting a days in London.,five disgusting a days,DT JJ CD NNS,five,disgusting,a,days
232,mahowald,The family spent five disgusting a weeks in London.,five disgusting a weeks,DT JJ CD NNS,five,disgusting,a,weeks
233,mahowald,The family spent five disgusting a months in London.,five disgusting a months,DT JJ CD NNS,five,disgusting,a,months
234,mahowald,The family spent five disgusting a years in London.,five disgusting a years,DT JJ CD NNS,five,disgusting,a,years
235,mahowald,The family spent five disgusting an hours in London.,five disgusting an hours,DT JJ CD NNS,five,disgusting,an,hours
236,mahowald,The family spent twenty disgusting a days in London.,twenty disgusting a days,DT JJ CD NNS,twenty,disgusting,a,days
237,mahowald,The family spent twenty disgusting a weeks in London.,twenty disgusting a weeks,DT JJ CD NNS,twenty,disgusting,a,weeks
238,mahowald,The family spent twenty disgusting a months in London.,twenty disgusting a months,DT JJ CD NNS,twenty,disgusting,a,months
239,mahowald,The family spent twenty disgusting a years in London.,twenty disgusting a years,DT JJ CD NNS,twenty,disgusting,a,years
240,mahowald,The family spent twenty disgusting an hours in London.,twenty disgusting an hours,DT JJ CD NNS,twenty,disgusting,an,hours
241,mahowald,The family spent three uninviting a days in London.,three uninviting a days,DT JJ CD NNS,three,uninviting,a,days
242,mahowald,The family spent three uninviting a weeks in London.,three uninviting a weeks,DT JJ CD NNS,three,uninviting,a,weeks
243,mahowald,The family spent three uninviting a months in London.,three uninviting a months,DT JJ CD NNS,three,uninviting,a,months
244,mahowald,The family spent three uninviting a years in London.,three uninviting a years,DT JJ CD NNS,three,uninviting,a,years
245,mahowald,The family spent three uninviting an hours in London.,three uninviting an hours,DT JJ CD NNS,three,uninviting,an,hours
246,mahowald,The family spent five uninviting a days in London.,five uninviting a days,DT JJ CD NNS,five,uninviting,a,days
247,mahowald,The family spent five uninviting a weeks in London.,five uninviting a weeks,DT JJ CD NNS,five,uninviting,a,weeks
248,mahowald,The family spent five uninviting a months in London.,five uninviting a months,DT JJ CD NNS,five,uninviting,a,months
249,mahowald,The family spent five uninviting a years in London.,five uninviting a years,DT JJ CD NNS,five,uninviting,a,years
250,mahowald,The family spent five uninviting an hours in London.,five uninviting an hours,DT JJ CD NNS,five,uninviting,an,hours
251,mahowald,The family spent twenty uninviting a days in London.,twenty uninviting a days,DT JJ CD NNS,twenty,uninviting,a,days
252,mahowald,The family spent twenty uninviting a weeks in London.,twenty uninviting a weeks,DT JJ CD NNS,twenty,uninviting,a,weeks
253,mahowald,The family spent twenty uninviting a months in London.,twenty uninviting a months,DT JJ CD NNS,twenty,uninviting,a,months
254,mahowald,The family spent twenty uninviting a years in London.,twenty uninviting a years,DT JJ CD NNS,twenty,uninviting,a,years
