,idx,source,sentence,construction,pattern,DT,ADJ,NUMERAL,NOUN
116,117,mahowald,The family spent twenty remarkable a weeks in London.,twenty remarkable a weeks,DT JJ CD NNS,a,remarkable,twenty,weeks
117,118,mahowald,The family spent twenty remarkable a months in London.,twenty remarkable a months,DT JJ CD NNS,a,remarkable,twenty,months
118,119,mahowald,The family spent twenty remarkable a years in London.,twenty remarkable a years,DT JJ CD NNS,a,remarkable,twenty,years
119,120,mahowald,The family spent twenty remarkable an hours in London.,twenty remarkable an hours,DT JJ CD NNS,a,remarkable,twenty,hours
120,121,mahowald,The family spent three mediocre a days in London.,three mediocre a days,DT JJ CD NNS,a,mediocre,three,days
121,122,mahowald,The family spent three mediocre a weeks in London.,three mediocre a weeks,DT JJ CD NNS,a,mediocre,three,weeks
122,123,mahowald,The family spent three mediocre a months in London.,three mediocre a months,DT JJ CD NNS,a,mediocre,three,months
123,124,mahowald,The family spent three mediocre a years in London.,three mediocre a years,DT JJ CD NNS,a,mediocre,three,years
124,125,mahowald,The family spent three mediocre an hours in London.,three mediocre an hours,DT JJ CD NNS,a,mediocre,three,hours
125,126,mahowald,The family spent five mediocre a days in London.,five mediocre a days,DT JJ CD NNS,a,mediocre,five,days
126,127,mahowald,The family spent five mediocre a weeks in London.,five mediocre a weeks,DT JJ CD NNS,a,mediocre,five,weeks
127,128,mahowald,The family spent five mediocre a months in London.,five mediocre a months,DT JJ CD NNS,a,mediocre,five,months
128,129,mahowald,The family spent five mediocre a years in London.,five mediocre a years,DT JJ CD NNS,a,mediocre,five,years
129,130,mahowald,The family spent five mediocre an hours in London.,five mediocre an hours,DT JJ CD NNS,a,mediocre,five,hours
130,131,mahowald,The family spent twenty mediocre a days in London.,twenty mediocre a days,DT JJ CD NNS,a,mediocre,twenty,days
131,132,mahowald,The family spent twenty mediocre a weeks in London.,twenty mediocre a weeks,DT JJ CD NNS,a,mediocre,twenty,weeks
132,133,mahowald,The family spent twenty mediocre a months in London.,twenty mediocre a months,DT JJ CD NNS,a,mediocre,twenty,months
133,134,mahowald,The family spent twenty mediocre a years in London.,twenty mediocre a years,DT JJ CD NNS,a,mediocre,twenty,years
134,135,mahowald,The family spent twenty mediocre an hours in London.,twenty mediocre an hours,DT JJ CD NNS,a,mediocre,twenty,hours
135,136,mahowald,The family spent three unsatisfying a days in London.,three unsatisfying a days,DT JJ CD NNS,an,unsatisfying,three,days
136,137,mahowald,The family spent three unsatisfying a weeks in London.,three unsatisfying a weeks,DT JJ CD NNS,an,unsatisfying,three,weeks
137,138,mahowald,The family spent three unsatisfying a months in London.,three unsatisfying a months,DT JJ CD NNS,an,unsatisfying,three,months
138,139,mahowald,The family spent three unsatisfying a years in London.,three unsatisfying a years,DT JJ CD NNS,an,unsatisfying,three,years
139,140,mahowald,The family spent three unsatisfying an hours in London.,three unsatisfying an hours,DT JJ CD NNS,an,unsatisfying,three,hours
140,141,mahowald,The family spent five unsatisfying a days in London.,five unsatisfying a days,DT JJ CD NNS,an,unsatisfying,five,days
141,142,mahowald,The family spent five unsatisfying a weeks in London.,five unsatisfying a weeks,DT JJ CD NNS,an,unsatisfying,five,weeks
142,143,mahowald,The family spent five unsatisfying a months in London.,five unsatisfying a months,DT JJ CD NNS,an,unsatisfying,five,months
143,144,mahowald,The family spent five unsatisfying a years in London.,five unsatisfying a years,DT JJ CD NNS,an,unsatisfying,five,years
144,145,mahowald,The family spent five unsatisfying an hours in London.,five unsatisfying an hours,DT JJ CD NNS,an,unsatisfying,five,hours
145,146,mahowald,The family spent twenty unsatisfying a days in London.,twenty unsatisfying a days,DT JJ CD NNS,an,unsatisfying,twenty,days
146,147,mahowald,The family spent twenty unsatisfying a weeks in London.,twenty unsatisfying a weeks,DT JJ CD NNS,an,unsatisfying,twenty,weeks
147,148,mahowald,The family spent twenty unsatisfying a months in London.,twenty unsatisfying a months,DT JJ CD NNS,an,unsatisfying,twenty,months
148,149,mahowald,The family spent twenty unsatisfying a years in London.,twenty unsatisfying a years,DT JJ CD NNS,an,unsatisfying,twenty,years
149,150,mahowald,The family spent twenty unsatisfying an hours in London.,twenty unsatisfying an hours,DT JJ CD NNS,an,unsatisfying,twenty,hours
150,151,mahowald,The family spent three lovely a days in London.,three lovely a days,DT JJ CD NNS,a,lovely,three,days
151,152,mahowald,The family spent three lovely a weeks in London.,three lovely a weeks,DT JJ CD NNS,a,lovely,three,weeks
152,153,mahowald,The family spent three lovely a months in London.,three lovely a months,DT JJ CD NNS,a,lovely,three,months
153,154,mahowald,The family spent three lovely a years in London.,three lovely a years,DT JJ CD NNS,a,lovely,three,years
154,155,mahowald,The family spent three lovely an hours in London.,three lovely an hours,DT JJ CD NNS,a,lovely,three,hours
155,156,mahowald,The family spent five lovely a days in London.,five lovely a days,DT JJ CD NNS,a,lovely,five,days
156,157,mahowald,The family spent five lovely a weeks in London.,five lovely a weeks,DT JJ CD NNS,a,lovely,five,weeks
157,158,mahowald,The family spent five lovely a months in London.,five lovely a months,DT JJ CD NNS,a,lovely,five,months
158,159,mahowald,The family spent five lovely a years in London.,five lovely a years,DT JJ CD NNS,a,lovely,five,years
159,160,mahowald,The family spent five lovely an hours in London.,five lovely an hours,DT JJ CD NNS,a,lovely,five,hours
160,161,mahowald,The family spent twenty lovely a days in London.,twenty lovely a days,DT JJ CD NNS,a,lovely,twenty,days
161,162,mahowald,The family spent twenty lovely a weeks in London.,twenty lovely a weeks,DT JJ CD NNS,a,lovely,twenty,weeks
162,163,mahowald,The family spent twenty lovely a months in London.,twenty lovely a months,DT JJ CD NNS,a,lovely,twenty,months
163,164,mahowald,The family spent twenty lovely a years in London.,twenty lovely a years,DT JJ CD NNS,a,lovely,twenty,years
164,165,mahowald,The family spent twenty lovely an hours in London.,twenty lovely an hours,DT JJ CD NNS,a,lovely,twenty,hours
165,166,mahowald,The family spent three beautiful a days in London.,three beautiful a days,DT JJ CD NNS,a,beautiful,three,days
166,167,mahowald,The family spent three beautiful a weeks in London.,three beautiful a weeks,DT JJ CD NNS,a,beautiful,three,weeks
167,168,mahowald,The family spent three beautiful a months in London.,three beautiful a months,DT JJ CD NNS,a,beautiful,three,months
168,169,mahowald,The family spent three beautiful a years in London.,three beautiful a years,DT JJ CD NNS,a,beautiful,three,years
169,170,mahowald,The family spent three beautiful an hours in London.,three beautiful an hours,DT JJ CD NNS,a,beautiful,three,hours
170,171,mahowald,The family spent five beautiful a days in London.,five beautiful a days,DT JJ CD NNS,a,beautiful,five,days
171,172,mahowald,The family spent five beautiful a weeks in London.,five beautiful a weeks,DT JJ CD NNS,a,beautiful,five,weeks
172,173,mahowald,The family spent five beautiful a months in London.,five beautiful a months,DT JJ CD NNS,a,beautiful,five,months
173,174,mahowald,The family spent five beautiful a years in London.,five beautiful a years,DT JJ CD NNS,a,beautiful,five,years
174,175,mahowald,The family spent five beautiful an hours in London.,five beautiful an hours,DT JJ CD NNS,a,beautiful,five,hours
175,176,mahowald,The family spent twenty beautiful a days in London.,twenty beautiful a days,DT JJ CD NNS,a,beautiful,twenty,days
176,177,mahowald,The family spent twenty beautiful a weeks in London.,twenty beautiful a weeks,DT JJ CD NNS,a,beautiful,twenty,weeks
177,178,mahowald,The family spent twenty beautiful a months in London.,twenty beautiful a months,DT JJ CD NNS,a,beautiful,twenty,months
178,179,mahowald,The family spent twenty beautiful a years in London.,twenty beautiful a years,DT JJ CD NNS,a,beautiful,twenty,years
179,180,mahowald,The family spent twenty beautiful an hours in London.,twenty beautiful an hours,DT JJ CD NNS,a,beautiful,twenty,hours
180,181,mahowald,The family spent three enchanting a days in London.,three enchanting a days,DT JJ CD NNS,an,enchanting,three,days
181,182,mahowald,The family spent three enchanting a weeks in London.,three enchanting a weeks,DT JJ CD NNS,an,enchanting,three,weeks
182,183,mahowald,The family spent three enchanting a months in London.,three enchanting a months,DT JJ CD NNS,an,enchanting,three,months
183,184,mahowald,The family spent three enchanting a years in London.,three enchanting a years,DT JJ CD NNS,an,enchanting,three,years
184,185,mahowald,The family spent three enchanting an hours in London.,three enchanting an hours,DT JJ CD NNS,an,enchanting,three,hours
185,186,mahowald,The family spent five enchanting a days in London.,five enchanting a days,DT JJ CD NNS,an,enchanting,five,days
186,187,mahowald,The family spent five enchanting a weeks in London.,five enchanting a weeks,DT JJ CD NNS,an,enchanting,five,weeks
187,188,mahowald,The family spent five enchanting a months in London.,five enchanting a months,DT JJ CD NNS,an,enchanting,five,months
188,189,mahowald,The family spent five enchanting a years in London.,five enchanting a years,DT JJ CD NNS,an,enchanting,five,years
189,190,mahowald,The family spent five enchanting an hours in London.,five enchanting an hours,DT JJ CD NNS,an,enchanting,five,hours
190,191,mahowald,The family spent twenty enchanting a days in London.,twenty enchanting a days,DT JJ CD NNS,an,enchanting,twenty,days
191,192,mahowald,The family spent twenty enchanting a weeks in London.,twenty enchanting a weeks,DT JJ CD NNS,an,enchanting,twenty,weeks
192,193,mahowald,The family spent twenty enchanting a months in London.,twenty enchanting a months,DT JJ CD NNS,an,enchanting,twenty,months
193,194,mahowald,The family spent twenty enchanting a years in London.,twenty enchanting a years,DT JJ CD NNS,an,enchanting,twenty,years
194,195,mahowald,The family spent twenty enchanting an hours in London.,twenty enchanting an hours,DT JJ CD NNS,an,enchanting,twenty,hours
195,196,mahowald,The family spent three soothing a days in London.,three soothing a days,DT JJ CD NNS,a,soothing,three,days
196,197,mahowald,The family spent three soothing a weeks in London.,three soothing a weeks,DT JJ CD NNS,a,soothing,three,weeks
197,198,mahowald,The family spent three soothing a months in London.,three soothing a months,DT JJ CD NNS,a,soothing,three,months
198,199,mahowald,The family spent three soothing a years in London.,three soothing a years,DT JJ CD NNS,a,soothing,three,years
199,200,mahowald,The family spent three soothing an hours in London.,three soothing an hours,DT JJ CD NNS,a,soothing,three,hours
200,201,mahowald,The family spent five soothing a days in London.,five soothing a days,DT JJ CD NNS,a,soothing,five,days
201,202,mahowald,The family spent five soothing a weeks in London.,five soothing a weeks,DT JJ CD NNS,a,soothing,five,weeks
202,203,mahowald,The family spent five soothing a months in London.,five soothing a months,DT JJ CD NNS,a,soothing,five,months
203,204,mahowald,The family spent five soothing a years in London.,five soothing a years,DT JJ CD NNS,a,soothing,five,years
204,205,mahowald,The family spent five soothing an hours in London.,five soothing an hours,DT JJ CD NNS,a,soothing,five,hours
205,206,mahowald,The family spent twenty soothing a days in London.,twenty soothing a days,DT JJ CD NNS,a,soothing,twenty,days
206,207,mahowald,The family spent twenty soothing a weeks in London.,twenty soothing a weeks,DT JJ CD NNS,a,soothing,twenty,weeks
207,208,mahowald,The family spent twenty soothing a months in London.,twenty soothing a months,DT JJ CD NNS,a,soothing,twenty,months
208,209,mahowald,The family spent twenty soothing a years in London.,twenty soothing a years,DT JJ CD NNS,a,soothing,twenty,years
209,210,mahowald,The family spent twenty soothing an hours in London.,twenty soothing an hours,DT JJ CD NNS,a,soothing,twenty,hours
210,211,mahowald,The family spent three charming a days in London.,three charming a days,DT JJ CD NNS,a,charming,three,days
211,212,mahowald,The family spent three charming a weeks in London.,three charming a weeks,DT JJ CD NNS,a,charming,three,weeks
212,213,mahowald,The family spent three charming a months in London.,three charming a months,DT JJ CD NNS,a,charming,three,months
213,214,mahowald,The family spent three charming a years in London.,three charming a years,DT JJ CD NNS,a,charming,three,years
214,215,mahowald,The family spent three charming an hours in London.,three charming an hours,DT JJ CD NNS,a,charming,three,hours
215,216,mahowald,The family spent five charming a days in London.,five charming a days,DT JJ CD NNS,a,charming,five,days
216,217,mahowald,The family spent five charming a weeks in London.,five charming a weeks,DT JJ CD NNS,a,charming,five,weeks
217,218,mahowald,The family spent five charming a months in London.,five charming a months,DT JJ CD NNS,a,charming,five,months
218,219,mahowald,The family spent five charming a years in London.,five charming a years,DT JJ CD NNS,a,charming,five,years
219,220,mahowald,The family spent five charming an hours in London.,five charming an hours,DT JJ CD NNS,a,charming,five,hours
220,221,mahowald,The family spent twenty charming a days in London.,twenty charming a days,DT JJ CD NNS,a,charming,twenty,days
221,222,mahowald,The family spent twenty charming a weeks in London.,twenty charming a weeks,DT JJ CD NNS,a,charming,twenty,weeks
222,223,mahowald,The family spent twenty charming a months in London.,twenty charming a months,DT JJ CD NNS,a,charming,twenty,months
223,224,mahowald,The family spent twenty charming a years in London.,twenty charming a years,DT JJ CD NNS,a,charming,twenty,years
224,225,mahowald,The family spent twenty charming an hours in London.,twenty charming an hours,DT JJ CD NNS,a,charming,twenty,hours
225,226,mahowald,The family spent three disgusting a days in London.,three disgusting a days,DT JJ CD NNS,a,disgusting,three,days
226,227,mahowald,The family spent three disgusting a weeks in London.,three disgusting a weeks,DT JJ CD NNS,a,disgusting,three,weeks
227,228,mahowald,The family spent three disgusting a months in London.,three disgusting a months,DT JJ CD NNS,a,disgusting,three,months
228,229,mahowald,The family spent three disgusting a years in London.,three disgusting a years,DT JJ CD NNS,a,disgusting,three,years
229,230,mahowald,The family spent three disgusting an hours in London.,three disgusting an hours,DT JJ CD NNS,a,disgusting,three,hours
230,231,mahowald,The family spent five disgusting a days in London.,five disgusting a days,DT JJ CD NNS,a,disgusting,five,days
231,232,mahowald,The family spent five disgusting a weeks in London.,five disgusting a weeks,DT JJ CD NNS,a,disgusting,five,weeks
232,233,mahowald,The family spent five disgusting a months in London.,five disgusting a months,DT JJ CD NNS,a,disgusting,five,months
233,234,mahowald,The family spent five disgusting a years in London.,five disgusting a years,DT JJ CD NNS,a,disgusting,five,years
234,235,mahowald,The family spent five disgusting an hours in London.,five disgusting an hours,DT JJ CD NNS,a,disgusting,five,hours
235,236,mahowald,The family spent twenty disgusting a days in London.,twenty disgusting a days,DT JJ CD NNS,a,disgusting,twenty,days
236,237,mahowald,The family spent twenty disgusting a weeks in London.,twenty disgusting a weeks,DT JJ CD NNS,a,disgusting,twenty,weeks
237,238,mahowald,The family spent twenty disgusting a months in London.,twenty disgusting a months,DT JJ CD NNS,a,disgusting,twenty,months
238,239,mahowald,The family spent twenty disgusting a years in London.,twenty disgusting a years,DT JJ CD NNS,a,disgusting,twenty,years
239,240,mahowald,The family spent twenty disgusting an hours in London.,twenty disgusting an hours,DT JJ CD NNS,a,disgusting,twenty,hours
240,241,mahowald,The family spent three uninviting a days in London.,three uninviting a days,DT JJ CD NNS,an,uninviting,three,days
241,242,mahowald,The family spent three uninviting a weeks in London.,three uninviting a weeks,DT JJ CD NNS,an,uninviting,three,weeks
242,243,mahowald,The family spent three uninviting a months in London.,three uninviting a months,DT JJ CD NNS,an,uninviting,three,months
243,244,mahowald,The family spent three uninviting a years in London.,three uninviting a years,DT JJ CD NNS,an,uninviting,three,years
244,245,mahowald,The family spent three uninviting an hours in London.,three uninviting an hours,DT JJ CD NNS,an,uninviting,three,hours
