sentence_idx,noun,noun_idx,article,article_dep,dep_depth,article_idx
25485,consequences,21,a,det,2,4
25498,columns,7,a,quantmod,2,4
25545,seasons,14,a,quantmod,1,9
26785,centers,37,a,det,0,34
27111,deals,6,a,det,1,3
27414,years,15,a,quantmod,1,13
27467,years,2,a,det,0,0
27620,people,6,a,quantmod,2,3
27720,teams,23,a,det,2,18
27819,games,17,a,det,0,15
28547,dollars,4,a,quantmod,1,2
28788,friends,7,a,det,0,4
28800,sacks,27,a,quantmod,1,25
28814,pears,58,a,quantmod,1,55
29044,people,13,a,det,0,10
29091,flowers,34,a,quantmod,1,32
29316,things,12,a,quantmod,1,10
29553,points,7,a,det,0,3
29553,feelings,19,a,det,1,16
29793,times,22,a,det,0,19
29824,guests,34,a,quantmod,1,32
29824,guests,39,a,quantmod,1,37
30027,videos,7,a,det,0,4
30245,years,16,a,det,0,14
30245,roads,17,a,det,1,14
30785,photographs,4,a,det,0,2
31061,months,3,a,quantmod,1,1
31726,princesses,41,a,quantmod,1,39
32311,swineherd,22,an,det,0,18
32322,kisses,6,a,quantmod,1,4
32362,kisses,3,a,compound,1,1
32414,chances,8,a,det,1,5
32572,frogs,3,a,det,0,1
32615,species,5,an,det,0,3
32683,years,10,a,quantmod,1,8
32744,commissions,10,a,quantmod,1,7
32902,persons,2,a,det,0,0
32928,drummers,4,a,quantmod,1,2
33009,checks,27,a,quantmod,1,25
33132,scholars,29,a,det,0,27
33191,lovers,4,a,det,0,3
33246,lovers,4,a,det,0,3
33372,years,20,a,det,0,18
33378,changes,138,a,det,0,135
33784,deaths,18,a,det,0,16
33790,days,7,a,det,0,5
33819,pages,5,a,quantmod,1,0
33872,times,6,a,quantmod,1,4
33905,fingers,28,a,det,1,25
33911,times,4,a,det,0,2
33921,species,13,a,det,0,11
33966,fragments,11,a,quantmod,1,9
33980,seconds,3,a,det,0,1
34156,seconds,15,a,quantmod,1,13
34170,Readings,10,an,det,1,5
34197,students,27,a,det,2,23
34347,persons,61,a,det,0,58
34351,touches,15,a,quantmod,1,12
34506,streets,14,a,quantmod,1,10
34788,twigs,5,a,quantmod,1,3
35018,dollars,30,a,quantmod,1,28
35056,pence,11,a,det,0,9
35065,dollars,33,a,quantmod,1,31
35268,strokes,8,a,det,0,6
35441,bulls,56,a,quantmod,1,54
35766,furnaces,11,a,quantmod,1,9
35776,goals,20,a,quantmod,1,18
35803,strides,12,a,quantmod,1,10
35862,props,19,a,det,1,14
36522,people,6,a,quantmod,1,4
36534,d'épices,2,a,det,0,0
36540,ingredients,14,a,det,1,11
36550,women,23,a,det,0,20
36550,rights,25,a,det,1,20
36907,pieces,47,a,quantmod,1,42
37025,flakes,4,a,det,0,0
37058,flakes,31,a,quantmod,1,28
37067,blunders,4,a,quantmod,1,2
37204,years,2,a,det,0,0
37204,flights,14,a,det,0,11
37485,years,8,a,quantmod,2,6
37496,leagues,4,a,quantmod,1,2
37496,hours,24,a,det,0,22
37531,times,7,a,quantmod,1,5
37959,times,42,a,quantmod,2,40
37986,years,9,a,quantmod,2,7
38036,nights,31,a,det,0,29
38174,troops,10,a,det,0,4
38580,minutes,27,a,quantmod,1,25
38938,pigeons,12,a,quantmod,1,10
39118,degrees,24,a,quantmod,1,22
39183,miles,6,a,quantmod,1,4
39184,words,6,a,det,0,4
39189,words,18,a,det,0,16
39362,woes,3,a,quantmod,1,1
39412,pieces,19,a,det,0,17
39458,halls,6,a,quantmod,1,4
39463,pieces,23,a,det,0,21
39507,headquarters,26,a,det,0,24
39713,farms,7,a,quantmod,1,5
39769,propria,15,an,det,0,12
39795,girls,3,a,det,0,2
39820,days,12,a,det,0,10
39925,drops,9,a,det,0,7
39980,flowers,42,a,det,0,37
40043,blues,23,an,det,0,20
40066,strikeouts,28,a,det,0,23
40111,games,37,a,det,0,32
40323,pictures,20,a,quantmod,1,18
40398,visions,167,a,quantmod,1,165
40400,drops,5,a,det,0,3
40572,hitherto,104,a,det,0,101
40642,minutes,7,a,quantmod,1,5
40675,minutes,12,a,quantmod,1,10
40758,questions,8,a,det,0,6
40799,stars,14,a,quantmod,1,12
40799,lamps,20,a,quantmod,1,18
40979,minutes,3,a,det,0,1
41018,minutes,7,a,quantmod,1,4
41078,days,35,a,det,0,33
41306,hamlets,5,a,quantmod,1,3
41461,cents,17,a,det,0,14
41652,guests,34,a,quantmod,1,32
41652,guests,39,a,quantmod,1,37
41758,paces,5,a,quantmod,1,2
41759,paces,6,a,quantmod,1,3
41761,senses,8,a,det,1,3
42833,touches,14,a,det,0,12
42919,lights,29,a,quantmod,1,27
43099,months,10,a,det,0,8
43143,things,12,a,det,0,5
43630,trails,13,a,det,0,9
43816,means,16,an,det,0,14
43894,weeks,6,a,det,0,4
43992,runs,3,an,det,0,0
44174,albums,13,a,quantmod,1,11
44452,years,11,a,quantmod,1,9
45159,windows,9,a,det,0,7
45525,months,15,a,det,0,13
45860,moments,6,a,det,0,3
46093,terminus,4,a,det,0,2
46260,months,11,a,det,0,9
46289,miles,6,a,quantmod,1,4
46312,hours,20,another,det,0,16
46438,things,8,a,quantmod,1,6
46538,seasons,9,a,det,1,6
46616,papers,43,a,det,0,40
47004,songs,27,a,quantmod,1,24
47080,bulls,56,a,quantmod,1,54
47090,singers,28,a,det,3,25
47284,years,21,a,quantmod,1,19
47342,minutes,10,a,det,0,8
47354,furnaces,11,a,quantmod,1,9
47380,words,28,a,det,0,25
47419,strides,12,a,quantmod,1,10
47478,questions,26,a,quantmod,1,24
47556,extracts,6,a,det,0,4
47628,splinters,10,a,quantmod,1,8
47983,days,9,a,det,0,6
48033,minutes,8,a,quantmod,1,5
48239,children,17,a,det,0,14
48311,ERA,29,a,det,0,27
48473,appearances,22,a,det,0,19
48510,BSc,4,a,det,0,3
48559,ERA,12,a,det,0,10
48937,times,2,a,quantmod,1,0
48974,leagues,4,a,quantmod,1,2
48974,hours,25,a,det,0,23
49054,times,36,a,quantmod,1,34
49079,barrels,49,a,det,0,47
49079,pieces,77,a,quantmod,1,73
49110,children,3,a,quantmod,1,0
49321,positions,6,a,det,0,3
49477,years,16,a,det,0,14
49949,words,24,a,det,0,21
49960,times,6,a,quantmod,1,4
50136,boots,32,a,det,0,29
50634,years,31,a,quantmod,1,29
50741,years,15,a,quantmod,1,13
50785,years,3,a,quantmod,1,1
50800,copies,22,a,quantmod,1,20
50801,titles,10,a,det,0,7
50847,years,51,a,quantmod,1,49
50951,years,43,a,quantmod,1,41
51239,times,12,a,quantmod,1,10
51324,laces,5,a,quantmod,1,3
51395,drops,15,a,det,0,13
51507,civilities,13,a,quantmod,1,11
51523,civilities,22,a,quantmod,1,20
51625,days,10,a,quantmod,1,8
51707,drops,5,a,det,0,3
51724,days,25,a,det,0,23
51778,graces,8,a,quantmod,1,5
51850,genie,5,an,det,0,1
51912,days,25,a,det,0,23
52057,moments,24,a,quantmod,1,22
52151,lamps,5,a,quantmod,1,2
52304,days,2,a,det,0,0
52524,days,3,a,det,0,1
52634,years,3,a,det,0,0
52761,pities,28,a,quantmod,1,26
52848,pence,14,a,det,0,12
52864,days,12,a,det,0,10
52908,chests,16,a,det,0,13
52968,people,4,a,quantmod,1,1
53184,leagues,17,a,quantmod,1,15
53214,leagues,28,a,det,0,26
53642,others,10,a,quantmod,1,8
54013,questions,4,a,quantmod,1,2
54594,questions,17,a,det,0,15
54777,months,15,a,det,0,13
54940,letters,7,a,det,0,5
55102,questions,21,a,det,2,9
55215,partitions,3,a,det,0,1
55327,drops,21,a,quantmod,1,19
55470,hut,18,a,det,0,16
55885,clerks,42,a,quantmod,1,38
55885,minutes,61,a,det,0,59
56185,friends,4,a,det,0,2
56300,stomachs,11,a,quantmod,1,9
56360,subjects,32,a,det,0,30
56462,tricks,10,a,det,0,6
56668,needs,11,a,det,4,6
56953,people,21,an,det,0,18
56987,moments,23,a,det,0,21
57188,hooks,10,a,det,3,4
57401,days,22,a,det,0,19
57415,words,64,a,det,0,62
57489,drops,32,a,quantmod,1,30
57706,years,10,a,det,0,8
57750,things,27,a,det,0,24
57771,times,25,a,quantmod,1,23
57988,cats,19,a,quantmod,1,17
58119,years,26,a,quantmod,1,24
58161,establishments,4,a,quantmod,1,0
58271,times,5,a,quantmod,1,3
58399,devices,43,a,det,0,40
58401,chariots,2,a,quantmod,1,0
58401,guards,22,a,det,0,20
58429,universities,44,a,quantmod,1,42
58498,braziers,17,a,quantmod,1,15
58586,minutes,9,a,det,0,7
58596,weeks,26,a,quantmod,1,24
58623,tehsils,3,a,det,0,2
58682,BSc,14,a,det,0,10
58745,kandidat,30,a,det,0,28
58771,miles,8,a,quantmod,1,6
58891,splinters,26,a,quantmod,1,24
59044,prins,3,a,det,0,2
59057,hut,23,a,det,0,21
59121,prins,23,a,det,0,22
59356,days,8,a,quantmod,1,6
59405,greetings,12,a,quantmod,1,10
59444,waiters,6,a,det,0,1
59483,hours,34,a,quantmod,1,32
59574,stars,10,a,det,0,8
59746,Shoes,36,a,det,2,19
60004,things,10,a,det,0,6
60147,horses,17,a,quantmod,1,15
60147,servants,21,a,quantmod,1,19
60178,people,14,a,det,0,11
60232,Roses,18,a,det,2,14
60512,minutes,7,a,quantmod,1,5
60621,athletes,32,a,quantmod,1,30
60710,times,26,a,quantmod,1,24
60732,gardes,4,a,det,1,0
60766,points,17,a,det,0,12
60796,goals,19,a,det,0,15
61005,men,14,a,quantmod,1,12
61009,coils,24,a,quantmod,1,22
61325,words,6,a,det,0,4
61731,years,17,a,det,0,15
62128,ways,8,a,det,0,7
62248,sheep,4,a,quantmod,1,1
62386,misfortunes,3,a,compound,1,1
62706,castles,44,a,quantmod,1,42
62820,years,48,a,quantmod,1,46
62968,manuscripts,5,a,det,0,2
62997,years,14,a,quantmod,1,12
63096,communcations,4,a,det,0,3
63135,times,39,a,quantmod,1,37
63305,boys,25,a,det,1,8
63518,others,36,a,det,0,33
63624,titles,18,a,compound,0,17
63659,ogre,10,a,det,0,8
63840,glasses,4,a,quantmod,1,2
63890,spurs,24,a,det,1,21
64084,paces,41,a,quantmod,1,39
64112,ways,7,a,det,0,6
64167,means,32,a,det,0,31
64404,words,7,a,det,0,5
64435,journeys,7,a,det,0,4
64481,words,7,a,det,0,5
64516,days,29,a,det,0,27
64751,berries,16,a,quantmod,1,14
64825,kilometers,4,a,quantmod,1,2
64848,yards,7,a,quantmod,1,5
65042,steps,33,a,quantmod,1,31
65052,blues,14,an,det,0,12
65054,qarya,10,a,det,0,8
65126,days,42,a,quantmod,1,40
65348,wounds,36,a,det,0,34
65778,means,6,a,det,0,5
65838,ranges,23,a,det,0,21
65866,votes,19,a,det,2,16
65882,moments,5,a,quantmod,1,3
66106,years,6,a,det,0,4
66356,seconds,33,a,det,0,30
66370,seconds,11,a,det,0,8
66668,horns,10,a,det,1,7
66668,feet,15,a,det,1,12
66892,blades,15,a,det,0,13
67037,minutes,28,a,det,0,26
67047,submarines,17,a,quantmod,1,12
67474,moments,13,a,det,0,11
67798,years,21,a,det,0,19
67991,people,5,a,quantmod,1,3
68038,days,6,a,det,0,4
68250,fights,41,a,quantmod,1,39
68285,miles,17,a,quantmod,1,15
68293,horsemen,33,a,quantmod,1,31
68411,dollars,21,a,quantmod,1,19
68551,arrows,30,a,quantmod,1,28
68562,marks,12,a,det,0,10
68564,people,17,a,det,0,14
68575,minutes,18,a,det,0,16
68597,fingers,7,a,quantmod,1,4
68769,feet,10,an,det,0,5
68833,flows,3,a,det,0,0
68879,days,24,a,det,0,22
68939,mortals,53,a,quantmod,1,51
69044,people,17,a,det,0,13
69135,points,34,a,det,0,32
69140,people,36,an,det,0,34
69168,months,43,a,det,0,41
69269,weeks,45,a,det,0,43
69405,people,16,a,quantmod,1,14
69427,species,11,a,det,0,10
69442,challenges,10,a,quantmod,1,7
69525,airlines,6,an,det,0,5
69568,members,10,a,det,0,6
69576,things,25,a,quantmod,1,23
69893,Gules,5,a,det,0,3
70062,barb,67,a,det,0,64
70282,children,97,a,det,0,93
70285,days,29,a,det,0,27
70295,persons,17,a,det,0,14
70325,copies,5,a,quantmod,1,3
70333,people,6,a,det,0,3
70347,copies,11,a,quantmod,1,9
70379,means,31,a,det,0,30
70423,days,73,a,det,0,71
70539,thanks,8,a,quantmod,1,6
71079,paces,7,a,quantmod,1,5
71248,pardons,75,a,quantmod,1,73
71366,officers,3,a,det,0,0
71427,women,3,an,det,0,0
71448,means,40,an,det,0,38
71680,feet,8,a,det,0,3
71781,wins,8,a,det,0,6
71900,days,7,a,nummod,1,3
71906,pounds,18,a,quantmod,1,16
71914,folks,7,a,det,0,3
72198,years,21,a,quantmod,1,19
72299,things,18,a,det,0,16
72504,words,28,a,det,0,25
72663,circumstances,30,a,det,0,28
72713,questions,26,a,quantmod,1,24
72747,doors,28,a,det,0,25
73114,splinters,10,a,quantmod,1,8
73452,hp,6,a,det,0,4
73452,.30,50,an,det,0,48
73465,hp,50,an,det,0,48
73548,hp,41,a,det,0,39
73548,women,64,a,det,0,63
73550,hp,19,a,det,0,17
73581,hp,26,a,det,0,24
74097,days,9,a,det,0,6
74487,years,9,a,quantmod,1,7
74505,moments,17,a,det,0,14
74510,moments,12,a,quantmod,1,10
74712,leaps,3,a,quantmod,1,1
74867,species,29,a,det,0,27
74867,ideals,38,a,det,1,31
75040,children,20,a,det,0,17
75388,hands,28,an,det,1,25
75532,ml,9,a,det,0,7
75784,claims,12,a,quantmod,2,8
75954,plates,5,a,det,0,1
75992,principles,5,a,quantmod,1,2
76046,minutes,6,a,det,0,4
76182,ogre,22,an,det,0,21
76228,minutes,2,a,det,0,0
76256,means,6,an,det,0,4
76350,times,2,a,quantmod,1,0
76646,times,36,a,quantmod,1,34
76660,atlas,12,an,det,0,10
76662,trappers,18,a,det,0,15
76711,barrels,49,a,det,0,47
76711,pieces,77,a,quantmod,1,73
76803,times,12,a,det,0,10
76898,guides,30,a,det,0,26
77083,others,19,a,quantmod,1,17
77170,pieces,13,a,quantmod,1,7
77589,hours,23,a,det,0,21
77645,herbs,9,a,quantmod,1,5
77662,chickens,27,a,quantmod,1,21
77663,pheasants,11,a,det,0,9
77663,frogs,21,a,quantmod,1,19
77685,nuts,10,a,quantmod,1,8
77769,pants,4,a,det,0,2
77860,bats,2,a,det,0,0
77909,words,8,a,det,0,6
78456,words,24,a,det,0,21
78479,times,7,a,quantmod,1,5
78584,pieces,18,a,det,0,16
78655,minutes,2,a,det,0,0
78743,years,55,a,quantmod,1,53
78846,minutes,3,a,det,0,1
79115,days,8,a,det,0,6
79144,children,14,a,det,0,12
79152,Rivers,30,a,compound,0,29
79341,years,31,a,quantmod,1,29
79401,minutes,7,a,det,0,5
79473,hours,4,a,det,0,2
79524,moments,14,a,quantmod,1,12
79551,years,15,a,quantmod,1,13
79677,years,3,a,quantmod,1,1
79716,inches,11,a,quantmod,1,8
79724,years,75,a,quantmod,1,73
79761,functions,14,a,det,1,10
79855,woodpeckers,2,a,quantmod,1,0
79856,moments,14,a,det,0,12
79860,days,2,a,det,0,0
79907,years,43,a,quantmod,1,41
79986,students,19,a,det,0,18
80254,looks,5,a,det,0,0
80295,minutes,11,a,det,0,9
80323,people,8,a,det,0,5
80362,steps,6,a,quantmod,1,3
80481,daughters,9,a,det,3,4
80506,flats,3,a,quantmod,1,1
80514,stables,11,a,quantmod,1,9
80514,horses,17,a,quantmod,1,14
80525,steps,4,a,det,0,2
80553,times,12,a,quantmod,1,10
80688,laces,5,a,quantmod,1,3
80886,years,4,a,quantmod,1,2
81089,grapes,27,a,quantmod,1,25
81137,civilities,13,a,quantmod,1,11
81171,civilities,22,a,quantmod,1,20
81194,grapes,11,a,quantmod,1,9
81311,grapes,10,a,det,0,7
81404,hours,16,a,det,0,14
81471,days,10,a,quantmod,1,8
81572,minutes,23,a,det,0,21
81642,days,25,a,det,0,23
81686,meters,7,another,det,0,5
81809,dollars,6,a,quantmod,1,4
82217,accidents,6,a,det,0,4
82232,genie,5,an,det,0,1
82236,minutes,9,a,quantmod,1,7
82278,minutes,6,a,det,0,4
82327,minutes,4,a,det,0,2
82409,minutes,6,a,quantmod,1,4
82419,genie,3,a,det,0,1
82536,prayers,19,a,det,0,17
82632,sails,19,a,quantmod,1,17
82925,minutes,2,a,det,0,0
83036,people,3,a,det,0,2
83142,oddments,8,a,quantmod,1,6
83172,bishops,29,a,det,0,28
83180,gallows,22,a,det,0,21
83222,species,4,a,det,0,2
83242,moments,9,a,quantmod,1,7
83507,consequences,12,an,det,0,10
83662,points,13,a,det,0,8
83678,Services,13,a,det,0,9
83679,cases,11,a,det,0,9
83814,lamps,5,a,quantmod,1,2
83979,times,8,a,quantmod,1,5
84608,cans,17,a,det,2,14
84680,days,2,a,det,0,0
84779,moments,3,a,det,0,1
84933,drops,11,a,det,0,8
84987,moments,3,a,det,0,1
85045,times,12,a,det,0,10
85124,bars,25,a,quantmod,2,21
85176,months,36,a,det,0,34
85381,moments,22,a,det,0,20
85418,steps,27,a,quantmod,1,24
85476,days,3,a,det,0,1
85544,thanks,3,a,det,0,1
85875,dudes,18,a,det,0,13
85993,symbols,7,a,det,0,5
86239,pounds,8,a,quantmod,1,4
86390,pities,24,a,quantmod,1,22
86479,days,16,a,det,0,14
86519,donations,27,a,det,2,20
86562,programs,12,a,det,0,7
86680,steps,14,a,det,0,12
86713,minutes,9,a,det,0,6
86843,stars,7,a,quantmod,2,5
86887,minutes,2,a,det,0,0
87069,stars,14,a,quantmod,2,12
87096,pounds,27,a,det,0,24
87189,pence,16,a,det,0,14
87202,stars,8,a,quantmod,2,6
87258,days,12,a,quantmod,1,10
87647,chests,16,a,det,0,13
87696,Forces,25,a,det,0,21
87807,horses,47,an,det,1,41
87822,forces,14,an,det,0,8
88015,weeks,7,a,det,0,4
88479,hours,6,a,det,0,4
88652,leagues,17,a,quantmod,1,15
88892,leagues,28,a,det,0,26
88919,words,9,a,det,0,7
89016,somersaults,3,a,det,1,0
89166,women,14,a,det,0,13
89258,minutes,14,a,det,0,12
89320,rotations,6,a,det,2,0
89403,years,21,another,det,0,19
89858,species,13,another,det,0,12
89963,children,6,a,det,0,5
90015,years,27,a,det,0,25
90059,centuries,15,a,quantmod,1,13
90060,decades,12,a,det,0,10
90166,years,3,a,det,0,1
90328,months,19,a,det,0,17
90331,years,7,a,det,0,4
90394,chronologies,3,a,det,0,0
90469,children,7,a,det,0,6
90617,hours,13,another,det,0,11
90826,minutes,2,a,det,0,0
91119,scherzo,19,an,det,0,17
91270,minutes,14,a,quantmod,1,12
91334,hunters,8,a,det,0,2
91345,ears,14,a,det,0,11
91462,fishes,22,a,quantmod,1,20
91613,seconds,3,a,det,0,1
91703,gallows,4,a,det,0,3
91812,moments,5,a,quantmod,1,3
92166,guesses,14,a,quantmod,1,12
92180,things,18,a,quantmod,1,14
92221,parts,2,a,det,0,0
92593,subspecies,11,a,det,0,10
92658,moments,3,a,det,0,1
92699,strokes,5,a,quantmod,1,2
92847,months,18,a,det,0,16
92936,steps,6,a,quantmod,1,4
93062,steps,4,a,quantmod,1,1
93145,dollars,8,a,quantmod,1,6
93610,pages,19,a,det,0,17
93998,recovers,9,a,det,0,7
94115,words,13,a,quantmod,1,11
94124,cm,7,a,quantmod,1,3
94177,responses,31,a,det,0,24
94330,months,12,a,det,0,10
94422,minutes,3,a,det,0,1
94534,elicits,9,an,det,0,7
94856,flowers,14,a,det,0,8
95043,hut,18,a,det,0,16
95145,seconds,14,a,quantmod,1,12
95162,seconds,5,a,det,0,3
95396,places,31,a,det,0,29
95450,places,17,a,quantmod,1,15
96138,minutes,6,a,quantmod,1,3
96161,volumes,25,a,det,0,23
96270,inches,5,a,quantmod,1,3
96431,lets,13,a,det,0,11
96614,cm,11,a,det,0,5
96800,bucks,14,a,quantmod,1,12
96814,stomachs,12,a,quantmod,1,10
97078,tricks,10,a,det,0,6
97349,moments,6,a,det,0,4
97497,needs,11,a,det,4,6
97681,things,10,a,quantmod,1,8
97733,drugs,29,a,det,2,26
97875,times,13,a,quantmod,1,11
97924,teams,11,a,det,0,8
97959,moments,23,a,det,0,21
98305,months,12,a,det,0,10
98452,days,22,a,det,0,19
98456,recordings,11,a,quantmod,1,8
98529,words,64,a,det,0,62
98638,drops,32,a,quantmod,1,30
98858,sections,5,a,quantmod,2,2
99189,goals,9,a,det,0,7
99286,times,25,a,quantmod,1,23
99303,people,9,a,nsubj,1,3
99744,cats,19,a,quantmod,1,17
99842,fans,14,an,det,0,8
99884,children,14,a,det,0,13
99941,minutes,6,a,quantmod,1,4
100214,times,5,a,quantmod,1,3
100519,devices,45,a,det,0,42
100527,chariots,2,a,quantmod,1,0
100527,guards,22,a,det,0,20
100651,alias,26,a,det,0,24
100771,dollars,15,a,quantmod,1,12
100805,stars,12,a,det,1,9
100852,braziers,17,a,quantmod,1,15
100954,months,7,a,quantmod,1,5
101131,thumbs,14,a,det,0,13
101132,thumbs,5,a,det,0,4
101245,minutes,9,a,det,0,7
101273,weeks,26,a,quantmod,1,24
101397,minutes,11,a,quantmod,1,9
101706,days,21,a,quantmod,1,19
101718,configurations,6,a,quantmod,1,2
102047,days,2,a,det,0,0
102051,weeks,3,a,det,0,1
102160,days,45,a,det,0,42
102220,splinters,26,a,quantmod,1,24
102359,days,24,a,det,0,22
102372,miles,5,a,quantmod,1,2
102468,enters,6,a,det,0,4
102470,drugs,16,a,det,0,15
102775,Rovers,19,a,det,0,17
102784,infers,4,a,det,0,0
102805,hut,26,a,det,0,23
102821,days,8,a,quantmod,1,6
102933,days,10,a,quantmod,1,8
102991,years,9,a,det,0,7
103174,inches,8,a,quantmod,2,6
103394,cars,15,a,compound,1,8
103397,cars,5,a,compound,1,2
103469,days,12,a,quantmod,1,10
103912,days,8,a,quantmod,1,6
104040,greetings,13,a,quantmod,1,11
104261,others,3,a,quantmod,1,1
104266,experiments,13,a,quantmod,1,11
104442,hours,34,a,quantmod,1,32
104641,rounds,5,a,quantmod,1,3
104670,rounds,5,a,quantmod,1,3
104719,Greenfinch,38,a,det,0,37
105549,years,8,a,quantmod,1,6
