sentence_idx,verb,noun,nv_dep,numeral
327536,was,years,nsubj,three
328423,is,teams,nsubj,450
329980,was,people,nsubj,few
330740,was,years,nsubj,ten
331068,is,degrees,nsubj,360
331495,is,blocks,nsubj,few
331496,is,blocks,nsubj,few
339104,was,teres,nsubj,40
339225,is,cigarettes,nsubj,200
339782,was,pops,nsubj,4
345473,is,halák,nsubj,13
349096,was,maidens,nsubj,three
350873,was,links,nsubj,four
352374,was,dollars,nsubj,hundred
353602,is,spans,nsubj,six
353848,was,buckets,nsubj,two
355206,was,treasures,nsubj,12
356111,was,hours,nsubj,14
356341,is,children,nsubj,two
358160,was,children,nsubj,two
358749,is,years,nsubj,ten
359113,is,crosswinds,nsubj,30
360348,is,thirds,nsubj,two
360348,is,thirds,nsubj,two
360911,scores,players,nsubj,two
363998,has,measures,nsubj,41.52
366029,is,boys,nsubj,few
366670,is,strands,nsubj,two
366836,is,lists,nsubj,55
368474,was,points,nsubj,three
368837,was,seasons,nsubj,two
369369,'s,blocks,nsubj,few
369461,was,people,nsubj,"5,000"
370852,performs,girls,nsubj,ten
371276,was,games,nsubj,2014
371365,is,games,nsubj,2014
371575,is,meters,nsubj,9.8
372092,was,hours,nsubj,three
373162,was,calves,nsubj,two
373688,was,dollars,nsubj,fourteen
375061,is,tails,nsubj,two
375105,is,tails,nsubj,two
375120,is,tails,nsubj,two
375496,was,arístides,nsubj,22
379972,was,days,nsubj,three
380026,is,verses,nsubj,thousand
380404,was,vehicles,nsubj,"13,500"
382034,is,crosswinds,nsubj,30
382192,was,tails,nsubj,two
382671,was,birds,nsubj,few
385183,was,timmermans,nsubj,5
385271,was,friends,nsubj,two
385286,is,words,nsubj,hundred
385286,is,words,nsubj,hundred
385286,'s,words,nsubj,hundred
385286,'s,minutes,nsubj,five
385286,'m,minutes,nsubj,five
385286,is,minutes,nsubj,five
387051,sees,forties,nsubj,eighteen
387495,was,poitiers,nsubj,9
388461,was,butterflies,nsubj,few
388735,'s,people,nsubj,one
394805,was,years,nsubj,three
395449,was,wings,nsubj,six
397379,was,dollars,nsubj,hundred
397379,was,boys,nsubj,dozen
397778,is,temperatures,nsubj,°
397778,is,temperatures,nsubj,°
397778,is,temperatures,nsubj,°
397778,is,temperatures,nsubj,°
397778,is,temperatures,nsubj,°
397896,was,dollars,nsubj,hundred
398497,says,gods,nsubj,seven
400091,comes,chaps,nsubj,two
401432,goes,men,nsubj,two
401432,looks,men,nsubj,two
404655,was,sectors,nsubj,504
406705,was,gorges,nsubj,14
409392,argues,books,nsubj,two
409716,says,billions,nsubj,sixty
410999,is,players,nsubj,two
410999,is,players,nsubj,two
413185,descends,miles,nsubj,60
413617,was,subscribers,nsubj,"50,000"
417575,is,timmers,nsubj,14
418174,says,governments,nsubj,three
420822,builds,sentences,nsubj,eight
421469,was,miles,nsubj,few
421469,was,miles,nsubj,few
421768,was,competitions,nsubj,1934
424277,is,councillors,nsubj,seven
424541,is,talks,nsubj,one
426977,is,pounds,nsubj,hundred
426977,is,pounds,nsubj,hundred
427094,'s,pounds,nsubj,hundred
427094,is,pounds,nsubj,hundred
427094,'s,pounds,nsubj,hundred
428826,says,numbers,nsubj,13:22
431275,is,sales,nsubj,24
431303,rags,fingers,nsubj,three
432607,is,days,nsubj,four
432742,is,days,nsubj,four
433294,locks,halves,nsubj,two
434131,includes,pm,nsubj,6
434131,has,pm,nsubj,6
434180,says,years,nsubj,two
434180,is,years,nsubj,two
434959,was,hours,nsubj,two
436787,was,winters,nsubj,two
438084,says,patrolmen,nsubj,two
439182,opens,politicians,nsubj,two
442382,was,prizes,nsubj,two
445330,is,rascals,nsubj,two
446264,cans,newspapers,nsubj,two
448287,is,pence,nsubj,eighteen
448605,is,janones,nsubj,5
449173,is,offereins,nsubj,5
450516,was,boles,nsubj,2
451111,is,years,nsubj,two
451124,sounds,dollars,nsubj,hundred
452404,survives,scherzo,nsubj,two
452675,begins,notes,nsubj,four
452709,stands,movements,nsubj,two
452905,is,cocks,nsubj,12
453355,contains,tryptophans,nsubj,two
454830,is,runs,nsubj,2500
457065,pulls,tourists,nsubj,one
457541,was,directors,nsubj,three
457541,was,critics,nsubj,seven
458884,is,bisschops,nsubj,2
462120,was,people,nsubj,six
462456,is,generations,nsubj,three
462669,'m,feet,nsubj,six
462669,is,feet,nsubj,six
462845,is,areas,nsubj,few
464686,was,gentlemen,nsubj,two
464819,is,weeks,nsubj,six
466100,seems,yards,nsubj,five
467859,shows,days,nsubj,12
469380,is,rumpf,nsubj,4
471468,was,(;,nsubj,19
471509,is,girls,nsubj,two
471666,was,buttons,nsubj,two
472520,was,years,nsubj,1939
473699,was,bolts,nsubj,hundred
476196,is,boers,nsubj,19
476314,needs,sentences,nsubj,three
476314,'s,sentences,nsubj,three
479427,was,dreams,nsubj,1992
479942,is,simons,nsubj,9
480149,amps,measures,nsubj,one
481207,causes,symptoms,nsubj,one
483004,has,valves,nsubj,sixteen
485011,was,withers,nsubj,4
486460,says,peers,nsubj,12
486682,was,days,nsubj,eight
489078,stands,oarsmen,nsubj,three
489327,covers,thirds,nsubj,two
489448,’s,boats,nsubj,four
490373,'s,people,nsubj,two
493034,was,wiggins,nsubj,5.9
493708,is,combinations,nsubj,one
493762,has,feet,nsubj,twenty
494307,was,currents,nsubj,two
494459,slides,mates,nsubj,three
494479,was,boats,nsubj,four
495357,respires,jets,nsubj,seventy
498086,was,boats,nsubj,one
500282,am,bells,nsubj,sixty
500460,has,months,nsubj,15
500960,gives,minutes,nsubj,60
501624,was,places,nsubj,three
501624,was,places,nsubj,three
502389,is,mermaids,nsubj,thousand
502836,is,others,nsubj,two
503801,’s,masts,nsubj,three
505173,looks,pounds,nsubj,hundred
505457,is,höwedes,nsubj,29
506201,was,children,nsubj,two
507827,passes,rupees,nsubj,thousand
508090,was,тодоровић,nsubj,5
509152,is,species,nsubj,one
509727,is,thirds,nsubj,two
513553,was,men,nsubj,two
517855,'s,columns,nsubj,two
518282,was,boats,nsubj,two
518785,was,men,nsubj,five
519610,has,professors,nsubj,two
521988,is,structures,nsubj,three
523355,focuses,systems,nsubj,12
527661,was,princesses,nsubj,three
528901,was,pounds,nsubj,thousand
529459,was,sillies,nsubj,six
529849,was,fellows,nsubj,three
531571,pops,hands,nsubj,two
531812,was,girls,nsubj,three
533171,yields,seventies,nsubj,nineteen
535133,was,sisters,nsubj,two
535701,was,friends,nsubj,two
535701,was,friends,nsubj,two
535701,was,friends,nsubj,two
536139,is,years,nsubj,two
536519,is,gros,nsubj,one
536544,was,champions,nsubj,two
537020,lives,minutes,nsubj,five
542015,is,students,nsubj,five
542015,is,students,nsubj,five
543140,leeds,leaders,nsubj,one
543214,is,words,nsubj,two
543214,is,words,nsubj,two
544779,was,ladies,nsubj,two
545314,was,others,nsubj,two
548735,is,roubles,nsubj,five
548763,is,novels,nsubj,1856
548848,is,fonts,nsubj,few
550021,was,husbands,nsubj,5
550594,is,pounds,nsubj,thousand
552038,was,ladies,nsubj,two
552056,was,words,nsubj,few
554379,has,weapons,nsubj,20
557686,lives,species,nsubj,one
558315,is,differences,nsubj,two
558315,is,differences,nsubj,two
558476,introduces,players,nsubj,two
558476,requires,players,nsubj,two
563187,is,langes,nsubj,20
563390,was,championships,nsubj,1600
566310,shows,individuals,nsubj,two
567377,is,bucks,nsubj,250
568384,contains,activities,nsubj,few
568687,was,foals,nsubj,seven
568730,is,foals,nsubj,seven
569674,is,garcía,nsubj,12
569878,is,nights,nsubj,five
570201,is,dollars,nsubj,hundred
570418,is,roubles,nsubj,hundred
570469,sees,longs,nsubj,one
572639,is,bands,nsubj,two
573340,was,miles,nsubj,few
574875,was,attacks,nsubj,9/11
575258,pretends,others,nsubj,three
576083,is,volumes,nsubj,five
576305,eats,people,nsubj,few
576507,looms,wraps,nsubj,270
576528,is,ghosts,nsubj,13
576894,'s,books,nsubj,two
579264,is,people,nsubj,two
582981,was,hens,nsubj,eight
583114,is,lovers,nsubj,two
585349,is,dollars,nsubj,five
586536,faces,anothers,nsubj,one
588093,was,companies,nsubj,fifty
588338,was,burrows,nsubj,15
588382,was,workings,nsubj,few
588829,was,gans,nsubj,17
589246,begins,systems,nsubj,two
589684,is,indignities,nsubj,thousand
589684,is,indignities,nsubj,thousand
590070,was,feet,nsubj,three
591041,was,units,nsubj,"2,289"
595134,was,sympathisers,nsubj,"10,000"
596092,is,passengers,nsubj,two
597949,takes,volunteers,nsubj,200
598244,is,people,nsubj,billion
598244,allows,people,nsubj,billion
599853,is,species,nsubj,24
602571,is,coates,nsubj,15
602739,was,gentlemen,nsubj,two
605898,was,heads,nsubj,three
606113,is,juliets,nsubj,two
607504,'s,singles,nsubj,two
610569,was,dogs,nsubj,two
610569,was,dogs,nsubj,two
611264,says,informants,nsubj,loísta
612275,is,borderlands,nsubj,2
612438,includes,pistols,nsubj,2002
612760,was,lars,nsubj,15
613079,uses,channels,nsubj,200
613867,'s,quarters,nsubj,three
616546,was,cáceres,nsubj,4
617628,is,mutations,nsubj,two
617694,is,surfaces,nsubj,two
618108,chooses,algorithm,nsubj,2
618108,means,algorithm,nsubj,2
618108,'s,algorithm,nsubj,2
618110,is,bundles,nsubj,7
621128,is,citizens,nsubj,seven
622514,was,images,nsubj,one
622842,is,data,nsubj,two
625794,goes,marks,nsubj,five
629725,is,centimetres,nsubj,two
630938,happens,minutes,nsubj,five
631277,remains,populations,nsubj,two
632287,was,seasons,nsubj,two
633465,is,ones,nsubj,two
634245,sits,shoots,nsubj,two
634474,is,times,nsubj,two
634881,was,brothers,nsubj,two
634881,was,brothers,nsubj,two
635573,'s,darts,nsubj,three
635636,is,darts,nsubj,three
636402,is,years,nsubj,"200,000"
636842,is,animals,nsubj,all
636940,is,mentions,nsubj,1:28
637513,is,versions,nsubj,6.15
638163,was,heads,nsubj,twelve
639666,was,pounds,nsubj,thousand
640301,was,miles,nsubj,twenty
642325,is,isles,nsubj,11
642738,emblems,items,nsubj,4x4
643263,was,sedans,nsubj,454
643263,varies,sedans,nsubj,454
644200,was,swimmers,nsubj,nine
648392,has,people,nsubj,"17,000"
656263,was,months,nsubj,few
657405,is,kilograms,nsubj,4.5
660115,is,pages,nsubj,120
661763,is,people,nsubj,two
661947,lies,gentlemen,nsubj,two
663192,causes,people,nsubj,few
663370,is,morales,nsubj,18
663585,was,months,nsubj,few
666021,was,men,nsubj,two
666803,is,davies,nsubj,27
667429,is,bogs,nsubj,"10,000"
667805,was,hours,nsubj,few
668588,is,teams,nsubj,two
668755,is,hits,nsubj,1
668770,was,hits,nsubj,1
672118,was,things,nsubj,two
673068,was,yards,nsubj,few
674257,is,parks,nsubj,0.99
674257,is,parks,nsubj,0.99
674331,is,people,nsubj,502
674331,is,people,nsubj,502
675036,is,parks,nsubj,1.46
675036,is,parks,nsubj,1.46
675113,is,people,nsubj,862
675113,is,people,nsubj,862
675115,is,people,nsubj,23
675166,is,guests,nsubj,2
676691,is,acts,nsubj,two
679332,estimates,people,nsubj,million
679781,was,men,nsubj,eight
680992,has,people,nsubj,"53,919"
680993,has,people,nsubj,"118,347"
682423,was,camps,nsubj,12
683177,was,dollars,nsubj,thousand
684108,is,viharas,nsubj,18
684697,has,people,nsubj,"72,000"
684911,is,species,nsubj,one
684911,makes,species,nsubj,one
685200,has,species,nsubj,two
685200,'s,species,nsubj,two
685521,'s,variables,nsubj,three
685521,'s,variables,nsubj,three
685757,has,observations,nsubj,six
686396,is,children,nsubj,568
686399,is,people,nsubj,356
686667,was,points,nsubj,33
688538,was,films,nsubj,three
688538,was,films,nsubj,three
689685,was,millions,nsubj,ten
689691,was,millions,nsubj,ten
690691,is,bins,nsubj,three
690749,is,men,nsubj,two
691011,was,rabbits,nsubj,two
691846,'s,pounds,nsubj,million
692037,makes,pounds,nsubj,thousand
692037,'s,pounds,nsubj,thousand
693172,is,corrections,nsubj,one
693172,is,corrections,nsubj,one
693476,is,owls,nsubj,1000
695021,was,people,nsubj,two
695368,is,sites,nsubj,"2,000"
695591,is,degrees,nsubj,90
696853,is,days,nsubj,thirty
697326,is,pounds,nsubj,hundred
698263,says,points,nsubj,three
698263,is,points,nsubj,three
698728,is,radicals,nsubj,two
702212,follows,peers,nsubj,1.2
705181,is,reasons,nsubj,one
705181,is,things,nsubj,one
705249,was,leaves,nsubj,hundred
705577,'s,pounds,nsubj,six
705577,'s,pounds,nsubj,four
710745,'s,toys,nsubj,few
711553,was,seasons,nsubj,three
712390,is,casualties,nsubj,30
715030,is,teeth,nsubj,two
715123,deduces,men,nsubj,two
715206,covers,tracks,nsubj,four
715924,is,monsters,nsubj,seven
716627,has,numbers,nsubj,49
716627,is,numbers,nsubj,49
716691,is,markets,nsubj,two
716691,'s,markets,nsubj,two
716856,receives,numbers,nsubj,three
718403,was,allies,nsubj,200
719855,was,drops,nsubj,few
720718,has,galaxies,nsubj,two
722585,is,skips,nsubj,three
722829,was,eyes,nsubj,two
726533,is,days,nsubj,"10,000"
726562,was,days,nsubj,"10,000"
726708,is,terzis,nsubj,24
729585,is,records,nsubj,1547
733800,is,comets,nsubj,two
733958,is,sections,nsubj,two
733958,consoles,sections,nsubj,two
734042,is,evers,nsubj,3
734949,was,rods,nsubj,12
736674,notes,months,nsubj,three
738149,is,people,nsubj,one
739258,remains,men,nsubj,two
739854,was,soldiers,nsubj,four
740118,is,people,nsubj,four
740360,is,people,nsubj,five
740409,'s,people,nsubj,five
740409,'s,people,nsubj,five
741350,'s,people,nsubj,two
746443,was,eyes,nsubj,fourteen
746705,was,games,nsubj,2006
749152,was,days,nsubj,two
749869,was,championships,nsubj,1968
752392,symbolizes,stars,nsubj,three
752393,symbolizes,rays,nsubj,8
753365,is,pounds,nsubj,five
753679,is,punches,nsubj,two
753679,forcep,punches,nsubj,two
754259,is,men,nsubj,two
757335,was,päiviö,nsubj,2
757680,was,bikes,nsubj,150
758415,is,levels,nsubj,five
761646,stems,species,nsubj,two
761653,is,species,nsubj,two
764193,is,siemens,nsubj,351
764193,is,siemens,nsubj,351
765424,is,pigs,nsubj,three
767077,makes,naught,nsubj,five
767206,is,shillings,nsubj,fifteen
767206,measles,shillings,nsubj,fifteen
767206,makes,shillings,nsubj,fifteen
767482,was,saunders,nsubj,1
767755,is,pence,nsubj,nine
769200,was,rounds,nsubj,1
771570,means,years,nsubj,two
771570,means,years,nsubj,two
771570,means,years,nsubj,ten
771570,means,years,nsubj,two
771570,means,years,nsubj,ten
771570,means,years,nsubj,100
774158,is,creatures,nsubj,two
774988,was,travellers,nsubj,three
776283,was,scoundrels,nsubj,three
776703,was,cases,nsubj,two
779539,was,serpents,nsubj,two
780347,was,children,nsubj,two
780457,is,years,nsubj,ten
781849,was,serpents,nsubj,two
781940,is,hosts,nsubj,one
782005,is,originales,nsubj,14
782056,was,children,nsubj,two
782674,was,ships,nsubj,few
783263,is,species,nsubj,one
786644,was,heads,nsubj,two
788015,is,figures,nsubj,few
790718,involves,voices,nsubj,one
790960,is,chefs,nsubj,four
793334,is,players,nsubj,six
796224,was,playoffs,nsubj,1999
796989,am,glasses,nsubj,few
797586,wants,years,nsubj,four
798409,is,years,nsubj,two
799042,is,years,nsubj,two
803259,was,correspondents,nsubj,twenty
805693,was,bears,nsubj,dozen
808178,makes,dinners,nsubj,eight
808180,makes,breakfasts,nsubj,five
808189,makes,suppers,nsubj,five
808503,was,years,nsubj,forty
809523,'s,quid,nsubj,hundred
809549,stays,balls,nsubj,two
810389,was,men,nsubj,two
810602,is,people,nsubj,few
815628,is,years,nsubj,two
816517,was,championships,nsubj,1937
817136,ranges,points,nsubj,six
818197,lateralis,subspecies,nsubj,two
818691,shotguns,revolvers,nsubj,five
819756,is,people,nsubj,few
820836,was,championships,nsubj,1939
822450,was,yards,nsubj,hundred
825184,is,marriages,nsubj,fifty
826195,was,aunts,nsubj,two
827321,was,leagues,nsubj,four
827366,'s,quid,nsubj,hundred
834523,is,marriages,nsubj,fifty
834583,tries,people,nsubj,three
834583,is,people,nsubj,three
834724,was,lions,nsubj,eleven
835400,was,shells,nsubj,four
835421,championships,appearances,nsubj,three
836330,is,communists,nsubj,hundred
836330,is,communists,nsubj,hundred
836330,is,communists,nsubj,hundred
838103,makes,naught,nsubj,five
838192,is,shillings,nsubj,fifteen
838192,measles,shillings,nsubj,fifteen
838192,makes,shillings,nsubj,fifteen
838719,is,pence,nsubj,nine
839509,was,sons,nsubj,seven
839509,is,sons,nsubj,seven
839546,has,women,nsubj,two
839969,was,brothers,nsubj,two
840200,was,policemen,nsubj,two
841666,is,nights,nsubj,three
844880,is,jeffers,nsubj,10
846497,is,twigs,nsubj,few
846714,is,darlings,nsubj,two
846737,is,balloons,nsubj,two
846804,was,scoundrels,nsubj,three
847754,is,sides,nsubj,one
849789,has,girls,nsubj,2002
851747,is,meters,nsubj,8
852436,features,figures,nsubj,10
853748,was,fields,nsubj,few
855548,'s,countries,nsubj,two
857380,sets,victors,nsubj,two
859275,'s,pounds,nsubj,five
859275,'s,pounds,nsubj,five
859275,'s,pounds,nsubj,five
