sentence_idx,sentence
257,"Now, you probably weren't thinking in these terms at the time, but multiplying two numbers is certainly a well-defined computational problem and that procedure you learned back in third grade or so, is indeed an algorithm."
259,little bit more precise.
261,"And to make things interesting, why don't you think about n as being really quite large, say in the thousands?"
262,Maybe we're implementing an algorithm that's going to be used in a cryptography application where you need to keep track of really quite large numbers.
263,"So, if we call the two input numbers x and y, the problem is simply to compute their product, xy."
264,times y.
265,"So, a quick digression."
266,I'll certainly be the first to admit that my handwriting is not the greatest.
267,"I got a C in penmanship back in elementary school, and I think the teacher was being a little generous but, you know, it's got an acquired taste, but trust me, you will get used to it."
269,"Now, when we talk about procedures for multiplying two numbers, we're going to be interested in counting how many steps are required, in order to execute the multiplication."
270,"So, how do we count a step?"
271,"We'll talk more about this more later, but for multiplying two numbers, let's just call a step, the addition or multiplication of two single digit numbers."
272,"So, let's review the integer multiplication algorithm that we learned back in grade school, just by working through a concrete example."
273,"Specifically, let's think of n equals four."
274,"So, let's look at two four-digit numbers"
275,"let's say, five, six, seven, eight, and one, two, three, four ."
276,"Now, as you'll recall, the procedure we learned way back when was just to take each digit of the bottom number and multiply it by each of the top numbers."
278,"So, for example, you start with the four."
279,"You multiply it by eight, so you get 32."
280,Carry the three.
281,"four times seven is 28, add the three, you get one, carry the three, and so on."
284,"Then, you do a shift, so you effectively put a zero in this final digit, and you repeat that procedure using the next digit, the three."
285,"So again, three times eight is four, carry the two, and so on."
286,And you compute the final two partial products using the two and the one.
287,"And having computed all of the partial products, you just add them up to get the final product."
289,"And more generally, how many does it require to multiply two n digit numbers as a function of n."
292,"So, just in ballpark terms, it seems that multiplying two n digit numbers required essentially a quadratic number of operations, a small number of operations to fill in each entry in this grid."
294,"In a little more detail, we could look at each of the partial products separately."
295,"So, to compute, say, this first partial product, what do we do?"
298,"But, in the end, we did somewhere between, say, n and the 2n, primitive operations to compute this first partial product."
300,"So, that's roughly n operations for each of the n partial products ."
302,It could be all of the partial products.
304,But that takes just an extra number of constant times n primitive operations to do all of those additions.
305,"So summarizing, overall, the number of primitive operations required to multiply to n digit numbers using this procedure grows quadratically with the length N. So, for example, if you double the length of two numbers, you expect to do roughly four times as many primitive operations if you use this iterative algorithm for multiplying two numbers."
306,"Now, depending on what type of third grader you were, you might well have accepted this procedure as being the unique or at least the optimal way of multiplying two n digit numbers together."
309,"It's from a quite early textbook in the field The Design and Analysis of Computer Algorithms by Aho,"
310,"Hopcroft, and Ullman, and after highlighting a number of algorithmic design techniques, they conclude by saying, perhaps the most important principle for the good algorithm designer is to refuse to be content."""
311,"So, that's a beautifully accurate quote."
312,"I might rephrase it more succinctly by just saying, if you're, want to be a good algorithm designer, you should adopt the following mantra."
313,"You should always be asking, can we do better?"
314,"This is particularly appropriate question to ask when you're faced with some kind of naive or obvious algorithm for solving a problem, like the third grade algorithm for energy multiplication."
317,"There'll be an obvious solution but with some extra algorithmic ingenuity by detecting subtle structure in the problem, we'll be able to do signifigantly, qualitatively better than the naive or the obvious solution to the problem."
318,"So, let's apply this cocky attitude to the problem of multiplying two in tegers."
319,"Let's just take, suppose as a working hypothesis that there is some procedure which is better than what we learned back in elementary school."
322,But they're also recursive programs.
323,"These are programs that call themselves, typically, on an input of a similar form, but with smaller size."
324,"So, as a working hypothesis,"
325,let's imagine that there's some interesting recursive approach to multiplying two integers.
327,"Well, it must somehow fundamentally involve calling itself on smaller problems."
329,"So, what kind of decomposition on numbers could be used to enable this kind of recursive approach?"
332,"And the second half of the digits, regard that as a number in its own right."
333,"So, perhaps this decomposition will have some use, in enabling a recursive attack on how to multiply two images."
334,"So, we're going to investigate that in more detail on this next slide."
335,"Given x and y, each with n over two digits, we're going to represent x as terms of its first half of the digits a and its second half of the digit to b."
337,"And in this expansion, a and b, c and d are all n over two digit numbers."
339,"This will extend to the case where n is odd in the natural way, where you break it into n over two rounded up and n over two rounded down."
340,"So, in our previous example, where x was 5,678 and y was 1,234, we would have a being equal to 56 ."
341,The first two digits of the four in x.
342,And then b would be the other two digits.
344,They have decomposition of y.
345,"So now, in a purely mechanical way, we can expand the product of x times y in terms of this representation."
346,"In terms of these smaller numbers, a, b, c, and d."
349,"So, that's combining two terms from the expansion, plus bd."
351,"Now, what I want you to think about and make sure you understand is that, this expansion that I've circled and called star, immediately suggests a recursive algorithm for multiplying two integers."
353,"But certainly, it's a legitimate recursive approach to multiplying two integers."
354,"Specifically, the relevant product in star namely ac, ad, bc, and bd all involve smaller numbers than what we stared with."
356,Those all original inputs at n digits so we can legitimately solve those recursively.
357,We can invoke our same algorithm to compute those in a recursive way.
358,"Now, once we've invoked our multiplication algorithm recursively four times to compute these four relevant products, now we can just compute the expression in star in the obvious way."
359,We take ad and bc.
360,"We add them together, using the just, standard first grade iterative addition algorithm."
361,"Then, we add both ac and the result of that addition by a bunch of zeros, n over two zeros or n zeros as appropriate."
362,"Now, we have these three constituent terms and we just add them up again using the grade school algorithms to compute the overall expression."
363,"So, to keep this intro lecture brisk, I haven't discussed the base case of this recursive al gorithm."
364,"As, hopefully, you all know, recursive algorithms do need base cases."
365,"At some point, the recursion has got to stop."
366,"Otherwise, your algorithm is never going to terminate."
368,"If the numbers have two or more digits, you would recurse in the way we have described here."
369,"If there's one digit, you just compute them and you're done."
370,"So, who knows whether this recursive algorithm is a good idea or not, it's totally not obvious, you should not even necessarily have any intuition about how this compares to the iterative algorithm you learned back in elementary school."
372,"So, to explain this algorithm, let me write once again our expansion in terms of the n over two digit numbers."
374,"Now, the previous approach was in recognition of the four products that we see in this expression."
375,We made four recursive calls.
376,"So, here's the trick, and this is really what Gauss figured out over 200 years ago which is that it seems there are four products."
377,"But fundamentally, in this expression, there's really only three quantities that we care about."
378,"There's the ac, the coefficient of this first term."
381,We really don't care about them individually.
382,"So, that motivates the question, perhaps we can somehow uncover these three d ifferent quantities using only three recursive calls rather than four."
385,We go ahead and compute ac and bd recursively.
386,"The third step is the, is the clever one where we recursively compute the product of quantity a plus b with c plus d."
387,"Now, expanding what are we going to get when we recursively compute this product, we're going to get ac plus bd plus ad plus bc."
388,"And here is Gauss's trick for observation which is that the result of the third recursive call minus each of the first two, what happens?"
389,"Well, the ac is going to cancel the ac, the bd is going to cancel the bd and we will be left with ad + bc, which is exactly that middle coefficience that we cared about."
390,"So, we can indeed compute the sum of ad and bc without separately computing each of them, and that's exactly what we wanted."
391,"So, what is this bias?"
393,Only three recursive calls rather than four.
394,"And as before, there's a little bit of work to do beyond the recursive calls but not much."
395,You just have to do some padding by zeroes and adding up the results.
396,"So, there is two points I want you to appreciate about all these energy multiplication algorithms."
397,The first point is that the algorithm design space is incredibly rich.
398,Much richer than you might have had initially had intuition for.
399,Multiply two integers.
400,What else could you do with the elementary algorithm?
401,"Well, what have we seen?"
404,looks nothing like what we learned back in grade school.
405,"We will see this over and over again, that with sufficient ingenuity, sufficient cleverness you can solve problems in ways much differently and sometimes much better than using the naive straightforward algorithm."
406,The second takeaway point from this discussion of in teger multiplication algorithms is that sometimes you have interesting algorithmic ideas for which it's totally not obvious what kinds of properties or what kinds of performance guarantees those algorithms enjoy.
408,Which of these three requires the fewest number of cumulative operations to multiply two integers?
410,learned back in elementary school?
411,The answer to that question is totally not obvious and it requires nontrivial mathematical analysis to answer.
412,"In the upcoming lectures, I will provide you with the tools to not only precisely understand and answer this question but more generally, to predict the running times of an entire genre of divide and conquer algorithms like Karatsuba multiplication."
413,"So, stay tuned."
414,"i'm too weak too slow too big i ate to much for breakfast i got a headache its raining my dog is sick i can't right now im not inspired it makes me smell bad im alergic to stuff im fat im thin its too hot im not right i've got shin split a headace im distracted im exerting myself too much i'd love to really, but i can't my favourite show is on i've got a case on monday tuesday wednesday i dont wanna do this i wanna do something else after new year next week i might make a mistake i've got homework i feel blowded i have gas i got a hot date my coach hates me my mom won't let me i bruise easily it's too dark too cold my blister hurts this is dangerous uhh, sorry i dont have a bike i didnt get enough sleep my tummy hurts it's not in my genes i dont wanna look all tired now i need a better coach i dont like getting tackled i have a stomache ache im not that athletic type i dont wanna get sweaty i have better things to do i dont wanna slow you down i have to do this?"
415,as soon as i get a promotion i think i'll skip this one out and my feet hurt!
416,Companies are losing control.
417,What happens on Wall Street no longer stays on Wall Street.
418,What happens in Vegas ends up on YouTube.
419,(Laughter)
420,Reputations are volatile.
421,Loyalties are fickle.
422,Management teams seem increasingly disconnected from their staff.
424,A recent survey said that 27 percent of bosses believe their employees are inspired by their firm.
425,"However, in the same survey, only four percent of employees agreed."
426,Companies are losing control of their customers and their employees.
427,But are they really?
428,"I'm a marketer, and as a marketer, I know that I've never really been in control."
430,"Hyperconnectivity and transparency allow companies to be in that room now, 24/7."
431,They can listen and join the conversation.
432,"In fact, they have more control over the loss of control than ever before."
433,They can design for it.
436,"They can collaborate with them on the creation of ideas, knowledge, content, designs and product."
438,"""In Rainbows."""
440,The album sold more copies than previous releases of the band.
441,"The Danish chocolate company Anthon Berg opened a so-called ""generous store"" in Copenhagen."
443,"It turned transactions into interactions, and generosity into a currency."
448,The ultimate empowerment of customers is to ask them not to buy.
452,Research has shown that giving employees more control over their work makes them happier and more productive.
454,lets employees set their own work schedules and even their salaries.
455,"Hulu and Netflix, among other companies, have open vacation policies."
456,"Companies can give people more control, but they can also give them less control."
459,Take the travel service Nextpedition.
460,"Nextpedition turns the trip into a game, with surprising twists and turns along the way."
461,"It does not tell the traveler where she's going until the very last minute, and information is provided just in time."
463,"launched a surprise campaign, seemingly randomly handing out small gifts to travelers en route to their destination."
464,"U.K.-based Interflora monitored Twitter for users who were having a bad day, and then sent them a free bouquet of flowers."
466,Yes.
468,A recent study suggests that having employees complete occasional altruistic tasks throughout the day increases their sense of overall productivity.
469,"At Frog, the company I work for, we hold internal speed meet sessions that connect old and new employees, helping them get to know each other fast."
471,"less choice, but we enable more and richer social interactions."
472,"Companies are the makers of their fortunes, and like all of us, they are utterly exposed to serendipity."
473,"That should make them more humble, more vulnerable and more human."
474,"At the end of the day, as hyperconnectivity and transparency expose companies' behavior in broad daylight, staying true to their true selves is the only sustainable value proposition."
475,"Or as the ballet dancer Alonzo King said,"
476,"""What's interesting about you is you."""
478,"""A smile is a door that is half open and half closed,"" the author Jennifer Egan wrote."
479,Companies can give their employees and customers more control or less.
482,Thank you.
483,(Applause) (Applause)
484,BadukMovies
485,Episode #57 The most common jeongseok
486,Today we are happy to be able to present you a lecture created by Baek Jihee.
487,"She's a 2dan professional, currently studying for her Masters in Baduk, in Korea."
488,She's studying at the Myongji University.
489,In 2003 she became professional.
490,And in 2010 she was promoted to 2dan professional.
493,"Let us look at the continuations for both white and black, after this joseki is being played."
495,D for white is a bad move.
496,Which is quite surprising.
498,"It's a surprising move, so you might want to try it out to surprise your opponent."
499,"We're going to study how to handle these moves as white, and we're also going to look at how black can play after this joseki, if white plays tenuki."
500,So let's start with this move.
501,This move is famous because it is often played by Lee Changho 9dan professional.
503,And we will have a look later at why it is a good move.
504,Black can answer with a knight's enclosure.
505,And white will approach on the upper side.
507,Black plays high here on the 4th line because he already has a low stone at A on the 3rd line.
508,This makes a good balance.
509,In go you often want to try to make waves.
510,"Maybe also in other things than go, but waves are good in go."
511,One stone high and one stone low.
512,"After this, this jump for white is a nice point."
513,"If white does not play this move, then black has a nice combination."
515,Black will use the combination of 1 and 3 to also flatten the lower white side.
517,Let's have a look at another position.
519,Because this will help white to become stronger at the lower side.
520,White will hane here and black has a weakness at A to worry about.
521,He still has to come back.
522,"Instead, in this kind of position, there is a surprising move which is this one."
527,"If we go back a bit to this position, we saw that white can approach the upper right corner."
529,"White can approach here, aiming to play at A later."
530,Playing here starts a bit of a complicated variation.
531,Let's begin with the simple variation first.
533,This is a very simple and clear move.
535,So this is certainly possible for black.
536,"However, [this] starts a bit more complicated variation."
537,White has 2 options after this.
538,White can either play here..
540,Let's have a look at the cut first.
541,"Black has to reinforce for his two stones, and white extends..."
543,"Mind that white does not have to make the exchange of [1] for [2], because it is sente anytime."
545,What we mean is: when black tries to capture this stone..
549,"If black plays the cut now, he makes a mistake."
550,White will force black into a bad shape by playing atari here and then blocking on this side.
551,"This block becomes sente for white, because otherwise white will go through at [1]"
553,"So instead of cutting immediately, first black has to push."
554,"If white extends, black will cut anyway."
555,This is good.
557,Black will answer with this strange move.
558,"Eventhough it's an empty triangle, it's a good move because A and B are miai."
559,When white defends here the cut works again for black.
560,"And if white protects the cut, then black will create some aji in white's position."
562,Black will play on the second line.
563,If black omits this move then white can play [this] move and destroy a lot of black's territory.
564,"When white plays [here], we've seen that black plays the keima."
565,"But if black plays somewhere else, white will approach this corner."
566,It's a nice placement for white.
567,This is why [this] is a good move for black.
568,When white approaches here..black is a little bit cramped.
569,White will play on the second line here and white is happy.
570,Black feels under pressure.
571,In [episode #5 Payback time] we've seen this shape.
573,White has this tough spot.
574,After this white will hollow out the corner.
575,And black is in a lot of trouble.
577,"However, black doesn't have a solid base."
579,"Now that we have seen what happens when white plays [here], let's have a look at [this] move."
580,Why is this such a bad move?
581,"It's quite surprising that it's bad because it looks like white is doing good moves, and he's making territory."
583,Right.
585,It's a painful invasion.
586,Black can still live inside white's territory.
587,Black can live because he has [this] aji.
588,This helps a lot in combination with the black stone at [A].
589,Let's see how black can link these stones.
590,Black destroys all of white's territory and is happy.
592,"Yea, it looks like a solid or strong move."
593,But in fact it's not good.
594,[This] move is very urgent because it prevents white from invading at the 3-3 point.
598,After black got the lower right corner he also succeeded in reducing white's framework.
600,"Instead of defending here, white can also consider defending the lower side."
601,"However, this is actually quite small because black has very good endgame here."
602,White's territory is not that big.
604,"The last possibility for white, after black plays [here], is to simply play tenuki."
605,"However, this leaves a very big hole here."
606,"Black will invade, giving white a very hard time."
608,White has a very thin shape.
609,So now we've seen that this is a bad move for white.
610,How about approaching from [this] side?
611,This one?
613,Yes!
614,White can also approach from here.
615,Black answers normally.
616,But now this is a very big point.
617,And this is the reason why Lee Changho chooses to play [this move].
618,Ah.
622,"It's also a possibility, however, it gives white the chance to choose between the normal joseki - playing at [A] - and approaching the corner at [B]."
623,This would be normal but now white can also play [here] to strengthen his own group in the lower left.
624,And to attack the black group.
625,So this would be a nice move.
626,So that's why black [doesn't] play here.
627,He doesn't want to give white the chance to play [here].
628,"So black attacks, himself, immediately."
631,"Black has two ways to answer to this invasion, which is the only move for white."
633,Oh!
634,"We have not seen this one before, right?"
637,And black will play on top.
638,So black also links up.
639,And black seems to gain a lot of thickness on the outside.
640,"After black makes this thickness, maybe white should go out?"
641,Right.
645,Because white still needs to live.
646,"Yes, white's group doesn't have two eyes yet."
647,"Also, black gets major influence here."
648,It's too good for black.
649,"So instead of going up here, which was one possibility, black can also choose to play [here].."
650,"However, we added a few stones.."
651,"Black needs to have a stone at [A] and at [B], but the stone at [A] is crucial because there will be a ladder."
652,"And if black has all these stones, then [this] will become a very powerful move."
653,Black can cut here and then link up on the 1st line.
654,"And white can not capture the [triangle] stone, because the ladder will be good for black because of the stone at [A]."
655,How about when black does not have these 2 stones in place..
656,When black [then] will play this move.. .. white can link up his stones.
657,[This] ofcourse is not a good move.
659,And white will be in trouble.
660,"But instead of this, white sacrifices one stone."
662,"Since white didn't have big territory in this area anyway, black didn't gain much in these exchanges."
663,Let's see another overall board position.
664,Here white has nice shape on the lower side.
665,"[This], in this case, is an excellent move to expand white's framework."
668,"Instead of calmly answering, if black plays tenuki, white can play [here]."
669,This is the sente move that white can use in a lot of situations.
670,Black has to respond and now white made himself a little bit stronger in the area.
671,White also has a move available which is [gote].
672,"This move was [sente], but when white will play here it is [gote]."
674,So black will not answer this move but afterwards white can take away all the territory of black in the corner.
675,And gain a lot of thickness on the outside.
676,Black will have to live very small.
677,"So when you're white and you play [this keima], it has some benefits but also some demerits."
678,Because it is a [gote move].
679,Let's have a look at another position.
680,"White can also approach from this side, instead of playing this keima."
682,Especially when the white shape in the lower side is good.
683,Playing like [this] will make the white territory solid.
684,So this is a mistake by black.
685,White is happy.
686,Instead black can consider just playing [here].
687,This is a move that we've seen before and it's quite simple but effective.
691,Now let's finish with a kind of fun move.
692,Let's have a look at this one.
693,A tricky move!
694,Yes.
695,"The idea is ofcourse that when black extends here, white can cut."
696,He was dreaming of this!
697,Yea.
698,This is beautiful for white.
699,So instead black can try to capture the white stone.
700,This looks like a very natural move.
702,White can cross-cut here!
703,And he can capture the stone and come back on the lower side.
704,In this case white got something on both sides.
706,So white's trick move was successful.
707,"So how about instead of pulling back [here], why not capture this stone?"
708,"Yes, this looks also normal, but then white can give atari and stretch on the 3rd line."
709,"It's also good for white, because black is very flat."
712,"The best white can do is play hane, but he forces black to go through."
713,The black stone at [B] is a little bit painful.
716,We hope you liked this first lesson made by Baek Jihee.
717,And we also hope that you will consider subscribing to BadukMovies Pro.
718,So that we can bring you more episodes made by her.
719,See you next time!
720,music
721,"As you may recall, writing a Deux Ex episode sort of sent James on a bit of a sci-fi kick ."
722,"So, this week we're gonna be doing some more of that."
723,"I'll be up front with you, today's topic doesn't have much to do with games, but it is something that shows up in games a lot."
724,Especially the sci-fi ones
725,Today's topic is Technobabble.
726,"It's sort of the hallmark of mediocre science fiction in any medium, and it's something we should be able to avoid when making games, mostly because it's never necessary."
729,So let's talk about sci-fi for a minute.
730,There are two main camps for what we now call sci-fi.
731,Science fiction and future fantasy.
733,One vauguely rooted in fact with an internally consistent logic.
736,"They didn't always use things perfectly, but they tried to have a grounding in science, and used that to help them examine societal structure in a humanity with faster-than-light capability."
