idx,sentence
2051,"The Holy of Holies was located in the westernmost end of the Temple building, being a perfect cube: 20 cubits by 20 cubits by 20 cubits."
2083,"Traditional Judaism regards the location where the inner sanctuary was originally located, on the Temple Mount in Mount Moriah, as retaining some or all of its original sanctity for use in a future Third Temple."
2281,"POST cards for PCs, while originally high-priced, cost from just a few US dollars upwards in the 21st century."
2693,"The film opened at #2, behind ""The Rugrats Movie"", grossing $20,038,573 over its first weekend in 2,393 theatres and averaging about $8,374 per venue.The film made an additional $95.9 million in gross rentals."
3788,"Or Bangkok, or in an argument three years ago."
3790,Or how about a nice cold milk?
3938,"So resting for a final few moments in stillness, in silence, full wakefulness, in full awareness, outside of time, as if you had nothing to do, no place to go."
1459,"As of June 2019, there are eighteen Accredited European Schools located in thirteen EU countries, with a further three schools engaged in the accreditation process."
1511,"The historical significance of the first European School, founded a mere 8 years after the end of World War II, was not lost on its architects."
1656,"While some full-time teachers are seconded by their national governments for a period up to nine years, others are hired locally within the member states in which the schools reside."
1722,"As of June 2019, there are eighteen Accredited European Schools located in thirteen EU countries, with a further three schools engaged in the accreditation process."
2287,I'm not gonna spend a I mean there's a good couple of hours talking here and w I'm gonna use the time more productively I think talking about other aspects of the course.
3125,"A rival four-team league, known as the , played a 30-game summer season in 1947."
103,"Additionally, each team in the tournament played a minimum of three games, as any team that lost its first two games would play in a consolation U.S. vs. international game."
110,"Each team in the tournament still plays a minimum of three games, via consolation games as noted above."
296,That's a lovely pink isn't it?
2320,There was scarce half a dozen years'
224,"In all, during the year he spent at the Slessor's home, Spencer painted some twenty pictures including ""Christ Carrying the Cross"", which is now in the Tate."
498,Spencer's original plan for realising this vision would have required a canvas some fifty feet wide.
1218,Cuellar shared the American League Cy Young Award in 1969 and won 20-or-more games in a season four times from 1969 to 1974.
1259,"The last of them was a 3–2 complete game over the Cardinals at the Astrodome on June 25, in which he recorded a career-high 15 strikeouts."
1309,"During the 1969 season, Cuellar achieved a win-loss record of 23–11, struck out 182 batters, and recorded an excellent 2.38 earned run average, as Baltimore won a club-record 109 games and the very first American League East Division title (prior to the season, both the American League and National League had been divided into East and West Divisions)."
1387,"Together, the trio racked up a combined win-loss record of 188–72 (.723 winning percentage), while the rest of the Orioles' pitching staff recorded a very good 130–92 record (.586 winning percentage)."
1426,"Cuellar split a pair of decisions against the Athletics, winning in Game One but losing the decisive Game Four; hence the Orioles lost the Championship Series to Oakland three games to one – with the final game again resulting in a very tight 2–1 score."
1437,"Attempting a comeback at age 42 in , he had a combined 7–6 record with three clubs in the Puerto Rican League and Mexican Leagues."
2081,with the enemy and taken a scalp or two from them.
2916,a nice one.
3516,"“Little Hans had a great many friends, but the most devoted friend of all was big Hugh the Miller."
3912,"I know it is very generous of me, and a great many people would think me extremely foolish for parting with it, but I am not like the rest of the world."
344,"In this state, first-degree fraud carries a minimum of three to five years."
672,"“He has a great many good points, but for my own part I have a mother’s feelings, and I can never look at a confirmed bachelor without the tears coming into my eyes.”"
1103,"She was one of those people who think that, if you say the same thing over and over a great many times, it becomes true in the end."
2355,"Joe was a married 41-year-old man about town, while Mary Ann was an unmarried 37-year-old domestic worker for the Feinstein family which was prominent in the garment industry."
329,"In May 2003, Paramount Pictures, Davis Films and Gaga Productions announced its joint venture to adapt the ""Onimusha"" game series into a $50 million live-action feature film."
1403,"Only a few hundred people remained in the once vibrant city due to a major decline in silver prices, ongoing unrest in the country with a revolution in progress, and the exodus of business owners and people of wealth."
2107,"Her nephew, a merry boy, who was his aunt's darling, begged so long for these spectacles, that, at last, she lent him the treasure, after having informed him, with many exhortations, that in order to execute the interesting trick, he need only repair to some place where a great many persons were assembled; and then, from a higher position, whence he could overlook the crowd, pass the company in review before him through his spectacles."
598,"The generally accepted figure is that reported by the ""Manchester Guardian"" at the time, of an estimated 400 people."
751,"I mean I don't know when he's, he might not be in for another two or three hours, I don't, I really don't know."
1115,"I think other than health insurance, I think, uh, you know, an extra week of, uh, time off would be nice."
1502,An estimated 20% of children leaving kindergarten fail to adjust to elementary school requirements and are in need of special schooling.
2033,"“There were once upon a time three sisters, quite transparent, and very beautiful."
2592,you've got a whole handful kiddo .
3057,Quarrie repeated his sprint double the following year at the Pan American Games in Cali and his time in the 200 meters was a hand-timed 19.8.
3229,"During the 1989 playoffs, Bradley would tie rookie Trevor Linden with a team-leading 7 points in seven games."
3230,"His best regular season totals with the Canucks came in the 1989–90 season when he scored a team respectable 48 points and was awarded The Canucks' ""Most Exciting Player Award"" by Canuck fans."
3255,"At the end of Tampa Bay's inaugural season, Bradley led the team with a career high 42 goals and 86 points."
3703,That's a good one isn't it?
3743,"On April 7, 2017, the Senate confirmed Gorsuch's nomination to the Supreme Court with a bipartisan 54–45 affirmative vote with three Democratic Senators joining all of the Republican Senators."
3903,"On April 7, 2017, the Senate confirmed Gorsuch's nomination to the Supreme Court with a bipartisan 54–45 affirmative vote with three Democratic Senators joining all of the Republican Senators."
1115,"Each CLEC is allocated blocks of 10,000 numbers (corresponding to a single three-digit prefix) for every rate centre where it offers service, even in the smallest hamlets."
2759,"The city flag of Portland, Oregon, consists of a green field on which is placed a white four-pointed star from which radiate blue stripes, each bordered by L-shaped yellow lines."
3105,while visiting at the Sedleys' that she left anything but a good
3151,"However, in the straight Mennea gained ground and passed Quarrie and Leonard and at the very end of the race, just beating Wells, winning the gold by a mere 0.02 seconds."
3174,"In 1983, in Cassino, he clocked a manual 14.8 seconds in 150 metres, a world best time that he held until it was bettered by Usain Bolt in Manchester in 2009."
3347,That's a big three-digit number!
1125,The floor ultimately was raised an additional seven to eight feet (2.0 to 2.5 m) and up to 30 feet (9.0 m) near the upper entrance.
1153,"The province has an area of with a recorded 2010 census population of 4,395,983."
2999,"In the 1939 ""Tschammer-Pokal"" the semi-final between Waldhof Mannheim and Wacker Wien was played to a draw three times before the game was decided by lot."
3216,They respected a possible
145,"However, the warnings were sent on a military frequency to a non-existent F-14 Tomcat."
357,"The Jaguar driver Mark Webber suffered an engine failure in the final practice session, and for changing his engine suffered an automatic 10 place grid penalty for the subsequent qualifying session, a penalty also suffered by Ralf Schumacher, for an engine failure in the first practice session."
1550,"The girl had to ride for a great many days, and for a long and wearisome time, before she got there; but at last she did arrive, and then she asked the East Wind if he could tell her the way to the Prince who dwelt east of the sun and west of the moon."
1923,"Once upon a time there lived a queen who had been the mother of a great many children, and of them all only one daughter was left."
2021,"Near the Rensselaer Polytechnic Institute, Ferry and Congress streets merge to form a single two-lane road carrying the Congress Street name."
667,"As people left their homes, sometimes unwillingly, there was violence and all told, as many as half a million people were killed."
843,"That is, each edge in the line digraph of ""G"" represents a length-two directed path in ""G""."
1131,"The end of colonization was disastrous in Cambodia where the 17 year reign of Norodom Sihanouk gave way to the rise of the Khmer Rouge, which massacred a stunning 21% of Cambodia's population between 1975 and 1979."
1192,that was a good one .
2751,"A good many years had passed -- seventeen , in fact -- since Queen Rosalind was married , but you would not think it to look at her ."
3341,The old man led him back to the castle and showed him in a cellar three chests of gold.
3490,"In 1995, an extended 14-track remaster and re-mix of the original master was made, occupying nearly all of the storage capacity offered by a compact disc (app."
3833,Daddy you get eh a  over ten thousand pounds reward.
289,"The M50 is a dual two-lane motorway in Worcestershire, Gloucestershire, and Herefordshire, England."
405,"Master Todd, godson of Mr. Osborne, received a little eighteen-penny"
433,"It was founded on 6 April 2016 by Emmanuel Macron, a former Minister of Economy, Industry and Digital Affairs, who was later elected President of France in the 2017 presidential election by a landslide 66.1% of the second-round vote."
1387,"In 2010, a new £5 million manufacturing line was opened by Nestlé in York, to produce more than a billion Kit Kat bars each year."
1558,She's a nice one for twenty two ninety five.
1561,"And anyone may see that , if you are a magician , like the Princess Jaqueline , a great many difficult questions as to what is right and wrong at once occur which do not trouble other people ."
1740,"The bars can come in a miniature form of two finger mini bars, or a larger standard four, or in some cases, three, fingered bars."
1959,We'll be through in another thirty meters.
2211,"It is the most extraordinary thing I ever saw , and I 've seen a good many . ''"
2291,"This nomination program is only open to seniors with a minimum 3.2 GPA (unweighted) in public, private, and parochial schools in 15 categories: Art, Athletics, Business, Digital & Interactive, Drama, English & Literature, General Scholarship, Journalism, Mathematics, Music & Dance, Science, Social Science, Speech, Vocational-Technical, and World Languages."
2585,"He weighed – during filming, but in the film he was billed at ; one publisher said of Drago, ""He's a hulking 261 pounds of merciless fighting machine, the best that Soviet science & medicine can create""."
3170,"This was followed by a further six weeks of filming in the ""Reno-Tahoe area""."
3358,"He had often seen him play a great many cunning tricks to catch rats and mice, as when he used to hang by the heels, or hide himself in the meal, and make as if he were dead; so that he did not altogether despair of his affording him some help in his miserable condition."
3824,"He only wanted to give him a fright or two , and make him respect the judgment of older and wiser people than himself ."
240,"Now the Queen had been shut up in a great tower by the King’s orders, and when a great many days went by and still she heard nothing from the Fairy she made her escape from the window by means of a rope ladder, taking her little baby with her."
543,"On January 4, 2007, the station, along with the rest of the Times Company's television division, was sold to Oak Hill Capital Partners in a $575 million transaction."
546,"But it's only a quarter past seven, what is it, a fire?"
714,"The Fairy Paribanou , I am sure , taught you nothing beyond the ordinary magical accomplishments suited to your rank ; but there are a great many things in the Cornelius which I think you should not study till you are older and wiser . ''"
808,"To satisfy this, WNEP began producing a nightly 10 o'clock newscast on the area's affiliate WOLF-TV (then channel 38) in 1991."
865,"In early September 2011, WNEP expanded its 4 pm newscast to a full hour with an additional half-hour at 4:30 p.m."
1547,"Because there are only a limited number of power suits and flying ships still in operation, only a select few can be Spellbinders at any given time."
2293,What a mini t.v.
2475,"Later on he used his own instrument, a massive four-manual, custom-designed Allen Organ (1977–1980)."
2512,out a very lucky one for Newcome.
3517,"`` I 've done a good many difficult things , '' said Dick , modestly ."
1747,"In 2003, Virgin reissued ""Avalon"" on Hybrid Super Audio CD with a new 5.1-channel surround sound remix by the original production team of Rhett Davies (the producer) and Bob Clearmountain (the mixing engineer)."
3075,"The final, held in Montreal, saw an all-time record 13,648 fans at Complexe sportif Claude-Robillard Stadium (whose seating capacity for the day was adjusted from 10,100)."
3393,"It was not that the fagot-maker was not, perhaps, more vexed than his wife, but that she teased him, and that he was of the humor of a great many others, who love wives to speak well, but think those very importunate who are continually doing so."
3593,"On November 12, 2014, the Central Bank of Nigeria issued a special 100 naira note to celebrate the 100 years of Nigeria's existence."
118,He had a good
337,"In the course of a great many journeys to the forest he carried away many rich stuffs and much fine linen, and set up a shop opposite that of Ali Baba’s son."
2194,That's a nice one.
2685,"Yeah, I think that's a good one."
3398,For a new  No.
84,"Remember, this is a collapsed neutron stars."
192,"After qualifying as a builder, he retrained as a teacher and taught woodwork, technical drawing and Māori, over a period of twelve years, at Ellesmere College, and at his alma mater, St Bede's."
1195,"If an express requires extraordinary speed the Man-Mountain shall be obliged to carry in his pocket the messenger and horse a six days’ journey, and return the said messenger (if so required) safe to our imperial presence."
1295,The Empire of Blefuscu is an island parted from Lilliput only by a channel eight hundred yards wide.
1385,"There are a great many Eastern Orthodox Christians who are (or who belong to Churches that are) ""on the Old Calendar"", but far fewer in number are the Eastern Orthodox Christians who are ""Old Calendar"" or ""Old Calendarist."""
1506,"In 1974, a large 36 meter (118 feet) tall monument was built in the city."
2229,"A study published in 2007 by Sportfive reported Hansa's fanbase to be the seventh largest in Germany, involving up to two million supporters."
2435,"For, arriving at a hill five miles outside of"
2450,"The album went on to sell over 850,000 copies in the UK (double platinum), and a further 250,000 copies in the United States."
2536,"The album itself followed in March 1999 to mixed reviews, and only sold a mere 25,000 copies in its first week as it crawled in at Number 9 on the album chart, spending only 10 weeks in the UK Top 75."
2960,"The album was issued as a standard twelve track CD, as a limited edition deluxe box set, and as a super deluxe box set with a limited production run of 300 copies."
2967,"And, that you may better comprehend what it is, I must tell you it is the fruit of the study and experiments of a celebrated philosopher of this city, who applied himself all his lifetime to the study and knowledge of the virtues of plants and minerals, and at last attained to this composition, by which he performed such surprising cures in this town as will never be forgot, but died suddenly himself, before he could apply his sovereign remedy, and left his wife and a great many young children behind him, in very indifferent circumstances, who, to support her family and provide for her children, is resolved to sell it.”"
2979,"While the crier informed Prince Ahmed of the virtues of the artificial apple, a great many persons came about them and confirmed what he said; and one among the rest said he had a friend dangerously ill, whose life was despaired of; and that was a favorable opportunity to show Prince Ahmed the experiment."
3368,"Scholes netted a career-high 20 goals in all competitions in the 2002–03 season, including a hat-trick in a 6–2 win against Newcastle."
3370,"This was despite a career-best four FA Cup goals, in comparison to his total of five FA Cup goals scored in his first nine seasons."
3542,"United won the match 6–0, with Scholes opening the scoring with a trademark strike from 25 yards, in front of a sell out 74,731 crowd."
16,it's a good one .
328,"A great many officers came to attend the Prince while he dismounted his horse, and afterward conducted him into the Sultan’s apartment, who was at that time surrounded with his favorites."
908,that's a nice one .
1872,"Uchū Ryokō"" caused a similar incident, when a reported four children were taken to hospitals by ambulances after viewing a scene with red and white flashing colours."
2465,was it a yummy toe ?
2718,"He next asked the old woman to show him where the King’s daughters lay; and the old woman took him upstairs and opened a great many doors, and out of every door came a beautiful lady who had been imprisoned there by the Etin; and ane o’ the ladies was the King’s daughter."
2996,"4 with an opening weekend gross of $5,425,440; by the time of wider release two days later it grossed $15,643,935; stayed in the top 10 for 16 weeks, gross $83,759,091 domestically with a further $12,145,000 with foreign markets giving a worldwide gross of $95,904,091."
3010,"The film was released on VHS on June 19, 1990, and on DVD July 25, 2000, allowing the film to gross a further $40 million."
3460,it's a double one thomas .
3519,"On 28 June 2005 Capill entered guilty pleas on a further three charges of indecent assault, one of rape, and one of unlawful sexual connection, all committed against girls under the age of 12."
139,"The girl had to ride for a great many days , and for a long and wearisome time , before she got there ; but at last she did arrive , and then she asked the East Wind if he could tell her the way to the Prince who dwelt east of the sun and west of the moon ."
597,"Southern's other unrealised projects during this period included an adaptation of Nathanael West's ""A Cool Million"", and a screenplay called ""Merlin"", based on Arthurian legend, which was written with Mick Jagger in mind for the lead role."
674,"Southern once again accompanied the Rolling Stones on their Tour of the Americas '75 and contributed text to a commemorative 1978 coffee table book (""The Rolling Stones On Tour"") featuring photographs by Annie Leibovitz and Christopher Sykes."
1363,"THE YELLOW DWARF Once upon a time there lived a queen who had been the mother of a great many children , and of them all only one daughter was left ."
2268,alright i'm gonna take a quick two minutes be right back .
2769,"The novels are set in a near-future world dominated by corporations and ubiquitous technology, after a limited World War III."
79,A bullet struck a rock two feet below where Racey lay
218,He avoided an estimated $700 million in capital gains taxes; this generated some media attention and controversy.
274,The project cost approximately A$200 million.
2328,cartridges weighed a good sixty.
2633,"is a good strong four-foot log, and she's been shaved off with the"
3534,The engine is an inline four-cylinder with 40 PS (29 kW) and 903 cc.
3538,"Called the ""Panda 35"", it had a smaller 843 cc version of the engine, a development of the engine originally fitted to the SEAT 850 beginning in the mid-sixties."
3690,Would you catch a couple thousand fireflies
584,"And so will a good many other folks."""
1733,"This, coupled to a six-speed manual gearbox, has lowered fuel consumption, emissions, and gives a quoted 0–60 mph time of 10.5 seconds."
2476,"The film was originally pitched as an animated horror film about an underground cartoonist who fathers an illegitimate half-real/half-cartoon daughter, who hates herself for what she is and tries to kill her parents."
2637,"The fact that Paramount Pictures donated a mere $27,000 to Rebuild L.A. should not be a passport to exploit women in Los Angeles."""
2673,what a good open mouth !
2685,what a good open mouth !
3718,"It was released theatrically the following week in the United States, but was a box office bomb, grossing $2.4 million against a nearly $9 million budget."
3988,"Roger Ebert of the ""Chicago Sun-Times"" lauded the film, awarding it a full four stars and describing it as ""unflinchingly honest, and so well acted that for most of the film I abandoned any detachment and just watched it as if I were observing the lives of real people."""
579,"""When I tell people about the story, a remarkable number say, 'On my grandmother's block, there were people like that."
819,Factory re-released the film on Blu-ray with a new 2K scan of the inter-positive and the majority of the special features from the 2014 Arrow release from the UK.
1169,"The Clown catches up, to meet his sister and his new-born nephew, a fully grown Merlin the Magician."
2688,"Nearly all magical creatures are engineered, with a very small number being demons who survived the holocaust."
3166,Ah well it's a good few years for this.
3410,"Finally, after a full half hour, a top-floor window (the house had four stories) opened and Pinocchio saw a large Snail look out."
3735,It took several hundred years for European scientists and physicians to reach the same conclusions that al-Nafis had.
3955,The old man led him back to the castle and showed him in a cellar three chests of gold .
685,"I have, so I have to take that into consideration when I evaluate like how much I get paid you know, because if I was working somewhere else I'd have to, you know, pay an extra five percent,  or so."
2398,"""I am afraid that a good many people know about them, most undesirable"
2619,After a full half hour the door opened.
319,"with a fixed zero-object 0, where B""QP"" is the ""classifying space"" of ""QP"", which is defined to be the geometric realisation of the ""nerve"" of ""QP""."
558,"It meant a great many things, but in short it meant what it was to be Roman (that is, Roman-ness)."
2298,The stadium underwent a $280 million renovation that was completed in 2013.
2347,"The capacity of the lower bowl was expanded with the addition of 10,000 seats around the rim in 1936, and a few thousand more in 1968."
2386,"The FieldTurf at Husky Stadium was replaced with a newer one after nine seasons in 2009 at a cost of $350,000."
2529,"The new stadium is the first and primary income source of a completely remodeled athletic district which includes a new $19 million Husky Ballpark, a new track and field stadium, renovated soccer stadium, $50 million basketball operations and practice facility and recently completed projects such as the Husky Legends Center, the Conibear Shellhouse and Alaska Airlines Arena renovations, and the construction of the Dempsey Indoor facility."
2824,"If you're looking to begin to understand why the South will begin to defend this system, and defend this society, and worry about it shrinking, and worry about a political culture from the North that is really beginning to criticize them, think three and a half billion dollars and the largest financial asset in American society, and what you might even try to compare that to today."
2854,"On December 15, 2014, Olynyk scored a career-high 30 points in a 105-87 win over the Philadelphia 76ers."
3279,"The New York Yankees purchased Gomez from the Seals for an estimated $39,000."
4046,"Since 1992, Breckman and WFMU station manager Ken Freedman have co-hosted a weekly one-hour comedy call-in radio program, ""Seven Second Delay""."
1343,"He had often seen him play a great many cunning tricks to catch rats and mice , as when he used to hang by the heels , or hide himself in the meal , and make as if he were dead ; so that he did not altogether despair of his affording him some help in his miserable condition ."
2975,"Now the Queen had been shut up in a great tower by the King 's orders , and when a great many days went by and still she heard nothing from the Fairy she made her escape from the window by means of a rope ladder , taking her little baby with her ."
3078,Once upon a time three of the gods went on a journey.
4081,Power goes to the rear wheels via a 6-speed manual transmission or an optional 5-speed automatic.
1905,"Liphook is also the home of Bohunt School, a top fifty secondary state school."
2263,this is a good one .
3144,Gave a guy six months to live.
3151,Gave him another six months.
3782,guest--that of a raw second lieutenant towards a general of
12,He was British flat racing Champion Jockey a record 26 times.
329,I could've dropped a dime a million times.
1040,"Adler joined NPR in 1979 as a general assignment reporter, after spending a year as an NPR freelance reporter covering New York City, and subsequently worked on a great many pieces dealing with subjects as diverse as the death penalty, the right to die movement, the response to the war in Kosovo, computer gaming, the drug ecstasy, geek culture, children and technology and Pokémon."
1888,Perhaps about another six months
2721,"An estimated 1,700 people were forced to flee to shelters and about 3,200 others were left homeless."
2812,"The storm continued to intensify and early on September 17, it peaked as a minimal Category 3 hurricane."
2938,"In Mexico, more than 42,000 people were forced to evacuate as rivers overtopped their banks in Campeche and Tabasco, while an estimated 100,000 people evacuated due to the storm."
3038,"Later that day, the storm peaked as a minimal Category 3 hurricane, with winds of 115 mph (185 km/h)."
3152,A lousy $10 card game.
3456,"They are the most beautiful and valuable things that have ever been made in gold.” She wanted to have everything brought to her there, but he said, “There are so many of them that it would take a great many days to do that, and so many rooms would be required to exhibit them, that your house is not big enough.” Then her curiosity and longing were still more excited, until at last she said, “Conduct me to the ship, I will go there myself, and behold the treasures of thine master.”"
3557,when teeing off I'll go probably a hundred feet across the ground
3819,here we got another twenty minutes here .
185,oh this is a good one .
379,"Recently, however, options for an integrated 6-year cardiothoracic residency (in place of the general surgery residency plus cardiothoracic residency) have been established at many programs (over 20)."
574,"The transplant was successful, but Rogers, a cancer sufferer, died from an infection 54 days after surgery."
956,"These small settlements totalled only a few thousand people, but they were many of the first European arrivals in North America"
1137,"The population has grown steadily from a few thousand in the 1660s, to one million in the 1820s, 10 million in the 1920s, and 30 million in 2001."
1286,"By comparison, it has been calculated that the trade between New France and Europe only included an average sixty-six immigrants per year over the lifetime of that colony."
1556,that was a good one .
3834,"I get a nice one almost every night, Ma."
329,"At the World Championships in Gothenburg, in the 5,000 m final, Baumann inexplicably lost contact with the leading group with three laps to go, and struggled home in a disappointing ninth place."
336,But Baumann still managed to finish in a creditable fourth place.
766,"He had earned some starts after sitting out the first few games, including a 42 save performance in a controversial 3–2 loss against Finland."
918,Later a further pair of sidings was inserted alongside the existing tracks.
1246,Instead of the normal 12 V car battery the military version used a hybrid 12/24 volt system.
1770,"The main event saw Seth Rollins defeat Roman Reigns, Dean Ambrose and Randy Orton in a Fatal 4-Way match to retain the WWE World Heavyweight Championship."
2018,The McDonnell Douglas YC-15 was a prototype four-engine short take-off and landing (STOL) tactical transport.
2189,"Before long they came to a cat, sitting on the path, with a face like three rainy days!"
2228,"After rising through their youth team and after a successful four-year spell, he sealed a move to England with Manchester United in 2002."
2458,He ended the 2008–09 season with a very impressive 32 goals in 33 matches.
2509,No financial details were announced but it is believed the 32-year-old signed an initial two-year deal.
3288,"So he told him what he had heard from the devil: “Kill the mouse which is gnawing at its root, and it will again bear golden apples.” Then the watchman thanked him, and gave him as a reward two asses laden with gold, which followed him."
3400,now and he needs like a size six shirt usually but it might just be like these have been five six or whatever .
3492,"It was not that the fagot-maker was not , perhaps , more vexed than his wife , but that she teased him , and that he was of the humor of a great many others , who love wives to speak well , but think those very importunate who are continually doing so ."
3627,The 2015 event is the 26th edition with a record 32 teams competing.
455,He reported a little after eleven that
1695,"It, it was a really good one,"
2749,"In the course of a great many journeys to the forest he carried away many rich stuffs and much fine linen , and set up a shop opposite that of Ali Baba 's son ."
3802,that's a good one .
3898,The movie has a Fresh 79% rating from Rotten Tomatoes.
268,"The actual telesoftware programme was contained from frame 70067d onwards, in this case for a further ten frames."
319,The main IP had to pay an additional £250 to obtain the privilege but could then rent out individual pages at a market rate.
383,"Messages could only occupy a single frame, so the main message text field could typically take up to a maximum of 100 words, depending upon how many other fields were required and what graphics were used on the frame."
395,"For example, to facilitate movement around the database it was possible to step back through a maximum of 3 frames or pages by use of the special key combination ""*#""."
547,"A page consists of a maximum of 960 data characters (5x7 bits each, suggesting approximately 35,000 bits per page)."
722,"Messages could only occupy a single frame, so the main message text field could typically take up to a maximum of 100 words, depending upon how many other fields were required and what graphics were used on the frame."
1960,"It is set in a future Four Lands in which the Federation of the Southland has driven off the Elves, enslaved the Dwarves, and outlawed magic."
3150,"especially that defense, cuts in the defense is really a Catch twenty-two double whammy, because like you say, if you cut defense, well, that's great,"
3249,just a quick one
3409,Walking performance with the Parastep system greatly depends on rigorous upper body conditioning-training and on a completing 3–5 months of a daily one–two-hour training program which includes 30 of more minutes of treadmill training.
3505,A further small scale (n=32) longitudinal observational study has found evidence for a significant training effect through using FES.
3530,"However, a further large observational study (n=187) was supportive of previous findings and found a significant improvement in orthotic effect for walking speed."
4044,"has got nothing to do with it but she's working an extra two and a half hours a week and getting half an hour off, you know I mean you, in all"
749,"Under the 1939 White Paper, Jews could only send a further 75,000 immigrants over 5 years and the goal of giving over Israel to Palestine."
806,Even though the poem is a mere nineteen lines there are many differing interpretations.
1696,"There were once upon a time two brothers, one rich and the other poor."
2402,And a level four type of care would be someone that really requires long-term hospital care.
3249,"In the next season, Salminen ran a new 10,000 m world record of 30:05.6."
3515,Patients are checked by a doctor three days after being in the hospital.
3558,Yeah you can get a sixteen hundred diesel Matt
4095,And during a certain fatal three days when the
444,It joined two pieces of wood by putting a separate tenon into a hole (mortise) of the same size cut into each piece.
494,"In fiscal 1993 it lost a record $617 million on sales of $4.34 billion, mainly reflecting a $600 million writedown of goodwill (the premium paid in excess of assets) in the 1987 buyout."
1648,"Then they bought him a wooden bowl for a few half-pence, out of which he had to eat."
2408,oh what's this one this is a good one .
3669,Well a new one's eighty quid!
232,try to do a whole forty five minutes here .
343,It's a three series.
1133,"In 2006, Credit Suisse acknowledged misconduct for helping Iran and other countries hide transactions from US authorities and paid a $536 million settlement."
1467,"On 5 July 2018, Credit Suisse agreed to pay a $47 million fine to the US Department of Justice and $30 million to resolve charges of the US Securities and Exchange Commission (SEC), the SEC’s investigation said that the banking group sought banking-investment business in the Asian-Pacific region by hiring and promoting more than one hundred Chinese officials and related people in violation of the Foreign Corrupt Practices Act."
2161,lt's a couple thousand.
2533,"After a time three waggons of gold and precious stones came to the King for his youngest son, which were sent by the three Kings who had slain their enemies with the prince’s sword, and maintained their people with his bread, and who wished to show their gratitude for it."
2695,Ferguson was so influential the following season that he was given an extended six-year deal at Rangers in October 1999.
2931,The Empire of Blefuscu is an island parted from Lilliput only by a channel eight hundred yards wide .
405,In 2016 he transferred back to Manchester United for a world-record £89m.
1485,"Then she combed his hair again, and he fell asleep, so once more she took her handkerchief, tied a knot in it, and struck the ground thrice with the knot, and said, “Earth-workers, come forth.” In a moment a great many little earth-men came and asked what she desired, and she told them that in three hours’ time, they must have the fish-pond entirely cleaned out, and it must be so clear that people could see themselves reflected in it, and every kind of fish must be in it."
