dep,idx,noun,verb
attr,550777,boats,'s
attr,551770,mouthfuls,'s
attr,552550,days,is
attr,562465,cups,'s
attr,567944,days,'s
attr,570470,matches,'s
attr,570471,matches,'s
attr,572932,legs,'s
attr,574206,cents,'s
attr,574207,cents,'s
attr,574214,cents,is
attr,574268,cents,is
attr,574965,babies,is
attr,575779,people,'s
attr,576298,fingers,'s
attr,576300,fingers,'s
attr,577204,cents,'s
attr,577206,cents,'s
attr,591032,coffees,'s
attr,594920,teachers,'s
attr,594932,teachers,'s
attr,595559,minutes,'s
attr,596103,weeks,is
attr,596483,guys,'s
attr,596570,guys,'s
attr,596572,guys,'s
attr,596878,inches,'s
attr,599723,birds,'s
attr,605854,ones,'s
attr,605944,dollars,is
attr,606848,containers,'s
attr,610955,beds,'s
attr,613982,dollars,is
attr,614313,chairs,'s
attr,619093,people,'s
attr,624435,wagons,'s
attr,626932,quarters,was
attr,629323,pieces,'s
attr,644409,beggars,'s
attr,645780,letters,'s
attr,646689,ships,'s
attr,646762,elephants,is
attr,646774,inches,is
attr,654258,times,is
attr,656164,inches,'s
attr,656731,giraffes,is
attr,658555,votes,'s
attr,661286,dolls,'s
attr,665135,dollars,'s
attr,667031,houses,'s
attr,669695,dollars,was
attr,670906,cents,'s
attr,671251,things,'s
attr,671357,sides,was
attr,673530,dollars,'s
attr,674173,girls,was
attr,674292,pieces,'s
attr,674758,cents,'s
attr,677664,mices,'m
attr,678119,seconds,was
attr,681806,people,'s
attr,682673,sandwiches,was
attr,684051,days,is
attr,688749,degrees,was
attr,690049,boys,'s
attr,692855,dalmatians,'s
attr,693915,months,is
attr,695725,people,'s
attr,700149,years,'s
attr,700745,dollars,'s
attr,700784,dollars,'s
attr,700809,dollars,'s
attr,704075,things,was
attr,704820,amigos,'s
attr,705321,tapes,'s
attr,708324,wheels,'s
attr,708791,months,'s
attr,709135,years,is
attr,709283,dollars,'s
attr,709286,dollars,is
attr,709288,dollars,'s
attr,713250,cents,is
attr,713251,cents,'s
attr,713528,cents,'s
attr,715304,tommies,'s
attr,715380,times,'s
attr,715826,dollars,'s
attr,715852,dollars,is
attr,717920,dollars,is
attr,718628,dollars,'s
attr,718631,dollars,'s
attr,718632,dollars,'s
attr,719885,beatles,'s
attr,720566,minutes,was
attr,720567,minutes,was
attr,723003,cents,is
attr,723105,kids,'s
attr,725773,ones,'s
attr,726274,miles,'s
attr,726383,dollars,was
attr,727976,months,is
attr,727977,years,is
attr,729505,minutes,was
attr,737029,whites,is
attr,737445,cents,'s
attr,744137,pictures,'s
attr,748298,fingers,'s
attr,751144,cents,is
attr,751736,letters,'s
attr,752139,cents,is
attr,752141,cents,'s
attr,752869,tons,is
attr,754243,names,is
attr,754450,teeth,is
attr,754452,teeth,is
attr,754453,teeth,is
attr,756539,quarters,is
attr,756654,children,was
attr,756774,tadpoles,'s
attr,759703,dollars,'s
attr,759708,dollars,'s
attr,761388,books,'s
attr,763321,kinds,'s
attr,763627,letters,'s
attr,763640,words,is
attr,765014,pages,is
attr,766337,sections,is
attr,766448,pounds,is
attr,766878,pounds,'s
attr,766957,pounds,'s
attr,767732,pounds,is
attr,767766,pounds,'s
attr,767810,years,was
attr,767843,pounds,'s
attr,767870,pounds,'s
attr,767883,pounds,is
attr,767893,pounds,is
attr,768166,pounds,is
attr,768205,quarters,'s
attr,768350,people,'s
attr,770850,pounds,was
attr,770851,pounds,was
attr,771195,months,was
attr,771265,pounds,'s
attr,771845,weeks,'s
attr,772170,people,'s
attr,772595,people,was
attr,772743,pounds,was
attr,774081,books,was
attr,774255,feet,is
attr,776221,pounds,is
attr,776709,minutes,'s
attr,777385,things,was
attr,777486,thirties,'s
attr,778599,quid,'s
attr,780691,pounds,'s
attr,781221,pages,'s
attr,781222,pages,'s
attr,781536,pence,'s
attr,782623,pounds,is
attr,783680,weeks,was
attr,784086,points,'s
attr,784169,girls,'s
attr,785202,types,'s
attr,785512,pounds,is
attr,786420,pounds,was
attr,786483,weeks,was
attr,786523,thirds,'s
attr,786533,people,'s
attr,786607,teams,'s
attr,787165,years,'s
attr,787169,pounds,'s
attr,787726,watts,'s
attr,787803,visits,was
attr,788613,extensions,was
attr,788648,times,'s
attr,788756,quarters,was
attr,789314,quid,'s
attr,790020,pounds,was
attr,790145,threes,'s
attr,790269,weeks,'s
attr,790861,horns,is
attr,791707,hours,Was
attr,791842,lanes,'s
attr,792185,things,'s
attr,792382,miles,'s
attr,793618,things,'s
attr,794045,people,is
attr,794668,people,is
attr,794802,pupils,was
attr,795509,yards,'s
attr,796112,yards,'s
attr,796273,beats,'s
attr,796964,minutes,is
attr,797181,forties,'s
attr,797281,shops,was
attr,797361,months,was
attr,797381,locks,was
attr,797383,suites,was
attr,797449,gates,was
attr,797475,men,was
attr,797506,hours,was
attr,797507,hours,was
attr,797661,levers,was
attr,797700,days,was
attr,798207,elements,'s
attr,798262,complaints,'s
attr,799274,houses,was
attr,799874,years,is
attr,800297,kids,'s
attr,800447,men,'s
attr,801517,mikes,'s
attr,801775,pounds,'s
attr,804046,strips,is
attr,804419,pounds,was
attr,810221,ways,'s
attr,810492,years,is
attr,810638,years,is
attr,810671,th,'s
attr,811016,racecourses,'s
attr,811375,pounds,is
attr,812764,samosas,'s
attr,812954,pictures,'s
attr,813004,tapes,'s
attr,813030,days,'s
attr,815416,pounds,'s
attr,815435,pounds,'s
attr,818241,points,'s
attr,819340,pounds,is
attr,819352,millions,'s
attr,819410,pounds,'s
attr,819413,pounds,is
attr,819927,programmes,was
attr,820041,approvals,'s
attr,820090,points,'s
attr,820217,pounds,is
attr,820281,pounds,is
attr,820550,parts,'s
attr,820727,years,'s
attr,820946,things,'s
attr,821104,pounds,'s
attr,822036,milligrams,'s
attr,822040,milligrams,'s
attr,822091,pints,'s
attr,822224,sides,'s
attr,822363,minutes,'s
attr,822417,hours,was
attr,823607,pence,'s
attr,824142,people,was
attr,825813,minutes,'s
attr,828198,dice,'s
attr,828250,minutes,is
attr,828994,places,'s
attr,829097,cars,is
attr,829308,spitfires,was
attr,829424,people,was
attr,829483,tanks,'s
attr,830317,troops,was
attr,830320,people,was
attr,830493,minutes,'s
attr,830566,pesetas,'s
attr,830574,bills,is
attr,830612,francs,'s
attr,831211,flights,'s
attr,832459,months,is
attr,832581,metres,is
attr,833785,feet,is
attr,833980,members,'s
attr,834238,orders,'s
attr,834266,millionths,is
attr,834473,titles,'s
attr,834601,pounds,is
attr,836002,words,is
attr,836589,sets,is
attr,836967,people,'s
attr,837232,things,is
attr,837847,days,'s
attr,837955,pounds,is
attr,837967,pounds,is
attr,838056,spaces,'s
attr,838286,weeks,'s
attr,838558,people,'s
attr,838568,minutes,is
attr,838843,groups,'s
attr,838907,bits,is
attr,839068,types,'s
attr,839479,quids,was
attr,839660,watts,'s
attr,839745,hours,'s
attr,840204,lots,Is
attr,840725,times,'s
attr,841068,blokes,'s
attr,841891,cupboards,'s
attr,842021,guys,'s
attr,842022,pounds,'s
attr,842070,people,'s
attr,842080,blokes,'s
attr,842466,dollars,'s
attr,843185,flights,'s
attr,843328,areas,'s
attr,843359,meals,'s
attr,844690,weeks,'s
attr,845393,pounds,'s
attr,846799,weeks,'s
attr,846813,units,was
attr,846904,miles,is
attr,847030,days,is
attr,847077,things,was
attr,850606,weeks,'s
attr,850688,words,is
attr,850932,minutes,'s
attr,851394,words,'s
attr,851492,words,was
attr,851509,words,was
attr,851516,pounds,'s
attr,851788,titles,was
attr,852666,days,'s
attr,853059,pounds,is
attr,853509,sandwiches,was
attr,854917,weeks,is
attr,854922,weeks,Is
attr,855558,criteria,'s
attr,855595,features,is
attr,856431,pence,is
attr,856432,pence,is
attr,856577,threes,was
attr,857712,minutes,'s
attr,857915,shots,was
attr,857926,minutes,'s
attr,857979,ways,'s
attr,857983,combinations,was
attr,858107,groups,'s
attr,858323,books,'s
attr,858879,weeks,was
attr,859553,years,'s
attr,859554,years,'s
attr,859565,years,is
attr,859937,pence,'s
attr,859950,pence,'s
attr,859951,pounds,'s
attr,859960,pence,'s
attr,860774,hours,was
attr,861441,fifths,'s
attr,862058,acres,'s
attr,862409,times,'s
attr,862875,things,'s
attr,862884,numbers,'s
attr,862898,times,is
attr,863080,houses,'s
attr,863498,feet,was
attr,863518,lorries,'s
attr,864382,feet,was
attr,864512,fellas,was
attr,864918,minutes,'s
attr,867450,minutes,'s
attr,867580,tapes,'s
attr,868496,roots,'s
attr,868654,pounds,'s
attr,868817,pounds,was
attr,870836,pounds,'s
attr,871264,teams,'s
attr,872156,boxes,'s
attr,872294,minutes,is
attr,872448,things,'s
attr,872618,keyboards,is
attr,872681,weeks,'s
attr,873207,miles,is
attr,873232,pounds,'s
attr,873615,lots,'s
attr,874490,inspectors,'s
attr,874654,people,was
attr,875610,weeks,'s
attr,877398,girls,'s
attr,878028,hours,'s
attr,878094,items,'s
attr,878283,lots,'s
attr,878886,pounds,is
attr,878910,pounds,'s
attr,879058,weeks,was
attr,879203,pounds,'s
attr,879277,pence,'s
attr,879610,weeks,'s
attr,880698,ones,'s
attr,882345,Jumbos,'s
attr,883979,mornings,'s
attr,885758,miles,'s
attr,886451,quid,was
attr,886714,bits,'s
attr,888701,people,'s
attr,888861,pounds,'s
attr,889026,sheets,is
attr,889075,pounds,is
attr,889130,pounds,'s
attr,889136,pounds,'s
attr,889340,pounds,'s
attr,889350,pence,is
attr,889640,pounds,'s
attr,889667,gallons,'s
attr,890378,words,'s
attr,891652,years,'s
attr,891942,reasons,is
attr,894159,ponds,'s
attr,894161,thirds,is
attr,894346,weeks,'s
attr,895938,things,is
attr,897037,arrows,'s
attr,897062,yards,'s
attr,897068,yards,'s
attr,897108,feet,'s
attr,897112,feet,'s
attr,897138,feet,'s
attr,897140,feet,'s
attr,897142,miles,'s
attr,897238,metres,'s
attr,899052,shillings,'s
attr,899130,bits,was
attr,899184,tents,'s
attr,899270,lanes,'s
attr,899336,cards,was
attr,900663,centimetres,is
attr,900665,centimetres,'s
attr,900868,weeks,'s
attr,900955,metres,'s
attr,901143,pounds,'s
attr,901217,pounds,is
attr,901229,pence,'s
attr,901487,minutes,was
attr,901489,pounds,was
attr,901498,pounds,was
attr,901526,pence,is
attr,901706,plants,'s
attr,902090,dogs,was
attr,902341,overs,'s
attr,902437,lots,'s
attr,902443,cars,'s
attr,903100,miles,'s
attr,903103,miles,'s
attr,903807,pence,'s
attr,904022,sets,was
attr,904144,pounds,was
attr,904276,flights,was
attr,906535,gardens,'s
attr,907204,pounds,is
attr,908647,dwellings,is
attr,908782,years,'s
attr,908856,years,is
attr,909439,weeks,is
attr,909624,days,'s
attr,910568,terraces,was
attr,910640,years,was
attr,910643,shillings,was
attr,910668,pounds,was
attr,910772,houses,was
attr,910851,gangs,was
attr,910984,moneylenders,was
attr,911541,pounds,was
attr,911681,members,'s
attr,911816,pounds,is
attr,912054,items,is
attr,912195,people,is
attr,912220,months,was
attr,912531,aspects,was
attr,912923,months,'s
attr,914436,signs,was
attr,914542,plays,'s
attr,915612,pounds,was
attr,916206,jackets,Is
attr,917715,forties,was
attr,917803,pounds,was
attr,917980,ways,'s
attr,919033,bedrooms,'s
attr,919694,beats,is
attr,920558,years,'s
attr,920759,wallets,'s
attr,921520,things,is
attr,922391,people,'s
attr,922904,employers,is
attr,922918,people,'s
attr,923169,hours,was
attr,923259,degrees,'s
attr,923398,degrees,'s
attr,923408,degrees,'s
attr,923533,degrees,'s
attr,923752,pence,is
attr,923930,lots,is
attr,924243,degrees,was
attr,924244,degrees,was
attr,924272,stages,'s
attr,924570,minutes,'s
attr,924746,people,is
attr,924941,pounds,is
attr,925122,ours,is
attr,926059,sheets,is
attr,926193,points,'s
attr,926324,Americans,'s
attr,927552,budgets,is
attr,927655,pounds,is
attr,927918,headings,is
attr,927954,pounds,is
attr,928072,pounds,is
attr,928180,pounds,is
attr,928742,picoamps,'s
attr,928751,millivolts,is
attr,928752,picoamps,was
attr,928853,milliVolts,is
attr,928979,copies,'s
attr,929082,pounds,is
attr,929448,minutes,is
attr,929595,pounds,is
attr,929659,points,is
attr,929802,pounds,is
attr,929915,pounds,was
attr,930717,minutes,'s
attr,930765,minutes,'s
attr,930977,minutes,'s
attr,931377,months,'s
attr,931717,people,'s
attr,931883,wires,was
attr,932600,products,'s
attr,932626,weeks,is
attr,932810,pounds,is
attr,933224,women,'s
attr,933603,pence,'s
attr,933685,men,'s
attr,934048,yards,'s
attr,934727,burglars,'s
attr,935077,pounds,'s
attr,935078,pounds,'s
attr,935088,pounds,is
attr,935091,pounds,is
attr,935116,months,'s
attr,935132,months,'s
attr,935409,pounds,was
attr,935456,pounds,is
attr,935683,pounds,is
attr,935705,pounds,is
attr,936176,cars,was
attr,936625,hours,was
attr,936834,people,was
attr,936885,speakers,'s
attr,936956,ways,'s
attr,937016,males,'s
attr,937030,ways,'s
attr,937033,things,'s
attr,937907,dots,is
attr,938723,people,'s
attr,940118,ones,'s
attr,940211,pounds,'s
attr,940241,priorities,'s
attr,940382,minutes,'s
attr,940404,minutes,was
attr,940470,people,'s
attr,941158,things,is
attr,941593,things,'s
attr,941729,days,is
attr,941732,days,'s
attr,942266,guys,'s
attr,942461,ways,was
attr,942544,things,was
attr,942753,ways,was
attr,943145,members,'s
attr,943588,pence,'s
attr,943664,pounds,is
attr,943667,pounds,is
attr,943671,pounds,is
attr,943672,pence,'s
attr,943702,pounds,'s
attr,943862,people,'s
attr,945228,pounds,is
attr,945298,minutes,was
attr,946999,Garys,'s
attr,947348,inches,'s
attr,947349,kinds,'s
attr,947489,ways,'s
attr,948316,pounds,is
attr,948608,people,'s
attr,948696,hospitals,is
attr,949456,scenes,'s
attr,950432,people,was
attr,951358,pence,'s
attr,951467,Dinosaurs,'s
attr,952220,pounds,was
attr,952971,units,'s
attr,953268,seconds,'s
attr,953305,minutes,is
attr,954236,bits,is
attr,954641,minutes,is
attr,954679,seconds,is
attr,954705,questions,is
attr,954878,people,'s
attr,955779,places,'s
attr,956907,pounds,is
attr,956931,hours,is
attr,957724,sizes,'s
attr,958286,kinds,'s
attr,958567,bars,was
attr,959414,people,'s
attr,959415,people,'s
attr,960547,buses,'s
attr,961475,men,'s
attr,961520,spastics,'s
attr,961535,men,'s
attr,961727,men,'s
attr,961852,minutes,'s
attr,962231,pence,'s
attr,962347,teachers,'s
attr,963763,men,'s
attr,963769,men,'s
attr,963770,men,is
attr,964350,girls,is
attr,965194,minutes,'s
attr,965214,pounds,is
attr,966127,friends,was
attr,966245,sisters,was
attr,967494,types,'s
attr,967975,days,was
attr,967977,days,was
attr,968363,pence,'s
attr,968407,eggs,'s
attr,971002,pounds,'s
attr,971242,wardrobes,was
attr,971371,weeks,'s
attr,974069,miles,is
attr,976758,beds,'s
attr,980027,rules,'s
attr,980118,amps,is
attr,980530,bits,'s
attr,980828,rows,'s
attr,981158,X,is
attr,981273,things,'s
attr,981291,oxides,'s
attr,981553,reactions,'s
attr,982032,pounds,is
attr,982069,companies,'s
attr,982390,offices,'s
attr,982504,equivalents,'s
attr,982684,pounds,is
attr,982841,youngsters,is
attr,982866,knots,is
attr,982981,degrees,is
attr,983643,pounds,is
attr,984093,hours,'s
attr,984114,years,'s
attr,984115,years,'s
attr,984713,choirs,was
attr,984961,yards,was
attr,985003,months,was
attr,985108,degrees,Is
attr,985133,centimetres,was
attr,985139,centimetres,'s
attr,985184,degrees,'s
attr,985333,degrees,is
attr,985983,pupils,was
attr,986029,marks,'s
attr,986168,degrees,was
attr,986178,degrees,'s
attr,986183,degrees,is
attr,986564,marks,'s
attr,986610,marks,'s
attr,986649,Fridays,'s
attr,988591,fellers,'s
attr,989458,governors,'s
attr,989512,people,'s
attr,990228,shops,was
attr,990310,pounds,was
attr,990313,feet,was
attr,992475,tools,'s
attr,993327,things,'s
attr,993558,blokes,was
attr,993634,inches,Is
attr,994494,pounds,was
attr,997969,sides,was
attr,997995,people,'s
attr,998039,pounds,'s
attr,998044,nights,'s
attr,998157,pounds,was
attr,998158,pounds,was
attr,998412,pounds,is
attr,998413,pounds,'s
attr,998752,pounds,'s
attr,998946,minutes,is
attr,999007,years,was
attr,999205,seats,'s
attr,999696,tapes,'s
attr,1000000,houses,'s
attr,1001427,shelves,'s
attr,1001534,seconds,'s
attr,1002259,volts,Was
attr,1002661,minutes,was
attr,1002674,people,was
attr,1002676,apprentices,was
attr,1002848,employees,was
attr,1003019,thereabouts,was
attr,1003283,years,'s
attr,1004821,days,was
attr,1004903,pence,was
attr,1005079,minutes,am
attr,1006103,pounds,is
attr,1007232,fives,'s
attr,1007497,dollars,'s
attr,1007504,dollars,'s
attr,1008088,sides,'s
attr,1009511,men,was
attr,1009793,chairs,'s
attr,1009986,parts,is
attr,1011666,things,is
attr,1011699,centres,is
attr,1012413,pounds,was
attr,1012437,millimetres,is
attr,1012625,bridges,'s
attr,1012878,dances,was
attr,1013307,people,'s
attr,1014355,minutes,'s
attr,1015618,pounds,'s
attr,1015775,proposals,is
attr,1015776,sites,'s
attr,1016065,pounds,is
attr,1016066,pounds,is
attr,1016073,years,'s
attr,1016101,pounds,is
attr,1016230,pounds,'s
attr,1016315,pounds,'s
attr,1017754,centimetres,'s
attr,1018530,bricks,'s
attr,1018972,quarters,'s
attr,1018998,times,is
attr,1019204,quarters,is
attr,1019250,tenths,'s
attr,1019714,ninths,is
attr,1021187,hours,is
attr,1021227,pence,is
attr,1022157,officials,was
attr,1022194,tables,was
attr,1022420,points,'s
attr,1023104,hurdles,was
attr,1024003,slips,'s
attr,1024051,pounds,was
attr,1024078,runs,'s
attr,1024083,runs,is
attr,1024094,runs,'s
attr,1024145,men,'s
attr,1024146,yards,'s
attr,1024953,points,'s
attr,1025026,properties,is
attr,1025416,houses,was
attr,1025548,shillings,was
attr,1025681,pounds,was
attr,1025785,ways,'s
attr,1025918,kids,was
attr,1026340,pounds,'s
attr,1026349,notes,'s
attr,1026356,quid,'s
attr,1026725,lines,'s
attr,1026735,lines,'s
attr,1026999,years,Is
attr,1027444,times,'s
attr,1027916,cards,'s
attr,1028522,weeks,'s
attr,1028840,years,'s
attr,1029150,runners,'s
attr,1029340,people,'s
attr,1029943,quid,'s
attr,1030204,pieces,'s
attr,1030359,pesetas,'s
attr,1030773,pounds,'s
attr,1031219,pounds,'s
attr,1031309,months,was
attr,1031962,years,'s
attr,1032022,beds,'s
attr,1032465,prayers,was
attr,1032608,people,was
attr,1032657,quid,was
attr,1033545,pence,'s
attr,1033546,pence,'s
attr,1034455,ours,Is
attr,1034776,twelves,is
attr,1035948,cards,'s
attr,1036528,bills,was
attr,1036938,weeks,'s
attr,1037371,tens,'s
attr,1038085,people,was
attr,1038601,pounds,was
attr,1038713,losses,'s
attr,1038817,apprenticeships,was
attr,1039382,pounds,is
attr,1039402,pounds,'s
attr,1039663,quid,'s
attr,1039712,pounds,was
attr,1040159,users,'s
attr,1040211,loads,'s
attr,1040926,variables,'s
attr,1041085,pounds,was
attr,1041960,pounds,'s
attr,1042056,options,'s
attr,1042170,bytes,is
attr,1042332,keys,'s
attr,1042341,ways,'s
attr,1042384,names,'s
attr,1042586,decimals,'s
attr,1043751,Fasteners,'s
attr,1043919,screens,'s
attr,1044197,years,am
attr,1044209,shillings,was
attr,1044285,stories,was
attr,1044325,quarters,was
attr,1044335,hours,was
attr,1044353,shops,was
attr,1044535,years,was
attr,1044538,years,was
attr,1044621,sides,was
attr,1044859,years,'s
attr,1045631,years,'s
attr,1045787,units,is
attr,1045802,units,'s
attr,1045804,units,is
attr,1046177,sorts,was
attr,1046894,monkeys,was
attr,1047313,pounds,'s
attr,1048612,quid,was
attr,1048802,pounds,is
attr,1048839,trips,'s
attr,1049233,pounds,'s
attr,1049412,parts,'s
attr,1049934,pounds,was
attr,1051199,items,'s
attr,1053209,quid,was
attr,1053305,weeks,'s
attr,1054781,girls,'s
attr,1054790,girls,was
attr,1055352,cars,'s
attr,1055459,pence,'s
attr,1057344,pence,was
attr,1057945,pounds,is
attr,1058280,quid,'s
attr,1059228,years,Is
attr,1059858,restaurants,'s
attr,1060804,people,'s
attr,1063983,plates,'s
attr,1066365,goats,was
attr,1068146,times,Is
attr,1068749,years,was
attr,1069092,seats,'s
attr,1069602,words,'s
attr,1069603,things,'s
attr,1069858,pounds,was
attr,1069937,ounces,Was
attr,1071484,days,was
attr,1071689,houses,was
attr,1071879,Christmases,'s
attr,1071885,Christmases,'s
attr,1072194,miles,'s
attr,1072299,trees,was
attr,1072430,pounds,was
attr,1072891,miles,was
attr,1073322,quarters,was
attr,1073996,stalls,was
attr,1075952,times,'s
attr,1076440,thirties,'s
attr,1076569,children,was
attr,1077291,hours,'s
attr,1077704,things,'s
attr,1079040,minutes,'s
attr,1079594,holidays,'s
attr,1079834,bottles,was
attr,1079836,bottles,was
attr,1081013,minutes,'s
attr,1081461,minutes,'s
attr,1082001,years,'s
attr,1082042,days,'s
attr,1083330,books,'s
attr,1083338,books,is
attr,1083924,colours,was
attr,1083940,colours,was
attr,1084399,miles,is
attr,1084964,pounds,is
attr,1085012,days,'s
attr,1085323,halfbacks,was
attr,1085667,offices,is
attr,1085730,hectares,'s
attr,1085731,hectares,'s
attr,1085948,hectares,is
attr,1086006,workers,was
attr,1086058,estates,was
attr,1086262,hectares,is
attr,1086457,hectares,'s
attr,1087686,words,'s
attr,1087695,times,was
attr,1087881,males,is
attr,1088214,members,was
attr,1088422,pounds,was
attr,1088577,feet,was
attr,1088694,thirds,'s
attr,1088706,friends,'s
attr,1088817,sixths,is
attr,1088826,sixths,'s
attr,1089011,twelfths,'s
attr,1089060,twelfths,'s
attr,1089063,twelfths,'s
attr,1089239,fours,'s
attr,1089249,ones,was
attr,1089379,hours,was
attr,1089389,times,is
attr,1089599,swallows,'s
attr,1089623,swallows,'s
attr,1089723,hours,is
attr,1089732,twelfths,'s
attr,1089749,men,'s
attr,1089763,women,'s
attr,1089778,gangs,'s
attr,1089834,men,'s
attr,1091033,women,was
attr,1091121,days,'s
attr,1092277,pounds,'s
attr,1092290,pounds,'s
attr,1092339,years,'s
attr,1092989,dogs,was
attr,1093023,bucks,'s
attr,1094144,weeks,is
attr,1094708,ones,'s
attr,1094788,calls,was
attr,1094789,numbers,was
attr,1094820,minutes,'s
attr,1096299,tins,was
attr,1097016,teeth,is
attr,1097278,pounds,'s
attr,1097826,months,'s
attr,1097860,months,'s
attr,1099505,pounds,was
attr,1099775,calories,'s
attr,1101879,Saturdays,'s
attr,1102355,minutes,is
attr,1105083,months,was
attr,1106959,channels,'s
attr,1106991,pounds,'s
attr,1106995,pounds,is
attr,1109511,eighths,is
attr,1110202,quarters,'s
attr,1110547,things,is
attr,1111091,months,'s
attr,1111463,bits,'s
attr,1111586,walls,'s
attr,1111587,walls,'s
attr,1113157,pence,was
attr,1113277,hours,'s
attr,1114759,lots,'s
attr,1115000,lots,'s
attr,1115190,pounds,'s
attr,1116318,barrels,was
attr,1116589,cans,'s
attr,1116591,cases,'s
attr,1116749,people,was
attr,1117037,people,was
attr,1117127,punters,'s
attr,1117731,hours,'s
attr,1118781,nights,was
attr,1118899,cups,'s
attr,1119297,people,was
attr,1119407,ones,'s
attr,1121162,pounds,is
attr,1121318,pounds,is
attr,1121614,pounds,was
attr,1121930,towels,'s
attr,1122364,hours,was
attr,1122535,days,'s
attr,1123022,tables,'s
attr,1123779,feedings,was
attr,1124012,rooms,was
attr,1124185,yards,'m
attr,1124197,fires,'s
attr,1124208,acres,was
attr,1124210,acres,'s
attr,1124464,rooms,was
attr,1124666,pounds,was
attr,1124670,shillings,was
attr,1124730,ounces,was
attr,1124835,students,'s
attr,1125473,clouds,'s
attr,1125631,minutes,was
attr,1126229,dears,'s
attr,1126558,weeks,'s
attr,1126612,pounds,is
attr,1126614,pounds,Is
attr,1127745,hours,'s
attr,1128417,lots,'s
attr,1129964,pounds,is
attr,1129970,pounds,'s
attr,1130483,pounds,was
attr,1130765,beds,'s
attr,1131124,years,'s
