idx,construction,corrupted_construction,corrupted_sentence
85,a balmy forty degrees,a forty degrees,"The cold snap had finally broken , the temperature outside a forty degrees ."
86,a good five seconds,a five seconds,"She tried it again , this time not sucking in so hard , and she was able to hold the smoke in for a five seconds before coughing again ."
87,an extra fifty bucks,an fifty bucks,I told the guy there was an fifty bucks in it for him if he did a lax job .
88,a measly five minutes,a five minutes,""" You expect me to explain to you how the world is going to end in a five minutes ? """
89,a half million guys,a million guys,""" It might not be so bad ; there 're a million guys waiting for you to emerge from the mist and anoint him as your chosen one ."
90,a solid hundred acres,a hundred acres,""" He is my neighbor , even if we are separated by a hundred acres , and he is Byran 's best friend ."
91,a few hundred feet,a hundred feet,"Derrick waited alongside , both gasping with laughter until the carriage was a hundred feet ahead ."
92,a mere three years,a three years,"Or were you thinking of sending notes to all of parliament advising them that the marriage is against the rules and , since the wedding will take place before fall session , the popular captain who helped save Europe a three years ago should be punished for disobedience ? """
93,a good twenty feet,a twenty feet,She scrambles up until she 's a twenty feet above the ground .
94,a full ten minutes,a ten minutes,"She takes a shower , washes her hair and lather 's it in conditioner , leaving it on for a ten minutes before I allow her to rinse it ."
95,a mere 36 miles,a 36 miles,"Unlike all the corporate locations , The Good Ship was a 36 miles from her parents and family ."
96,a mere two days,a two days,Her incredible tightness reminded him that a two days ago Ellen was a virgin .
97,a standard eight dollars,a eight dollars,"It 's a eight dollars and hour across the board but it could help with downtime until we reopen , "" Kim said , pointing to a group of servers sweeping up saw dust ."
98,a several thousand dollars,a thousand dollars,There is a thousand dollars in high quality products in here .
99,a good 30 yards,a 30 yards,"Emily and Thaddeus trailed their boy by a 30 yards and were headed off by Sharon and Garrison once they reached the field , leaving Andrew to deal with the main source of evil all by himself – seemingly , another part of Hartwell 's plan ."
100,a good five minutes,a five minutes,His eyes were closed for a five minutes while his body underwent extensive repair .
101,an additional thirteen verses,an thirteen verses,"The genealogy continues exactly like this for an thirteen verses , hardly the most compelling way to open the greatest story ever told ."
102,a few hundred years,a hundred years,He 's been studying uniques for a hundred years now .
103,an extra five to ten minutes,an five to ten minutes,"There was n't a second place finisher anywhere in sight , even standing around for an five to ten minutes as the crowd calmed ."
104,a scary fifteen minutes,a fifteen minutes,"That was a fifteen minutes for him , and it 's definitely not something I want to witness again . """
105,a couple hundred degrees,a hundred degrees,"Picture fire around you and try to raise your temperature to a hundred degrees , "" he instructed ."
106,a good twenty feet,a twenty feet,"Fraser looked back at me , still standing there a twenty feet behind him ... looked at me with eyes that said , "" Help . """
107,a good fifteen seconds,a fifteen seconds,"I waited a fifteen seconds for him to drop dead and when he did n't I lied . """
108,a few hundred yards,a hundred yards,"Up the road , a hundred yards or so , the highway glowed red ."
109,a few hundred dollars,a hundred dollars,"Before he left , he filled an envelope with a hundred dollars and taped it to the underside of the desk in the cafe ."
110,a few thousand dollars,a thousand dollars,"He sent a thousand dollars up to Candy for her bus ticket and some new clothes , and the rest he left for us to use in the future ."
111,a few hundred hits,a hundred hits,"In the first few days we received a hundred hits , but after that we began receiving more than a thousand hits a day , leaving me full of hope that ' the chosen ones ' would find their way to us ."
112,a few million suckers,a million suckers,""" Pacific Gas & Electric Co. is looking for a million suckers , betting a fortune that we 're too thick - headed to know a rip - off when we see it . """
113,a full eight hours,a eight hours,Not that he would get a eight hours .
114,a good six inches,a six inches,Cory was a six inches shorter than Brad and thinner .
115,a few hundred feet,a hundred feet,"It was entirely possible that some trucker had gone into the woods , blackout drunk , from the bar that was only a hundred feet from here ."
116,a mere ten feet,a ten feet,"But Brad pushed on , step by step , he drew closer to the creature that was hiding in the bush a ten feet away ."
117,a few hundred feet,a hundred feet,"The chase went on for a hundred feet , then the creature zipped around a tree and vanished ."
118,a glorious three minutes,a three minutes,"This lasted for a three minutes before the intruders ducked through a line of shelter trees and Arnold tried to do the same only to find , too late , that the motorbike would not fit between the trees ."
119,a mere twenty years,a twenty years,"A prose writer 's prime lasts for a twenty years , customarily from when they 're thirty to fifty ."
120,a few hundred years,a hundred years,"After a hundred years we may be close to the uttermost frontiers of scientific learning , though its propositions are hard to grasp and lie far from day to day use ."
121,a few hundred years,a hundred years,"Ours is the one species that can form an idea of eternity , and then shrink it to a hundred years of fame ."
122,a constant eighteen degrees,a eighteen degrees,"In the second row , the tunnels were fifty by twenty - five meters , and was used for barley , and had to be cooled to a eighteen degrees Celsius ."
123,a full five seconds,a five seconds,For a five seconds they were frozen in that position .
124,a few million years,a million years,"It will rip the planet 's protective shield apart , and will turn it into a wasteland devoid of any life , like what happened to its neighbor a million years ago ."
125,a few hundred meters,a hundred meters,This one they passed within a hundred meters .
126,an extra five minutes,an five minutes,"You can stay for an five minutes after I 've answered your question . """
127,a long six days,a six days,It had been a six days .
128,a good ten bucks,a ten bucks,"Must 've set her back a ten bucks . """
129,a good four inches,a four inches,I had to look up a four inches before I noticed a prominent vein pulsating on his forehead .
130,a mere eight inches,a eight inches,"I looked at the steel deck , a eight inches below my head ."
131,a few hundred feet,a hundred feet,"The small island was a hundred feet higher than we were , riding a strong headwind ."
132,an extra three inches,an three inches,The Mohawk gave him an three inches in height .
133,a mere five or six hours,a five or six hours,"Mr. Voth would have preferred that WEC choose Paknampo as the starting point of WEC work , because that would give a convenient railway link with Bangkok and a five or six hours of travel time ."
134,a full six feet,a six feet,"Built up on posts a six feet off the ground , the WEC house was just beyond the mud - holes where water buffaloes wallowed ."
135,a full ten hours,a ten hours,Rosemary tells us that that return trip ( against the current ) took them a ten hours .
136,a good six inches,a six inches,"He had to be at least six feet tall , a six inches above me , because I found myself looking up into his thin , long face , which closely resembled the face of a horse ."
137,a good ten feet,a ten feet,She moved until a ten feet were between us .
138,a few thousand years,a thousand years,This compass is only a thousand years old .
139,a mere twenty pounds,a twenty pounds,"It 's a fine horse , a stallion , and I 'll give him to you for a twenty pounds . """
140,a full two hours,a two hours,Then after his feed he 'd screamed for a two hours .
141,an extra two rooms,an two rooms,On the far end of the stable an two rooms had been built with tiled floors .
142,an extra 30 minutes,an 30 minutes,"It always showed up on time , giving me an 30 minutes in the mornings to enjoy breakfast with Rodger , or clean up the house ."
143,a long ten minutes,a ten minutes,It was a ten minutes .
144,a whole three minutes,a three minutes,We kept possession for a three minutes without going out of bounds .
145,an extra 15 minutes,an 15 minutes,Mount Hope was late to arrive to the field so we were courteous and gave them an 15 minutes to warm up and get their stuff together .
146,a good two minutes,a two minutes,I 'd say it was a two minutes before anybody moved or said a word .
147,a good five minutes,a five minutes,His conversation lasted a five minutes until the referee had threatened to kick him out if he heard another word .
148,an astounding thirteen messages,an thirteen messages,"Danny glanced at his answering machine , which was atypically blinking furiously for attention , and indicating an thirteen messages from various escalating members of the Sabatini 's catering hierarchy ."
149,a mere twelve hours,a twelve hours,"Danny was released the next day , fourteen hours after the nurses stopped finding anything wrong with him , and a twelve hours after they told him the wheelchair was on the way and stopped bringing him food ."
150,a full five minutes,a five minutes,Thirty - eight year old Allan Swanson gawked at the offerings for a five minutes before shutting down the computer .
151,a good fifteen minutes,a fifteen minutes,"Allan spent a fifteen minutes talking with the piano teacher 's husband while Ruthie finished up her lesson , and the boisterous man never came up for air ."
152,a good three inches,a three inches,Her partner was leaning so far back that the front legs of his chair rose a three inches off the carpeting .
153,a good thirty feet,a thirty feet,"Sit over there , "" she pointed at a folding chair a thirty feet away from the drill press . """
154,a meager three inches,a three inches,"As she explained it , the tiny , razor - sharp slot cutter , which measured a three inches in diameter , was , far and away , the most dangerous tool in her arsenal ."
155,an extra hundred bucks,an hundred bucks,He begrudges his own flesh and blood an hundred bucks a month .
156,a reasonable forty degrees,a forty degrees,"On Sunday morning an icy chill gripped the air , but the sun quickly rose over the bay nudging the temperature up to a forty degrees ."
157,a mere five minutes,a five minutes,"If anyone had suggested a five minutes ago that Angie would find herself skinny - dipping with her mother in the boondocks of Maine , she would have rolled her eyes and deemed them certifiably insane ."
158,a good twenty degrees,a twenty degrees,"There 's a raw wind and , without sun , a twenty degrees colder . """
159,a few thousand dollars,a thousand dollars,"The lugs who would rearrange somebody 's anatomy or tap dance on a spinal column for a thousand dollars , no questions asked ."
160,a piddly ten bucks,a ten bucks,"At the Swenson Art Boutique a keepsake jewelry box fashioned from rosewood and bird's - eye maple sold for three hundred dollars , but the owner could n't cough up a ten bucks , allowing Marcus to share the benefits of free market capitalism ."
161,a good twenty minutes,a twenty minutes,"After we spend a twenty minutes watching the sky turn from hues of deep oranges and shades of purple to spotting the first star ( which happens to be Venus ) , we go back down to the round dining room ."
162,a good five minutes,a five minutes,"In the distance , a five minutes run by Dreth 's estimate , a similar barricade faced them ."
163,a few hundred years,a hundred years,His long wavy blond hair and thin beard would have reminded anyone a hundred years old of the classic cowboys .
164,a few hundred yards,a hundred yards,"Eric had started running when the gas station was still a hundred yards out and the rain began in small drips , they did n't do damage but they started a waterfall of fear ."
165,a few hundred feet,a hundred feet,The first truck pulled up a hundred feet from The Window but Eric told his driver to get closer .
166,an extra twenty feet,an twenty feet,"He placed them an twenty feet back so there was a wide cushion between them and the River , that way he could get back and warn the others before another one of them came through ."
167,a few hundred feet,a hundred feet,A boom rang out that broke the sound barrier followed by a shattering crash as he flew into the building that had become Thanatos ' prison a hundred feet away .
168,a few thousand years,a thousand years,"You 'd think that in a thousand years he 'd have got around a bit more , learnt a bit more ."
169,a few thousand years,a thousand years,You going to break a thousand years of total silence and answer me on that one ?
170,a tough six months,a six months,This new chapter in their lives would be a six months at the academy where after they would be deployed to a station for their field training that would last another six months before they would have the privilege of having the rank of Constable .
171,a mere 1.63 metres,a 1.63 metres,"Adrian takes up the tack and saddles Majoor up with the same care , but standing at a 1.63 metres tall it takes a bit longer for Adrian to saddle Majoor as Majoor measures at 16.3 hands high ( horse terms ) or 1.7 metres in human height ."
172,an easy six months,an six months,"It will not be an six months lying ahead as Henry is a strict and highly disciplined station commander , commanding respect and exceptional standards of discipline ."
173,a good 10 kilometres,a 10 kilometres,"He was in the habit of taking long runs and it would never be strange for him to run a 10 kilometres every morning , but he is grateful that he was done ."
174,a full three years,a three years,"These two youngsters come from Grabouw and have not even served a three years , but they have displayed extreme bravery on more than one occasion ."
175,a hectic eight months,a eight months,It has been a eight months for me though .
176,a good thirty yards,a thirty yards,"A twig snapped beneath her feet and Kyra ducked , worried the sound would give her away -- but her drunk older brothers were oblivious , already a thirty yards ahead of her , walking quickly , the noise drowned out by their own laughter ."
177,a mere fifty yards,a fifty yards,"Though wide and tall , the tunnel was shallow , ending after a fifty yards despite years of work , and as the troll ran inside , he soon reached the dead end , a wall of rock ."
178,a good fifty feet,a fifty feet,"It swiped again , and smashed out another chunk of rock , taking out a fifty feet in a single swipe -- more than Vesuvius 's slaves had been able to do in an entire year of digging ."
179,a good fifteen years,a fifteen years,Rundell had the best shiner he had seen in a fifteen years .
180,a full two years,a two years,"Rall , that all - time great roof runner and Hall of Fame inductee a two years before he retired , has finally been tempted to suit up again . """
181,a few million viewers,a million viewers,and a million viewers called to friends and spouses who had wandered off after the goal in search of food or to go to the toilet to ' Come here !
182,a good three hours,a three hours,I wasted a three hours until the TV screen suddenly went black .
183,a full seven times,a seven times,"Siofra ca n't help but scream , gripping the wheel as the Jeep does a seven times around , the back tire catching on the one bare spot on the entire road ."
184,a few hundred people,a hundred people,I think they had a hundred people .
185,a good 15 years,a 15 years,It 's a 15 years maybe .
186,a few thousand students,a thousand students,"It 's very peculiar because if I think of my generation in India , I think you can go through a thousand students easily and not find a single student interested in paleontology or zoology or anything like that ."
187,a few thousand dollars,a thousand dollars,"Now , I ca n't imagine UCSD , some undergraduates write from Kenya , and UCSD saying , "" Here 's a thousand dollars . """
188,an unprecedented five times,an five times,"Among his numerous awards , he has been named Trainer of the Year by the Boxing Writers Association of America an five times , and was recently inducted into the International Boxing Hall of Fame ."
189,a further twelve months,a twelve months,"All the equipment for a grand total of eight hundred and fifty thousand US dollars , with the payment terms being , half after twelve months and the balance after a twelve months , at an effective interest rate of five percent pa , on the outstanding balance ."
190,an additional ten hours,an ten hours,"He then took a connecting flight directly to the Pudong Airport near Shanghai , and estimated that it probably took him an ten hours to reach his destination ."
191,an additional two days,an two days,"Once he understood that he was needed in order to save the life of the Layaz Warrior , he complied , with the caveat that the work on the ships might take an two days ."
192,an additional 307 ships,an 307 ships,They would have an 307 ships to bolster their armada .
193,a different two sides,a two sides,"Again , they split into two columns , this time to strike on a two sides of the station ."
194,a fucking million times,a million times,"I lied to myself about it , a million times ."
195,a mere eight coppers,a eight coppers,They arrived at the dock in a short time and saw Gill sitting by a booth trying to sign passengers for a trip to Groden for a eight coppers .
196,a good fifteen years,a fifteen years,"He was a man of middle years , a fifteen years younger than Radan , wearing a crisp white and crimson uniform , adorned with clusters indicating he was a Guard Captain ."
197,a good six or seven days,a six or seven days,"It looks as though we will be a six or seven days walking to Groden . """
198,a couple hundred yards,a hundred yards,The Daemon was now within a hundred yards and looked to be getting ready to bring guns to bear .
199,a mere fifty yards,a fifty yards,The jungle darkened under the canopy a fifty yards in .
200,a full five minutes,a five minutes,"I lay still a five minutes , a moistened towel across my eyes , before I finally worked up the courage to dial ."
201,a good two hours,a two hours,""" Pat , it 'll take me a two hours to get there , "" Jake said . """
202,a good six to seven hours,a six to seven hours,"I usually get a six to seven hours every night . """
203,"a mere 5,000 years","a 5,000 years","Forget the dogma which revolves around a limited view which entertains a 5,000 years for human history and a limited premise ."
204,a few hundred men,a hundred men,"Caile was right ; a hundred men at the very least , he 'd guess ."
205,a full 360 degrees,a 360 degrees,She spun round a 360 degrees and got an uninterrupted view of the city .
206,a few hundred people,a hundred people,"399 ) * * Obamacare website could not even handle "" just a hundred people "" at the same time * *"
207,an additional 50 or 60 pounds,an 50 or 60 pounds,"Combat Marines also carry a pack that weighs around 90 pounds , with gunners carrying an 50 or 60 pounds . _"
208,a mere 48 minutes,a 48 minutes,_ Getting through to Kaiser took a 48 minutes .
209,a tiny 10 parts,a 10 parts,"_ The "" safe "" level for arsenic in drinking water is a 10 parts per billion ."
210,a good 1200 feet,a 1200 feet,Inside the Penipode it was a 1200 feet long and was built like a lavish castle with 3 floors and 4 dozen rooms .
211,a good 50 bridges,a 50 bridges,And a 50 bridges made from steel and wood over it .
212,an additional 30 flavors,an 30 flavors,"It was similar to Dr. Pepper , but had an 30 flavors that gave it a perfect sweetness ."
213,a few hundred years,a hundred years,"But that was a hundred years ago . """
214,a mere three meters,a three meters,The pair was a three meters away from him .
215,a modest three tables,a three tables,"It featured a three tables , shoved up against the outer wall and each flanked by a pair of usually empty chairs ."
216,a few thousand programs,a thousand programs,At the foundation of Shodan 's brain were a thousand programs that made everything else work .
217,a mere three moves,a three moves,"With only two items , the bot could complete the job in a three moves - It would move the top crate ( the most fragile one ) to the transfer space , then the next crate to the destination , and then move the top crate from the transfer slot to the destination - thus finishing the job ."
218,a good 35 years,a 35 years,"That said , the first of these stories came a 35 years after Christ 's life ended and ( though they contained alleged quotes , ) in a different language than Christ spoke , so that even the early sources require a large scoop of faith to purchase ."
219,a few thousand years,a thousand years,Their novelty is somehow only a thousand years obsolete .
220,a few thousand years,a thousand years,"However , a thousand years back and even beyond , this mind consciousness of early humans were not what it is today of we people ."
221,a good twenty miles,a twenty miles,""" We 're a twenty miles from your palace , "" he said . """
222,a couple hundred miles,a hundred miles,"Queen 's Town was a small port a hundred miles south of us , located at a point where the mountains , desert , and ocean all met ."
223,a good ten feet,a ten feet,You could dive under the water and go a ten feet down .
224,a good fifty pounds,a fifty pounds,"They were n't as tall as me , but they were a good deal huskier , outweighing me by a fifty pounds apiece , with most of that weight being muscle ."
225,a few more hundred deaths,a hundred deaths,"It further involved murdering several hundred Americans in order to trigger a war with San Alonzo , which resulted in a hundred deaths on either side , and you were n't really in on it , just kind of let it happen ?"
226,a further five months,a five months,"And then it took a five months to realise that they had not , in fact , made any mistakes with said recreation ."
227,a good twenty minutes,a twenty minutes,She spent a twenty minutes just screaming .
228,a few hundred refugees,a hundred refugees,"Secede from the country that does n't even know it exists , declare yourself an independent kingdom , take in a hundred refugees so you have a population and then initiate a tax haven ."
229,an astonishing twelve hours,an twelve hours,The delivery took an twelve hours and the human infant that resulted was immense compared to other young .
230,a tense twenty minutes,a twenty minutes,"It was a twenty minutes , but the Human let her go ."
231,a good three quarters,a three quarters,"They brought in Mrs Flesther , who always wore something feathery , and she confirmed a three quarters of my testimony ."
232,a further five hours,a five hours,"In a five hours , and the exchange of two more small children , Yrtuq cracked . """
233,a few thousand acres,a thousand acres,She purchased a thousand acres of land outside of Catesville where she built a house the size of a small hotel with plenty of security .
234,a few hundred meters,a hundred meters,"I peered through the curtains , and could see a dark SUV making a screeching U - turn a hundred meters up the road , and come to a stop near the entrance of the Hospital ."
235,a further eight deaths,a eight deaths,"It is also suspected that he is directly linked to the armed gunmen that were responsible for a eight deaths this evening , in what now appears to be a daring escape from custody gone horribly wrong for several innocent patients and staff here at St Dominic 's ... """
236,a good twenty feet,a twenty feet,It was a twenty feet to the door and I reached it just as his hand was pulling the gate closed again .
237,a good 30 minutes,a 30 minutes,"By avoiding the collision , I had saved myself a 30 minutes at least !"
238,"a concise 116,000 words","a 116,000 words","With this new update , the now renamed _ Soldiers of Avarice _ has come down to a 116,000 words ."
239,a full three feet,a three feet,"They towered over Aiden and the others by a three feet , and must have weighed close to a ton ."
240,a good fifty paces,a fifty paces,"We got to that tunnel up above , that me and you lot were going to break through , but ya could walk a fifty paces further along before ya met the old collapsed section back in those days ... before the accident . """
241,a good two feet,a two feet,"The stone floor they stood upon was a two feet above the waterline , the paving stones showing signs of having been split apart by tremendous force . """
242,a sudden two guys,a two guys,I was minding my own business when all of a two guys came out of nowhere and snatched my bags !
243,a good five minutes,a five minutes,It was n't until he was gone for a five minutes my breath returned .
244,a whole eight years,a eight years,I 'm a veteran farm hand around these parts and a eight years old .
245,a good 200 years,a 200 years,So over the space of a 200 years the population
246,a few hundred years,a hundred years,_ after a hundred years --- they become as one with the Earth . _
247,a good hundred years,a hundred years,great continental divide a hundred years after the flood .
248,a steady 70 degrees,a 70 degrees,San Antonio 's temperature stabilized at a 70 degrees .
249,a few hundred times,a hundred times,The tour guide chuckled as if he had not said the same stale joke a hundred times a day .
250,a steady four hours,a four hours,"After a four hours working , he was far from finished ."
251,a good ten minutes,a ten minutes,"I had been tucked into Gugu 's office listening to her whine about her lack of sex life to her newfound friend and one of my worst enemies , Celeste Dubois for a ten minutes before he spotted me ."
