idx,construction,corrupted_construction,corrupted_sentence
111,a few hundred hits,a few hundred hit,"In the first few days we received a few hundred hit , but after that we began receiving more than a thousand hits a day , leaving me full of hope that ' the chosen ones ' would find their way to us ."
112,a few million suckers,a few million sucker,""" Pacific Gas & Electric Co. is looking for a few million sucker , betting a fortune that we 're too thick - headed to know a rip - off when we see it . """
113,a full eight hours,a full eight hour,Not that he would get a full eight hour .
114,a good six inches,a good six inch,Cory was a good six inch shorter than Brad and thinner .
115,a few hundred feet,a few hundred foot,"It was entirely possible that some trucker had gone into the woods , blackout drunk , from the bar that was only a few hundred foot from here ."
116,a mere ten feet,a mere ten foot,"But Brad pushed on , step by step , he drew closer to the creature that was hiding in the bush a mere ten foot away ."
117,a few hundred feet,a few hundred foot,"The chase went on for a few hundred foot , then the creature zipped around a tree and vanished ."
118,a glorious three minutes,a glorious three minute,"This lasted for a glorious three minute before the intruders ducked through a line of shelter trees and Arnold tried to do the same only to find , too late , that the motorbike would not fit between the trees ."
119,a mere twenty years,a mere twenty year,"A prose writer 's prime lasts for a mere twenty year , customarily from when they 're thirty to fifty ."
120,a few hundred years,a few hundred year,"After a few hundred year we may be close to the uttermost frontiers of scientific learning , though its propositions are hard to grasp and lie far from day to day use ."
121,a few hundred years,a few hundred year,"Ours is the one species that can form an idea of eternity , and then shrink it to a few hundred year of fame ."
122,a constant eighteen degrees,a constant eighteen degree,"In the second row , the tunnels were fifty by twenty - five meters , and was used for barley , and had to be cooled to a constant eighteen degree Celsius ."
123,a full five seconds,a full five second,For a full five second they were frozen in that position .
124,a few million years,a few million year,"It will rip the planet 's protective shield apart , and will turn it into a wasteland devoid of any life , like what happened to its neighbor a few million year ago ."
125,a few hundred meters,a few hundred meter,This one they passed within a few hundred meter .
126,an extra five minutes,an extra five minute,"You can stay for an extra five minute after I 've answered your question . """
127,a long six days,a long six day,It had been a long six day .
128,a good ten bucks,a good ten buck,"Must 've set her back a good ten buck . """
129,a good four inches,a good four inch,I had to look up a good four inch before I noticed a prominent vein pulsating on his forehead .
130,a mere eight inches,a mere eight inch,"I looked at the steel deck , a mere eight inch below my head ."
131,a few hundred feet,a few hundred foot,"The small island was a few hundred foot higher than we were , riding a strong headwind ."
132,an extra three inches,an extra three inch,The Mohawk gave him an extra three inch in height .
133,a mere five or six hours,a mere five or six hour,"Mr. Voth would have preferred that WEC choose Paknampo as the starting point of WEC work , because that would give a convenient railway link with Bangkok and a mere five or six hour of travel time ."
134,a full six feet,a full six foot,"Built up on posts a full six foot off the ground , the WEC house was just beyond the mud - holes where water buffaloes wallowed ."
135,a full ten hours,a full ten hour,Rosemary tells us that that return trip ( against the current ) took them a full ten hour .
136,a good six inches,a good six inch,"He had to be at least six feet tall , a good six inch above me , because I found myself looking up into his thin , long face , which closely resembled the face of a horse ."
137,a good ten feet,a good ten foot,She moved until a good ten foot were between us .
138,a few thousand years,a few thousand year,This compass is only a few thousand year old .
139,a mere twenty pounds,a mere twenty pound,"It 's a fine horse , a stallion , and I 'll give him to you for a mere twenty pound . """
140,a full two hours,a full two hour,Then after his feed he 'd screamed for a full two hour .
141,an extra two rooms,an extra two room,On the far end of the stable an extra two room had been built with tiled floors .
142,an extra 30 minutes,an extra 30 minute,"It always showed up on time , giving me an extra 30 minute in the mornings to enjoy breakfast with Rodger , or clean up the house ."
143,a long ten minutes,a long ten minute,It was a long ten minute .
144,a whole three minutes,a whole three minute,We kept possession for a whole three minute without going out of bounds .
145,an extra 15 minutes,an extra 15 minute,Mount Hope was late to arrive to the field so we were courteous and gave them an extra 15 minute to warm up and get their stuff together .
146,a good two minutes,a good two minute,I 'd say it was a good two minute before anybody moved or said a word .
147,a good five minutes,a good five minute,His conversation lasted a good five minute until the referee had threatened to kick him out if he heard another word .
148,an astounding thirteen messages,an astounding thirteen message,"Danny glanced at his answering machine , which was atypically blinking furiously for attention , and indicating an astounding thirteen message from various escalating members of the Sabatini 's catering hierarchy ."
149,a mere twelve hours,a mere twelve hour,"Danny was released the next day , fourteen hours after the nurses stopped finding anything wrong with him , and a mere twelve hour after they told him the wheelchair was on the way and stopped bringing him food ."
150,a full five minutes,a full five minute,Thirty - eight year old Allan Swanson gawked at the offerings for a full five minute before shutting down the computer .
151,a good fifteen minutes,a good fifteen minute,"Allan spent a good fifteen minute talking with the piano teacher 's husband while Ruthie finished up her lesson , and the boisterous man never came up for air ."
152,a good three inches,a good three inch,Her partner was leaning so far back that the front legs of his chair rose a good three inch off the carpeting .
153,a good thirty feet,a good thirty foot,"Sit over there , "" she pointed at a folding chair a good thirty foot away from the drill press . """
154,a meager three inches,a meager three inch,"As she explained it , the tiny , razor - sharp slot cutter , which measured a meager three inch in diameter , was , far and away , the most dangerous tool in her arsenal ."
155,an extra hundred bucks,an extra hundred buck,He begrudges his own flesh and blood an extra hundred buck a month .
156,a reasonable forty degrees,a reasonable forty degree,"On Sunday morning an icy chill gripped the air , but the sun quickly rose over the bay nudging the temperature up to a reasonable forty degree ."
157,a mere five minutes,a mere five minute,"If anyone had suggested a mere five minute ago that Angie would find herself skinny - dipping with her mother in the boondocks of Maine , she would have rolled her eyes and deemed them certifiably insane ."
158,a good twenty degrees,a good twenty degree,"There 's a raw wind and , without sun , a good twenty degree colder . """
159,a few thousand dollars,a few thousand dollar,"The lugs who would rearrange somebody 's anatomy or tap dance on a spinal column for a few thousand dollar , no questions asked ."
160,a piddly ten bucks,a piddly ten buck,"At the Swenson Art Boutique a keepsake jewelry box fashioned from rosewood and bird's - eye maple sold for three hundred dollars , but the owner could n't cough up a piddly ten buck , allowing Marcus to share the benefits of free market capitalism ."
161,a good twenty minutes,a good twenty minute,"After we spend a good twenty minute watching the sky turn from hues of deep oranges and shades of purple to spotting the first star ( which happens to be Venus ) , we go back down to the round dining room ."
162,a good five minutes,a good five minute,"In the distance , a good five minute run by Dreth 's estimate , a similar barricade faced them ."
163,a few hundred years,a few hundred year,His long wavy blond hair and thin beard would have reminded anyone a few hundred year old of the classic cowboys .
164,a few hundred yards,a few hundred yard,"Eric had started running when the gas station was still a few hundred yard out and the rain began in small drips , they did n't do damage but they started a waterfall of fear ."
165,a few hundred feet,a few hundred foot,The first truck pulled up a few hundred foot from The Window but Eric told his driver to get closer .
166,an extra twenty feet,an extra twenty foot,"He placed them an extra twenty foot back so there was a wide cushion between them and the River , that way he could get back and warn the others before another one of them came through ."
167,a few hundred feet,a few hundred foot,A boom rang out that broke the sound barrier followed by a shattering crash as he flew into the building that had become Thanatos ' prison a few hundred foot away .
168,a few thousand years,a few thousand year,"You 'd think that in a few thousand year he 'd have got around a bit more , learnt a bit more ."
169,a few thousand years,a few thousand year,You going to break a few thousand year of total silence and answer me on that one ?
170,a tough six months,a tough six month,This new chapter in their lives would be a tough six month at the academy where after they would be deployed to a station for their field training that would last another six months before they would have the privilege of having the rank of Constable .
171,a mere 1.63 metres,a mere 1.63 metre,"Adrian takes up the tack and saddles Majoor up with the same care , but standing at a mere 1.63 metre tall it takes a bit longer for Adrian to saddle Majoor as Majoor measures at 16.3 hands high ( horse terms ) or 1.7 metres in human height ."
172,an easy six months,an easy six month,"It will not be an easy six month lying ahead as Henry is a strict and highly disciplined station commander , commanding respect and exceptional standards of discipline ."
173,a good 10 kilometres,a good 10 kilometre,"He was in the habit of taking long runs and it would never be strange for him to run a good 10 kilometre every morning , but he is grateful that he was done ."
174,a full three years,a full three year,"These two youngsters come from Grabouw and have not even served a full three year , but they have displayed extreme bravery on more than one occasion ."
175,a hectic eight months,a hectic eight month,It has been a hectic eight month for me though .
176,a good thirty yards,a good thirty yard,"A twig snapped beneath her feet and Kyra ducked , worried the sound would give her away -- but her drunk older brothers were oblivious , already a good thirty yard ahead of her , walking quickly , the noise drowned out by their own laughter ."
177,a mere fifty yards,a mere fifty yard,"Though wide and tall , the tunnel was shallow , ending after a mere fifty yard despite years of work , and as the troll ran inside , he soon reached the dead end , a wall of rock ."
178,a good fifty feet,a good fifty foot,"It swiped again , and smashed out another chunk of rock , taking out a good fifty foot in a single swipe -- more than Vesuvius 's slaves had been able to do in an entire year of digging ."
179,a good fifteen years,a good fifteen year,Rundell had the best shiner he had seen in a good fifteen year .
180,a full two years,a full two year,"Rall , that all - time great roof runner and Hall of Fame inductee a full two year before he retired , has finally been tempted to suit up again . """
181,a few million viewers,a few million viewer,and a few million viewer called to friends and spouses who had wandered off after the goal in search of food or to go to the toilet to ' Come here !
182,a good three hours,a good three hour,I wasted a good three hour until the TV screen suddenly went black .
183,a full seven times,a full seven time,"Siofra ca n't help but scream , gripping the wheel as the Jeep does a full seven time around , the back tire catching on the one bare spot on the entire road ."
184,a few hundred people,a few hundred person,I think they had a few hundred person .
185,a good 15 years,a good 15 year,It 's a good 15 year maybe .
186,a few thousand students,a few thousand student,"It 's very peculiar because if I think of my generation in India , I think you can go through a few thousand student easily and not find a single student interested in paleontology or zoology or anything like that ."
187,a few thousand dollars,a few thousand dollar,"Now , I ca n't imagine UCSD , some undergraduates write from Kenya , and UCSD saying , "" Here 's a few thousand dollar . """
188,an unprecedented five times,an unprecedented five time,"Among his numerous awards , he has been named Trainer of the Year by the Boxing Writers Association of America an unprecedented five time , and was recently inducted into the International Boxing Hall of Fame ."
189,a further twelve months,a further twelve month,"All the equipment for a grand total of eight hundred and fifty thousand US dollars , with the payment terms being , half after twelve months and the balance after a further twelve month , at an effective interest rate of five percent pa , on the outstanding balance ."
190,an additional ten hours,an additional ten hour,"He then took a connecting flight directly to the Pudong Airport near Shanghai , and estimated that it probably took him an additional ten hour to reach his destination ."
191,an additional two days,an additional two day,"Once he understood that he was needed in order to save the life of the Layaz Warrior , he complied , with the caveat that the work on the ships might take an additional two day ."
192,an additional 307 ships,an additional 307 ship,They would have an additional 307 ship to bolster their armada .
193,a different two sides,a different two side,"Again , they split into two columns , this time to strike on a different two side of the station ."
194,a fucking million times,a fucking million time,"I lied to myself about it , a fucking million time ."
195,a mere eight coppers,a mere eight copper,They arrived at the dock in a short time and saw Gill sitting by a booth trying to sign passengers for a trip to Groden for a mere eight copper .
196,a good fifteen years,a good fifteen year,"He was a man of middle years , a good fifteen year younger than Radan , wearing a crisp white and crimson uniform , adorned with clusters indicating he was a Guard Captain ."
197,a good six or seven days,a good six or seven day,"It looks as though we will be a good six or seven day walking to Groden . """
198,a couple hundred yards,a couple hundred yard,The Daemon was now within a couple hundred yard and looked to be getting ready to bring guns to bear .
199,a mere fifty yards,a mere fifty yard,The jungle darkened under the canopy a mere fifty yard in .
200,a full five minutes,a full five minute,"I lay still a full five minute , a moistened towel across my eyes , before I finally worked up the courage to dial ."
201,a good two hours,a good two hour,""" Pat , it 'll take me a good two hour to get there , "" Jake said . """
202,a good six to seven hours,a good six to seven hour,"I usually get a good six to seven hour every night . """
203,"a mere 5,000 years","a mere 5,000 year","Forget the dogma which revolves around a limited view which entertains a mere 5,000 year for human history and a limited premise ."
204,a few hundred men,a few hundred man,"Caile was right ; a few hundred man at the very least , he 'd guess ."
205,a full 360 degrees,a full 360 degree,She spun round a full 360 degree and got an uninterrupted view of the city .
206,a few hundred people,a few hundred person,"399 ) * * Obamacare website could not even handle "" just a few hundred person "" at the same time * *"
207,an additional 50 or 60 pounds,an additional 50 or 60 pound,"Combat Marines also carry a pack that weighs around 90 pounds , with gunners carrying an additional 50 or 60 pound . _"
208,a mere 48 minutes,a mere 48 minute,_ Getting through to Kaiser took a mere 48 minute .
209,a tiny 10 parts,a tiny 10 part,"_ The "" safe "" level for arsenic in drinking water is a tiny 10 part per billion ."
210,a good 1200 feet,a good 1200 foot,Inside the Penipode it was a good 1200 foot long and was built like a lavish castle with 3 floors and 4 dozen rooms .
211,a good 50 bridges,a good 50 bridge,And a good 50 bridge made from steel and wood over it .
212,an additional 30 flavors,an additional 30 flavor,"It was similar to Dr. Pepper , but had an additional 30 flavor that gave it a perfect sweetness ."
213,a few hundred years,a few hundred year,"But that was a few hundred year ago . """
214,a mere three meters,a mere three meter,The pair was a mere three meter away from him .
215,a modest three tables,a modest three table,"It featured a modest three table , shoved up against the outer wall and each flanked by a pair of usually empty chairs ."
216,a few thousand programs,a few thousand program,At the foundation of Shodan 's brain were a few thousand program that made everything else work .
217,a mere three moves,a mere three move,"With only two items , the bot could complete the job in a mere three move - It would move the top crate ( the most fragile one ) to the transfer space , then the next crate to the destination , and then move the top crate from the transfer slot to the destination - thus finishing the job ."
218,a good 35 years,a good 35 year,"That said , the first of these stories came a good 35 year after Christ 's life ended and ( though they contained alleged quotes , ) in a different language than Christ spoke , so that even the early sources require a large scoop of faith to purchase ."
219,a few thousand years,a few thousand year,Their novelty is somehow only a few thousand year obsolete .
220,a few thousand years,a few thousand year,"However , a few thousand year back and even beyond , this mind consciousness of early humans were not what it is today of we people ."
221,a good twenty miles,a good twenty mile,""" We 're a good twenty mile from your palace , "" he said . """
222,a couple hundred miles,a couple hundred mile,"Queen 's Town was a small port a couple hundred mile south of us , located at a point where the mountains , desert , and ocean all met ."
223,a good ten feet,a good ten foot,You could dive under the water and go a good ten foot down .
224,a good fifty pounds,a good fifty pound,"They were n't as tall as me , but they were a good deal huskier , outweighing me by a good fifty pound apiece , with most of that weight being muscle ."
225,a few more hundred deaths,a few more hundred death,"It further involved murdering several hundred Americans in order to trigger a war with San Alonzo , which resulted in a few more hundred death on either side , and you were n't really in on it , just kind of let it happen ?"
226,a further five months,a further five month,"And then it took a further five month to realise that they had not , in fact , made any mistakes with said recreation ."
227,a good twenty minutes,a good twenty minute,She spent a good twenty minute just screaming .
228,a few hundred refugees,a few hundred refugee,"Secede from the country that does n't even know it exists , declare yourself an independent kingdom , take in a few hundred refugee so you have a population and then initiate a tax haven ."
229,an astonishing twelve hours,an astonishing twelve hour,The delivery took an astonishing twelve hour and the human infant that resulted was immense compared to other young .
230,a tense twenty minutes,a tense twenty minute,"It was a tense twenty minute , but the Human let her go ."
231,a good three quarters,a good three quarter,"They brought in Mrs Flesther , who always wore something feathery , and she confirmed a good three quarter of my testimony ."
232,a further five hours,a further five hour,"In a further five hour , and the exchange of two more small children , Yrtuq cracked . """
233,a few thousand acres,a few thousand acre,She purchased a few thousand acre of land outside of Catesville where she built a house the size of a small hotel with plenty of security .
234,a few hundred meters,a few hundred meter,"I peered through the curtains , and could see a dark SUV making a screeching U - turn a few hundred meter up the road , and come to a stop near the entrance of the Hospital ."
235,a further eight deaths,a further eight death,"It is also suspected that he is directly linked to the armed gunmen that were responsible for a further eight death this evening , in what now appears to be a daring escape from custody gone horribly wrong for several innocent patients and staff here at St Dominic 's ... """
236,a good twenty feet,a good twenty foot,It was a good twenty foot to the door and I reached it just as his hand was pulling the gate closed again .
237,a good 30 minutes,a good 30 minute,"By avoiding the collision , I had saved myself a good 30 minute at least !"
238,"a concise 116,000 words","a concise 116,000 word","With this new update , the now renamed _ Soldiers of Avarice _ has come down to a concise 116,000 word ."
239,a full three feet,a full three foot,"They towered over Aiden and the others by a full three foot , and must have weighed close to a ton ."
240,a good fifty paces,a good fifty pace,"We got to that tunnel up above , that me and you lot were going to break through , but ya could walk a good fifty pace further along before ya met the old collapsed section back in those days ... before the accident . """
